"","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00351","1642.MS00512","1642.MS00479","1642.MS00562","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00604","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","1642.MS00565","1642.MS00374","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00337","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00640","1642.MS00391","1642.MS00611","1642.MS00436","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00615","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00584","1001.SKB8","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00439","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00498","1642.MS00619"
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0,-0.986,1,-0.88,1,1,1,1,1,0.98,1,1,1,1,1,0.763,1,0.994,1,1,1,1,-0.857,1,0.906,0.988,1,1,0.894,0.97,1,-0.845,1,1,1,1,1,1,1,1
"2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences",-0.986,0,1,-1,1,1,1,1,1,0.92,1,1,1,1,1,-0.692,1,0.976,1,1,1,1,-0.878,1,-0.804,0.962,1,1,0.844,0.873,0.545,-0.856,1,1,0.98,1,0.971,1,1,1
"1642.MS00428",1,1,0,1,-1,-0.96,-0.966,-1,-0.998,1,0.191,1,-0.606,-0.952,-0.248,1,-0.411,1,-0.523,-1,0.355,-1,1,0.552,1,1,-0.41,1,1,1,1,1,-0.996,-0.996,1,0.992,1,-0.749,-0.999,-0.186
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",-0.88,-1,1,0,1,1,1,1,1,0.73,1,1,1,1,1,-0.433,1,0.972,1,1,1,1,-0.998,1,-0.31,0.934,1,1,0.948,0.983,0.962,-0.97,1,1,0.96,1,0.921,1,1,1
"1642.MS00401",1,1,-1,1,0,-0.974,-0.83,-1,-1,1,-0.832,1,-0.688,-0.862,-0.05,1,0.79,1,-0.62,-0.903,-0.713,-1,1,-0.194,1,1,-0.5,1,1,1,1,1,-0.98,-1,1,0.793,1,-0.964,-0.992,-0.958
"1642.MS00351",1,1,-0.96,1,-0.974,0,0.948,0.482,0.607,1,0.826,1,0.872,0.952,-0.003,1,-0.641,1,0.972,-0.083,0.894,-0.91,1,0.985,1,1,0.988,1,1,1,1,1,-0.99,-0.316,1,0.998,1,0.768,0.528,0.808
"1642.MS00512",1,1,-0.966,1,-0.83,0.948,0,-1,-1,1,0.583,1,-0.725,-1,0.97,1,0.964,1,-0.947,-0.984,0.513,0.0289999999999999,1,-0.287,1,1,-0.91,1,1,1,1,1,0.733,0.364,1,0.988,1,-0.456,-0.996,0.481
"1642.MS00479",1,1,-1,1,-1,0.482,-1,0,-1,1,-0.912,1,-0.915,-1,0.912,1,0.896,1,-1,-0.994,-0.623,-0.824,1,-0.539,1,1,-0.988,1,1,1,1,1,-0.354,-0.936,1,0.69,1,-0.986,-1,-0.801
"1642.MS00562",1,1,-0.998,1,-1,0.607,-1,-1,0,1,-0.865,1,-0.899,-1,0.937,1,0.873,1,-0.832,-0.994,-0.855,-0.683,1,-0.6,1,1,-0.83,1,1,1,1,1,-0.175,-0.129,1,0.756,1,-0.991,-0.998,-0.856
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.98,0.92,1,0.73,1,1,1,1,1,0,1,1,1,1,1,0.853,1,1,1,1,1,1,1,1,0.904,0.998,1,1,1,1,0.82,0.979,1,1,1,1,0.95,1,1,1
"1642.MS00604",1,1,0.191,1,-0.832,0.826,0.583,-0.912,-0.865,1,0,1,-0.819,-0.772,0.996,1,1,1,-0.23,0.928,-0.982,-0.182,1,-0.626,1,1,-0.563,1,1,1,1,1,0.481,-0.086,1,-0.283,1,-0.998,-0.494,-0.986
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.964,1,1,1,1,1,1,1,0.0629999999999999,1,1,0.984,0.871,-0.033,1,1,1,1,1,-0.63,1,1,1
"1642.MS00600",1,1,-0.606,1,-0.688,0.872,-0.725,-0.915,-0.899,1,-0.819,1,0,-0.966,0.994,1,1,1,-0.988,0,0.168,-0.451,1,-0.91,1,1,-0.994,1,1,1,1,1,0.512,0.00299999999999989,1,0.997,1,-0.821,-0.95,-0.834
"1642.MS00565",1,1,-0.952,1,-0.862,0.952,-1,-1,-1,1,-0.772,1,-0.966,0,0.983,1,0.938,1,-0.968,-1,0.022,-0.174,1,-0.336,1,1,-0.986,1,1,1,1,1,0.265,0.403,1,0.994,1,-0.854,-1,0.0720000000000001
