"","1642.MS00611","1642.MS00553","1642.MS00351","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00565","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00337","1642.MS00479","1642.MS00562","1642.MS00391","1642.MS00584","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB8","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00439","1642.MS00604","1642.MS00615","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00512","1642.MS00374","1642.MS00436","1642.MS00412","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00619","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00640","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00498"
"1642.MS00611",0,0.0312086316161,0.0351254155689,0.0923528364365,0.0899754379291,0.0243352932415,0.0258936830602,0.0903861602298,0.0919574609455,0.090984828778,0.052490642153,0.0240829640743,0.0243719229708,0.0287940080596,0.0291752180035,0.0910473803512,0.0867053172241,0.1651506792587,0.099359347477,0.0288354700475,0.0245953905993,0.022576697743,0.0934147080637,0.0914611096103,0.0287115180932,0.0805417236101,0.0251267423506,0.0252233415948,0.0484269240816,0.0297022304663,0.0322029792857,0.1152396706603,0.1122432890744,0.0936471206682,0.0247524497387,0.089321583833,0.0265638723264,0.0963786706782,0.0263568648358,0.0257644312389
"1642.MS00553",0.0312086316161,0,0.0450980269722,0.1049629677808,0.0936539590617,0.0336727042988,0.0351204213923,0.0996098269978,0.0984969630319,0.0968187395879,0.056388294332,0.0270734971383,0.0331000889084,0.0327845480185,0.0328040917268,0.1027338341615,0.0918238540039,0.1967632172038,0.1104200366706,0.0341788208412,0.0316960789963,0.0355194872552,0.1039519309477,0.1036956234618,0.0341776398671,0.0890055922723,0.03389822944,0.0289433941751,0.0654918295684,0.0367045598681,0.0372728381708,0.1334345713122,0.1322627288741,0.1021230697597,0.0337685454002,0.0959922464936,0.0346760093072,0.1111429333861,0.0368336529224,0.0344553971098
"1642.MS00351",0.0351254155689,0.0450980269722,0,0.1000926657905,0.081747866738,0.0321689819221,0.0334415115553,0.0852285635151,0.0985876908553,0.0951207117374,0.0234358592494,0.0299047273981,0.0313214382753,0.0261207424161,0.0401044437697,0.0893450967302,0.0856022082677,0.1567857894983,0.101563015416,0.0276568279112,0.0341285769911,0.0407379297247,0.0908642857791,0.0845638958828,0.0231167460936,0.0699572189489,0.0234254645615,0.0310623953757,0.0376590879591,0.0237341420465,0.0233206567488,0.1209799355878,0.1278211626406,0.0903038299228,0.0378485062239,0.0827535214086,0.0377513857586,0.0887887292475,0.0356729336325,0.0309103935844
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.0923528364365,0.1049629677808,0.1000926657905,0,0.0517526961133,0.0940808185518,0.0856627297746,0.0427334494992,0.0415619812423,0.041654860352,0.1036923522835,0.0906078524644,0.0893652739117,0.091780260808,0.1045926041269,0.0390071564215,0.0370555662635,0.0968338657603,0.0218688025173,0.0960615866629,0.0979195918546,0.1036875008783,0.0223627750765,0.0367748818649,0.0881754255019,0.0496797106263,0.0871602254878,0.091635195905,0.10919782518,0.0933547388219,0.0992109910229,0.0304661852042,0.0304707933074,0.0414788132638,0.1041483653698,0.0371837987211,0.1010699644508,0.0284748506657,0.1051872772206,0.0902582605619
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0899754379291,0.0936539590617,0.081747866738,0.0517526961133,0,0.0841554682821,0.0824864661349,0.0297319521189,0.0504202031693,0.0327605567517,0.0994427205474,0.0850880819186,0.0833659628957,0.090237656625,0.1078069582848,0.0439203906592,0.0362354306673,0.1388926711714,0.0508733627376,0.0897791809172,0.0932422394004,0.1015811102775,0.044809930688,0.0451875216858,0.0823137796648,0.0323472888685,0.0816879730706,0.086863627474,0.0873515145786,0.0923644282235,0.093734538502,0.0594810812136,0.0610987341521,0.0260052370973,0.0962190998679,0.0359842613525,0.0985891356315,0.0493933085329,0.1060470844442,0.0881949684037
"1642.MS00630",0.0243352932415,0.0336727042988,0.0321689819221,0.0940808185518,0.0841554682821,0,0.0201925827362,0.0892356092897,0.090654993067,0.0889306876646,0.0414583533649,0.0208303743217,0.0210838459624,0.0258749453644,0.0273501801435,0.087886179702,0.0872597672548,0.1657068452647,0.1005238354083,0.0263791060823,0.0227001015089,0.0268576175386,0.0931317729476,0.0889075107482,0.0243476297082,0.0784738524571,0.0221913060588,0.0230770815041,0.0440077340026,0.0259449058444,0.0283729270827,0.1159421326845,0.1162083419815,0.0899926023067,0.0232361422671,0.087701947008,0.0239266415922,0.0960121801888,0.0240978422001,0.0236079841555
"1642.MS00565",0.0258936830602,0.0351204213923,0.0334415115553,0.0856627297746,0.0824864661349,0.0201925827362,0,0.0876039303364,0.0885795075735,0.0879523357674,0.0434357697048,0.0194185080707,0.0199624940606,0.0217541605025,0.0227138233059,0.0846466071,0.0859207947421,0.1786840328874,0.0904853094095,0.0259345228915,0.0230538794155,0.0243647354426,0.0841322705801,0.0866650978148,0.0222430609239,0.0763240749311,0.0218241907953,0.0217122451102,0.0443931348371,0.02343340712,0.0291164836507,0.1046381060627,0.1043731705552,0.0836875911339,0.0264558492819,0.0853559088357,0.0207991761146,0.0884552566454,0.0212879315318,0.0210740692459
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0903861602298,0.0996098269978,0.0852285635151,0.0427334494992,0.0297319521189,0.0892356092897,0.0876039303364,0,0.0403569494514,0.0217427537404,0.1052718626802,0.0864662283303,0.0845850183026,0.09380775799,0.1081286174339,0.0347726831559,0.0309633565455,0.1228740919746,0.0424606464845,0.0915208982955,0.0931147117087,0.103822549552,0.0394285609053,0.0318370140608,0.0859011465579,0.0360144622305,0.0821484886186,0.0904129466793,0.0918970694063,0.09274934323,0.0941345102239,0.0580603706208,0.0477653899916,0.0436880185303,0.099044627867,0.0297483704765,0.1036474621135,0.0368927425469,0.107842337172,0.0903046280098
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0919574609455,0.0984969630319,0.0985876908553,0.0415619812423,0.0504202031693,0.090654993067,0.0885795075735,0.0403569494514,0,0.0380995189219,0.1087794519899,0.0887001899213,0.085823351034,0.0956493989874,0.1067275415826,0.0275086901692,0.0244539462951,0.1264967151721,0.0365708825608,0.0960837630568,0.0914441032001,0.1059737502144,0.0378927515774,0.0252627200277,0.0881849625128,0.0425178805383,0.0866676305331,0.0917256484151,0.0992342621803,0.093650312373,0.0984344789906,0.0653458066964,0.064765552487,0.0618869763296,0.0972362678376,0.0266223470911,0.1041421301235,0.0456250019051,0.1059876094424,0.0908331305135
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",0.090984828778,0.0968187395879,0.0951207117374,0.041654860352,0.0327605567517,0.0889306876646,0.0879523357674,0.0217427537404,0.0380995189219,0,0.1075618966683,0.0891201114395,0.0880064888566,0.0972514356423,0.1084805694958,0.0365492659699,0.0301705456729,0.1392551352957,0.0410255366709,0.0948068648751,0.0934781075213,0.104128530475,0.0374590409818,0.0364751825016,0.0896132461587,0.0379713915556,0.0882861161061,0.0911627093898,0.1117406711187,0.095961834447,0.0992353152518,0.0573666173159,0.049984469716,0.0474675327187,0.096915113657,0.0279680271279,0.1017852447153,0.0430199297786,0.1086399438397,0.0913291256868
