"","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00623","1642.MS00517","1642.MS00514","1642.MS00357","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00540","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00422","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00521","1642.MS00418","1642.MS00461","1642.MS00419","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00636","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00501","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00369","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences",0,0.8986,0.9516,0.9542,0.9568,0.9494,0.4794,0.5202,0.9498,0.632,0.8218,0.937,0.5776,0.9616,0.8936,0.6406,0.6056,0.9468,0.8676,0.9488,0.9518,0.9458,0.948,0.9524,0.9542,0.8898,0.8788,0.9578,0.9498,0.618,0.959,0.5034,0.9684,0.8916,0.9666,0.561,0.9414,0.6402,0.947,0.8778
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8986,0,0.8966,0.904,0.9204,0.9114,0.9028,0.8482,0.9106,0.8164,0.5846,0.8752,0.9128,0.9802,0.627,0.8454,0.8026,0.8922,0.6188,0.8768,0.9326,0.9048,0.9176,0.9132,0.9174,0.6992,0.6352,0.9344,0.8976,0.8752,0.916,0.904,0.937,0.6192,0.9562,0.9154,0.889,0.8198,0.9128,0.6118
"1642.MS00623",0.9516,0.8966,0,0.5296,0.5822,0.6562,0.954,0.9416,0.5154,0.9274,0.9038,0.4824,0.9574,0.985,0.8812,0.9408,0.9354,0.4612,0.9084,0.5454,0.5774,0.5544,0.5528,0.5874,0.5672,0.9024,0.8952,0.7256,0.487,0.9436,0.531,0.96,0.766,0.8892,0.8502,0.9518,0.4528,0.9354,0.545,0.8924
"1642.MS00517",0.9542,0.904,0.5296,0,0.5014,0.62,0.9588,0.941,0.5536,0.9296,0.9078,0.5254,0.9566,0.9836,0.9004,0.9448,0.9366,0.512,0.919,0.5586,0.598,0.5484,0.5466,0.563,0.5106,0.9156,0.9006,0.6392,0.5416,0.9404,0.4476,0.9628,0.654,0.9058,0.7376,0.952,0.5346,0.8416,0.4778,0.9008
"1642.MS00514",0.9568,0.9204,0.5822,0.5014,0,0.6344,0.959,0.9476,0.5546,0.9352,0.9244,0.5688,0.9608,0.985,0.9164,0.9446,0.9434,0.5402,0.93,0.618,0.5978,0.5722,0.5634,0.5896,0.5008,0.931,0.9204,0.6376,0.5698,0.9458,0.4412,0.9634,0.6004,0.921,0.7244,0.9554,0.5776,0.8558,0.503,0.92
"1642.MS00357",0.9494,0.9114,0.6562,0.62,0.6344,0,0.9578,0.9408,0.6362,0.9236,0.9134,0.572,0.9518,0.9802,0.9068,0.9364,0.9256,0.6192,0.9178,0.6592,0.6772,0.5586,0.6254,0.5672,0.612,0.9248,0.9056,0.4192,0.6522,0.936,0.6026,0.9584,0.5398,0.9148,0.6428,0.9494,0.6568,0.8956,0.5992,0.91
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",0.4794,0.9028,0.954,0.9588,0.959,0.9578,0,0.5098,0.9558,0.586,0.8282,0.949,0.5988,0.9628,0.884,0.6416,0.653,0.9506,0.8782,0.9548,0.9602,0.9564,0.9524,0.9588,0.9626,0.914,0.8854,0.9692,0.957,0.617,0.9634,0.4572,0.975,0.8956,0.9762,0.5296,0.9488,0.6372,0.9546,0.8872
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.5202,0.8482,0.9416,0.941,0.9476,0.9408,0.5098,0,0.9394,0.5784,0.773,0.9244,0.5258,0.9568,0.8644,0.5382,0.5496,0.934,0.8484,0.9314,0.9436,0.9392,0.9394,0.942,0.947,0.8876,0.8406,0.9556,0.9432,0.5466,0.9492,0.396,0.962,0.8702,0.9662,0.5578,0.9328,0.575,0.9342,0.8394
"1642.MS00540",0.9498,0.9106,0.5154,0.5536,0.5546,0.6362,0.9558,0.9394,0,0.9244,0.9188,0.51,0.9554,0.9816,0.908,0.9392,0.936,0.4638,0.9172,0.5968,0.4828,0.523,0.5214,0.5736,0.5024,0.9202,0.9046,0.6976,0.5182,0.933,0.5062,0.959,0.7596,0.9118,0.8322,0.9486,0.5104,0.9236,0.513,0.907
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",0.632,0.8164,0.9274,0.9296,0.9352,0.9236,0.586,0.5784,0.9244,0,0.7742,0.902,0.5604,0.9478,0.7922,0.5188,0.5818,0.9192,0.7484,0.9202,0.9304,0.9148,0.9274,0.9244,0.9278,0.8622,0.743,0.9428,0.9286,0.4764,0.9346,0.6134,0.9538,0.815,0.9636,0.6098,0.913,0.6258,0.9224,0.7692
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8218,0.5846,0.9038,0.9078,0.9244,0.9134,0.8282,0.773,0.9188,0.7742,0,0.8814,0.8488,0.9688,0.6546,0.787,0.7628,0.8982,0.6356,0.887,0.9326,0.9064,0.9238,0.9088,0.923,0.7256,0.6888,0.9352,0.9068,0.814,0.9168,0.8194,0.9442,0.6306,0.9652,0.8378,0.8912,0.7684,0.9138,0.6548
"1642.MS00422",0.937,0.8752,0.4824,0.5254,0.5688,0.572,0.949,0.9244,0.51,0.902,0.8814,0,0.9474,0.9764,0.8668,0.9262,0.9192,0.468,0.8866,0.5202,0.572,0.484,0.544,0.5336,0.5476,0.883,0.87,0.644,0.5254,0.9258,0.5192,0.9514,0.7198,0.8706,0.8104,0.941,0.4866,0.9062,0.5332,0.8714
