"","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00623","1642.MS00517","1642.MS00514","1642.MS00357","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00540","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00422","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00521","1642.MS00418","1642.MS00461","1642.MS00419","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00636","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00501","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00369","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences",0,0.998,1,1,1,1,-1,-1,1,-0.992,0.175,1,-1,0.98,0.99,-0.988,-1,1,0.882,1,1,1,1,1,1,0.988,0.959,1,1,-1,1,-1,1,0.98,1,-1,1,-0.992,1,0.961
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.998,0,1,1,1,1,0.99,0.992,1,0.99,-0.681,1,1,1,-0.22,1,0.962,1,-0.369,1,1,1,1,1,1,0.79,0.381,1,1,1,1,1,1,-0.365,1,0.996,1,0.998,1,-0.108
"1642.MS00623",1,1,0,-0.739,-0.125,0.91,1,1,-0.828,1,1,-0.974,1,1,1,1,1,-1,1,-0.556,-0.055,-0.29,-0.427,0.191,-0.272,1,1,1,-0.972,1,-0.782,1,1,1,1,1,-0.998,1,-0.565,1
"1642.MS00517",1,1,-0.739,0,-0.982,0.347,1,1,-0.483,1,1,-0.816,1,1,1,1,1,-0.908,1,-0.483,0.143,-0.568,-0.657,-0.384,-0.934,1,1,0.291,-0.67,1,-1,1,0.0229999999999999,1,0.632,1,-0.732,1,-0.998,1
"1642.MS00514",1,1,-0.125,-0.982,0,0.497,1,1,-0.611,1,1,-0.353,1,1,1,1,1,-0.767,1,0.331,-0.013,-0.384,-0.531,-0.16,-0.979,1,1,0.214,-0.391,1,-1,1,-0.783,1,0.425,1,-0.247,1,-0.976,1
"1642.MS00357",1,1,0.91,0.347,0.497,0,1,1,0.697,1,1,-0.332,1,1,1,1,1,0.497,1,0.901,0.972,-0.574,0.509,-0.446,0.267,1,1,-1,0.878,1,0.004,1,-0.989,1,-0.75,1,0.914,1,0.0449999999999999,1
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",-1,0.99,1,1,1,1,0,-1,1,-1,-0.037,1,-1,0.982,0.931,-0.992,-0.992,1,0.884,1,1,1,1,1,1,0.998,0.944,1,1,-0.998,1,-1,1,0.974,1,-1,1,-0.998,1,0.966
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",-1,0.992,1,1,1,1,-1,0,1,-0.998,0.284,1,-1,0.99,1,-1,-0.994,1,0.989,1,1,1,1,1,1,1,0.988,1,1,-1,1,-1,1,1,1,-1,1,-0.994,1,0.978
"1642.MS00540",1,1,-0.828,-0.483,-0.611,0.697,1,1,0,1,1,-0.86,1,1,1,1,1,-1,1,0.268,-0.992,-0.804,-0.894,-0.14,-0.946,1,1,0.972,-0.816,1,-0.94,1,0.998,1,1,1,-0.879,1,-0.915,1
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",-0.992,0.99,1,1,1,1,-1,-0.998,1,0,0.776,1,-1,0.977,0.908,-1,-0.996,1,0.422,1,1,1,1,1,1,1,0.359,1,1,-1,1,-0.992,1,0.973,1,-1,1,-0.906,1,0.747
