"","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00422","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00461","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00540","1001.SKD7","1642.MS00636","1642.MS00574","1642.MS00514","1642.MS00623","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00501","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00369","1642.MS00517","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00521","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","1642.MS00522","1642.MS00419","1642.MS00418","1642.MS00498","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00491","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0,0.0312637278137,0.0213980665574,0.0205036337138,0.0829910875244,0.0413282985082,0.0852505092834,0.0899893011792,0.0237566374479,0.0376597628022,0.0949057019368,0.0707559068903,0.093363317195,0.0912318508874,0.0844002941942,0.0935426864006,0.0376151034101,0.0890032426478,0.0390532281684,0.0221682347405,0.0885139370067,0.0465603613425,0.0324914566484,0.0797756320156,0.0880647348322,0.0836177916232,0.0244589509403,0.0214435427629,0.0359908302636,0.0998771372505,0.0204691940551,0.0814613476004,0.0980976013384,0.0904120913217,0.087747719699,0.0866963937108,0.0410270850902,0.018447321027,0.0933843959621,0.0223469854014
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",0.0312637278137,0,0.0179469018809,0.0195327155447,0.109072161735,0.0670956890944,0.1047868686544,0.1174304567926,0.0263292133271,0.0572131057106,0.1275001044654,0.0603817266501,0.1215950278905,0.1231241074244,0.1072644066064,0.1233776003787,0.0580386897802,0.1147247954776,0.0690432553107,0.0222197175246,0.1134065904154,0.0608174788009,0.0585646375248,0.1009989991535,0.0931489404051,0.1098346738566,0.0332625806062,0.01787571591,0.0543385069327,0.1331958008513,0.0192911534589,0.0946756135966,0.1290961302543,0.1198904344009,0.1179994087861,0.1149326052554,0.0502944054717,0.0269757924744,0.1132852923243,0.0166800296993
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",0.0213980665574,0.0179469018809,0,0.0154933495663,0.1006039814202,0.0582665985793,0.0984632516203,0.1120829627396,0.0214635652331,0.0522070981537,0.1149115842371,0.0529521437006,0.1126848324487,0.1112332853934,0.0998558933817,0.111261372017,0.0497404569252,0.106945722284,0.0623082441378,0.0166411625327,0.1038421860533,0.0632211591692,0.0459735066776,0.0922070872351,0.0957162358341,0.0993341345871,0.0232015670248,0.0151096958006,0.0485639396332,0.1158147606507,0.016389911136,0.0911447673879,0.1132964844804,0.111250952527,0.1067946532254,0.1050112205186,0.0515769118829,0.0204961048076,0.1133249659151,0.0155944309856
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.0205036337138,0.0195327155447,0.0154933495663,0,0.0889634996013,0.0502229533908,0.0918303796763,0.0984430245944,0.0215512226693,0.0414779602604,0.1069688242144,0.06636324023,0.1012077572725,0.1012342741046,0.0909436863177,0.1015229377158,0.0401425868183,0.0961795664961,0.044703719933,0.0186916390281,0.0956253983004,0.0483193857906,0.0355490296824,0.0842665137325,0.0898732180136,0.0899563488611,0.0217178677025,0.0154676281595,0.0386176608057,0.1052999007514,0.0180812793858,0.0853869147428,0.1056952624973,0.0979917493415,0.0958254315173,0.094788084807,0.0438464621709,0.0191922610018,0.0984241197076,0.0173096788701
"1642.MS00422",0.0829910875244,0.109072161735,0.1006039814202,0.0889634996013,0,0.0786531007131,0.026198989861,0.0223893142017,0.0938208527203,0.0746005343803,0.023121885814,0.1359626104835,0.0238647667155,0.0203882241563,0.0207169020056,0.0217273576605,0.0802955170491,0.0204615112768,0.0801259418455,0.103083382995,0.0204991785611,0.0771983750044,0.0827012229403,0.0231210714807,0.0450997112247,0.0209261446509,0.0778467643822,0.0973782219626,0.0762732942528,0.0257778153079,0.0944853193812,0.0324322708783,0.0243571817519,0.0217664450481,0.0209966892481,0.0214369351802,0.0793052406994,0.085712629934,0.024017304409,0.1014116866386
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.0413282985082,0.0670956890944,0.0582665985793,0.0502229533908,0.0786531007131,0,0.0809827122194,0.0984093450973,0.0432182156309,0.0287099915135,0.0934076994866,0.1010464037094,0.0901710499149,0.0842016725224,0.0806263141215,0.0869629933761,0.0238322688902,0.0851647233266,0.028750904705,0.0561374728359,0.0866222587509,0.0218041459768,0.0328508255529,0.0802437329801,0.0956268751,0.0802485413665,0.033584842755,0.0559537649611,0.0298692093396,0.1038486764789,0.0520151406157,0.0815014916061,0.0989091343132,0.0860434007704,0.0860505266025,0.0869739250844,0.0384693004936,0.0386765602826,0.0882929281736,0.0558472226751
"1642.MS00360",0.0852505092834,0.1047868686544,0.0984632516203,0.0918303796763,0.026198989861,0.0809827122194,0,0.0320600118405,0.0934977884876,0.081661465112,0.0375481962897,0.1101632614832,0.0353437385484,0.0354122480171,0.0324854834891,0.0356919347697,0.0967895029907,0.0344309956449,0.0855123134463,0.1009675468483,0.0296817309738,0.1012030527002,0.0862004863006,0.0165987252467,0.0280540090548,0.0307873385055,0.0782354741534,0.092464219325,0.0790830469399,0.0378411131359,0.0963736421161,0.0184612946229,0.033782926769,0.0262065118584,0.0253044877134,0.0310422706703,0.0832823132627,0.0831340905795,0.0352230615491,0.0944137048481
"1642.MS00461",0.0899893011792,0.1174304567926,0.1120829627396,0.0984430245944,0.0223893142017,0.0984093450973,0.0320600118405,0,0.1047406278104,0.0858195804731,0.0247864358363,0.1465747368957,0.0283934209303,0.0247739873879,0.0215596699714,0.0272415655552,0.0968781207286,0.026753239486,0.0921500349168,0.1102113296083,0.0278307292369,0.0925281947386,0.0924111427275,0.0283926706353,0.0486667285293,0.0237662765501,0.0861062388498,0.1142101322679,0.0846420439888,0.0233738814218,0.107633843708,0.0373797073776,0.0301119709398,0.029727946082,0.0320601810335,0.0210684099863,0.0932529270708,0.0990774964875,0.0290786293058,0.1124580792147
"2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences",0.0237566374479,0.0263292133271,0.0214635652331,0.0215512226693,0.0938208527203,0.0432182156309,0.0934977884876,0.1047406278104,0,0.0372842884692,0.1081615681769,0.0608136063484,0.1080316351338,0.1041642407564,0.0925528215404,0.1090833604445,0.0437538420335,0.1024211965111,0.0494556911697,0.0247044963822,0.0992745837557,0.0506781115637,0.0459025675864,0.0880180487295,0.0912461586615,0.0938973013285,0.0238746352642,0.0239506712123,0.0317160216404,0.1113510921523,0.0159567428502,0.0886381681029,0.1092314477437,0.0996315532197,0.0975821617278,0.097448188257,0.0431053731123,0.0169326794777,0.1051247142813,0.0171805927633
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0376597628022,0.0572131057106,0.0522070981537,0.0414779602604,0.0746005343803,0.0287099915135,0.081661465112,0.0858195804731,0.0372842884692,0,0.0902935570201,0.0934165374409,0.0866425843731,0.0810921768357,0.0822127497582,0.0849779051826,0.0213483991679,0.0830175920701,0.025923840029,0.0536329456668,0.0862928191193,0.0256200366251,0.0278724464783,0.078271648357,0.0822039809525,0.0791109475387,0.032198711633,0.0507169776041,0.0201669111393,0.0982102516642,0.0416880855033,0.0793212322079,0.096858625346,0.0857745553226,0.08736543433,0.0842185502867,0.0258081128171,0.0345482819102,0.0807514945585,0.0471550080885
