"","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00422","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00461","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00540","1001.SKD7","1642.MS00636","1642.MS00574","1642.MS00514","1642.MS00623","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00501","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00369","1642.MS00517","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00521","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","1642.MS00522","1642.MS00419","1642.MS00418","1642.MS00498","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00491","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",NA,-5.50433682354959,-5.62220801219354,-5.024189245835,-0.522323451049842,-5.84620725575771,-1.54274280768721,0.374883909110757,-7.82381550705642,-7.66137168589612,0.930183432423599,-6.03048638758332,0.967571088204744,0.149156749327901,-0.497770878817334,1.43870570432057,-6.86531385714954,0.682109746450561,-6.0078644208485,-6.7324168339933,-0.282761773857087,-4.81759018297281,-5.58743021171748,-1.63211631352332,-1.66441466228922,-0.894461059799976,-3.66828618257483,-5.41996363664047,-8.2107838778547,1.82560554983608,-7.35603109446303,-1.48507356035416,1.50555815372142,0.778272969874087,0.812712556458599,-0.359830294214008,-7.44498998514091,-6.64442897899627,1.22090097794676,-6.28892190474414
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",-5.50433682354959,NA,-5.62199016658943,-6.68493926918243,0.639896622301128,-3.93571249231692,-0.757092282338445,1.01094248834354,-5.71153698263179,-4.96669703419342,2.4161999271713,-5.62035023524941,1.76667815497127,2.08069628306124,-0.32408800397463,1.94579224940569,-4.5973392760185,1.24631305467383,-3.83324277144318,-5.10177151369369,0.215535247939137,-4.10437357174548,-3.32921173032084,-0.701690827714201,-2.4788103233339,0.000818682583210345,-3.91309004093612,-5.57844986316857,-5.57478887117042,2.7424997663245,-6.86727400706293,-1.55479843365701,1.91506961401091,1.21810553597059,1.3054040522277,0.57188592911722,-5.65430418343389,-5.91721131876422,1.00485169524305,-7.47798580081133
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",-5.62220801219354,-5.62199016658943,NA,-5.92779992242246,-0.138556395170258,-3.63044853162503,-1.19924926005415,0.893517615387661,-6.18251925017825,-5.13462084748204,0.857982644612774,-5.36901033848633,0.937538015605676,0.737195146396085,-0.506579457293402,0.72855272156783,-5.13631227273711,0.456568027872012,-2.91801912609734,-6.38144377244863,-0.315106164194602,-3.05638795008334,-4.0363028325063,-1.30307794543703,-2.11622492019834,-0.607832801883737,-3.02127423837067,-5.63870302090187,-6.57714417015024,1.04838763891783,-5.05340693868924,-1.58790860988055,0.673948639515882,0.552150449331737,0.384565551760061,0.00412581203092772,-3.88939711076189,-6.38795099871004,1.10537939861657,-6.62762038471743
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",-5.024189245835,-6.68493926918243,-5.92779992242246,NA,-0.243013396240479,-3.70043534234641,-1.02247337732786,0.57566351064342,-7.21009964963935,-5.19496709837299,1.2958697942715,-5.05554856524367,0.918872518707929,0.847993074436405,-0.50503485386108,0.993313348939185,-5.72755021218059,0.487457300429772,-3.87285245680168,-6.55584608850405,-0.146228626253624,-3.46611954931554,-3.85744245866306,-1.25782343851603,-2.10067162808052,-0.576955046176565,-3.33655561800955,-5.49642478890016,-7.89448324911104,1.14688540888159,-6.07038864435986,-1.42445628604427,1.02859079595137,0.358453295887653,0.410235798125819,-0.00103186417110613,-4.47745688829442,-6.32530593095842,0.916909358094748,-6.54893727012855
"1642.MS00422",-0.522323451049842,0.639896622301128,-0.138556395170258,-0.243013396240479,NA,3.82266624017315,-3.10535088798589,-3.27900707812512,1.52228637930696,3.42618715581597,-3.33387101967257,0.490979463147756,-2.91645617958616,-3.71558819306555,-5.03687946523006,-3.18377431780193,4.66711040995515,-6.28327233837919,4.56461073754633,-0.356883060284163,-4.91424417886759,3.59098930840461,3.89125528245245,-3.24459586340788,-3.61698354209791,-5.59238551570194,-0.645326013781146,-0.292513063675485,4.14110598897042,-3.51581378779129,1.08271057199715,-2.62097277947836,-3.38307338593227,-5.06605834112651,-3.62029160673946,-4.6336961618558,2.8575353854843,0.381957117193818,-2.90784530706085,0.0995939102885554
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",-5.84620725575771,-3.93571249231692,-3.63044853162503,-3.70043534234641,3.82266624017315,NA,0.669402390191556,7.27857200814428,-4.42800018617408,-8.34900741898836,6.15439870341931,-3.93929397670427,5.75548680811518,4.6967374576043,3.95793576319727,5.71387317446248,-8.48546465433385,4.91235649075135,-6.24984479236638,-4.05609002259439,5.17965024680315,-9.08712093596412,-5.24394259963773,1.15240091103074,1.32389360885527,3.44979695572995,-4.86219243245373,-5.76141220657992,-8.42863565018559,8.28988721058798,-3.44923555846518,1.11046505406221,8.18538671000305,3.65450933521649,4.7021248597603,4.23734019182871,-6.65780385508607,-4.07794705355139,5.95737563021326,-4.0077568266007
"1642.MS00360",-1.54274280768721,-0.757092282338445,-1.19924926005415,-1.02247337732786,-3.10535088798589,0.669402390191556,NA,-3.68300070176161,-0.215382949309798,0.228095498529037,-1.96352683758105,-2.50606730502998,-2.31797803973613,-2.64542673745699,-2.34685453540903,-3.33520127903661,2.69354371392285,-3.10249719279822,0.827634278538057,-1.41815393100818,-3.24042303596774,4.09431630700676,0.917871643664442,-5.26232487379601,-4.81947142458193,-3.75033550357396,-1.11711884241118,-1.74574279917124,-0.106180442252029,-3.14031541195629,-0.18230195567343,-3.72989910480984,-2.50029249935908,-2.96913318009832,-2.65057196320241,-3.51639753311954,0.00409816185321573,-1.563612887985,-2.95196993390424,-1.50988941121331
"1642.MS00461",0.374883909110757,1.01094248834354,0.893517615387661,0.57566351064342,-3.27900707812512,7.27857200814428,-3.68300070176161,NA,3.19046837948956,3.3807564352525,-1.51515313251586,1.46236023792002,-1.9676730142013,-2.08256894071514,-3.76795073002112,-0.75764200015708,5.30993024538604,-1.88444578104378,4.7237101421382,0.147667035214886,1.40635338071525,4.85761698204133,3.93444287553281,-4.12843947639226,-3.60034535158807,-1.84930962932865,1.40665155327137,1.75388695770386,3.33504398066179,-1.67289357191879,2.80384795510811,-3.20470178173161,1.19593531671051,-2.31186300866905,1.57102249406248,-2.44863548863219,3.85380480682159,1.79212236387759,-2.65903186893509,1.01066792094286
"2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences",-7.82381550705642,-5.71153698263179,-6.18251925017825,-7.21009964963935,1.52228637930696,-4.42800018617408,-0.215382949309798,3.19046837948956,NA,-3.93446296385479,3.05158654021017,-5.66279734784976,3.33690726940096,2.81001848151962,0.0735683089613165,3.68363606869,-1.8731042728601,2.88470516260068,-3.58329894143554,-7.12119595011126,1.00880522886753,-2.96011275078055,-2.43222018788471,-0.197268564535455,-1.3268253304614,0.490512113417086,-3.05791816709781,-6.90209634811637,-4.42279106046093,3.49698705931392,-6.17003939316909,-0.900337472890439,2.63732764367137,1.54425374458374,2.57929951200001,1.20652113124523,-4.34052071340716,-5.56952201931762,2.72303741913903,-6.62882670416526
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",-7.66137168589612,-4.96669703419342,-5.13462084748204,-5.19496709837299,3.42618715581597,-8.34900741898836,0.228095498529037,3.3807564352525,-3.93446296385479,NA,5.93262200804158,-3.91506404733325,5.92372270812748,4.58191905795203,0.549537503157786,6.45754855147398,-8.97333946457427,5.7106118306565,-6.92395157829208,-5.72771071364609,1.95678132017602,-9.86665579069051,-6.59986276236295,0.551833126118128,-1.2295864374713,0.971042083306053,-4.88447802430136,-6.43883078379882,-7.3760347250859,7.39152487321636,-3.71987472175666,-0.565007796582354,5.35686169912347,4.10060335364672,6.8647719838937,2.12649610568452,-10.4102592937209,-4.26797291063883,3.81932219433199,-4.22449294900234
