"","1642.MS00406","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00547","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00388","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00624","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00452","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00512","1642.MS00453","1642.MS00473","1642.MS00605","1642.MS00386","1642.MS00590","1642.MS00603","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00639","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00610","1642.MS00418","1642.MS00461","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00462","1642.MS00431","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.752.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00469","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00439","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00406",0,0.8934,0.5424,0.9446,0.582,0.628,0.9,0.8968,0.5796,0.9316,0.9078,0.5592,0.9154,0.487,0.5706,0.5418,0.5916,0.5194,0.5562,0.5884,0.9244,0.6078,0.9048,0.9388,0.574,0.5436,0.5234,0.9008,0.5344,0.5354,0.505,0.8954,0.9176,0.5446,0.9588,0.5032,0.8774,0.545,0.5686,0.8502
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8934,0,0.8918,0.9322,0.9038,0.9302,0.4472,0.6014,0.8742,0.854,0.5998,0.8828,0.65,0.9042,0.8932,0.8758,0.8964,0.8944,0.9124,0.879,0.7622,0.8856,0.5424,0.8476,0.8778,0.8904,0.9066,0.6322,0.9202,0.8684,0.898,0.526,0.6054,0.9084,0.9144,0.9046,0.6574,0.8976,0.8968,0.8234
"1642.MS00547",0.5424,0.8918,0,0.9578,0.634,0.6686,0.8994,0.9006,0.5086,0.9332,0.9102,0.5084,0.9094,0.541,0.5156,0.4598,0.5354,0.6068,0.552,0.5186,0.9308,0.54,0.8964,0.9414,0.5042,0.54,0.5502,0.8992,0.5194,0.4988,0.5558,0.8924,0.9148,0.5432,0.9628,0.5508,0.8798,0.5382,0.5594,0.9124
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.9446,0.9322,0.9578,0,0.9562,0.9434,0.9278,0.9306,0.96,0.6948,0.9392,0.9602,0.9378,0.9512,0.959,0.959,0.9686,0.9492,0.9438,0.9586,0.6564,0.9602,0.931,0.825,0.9628,0.961,0.954,0.94,0.9478,0.9526,0.9576,0.943,0.9488,0.9626,0.8666,0.9674,0.938,0.9646,0.9604,0.7458
"1642.MS00357",0.582,0.9038,0.634,0.9562,0,0.5816,0.9074,0.9048,0.654,0.9408,0.9188,0.6106,0.9244,0.6306,0.6308,0.626,0.6514,0.5696,0.6716,0.6602,0.9266,0.678,0.91,0.9484,0.6512,0.5586,0.6254,0.9152,0.6284,0.6138,0.5768,0.9082,0.9264,0.628,0.9688,0.6368,0.8998,0.5834,0.5932,0.8956
"1642.MS00388",0.628,0.9302,0.6686,0.9434,0.5816,0,0.9352,0.9342,0.687,0.9316,0.94,0.653,0.9436,0.6536,0.6684,0.6354,0.6828,0.5834,0.683,0.691,0.9192,0.6854,0.9378,0.9442,0.6802,0.5918,0.656,0.9358,0.6198,0.6538,0.5778,0.9318,0.9438,0.6198,0.9652,0.638,0.9188,0.5626,0.6078,0.874
"2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9,0.4472,0.8994,0.9278,0.9074,0.9352,0,0.5872,0.877,0.838,0.5646,0.8916,0.602,0.9104,0.8952,0.8832,0.9024,0.9068,0.9216,0.889,0.7484,0.8926,0.529,0.8192,0.878,0.897,0.9118,0.6272,0.9216,0.8714,0.9026,0.5288,0.5994,0.9148,0.905,0.9132,0.68,0.9022,0.9036,0.7962
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8968,0.6014,0.9006,0.9306,0.9048,0.9342,0.5872,0,0.8832,0.8374,0.6588,0.8834,0.6208,0.9028,0.8934,0.8854,0.8974,0.9036,0.9212,0.8846,0.7264,0.8864,0.6364,0.8536,0.8832,0.8974,0.9118,0.7248,0.928,0.8746,0.9032,0.6452,0.7416,0.9172,0.8924,0.9088,0.7726,0.9094,0.9062,0.8022
"1642.MS00624",0.5796,0.8742,0.5086,0.96,0.654,0.687,0.877,0.8832,0,0.9338,0.8888,0.5338,0.8882,0.6,0.5244,0.47,0.532,0.6398,0.6168,0.4928,0.9228,0.534,0.8808,0.9336,0.4822,0.5708,0.6126,0.8734,0.5946,0.4954,0.5686,0.87,0.8992,0.6056,0.9622,0.596,0.852,0.5504,0.5876,0.9158
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.9316,0.854,0.9332,0.6948,0.9408,0.9316,0.838,0.8374,0.9338,0,0.8574,0.9366,0.844,0.9404,0.937,0.9342,0.9436,0.934,0.9424,0.935,0.7116,0.937,0.8504,0.5316,0.9384,0.9392,0.9394,0.8718,0.9456,0.924,0.9414,0.8636,0.8732,0.946,0.5978,0.947,0.891,0.9428,0.9452,0.575
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.9078,0.5998,0.9102,0.9392,0.9188,0.94,0.5646,0.6588,0.8888,0.8574,0,0.8996,0.5778,0.9192,0.9034,0.8946,0.9154,0.9194,0.927,0.9022,0.799,0.9042,0.5926,0.8342,0.8974,0.9046,0.9214,0.648,0.9302,0.8886,0.9086,0.4914,0.6454,0.9194,0.9164,0.9228,0.7548,0.9058,0.9104,0.7724
"1642.MS00452",0.5592,0.8828,0.5084,0.9602,0.6106,0.653,0.8916,0.8834,0.5338,0.9366,0.8996,0,0.9008,0.571,0.472,0.4796,0.513,0.594,0.6226,0.48,0.925,0.4994,0.8918,0.9444,0.4874,0.516,0.5658,0.8878,0.5924,0.4754,0.541,0.8796,0.9112,0.5702,0.9644,0.5784,0.8588,0.5376,0.5316,0.9258
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9154,0.65,0.9094,0.9378,0.9244,0.9436,0.602,0.6208,0.8882,0.844,0.5778,0.9008,0,0.921,0.9066,0.8988,0.911,0.9206,0.9338,0.8984,0.7768,0.9,0.6044,0.8576,0.8958,0.9104,0.9226,0.6584,0.933,0.8908,0.9178,0.6192,0.6924,0.9278,0.917,0.921,0.778,0.9164,0.9182,0.7884
"1642.MS00512",0.487,0.9042,0.541,0.9512,0.6306,0.6536,0.9104,0.9028,0.6,0.9404,0.9192,0.571,0.921,0,0.5588,0.5652,0.589,0.558,0.5134,0.5892,0.9272,0.6138,0.909,0.9492,0.591,0.5796,0.4898,0.9138,0.5282,0.5618,0.5242,0.905,0.922,0.4856,0.967,0.4728,0.8912,0.568,0.5946,0.8508
"1642.MS00453",0.5706,0.8932,0.5156,0.959,0.6308,0.6684,0.8952,0.8934,0.5244,0.937,0.9034,0.472,0.9066,0.5588,0,0.484,0.523,0.6078,0.607,0.4774,0.9246,0.5236,0.8932,0.9422,0.4858,0.5158,0.5704,0.895,0.5832,0.4738,0.531,0.8834,0.913,0.5698,0.9656,0.5852,0.871,0.5202,0.5394,0.9302
"1642.MS00473",0.5418,0.8758,0.4598,0.959,0.626,0.6354,0.8832,0.8854,0.47,0.9342,0.8946,0.4796,0.8988,0.5652,0.484,0,0.5326,0.5942,0.5726,0.4648,0.919,0.5082,0.8854,0.9382,0.4712,0.5148,0.5678,0.8802,0.5442,0.4654,0.4984,0.8738,0.9026,0.543,0.9652,0.5532,0.8504,0.4648,0.5522,0.9074
"1642.MS00605",0.5916,0.8964,0.5354,0.9686,0.6514,0.6828,0.9024,0.8974,0.532,0.9436,0.9154,0.513,0.911,0.589,0.523,0.5326,0,0.6336,0.5732,0.502,0.9328,0.5036,0.903,0.9492,0.4888,0.562,0.5654,0.9046,0.6076,0.5162,0.5814,0.897,0.9228,0.5734,0.9688,0.5886,0.887,0.5934,0.5638,0.936
"1642.MS00386",0.5194,0.8944,0.6068,0.9492,0.5696,0.5834,0.9068,0.9036,0.6398,0.934,0.9194,0.594,0.9206,0.558,0.6078,0.5942,0.6336,0,0.6124,0.643,0.925,0.6474,0.9088,0.9514,0.6222,0.5404,0.5788,0.9106,0.5746,0.5916,0.4468,0.9072,0.9256,0.5724,0.9708,0.4742,0.8856,0.5414,0.5814,0.8414
"1642.MS00590",0.5562,0.9124,0.552,0.9438,0.6716,0.683,0.9216,0.9212,0.6168,0.9424,0.927,0.6226,0.9338,0.5134,0.607,0.5726,0.5732,0.6124,0,0.6162,0.932,0.6248,0.9226,0.9466,0.5924,0.5836,0.4994,0.928,0.4812,0.5914,0.591,0.9224,0.9328,0.5244,0.9646,0.52,0.9044,0.603,0.6144,0.899
