"","1642.MS00406","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00547","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00388","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00624","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00452","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00512","1642.MS00453","1642.MS00473","1642.MS00605","1642.MS00386","1642.MS00590","1642.MS00603","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00639","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00610","1642.MS00418","1642.MS00461","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00462","1642.MS00431","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.752.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00469","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00439","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00406",0,1,-0.767,1,-0.348,0.521,1,1,-0.027,1,1,-0.53,1,-1,-0.396,-0.727,0.184,-0.988,-0.726,0.23,1,0.433,1,1,-0.115,-0.733,-0.924,1,-0.886,-0.793,-0.992,1,1,-0.794,1,-0.998,1,-0.713,-0.276,1
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0,1,1,1,1,-1,-0.525,1,1,-0.583,1,0.445,1,1,1,1,1,1,1,0.998,1,-0.968,0.974,1,1,1,-0.248,1,1,1,-0.998,-0.886,1,0.99,1,0.028,1,1,1
"1642.MS00547",-0.767,1,0,1,0.764,0.982,1,1,-0.939,1,1,-0.969,1,-0.782,-0.937,-1,-0.747,0.19,-0.775,-0.866,1,-0.742,1,1,-0.972,-0.698,-0.613,1,-0.945,-0.978,-0.629,1,1,-0.763,1,-0.78,1,-0.746,-0.312,1
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,0,1,1,0.994,0.998,1,-0.992,1,1,1,1,1,1,1,1,1,1,-1,1,0.998,-0.526,1,1,1,1,1,1,1,1,1,1,-0.111,1,1,1,1,-0.934
"1642.MS00357",-0.348,1,0.764,1,0,-0.424,1,1,0.958,1,1,0.275,1,0.59,0.702,0.69,0.94,-0.617,0.936,0.983,1,0.99,1,1,0.936,-0.617,0.612,1,0.617,0.538,-0.444,1,1,0.611,1,0.612,1,-0.246,0.0840000000000001,1
"1642.MS00388",0.521,1,0.982,1,-0.424,0,1,1,1,1,1,0.898,1,0.872,0.969,0.748,0.996,-0.454,0.965,0.996,1,0.992,1,1,0.994,-0.074,0.912,1,0.454,0.945,-0.423,1,1,0.369,1,0.585,1,-0.58,0.299,1
"2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-1,1,0.994,1,1,0,-0.718,1,0.996,-0.909,1,-0.487,1,1,1,1,1,1,1,0.981,1,-0.992,0.705,1,1,1,-0.404,1,1,1,-0.991,-0.935,1,0.972,1,0.506,1,1,0.992
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.525,1,0.998,1,1,-0.718,0,1,0.99,0.472,1,-0.0669999999999999,1,1,1,1,1,1,1,0.93,1,0.307,0.97,1,1,1,0.988,1,1,1,0.333,0.948,1,0.896,1,1,1,1,1
"1642.MS00624",-0.027,1,-0.939,1,0.958,1,1,1,0,1,1,-0.723,1,0.428,-0.838,-1,-0.654,0.868,0.499,-0.966,1,-0.679,1,1,-0.982,0.132,0.769,1,0.413,-0.952,-0.25,1,1,0.583,1,0.0920000000000001,1,-0.372,0.503,1
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,-0.992,1,1,0.996,0.99,1,0,1,1,0.998,1,1,1,1,1,1,1,-0.674,1,0.998,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1
