"","1642.MS00418","1642.MS00462","1642.MS00503","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.752.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00512","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00639","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00547","1642.MS00605","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00610","1642.MS00386","1642.MS00406","1642.MS00624","1642.MS00388","1642.MS00469","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00431","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00590","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00357","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00603","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00453","1642.MS00439","1642.MS00452","1642.MS00473","1642.MS00461"
"1642.MS00418",0,0.0213330549727,0.0203094315275,0.1140267984304,0.0932189479063,0.0835032858514,0.0816543829058,0.0926252704585,0.0219473758835,0.0866781142972,0.0250748125013,0.0854909727618,0.0217469539885,0.0229349946757,0.0809541288089,0.0230748581912,0.0185159286729,0.0201580428428,0.0254336947337,0.0222490235232,0.0217033692337,0.0812832449515,0.0170141231921,0.0926673010333,0.0204025183942,0.0842983246808,0.0792496740934,0.0241881749068,0.0785146341616,0.0201950468033,0.0860722710631,0.0809369693647,0.0247093947074,0.0864728974466,0.0184097683222,0.0221482223778,0.0187611093199,0.0214973861263,0.0204750321529,0.0227864140156
"1642.MS00462",0.0213330549727,0,0.0205805380801,0.1143098262715,0.0933382197335,0.0807121918055,0.0805810322509,0.0909210541435,0.0208673380545,0.0813480769829,0.0220683742378,0.0786631393483,0.02095204353,0.0236439979868,0.077488518139,0.0202692501822,0.021667931468,0.0198784397383,0.0213870461376,0.0294186222251,0.022160210277,0.0754987907651,0.0200856132653,0.0967822355464,0.0217129678486,0.0839438942759,0.0751103009179,0.0257222004227,0.07713076542,0.0266808344608,0.0803456237885,0.0773535928822,0.0212746632546,0.0823836616028,0.0211442785673,0.0201118021166,0.0236631362068,0.0204235973514,0.0192187919399,0.0227423907328
"1642.MS00503",0.0203094315275,0.0205805380801,0,0.1043391332152,0.0854504117574,0.079896600442,0.0741422953453,0.0839672466696,0.0171271812537,0.0810328360441,0.0214110868775,0.0812985896414,0.019316010215,0.0224983420009,0.0752740556521,0.0214012538392,0.0192765032117,0.0193419348106,0.0234738259524,0.0291888115049,0.0190448131687,0.0731991190234,0.0191486329706,0.0807994955647,0.019228821247,0.0788931938996,0.0744291583515,0.0191173081315,0.0766558580372,0.0263728570002,0.0794761120026,0.0774084335043,0.0221099980152,0.0991827708951,0.0219083564707,0.0206847970798,0.0214909951693,0.0204725710434,0.0192627771958,0.0191385074206
"2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences",0.1140267984304,0.1143098262715,0.1043391332152,0,0.0172628122739,0.0592358285468,0.0245153610195,0.014392847779,0.103139525563,0.052415624626,0.1106180626805,0.0651337492377,0.1106239260011,0.1163797789937,0.0523984657248,0.1099540573704,0.0979245950207,0.0956063764697,0.1161299186298,0.1043244147787,0.1134500526748,0.0730357100194,0.0969202179128,0.0228011937885,0.1167068296921,0.0313633780146,0.0546306958486,0.1191854099007,0.0533560961985,0.0966963395896,0.0456805603538,0.0518329843744,0.11673611911,0.0584292556226,0.1072736718568,0.1068492082552,0.1121367955087,0.099897920017,0.1055876807203,0.1104700140863
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.0932189479063,0.0933382197335,0.0854504117574,0.0172628122739,0,0.0428934706517,0.0203130532051,0.0167071231644,0.0873386345096,0.033648916818,0.0921889485289,0.0491452870339,0.0928361669473,0.1038751405774,0.0415662583205,0.093826330378,0.0821776391369,0.0807197860279,0.0986137671418,0.0896774454773,0.0947618356462,0.0501658050031,0.0809278215865,0.0208522614017,0.0955449179741,0.0211833553954,0.0434228217661,0.0977090778274,0.0402912627386,0.0825460503325,0.037716253096,0.0350709010546,0.098164946148,0.0373372324217,0.0877711738409,0.0882811007298,0.0925138562179,0.0844591386817,0.0862883365332,0.0903072584877
"2382.HE003.C181.HA.1.752.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0835032858514,0.0807121918055,0.079896600442,0.0592358285468,0.0428934706517,0,0.0363451391709,0.0403964214877,0.0806366568278,0.0349530043085,0.0824477258002,0.033133686776,0.0815757494568,0.0916229954475,0.0286658147845,0.0814490615045,0.0785727257781,0.0796603524205,0.0807331636711,0.0842811133028,0.086069816164,0.0294927281449,0.0717251091537,0.0522999372663,0.0886599128589,0.0356683851428,0.0284258108371,0.0953105598677,0.0241018637964,0.0806946999387,0.0357832478034,0.0236441207273,0.0843809643649,0.0261379884643,0.0759428396687,0.0827579654101,0.0850390997563,0.0814514807194,0.0746153314128,0.0878119705526
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",0.0816543829058,0.0805810322509,0.0741422953453,0.0245153610195,0.0203130532051,0.0363451391709,0,0.01950032499,0.0776450029859,0.0282866282766,0.0793803564302,0.0435814070264,0.0802054060843,0.0905845749118,0.0282796427881,0.0811859930941,0.0712239511405,0.0716824756809,0.0855159783114,0.07996161533,0.0840676072687,0.0423976236228,0.0685267441368,0.0294242284977,0.0839968601326,0.0209295272577,0.0312715162076,0.0879227779171,0.03387277559,0.0732065756843,0.0306134103544,0.0287287766296,0.0849392447757,0.044601017083,0.0757936517453,0.0775482071829,0.082183618776,0.0756270929788,0.0751687986196,0.0803433311975
"2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences",0.0926252704585,0.0909210541435,0.0839672466696,0.014392847779,0.0167071231644,0.0403964214877,0.01950032499,0,0.0849095916257,0.0397730233867,0.0905581632118,0.0478411492961,0.0901016589528,0.1007018149738,0.0360073792261,0.090100330038,0.0818925837714,0.0791661177459,0.0945917800488,0.0902019212625,0.0915282338152,0.0472692475599,0.0786912523351,0.0258585547927,0.096036054873,0.0278304387045,0.0385492720083,0.098201844077,0.0383264705728,0.0822538214814,0.0359920413187,0.0369670736309,0.0954577093035,0.0417918087845,0.0858828967965,0.0868150993156,0.093422881464,0.0840633742649,0.0847130959745,0.0901159269936
"1642.MS00512",0.0219473758835,0.0208673380545,0.0171271812537,0.103139525563,0.0873386345096,0.0806366568278,0.0776450029859,0.0849095916257,0,0.0825851732793,0.0217289232063,0.0827826050344,0.0202206379918,0.0230490658254,0.0797793306557,0.0224886625316,0.0200265256669,0.0192423432916,0.0236169355539,0.0280087149957,0.0180511484921,0.0758274957099,0.0193564652764,0.0855210546871,0.0190808526774,0.0794463246342,0.0762596084676,0.0214166733993,0.0805629922536,0.026205476632,0.0807206568017,0.0802813381923,0.0234200867635,0.093026451049,0.0217734352677,0.0199691819345,0.0237888559782,0.0208431889983,0.0208372471476,0.018777500473
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0866781142972,0.0813480769829,0.0810328360441,0.052415624626,0.033648916818,0.0349530043085,0.0282866282766,0.0397730233867,0.0825851732793,0,0.0819292469515,0.0260797244453,0.0833082114707,0.090550804971,0.0228081677196,0.083852911766,0.0784702798488,0.0804325551562,0.0803474695598,0.0868015966165,0.0877331900545,0.0430974584786,0.0735029806223,0.0549958125421,0.0889269647979,0.029333924237,0.024613642184,0.0965584757512,0.0270327803092,0.08008132332,0.0290176944645,0.0229380950707,0.0854019539612,0.0225582453132,0.0796835678683,0.0838464160705,0.0864432140941,0.0817333509959,0.0772923303882,0.0856329468086
"1642.MS00639",0.0250748125013,0.0220683742378,0.0214110868775,0.1106180626805,0.0921889485289,0.0824477258002,0.0793803564302,0.0905581632118,0.0217289232063,0.0819292469515,0,0.0794744296384,0.0218873655959,0.0212756274965,0.0787167221608,0.0215376743139,0.0243719198503,0.0247256385036,0.024641226701,0.0340383772207,0.0229030467776,0.0761888620672,0.021196222187,0.0929284634047,0.0244012421999,0.0842675455845,0.0760765818732,0.0256290796461,0.077910041962,0.0312533568479,0.0815062087106,0.0798169162944,0.0222928911824,0.084128290572,0.0225364026239,0.0228236166194,0.0259656530561,0.0220873857866,0.0207868602393,0.023551994093
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0854909727618,0.0786631393483,0.0812985896414,0.0651337492377,0.0491452870339,0.033133686776,0.0435814070264,0.0478411492961,0.0827826050344,0.0260797244453,0.0794744296384,0,0.0816768966711,0.0893804907036,0.0251848594931,0.0815361904105,0.078287408259,0.0788110241061,0.0775552989357,0.0863066982955,0.0886545764524,0.0311843329329,0.0732298901232,0.0674405629129,0.0883900183589,0.0426986618782,0.0246843608357,0.0962964209489,0.0240597874795,0.0792614370124,0.0353527079243,0.0242101375018,0.0829948639713,0.026125918804,0.0756698499293,0.0809667831308,0.0842060530862,0.0791917693115,0.0735198846085,0.0863996702628
"1642.MS00547",0.0217469539885,0.02095204353,0.019316010215,0.1106239260011,0.0928361669473,0.0815757494568,0.0802054060843,0.0901016589528,0.0202206379918,0.0833082114707,0.0218873655959,0.0816768966711,0,0.0216971755683,0.0787643766922,0.0209089341902,0.023162221219,0.0212902253432,0.0223423154518,0.0320013869069,0.0212373002556,0.0766694194142,0.0199330325992,0.0878533968939,0.0204865205533,0.0837416859065,0.0782524644854,0.0221015205368,0.0802443997015,0.0289887867271,0.0835494028464,0.0813137892124,0.0219895773645,0.0867088532396,0.0216589894982,0.0210810869577,0.0231887747055,0.0204090210853,0.0182556739027,0.0226870516252
"1642.MS00605",0.0229349946757,0.0236439979868,0.0224983420009,0.1163797789937,0.1038751405774,0.0916229954475,0.0905845749118,0.1007018149738,0.0230490658254,0.090550804971,0.0212756274965,0.0893804907036,0.0216971755683,0,0.0859850281308,0.023235009613,0.0226725419761,0.0228416548316,0.0259529857086,0.0320076902809,0.0248831779171,0.0866845233692,0.0224964050008,0.103406238557,0.0235522188275,0.0928381263058,0.0841855212861,0.0238440536905,0.0864393422443,0.0294520414508,0.089212997773,0.0870363922935,0.0231262822042,0.0916186841732,0.0262720670895,0.0229757702955,0.024333048014,0.0229513446578,0.0222910855394,0.024774792165
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.0809541288089,0.077488518139,0.0752740556521,0.0523984657248,0.0415662583205,0.0286658147845,0.0282796427881,0.0360073792261,0.0797793306557,0.0228081677196,0.0787167221608,0.0251848594931,0.0787643766922,0.0859850281308,0,0.0787623992527,0.0737531354981,0.0755776414796,0.0779249578965,0.0810639547371,0.0858258661506,0.0387262903106,0.0686920253378,0.0535548950746,0.0850276958402,0.0333601990402,0.0173262883445,0.0896047000276,0.0248325417532,0.0765991369281,0.0295626159016,0.0220809882891,0.0820597564565,0.0242871724584,0.0733584186601,0.0799337720434,0.0811430665831,0.0779132967475,0.0721573118032,0.0814845044967
"1642.MS00610",0.0230748581912,0.0202692501822,0.0214012538392,0.1099540573704,0.093826330378,0.0814490615045,0.0811859930941,0.090100330038,0.0224886625316,0.083852911766,0.0215376743139,0.0815361904105,0.0209089341902,0.023235009613,0.0787623992527,0,0.0244230654057,0.0235604587337,0.022248626815,0.0345515106387,0.0236524274399,0.0783682854328,0.021496821926,0.0938302450538,0.0237096083534,0.0855041507327,0.077142100514,0.0249550569532,0.0786624705308,0.0309631059977,0.0811402524332,0.0786315635066,0.0197745245612,0.0821793939053,0.0226069012489,0.0217452091282,0.0258461131457,0.0230378542179,0.0212096367922,0.0241415226301
"1642.MS00386",0.0185159286729,0.021667931468,0.0192765032117,0.0979245950207,0.0821776391369,0.0785727257781,0.0712239511405,0.0818925837714,0.0200265256669,0.0784702798488,0.0243719198503,0.078287408259,0.023162221219,0.0226725419761,0.0737531354981,0.0244230654057,0,0.0184564401293,0.0274492100092,0.0202744363115,0.0216368711169,0.0713052098965,0.018135328796,0.0772807660324,0.0212712550341,0.0734213797396,0.0708013098605,0.0252220919221,0.0710162557969,0.019359964942,0.0735434195141,0.0747289729191,0.0268176448734,0.0921141879227,0.0207304347105,0.0220779842016,0.0208474589198,0.0216614888085,0.0218390725326,0.0228796698814
"1642.MS00406",0.0201580428428,0.0198784397383,0.0193419348106,0.0956063764697,0.0807197860279,0.0796603524205,0.0716824756809,0.0791661177459,0.0192423432916,0.0804325551562,0.0247256385036,0.0788110241061,0.0212902253432,0.0228416548316,0.0755776414796,0.0235604587337,0.0184564401293,0,0.024982117528,0.0238557765076,0.0207131163028,0.071507470364,0.0188164847174,0.0819810203673,0.0209115390758,0.0761079150271,0.0727067241778,0.0228628707734,0.0736351433795,0.0215544083392,0.0745561552609,0.0746915076198,0.0258441672885,0.0868761910673,0.02106642375,0.022885659716,0.0215307455622,0.0199206600782,0.021370687185,0.0206036367253
