"","1642.MS00418","1642.MS00462","1642.MS00503","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.752.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00512","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00639","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00547","1642.MS00605","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00610","1642.MS00386","1642.MS00406","1642.MS00624","1642.MS00388","1642.MS00469","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00431","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00590","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00357","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00603","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00453","1642.MS00439","1642.MS00452","1642.MS00473","1642.MS00461"
"1642.MS00418",NA,-4.59691673399905,-3.91466509332353,0.481404579100452,1.00992080659569,4.51890482839453,1.61856165441881,0.413387049555167,-5.15312526211515,7.72263166536599,-4.13491598613618,5.0373837737257,-2.30417991372303,-3.67187806493639,5.05280385272384,-3.71113095237793,-4.87308300679024,-4.55327148931394,-2.82746651173175,-3.13057530895542,-3.12656690951618,5.99205760295151,-4.41056822247903,-0.756438731823669,-4.10566377964721,4.6891750193323,5.99500798359811,-4.69553461240259,5.59064866064925,-3.59110240424135,6.74323874857913,5.43823447218259,-1.78526508512541,8.25492522859952,-5.04690074751517,-3.13999062425655,-4.96713536154554,-4.1086320149622,-4.59530052029434,-3.37016373206504
"1642.MS00462",-4.59691673399905,NA,-4.54971683835524,0.732894299191151,1.22969621414229,2.940185032562,0.563499836008397,0.274894160840073,-5.66022859710353,6.75501997561205,-4.46881657354029,4.3112942710016,-1.74240770212521,-2.17166799919188,3.95149643934029,-2.9571554912569,-5.18540969398487,-5.20745013248371,-2.73176935766072,-1.58904129536072,-3.77803619017667,5.46363484532225,-5.13488134603481,-0.333680086018344,-3.543266225083,0.382611172979104,4.82277616891536,-3.72752576715099,5.96704518840305,-2.45781195280796,6.39491073349477,5.24595786303319,-2.33036604289653,7.36350837184803,-3.54718926766117,-3.37053783933858,-3.63634061199189,-3.4557639103474,-4.11326007111097,-3.291089983536
"1642.MS00503",-3.91466509332353,-4.54971683835524,NA,-0.461219986847225,-0.345094453851969,0.0837195628565475,0.318388018226027,-0.565238063473996,-5.6119722289283,0.529867532114116,-4.99988663475938,0.535360497655211,-2.92800562694926,-2.36985952565944,0.167122271997158,-3.62737224628511,-4.38408650173903,-4.14439360639814,-2.64354108478857,-1.07475698417658,-3.6080152942069,0.15027711506741,-3.30573161538763,-1.08346984683033,-2.94723891039147,-0.11626119247345,0.294548873547043,-4.44969087890259,0.419559999009247,-2.52342460719416,0.452711616943402,0.388617447965727,-2.91675327435115,1.77226323542192,-2.86892395248423,-3.10726832985001,-3.93620503201642,-4.44986524131752,-4.67247414831497,-2.99447639683294
"2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences",0.481404579100452,0.732894299191151,-0.461219986847225,NA,-8.23972033012524,-4.62430389670122,-2.33655856767089,-6.52425869860172,-0.673281234680368,-4.37698369836057,0.0170772188507389,-3.76278533132913,-0.0165724027390567,0.720295262476374,-4.59262286367476,0.217017572722589,-0.931205897449402,-1.24608939716847,0.854792110913372,-0.745940839871949,0.0895195552995423,-3.44082918816128,-0.865939699186771,-6.24096924271256,0.375945168171762,-5.7307890400546,-4.38510065661368,0.611225225852212,-5.11149719632756,-1.31831971671348,-5.74916704359866,-4.3717788858213,0.859665033844291,-3.77725657347018,-0.318959788093207,-0.296354182632018,0.256268278725914,-0.996111268168148,-0.340113852972181,-0.0182103419098336
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",1.00992080659569,1.22969621414229,-0.345094453851969,-8.23972033012524,NA,-4.42451858353596,-2.05925310325989,-7.47825246859158,-0.179139855767791,-6.94582925373231,0.480654550934357,-3.14906533349385,0.565833353276971,1.66092576187422,-4.49331475537631,0.997765814948279,-0.584865445804326,-0.800584010923623,1.27605927993417,-0.510622265782688,0.485866580061216,-4.09892879443446,-0.591781128819758,-5.8287309808233,0.42892563374639,-8.07213253793449,-4.29678545038441,0.909571339566003,-5.13677819635121,-0.723324501921182,-4.78951514301271,-6.59884392796937,1.62189867733752,-4.57483565777238,-0.0317616187995353,0.0333205028654877,0.614136551836604,-0.380183698818843,-0.111314139009092,0.272116964339193
"2382.HE003.C181.HA.1.752.rhizo.9.12.lane7.NoIndex.L007.sequences",4.51890482839453,2.940185032562,0.0837195628565475,-4.62430389670122,-4.42451858353596,NA,-2.57584885364545,-5.88144205331871,0.347258781454676,-5.89847920990044,2.3894591984246,-3.85521177712713,1.40326190569855,4.79676821229417,-8.38504788755388,3.48648706143863,-0.148631164560178,0.25868616275177,3.81661623381605,0.986390234145321,1.51000109229024,-7.84318667510639,-0.477997631181074,-5.93527141409367,2.10263876670224,-5.69133185654317,-8.28476864223768,2.84680411842436,-8.83177208759035,0.117924083581482,-6.86276339506421,-8.08907063907628,4.80572665825119,-5.9875097362771,0.426452196968703,2.60503030726171,3.8217945496232,2.15309610956045,0.432675533505123,2.02097622217642
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",1.61856165441881,0.563499836008397,0.318388018226027,-2.33655856767089,-2.05925310325989,-2.57584885364545,NA,-2.11418392991792,0.262476919490189,-2.55815191352963,0.0801572147884866,-2.26569610313482,0.235714241299184,1.05446914099636,-2.506453858972,0.395661941772499,-0.239485392565739,-0.397444643052658,0.794497668422863,0.142297556329211,0.871740091774092,-3.17060386792298,-0.455669163511203,-3.12238315758022,1.28312936045952,-2.43542521835233,-2.98003699356782,2.89375825261947,-2.58997792382603,-0.492802025614364,-2.32686393560587,-2.64071970203438,0.922577812127622,-0.856116117693042,-0.0805231978642136,-0.147798780839958,0.474699226033057,-0.336811491560575,-0.154122182689585,1.38252798540303
"2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences",0.413387049555167,0.274894160840073,-0.565238063473996,-6.52425869860172,-7.47825246859158,-5.88144205331871,-2.11418392991792,NA,-0.825910111692547,-6.07860674816442,-0.0866818804996537,-3.6778168932651,-0.15834342450399,0.927827046535686,-5.65258982886884,0.0936528276929595,-0.906314189664428,-1.18760353908272,0.448596117585281,-0.643882937447823,-0.189336322026156,-3.89198935601254,-0.979463024010865,-6.375591424088,-0.159863977831158,-6.53434685565941,-3.72298680510238,0.328149771162997,-6.0406618226822,-1.1101641407758,-7.18768403126532,-5.41885481290315,0.855725203570241,-4.91092464558797,-0.608821390223206,-0.567213841804318,0.352533530717656,-0.776124090702325,-0.580948146955946,-0.187150426909168
"1642.MS00512",-5.15312526211515,-5.66022859710353,-5.6119722289283,-0.673281234680368,-0.179139855767791,0.347258781454676,0.262476919490189,-0.825910111692547,NA,1.23414903892062,-6.10220899026485,1.19543491827815,-2.10778733514921,-3.83435804879688,0.85674593847186,-5.13385530600862,-5.31594356459222,-6.24809256711502,-4.18038105562756,-1.8912574421962,-6.15439526852212,0.678237357814296,-5.64188269801982,-0.798824990720232,-3.73156681807436,-0.00832838266433983,0.708453426047622,-3.54890901180458,1.27212903637572,-3.10541494213538,1.1092608184561,1.03200025932324,-3.46751564594808,2.8478745563641,-5.27115901627266,-4.30784130016203,-3.90875436141028,-5.33393191655248,-5.74958516034265,-3.50277961888863
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",7.72263166536599,6.75501997561205,0.529867532114116,-4.37698369836057,-6.94582925373231,-5.89847920990044,-2.55815191352963,-6.07860674816442,1.23414903892062,NA,4.82884299796327,-6.99917217151332,3.41475867193814,7.96333883607784,-7.63310121970372,7.44282129872821,0.502331546687213,1.19891480530666,5.45416683095064,2.22556036380115,2.68302694415237,-5.96045097939485,0.088159517967168,-3.779486561527,2.9420937016528,-5.72891737078179,-8.71338947458683,4.59567277089174,-7.37091808045538,1.55686457753418,-4.4070039124325,-9.2782387372095,8.20343332105829,-8.12675073039733,2.04308096104134,5.31809794830969,6.46426705895752,4.86438833509324,3.02668601621162,3.28092528167725
