"","1642.MS00545","1642.MS00405","1642.MS00609","1642.MS00599","1642.MS00568","1642.MS00538","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00473","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","1642.MS00380","1642.MS00364","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00490","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00586","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00522","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00463","1642.MS00468","1642.MS00338","1642.MS00550","1642.MS00503","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00500","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00504","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00506"
"1642.MS00545",0,0.5166,0.5156,0.7088,0.4666,0.488,0.9562,0.491,0.9564,0.946,0.777,0.8514,0.8022,0.9454,0.486,0.9014,0.9144,0.9206,0.4846,0.9554,0.588,0.5628,0.9228,0.9488,0.5186,0.9554,0.514,0.4742,0.6428,0.5132,0.4706,0.9594,0.4492,0.9036,0.9292,0.5168,0.9142,0.545,0.929,0.4714
"1642.MS00405",0.5166,0,0.4996,0.671,0.53,0.4924,0.9542,0.4652,0.9498,0.9432,0.7394,0.8474,0.7694,0.9324,0.466,0.8906,0.9004,0.8966,0.5658,0.9476,0.6166,0.5916,0.9112,0.937,0.5256,0.9456,0.5254,0.5236,0.6634,0.5344,0.557,0.9548,0.5028,0.8864,0.9186,0.5528,0.9042,0.6296,0.9164,0.5328
"1642.MS00609",0.5156,0.4996,0,0.656,0.534,0.4826,0.9526,0.462,0.9484,0.9378,0.7958,0.9108,0.8184,0.9328,0.4466,0.8802,0.8932,0.8878,0.5874,0.9518,0.6848,0.5502,0.9056,0.9396,0.569,0.9464,0.5486,0.5464,0.7466,0.5362,0.556,0.9532,0.5416,0.8786,0.9158,0.6254,0.8948,0.6458,0.9132,0.5388
"1642.MS00599",0.7088,0.671,0.656,0,0.7072,0.6896,0.9772,0.6846,0.9702,0.9674,0.8282,0.9154,0.8754,0.9602,0.6596,0.9398,0.9422,0.9488,0.732,0.9792,0.7754,0.721,0.9516,0.9692,0.6982,0.9742,0.722,0.688,0.8086,0.7068,0.7212,0.9756,0.698,0.9412,0.9546,0.7378,0.9488,0.78,0.9554,0.7116
"1642.MS00568",0.4666,0.53,0.534,0.7072,0,0.472,0.9492,0.5044,0.947,0.9386,0.7798,0.8514,0.8112,0.9382,0.4852,0.9052,0.9204,0.915,0.5106,0.9446,0.6274,0.5244,0.9158,0.9408,0.4918,0.9488,0.5084,0.4886,0.6472,0.493,0.473,0.9516,0.4788,0.9068,0.9212,0.5302,0.9216,0.5374,0.9262,0.494
"1642.MS00538",0.488,0.4924,0.4826,0.6896,0.472,0,0.9538,0.465,0.952,0.9414,0.775,0.8796,0.8008,0.9404,0.469,0.8976,0.9092,0.9052,0.5402,0.9556,0.65,0.5374,0.9164,0.945,0.5258,0.951,0.479,0.5206,0.6984,0.5,0.5104,0.9564,0.4988,0.8956,0.9218,0.5776,0.9094,0.5762,0.9212,0.4988
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",0.9562,0.9542,0.9526,0.9772,0.9492,0.9538,0,0.955,0.4966,0.6218,0.974,0.99,0.967,0.6314,0.953,0.9046,0.8992,0.8904,0.9632,0.6012,0.953,0.958,0.644,0.577,0.9606,0.8182,0.9532,0.9596,0.9592,0.9462,0.9606,0.6844,0.9592,0.9196,0.6666,0.9536,0.906,0.9572,0.714,0.9586
"1642.MS00473",0.491,0.4652,0.462,0.6846,0.5044,0.465,0.955,0,0.9522,0.942,0.761,0.8878,0.7928,0.94,0.4414,0.8854,0.8982,0.9004,0.5678,0.9546,0.6414,0.584,0.9148,0.9448,0.5572,0.9496,0.5202,0.5202,0.707,0.5276,0.5532,0.9594,0.5034,0.8846,0.9226,0.6146,0.9046,0.6246,0.9224,0.486
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.9564,0.9498,0.9484,0.9702,0.947,0.952,0.4966,0.9522,0,0.4118,0.9688,0.9894,0.9772,0.4502,0.9518,0.8734,0.8594,0.849,0.964,0.5504,0.958,0.9586,0.5604,0.5582,0.9554,0.631,0.9502,0.9612,0.9626,0.947,0.9584,0.523,0.9544,0.898,0.6588,0.9532,0.879,0.9572,0.5484,0.956
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",0.946,0.9432,0.9378,0.9674,0.9386,0.9414,0.6218,0.942,0.4118,0,0.967,0.9898,0.9702,0.3856,0.942,0.856,0.8468,0.869,0.9536,0.6242,0.954,0.952,0.5362,0.5936,0.9482,0.5068,0.9428,0.954,0.962,0.94,0.951,0.448,0.943,0.8808,0.6934,0.949,0.8536,0.9522,0.5554,0.9468
"1642.MS00376",0.777,0.7394,0.7958,0.8282,0.7798,0.775,0.974,0.761,0.9688,0.967,0,0.5334,0.7066,0.9628,0.773,0.9546,0.9544,0.9588,0.7862,0.9708,0.6772,0.8014,0.96,0.969,0.7594,0.977,0.7634,0.7796,0.7134,0.7896,0.7904,0.9776,0.7812,0.9582,0.9582,0.749,0.9612,0.8072,0.9608,0.787
"1642.MS00380",0.8514,0.8474,0.9108,0.9154,0.8514,0.8796,0.99,0.8878,0.9894,0.9898,0.5334,0,0.7228,0.9884,0.8824,0.9864,0.9862,0.987,0.8504,0.9908,0.7306,0.894,0.9862,0.9884,0.8186,0.9906,0.865,0.8376,0.749,0.8918,0.8458,0.992,0.8422,0.9888,0.986,0.7888,0.9896,0.8584,0.9902,0.8526
"1642.MS00364",0.8022,0.7694,0.8184,0.8754,0.8112,0.8008,0.967,0.7928,0.9772,0.9702,0.7066,0.7228,0,0.969,0.8042,0.948,0.9556,0.9486,0.8156,0.9616,0.6566,0.8486,0.9582,0.9618,0.8026,0.9768,0.8044,0.8058,0.7258,0.8098,0.8148,0.9766,0.8082,0.95,0.9546,0.771,0.9602,0.8328,0.9586,0.8056
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0.9454,0.9324,0.9328,0.9602,0.9382,0.9404,0.6314,0.94,0.4502,0.3856,0.9628,0.9884,0.969,0,0.935,0.824,0.8048,0.814,0.95,0.5964,0.9508,0.9528,0.4862,0.5926,0.9442,0.5256,0.9426,0.948,0.959,0.9352,0.9504,0.4456,0.9404,0.8498,0.6516,0.9484,0.8354,0.947,0.519,0.9424
"1642.MS00574",0.486,0.466,0.4466,0.6596,0.4852,0.469,0.953,0.4414,0.9518,0.942,0.773,0.8824,0.8042,0.935,0,0.8914,0.9058,0.8988,0.547,0.9554,0.658,0.5318,0.9162,0.9414,0.5278,0.95,0.5272,0.5134,0.7096,0.4886,0.5216,0.9554,0.5012,0.8902,0.923,0.5764,0.9066,0.6088,0.9228,0.5154
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9014,0.8906,0.8802,0.9398,0.9052,0.8976,0.9046,0.8854,0.8734,0.856,0.9546,0.9864,0.948,0.824,0.8914,0,0.583,0.6244,0.9188,0.9046,0.9198,0.9188,0.7186,0.8644,0.9186,0.865,0.9098,0.9124,0.9462,0.91,0.9102,0.888,0.894,0.6196,0.7826,0.9274,0.5414,0.9226,0.8194,0.8954
