"","1642.MS00545","1642.MS00405","1642.MS00609","1642.MS00599","1642.MS00568","1642.MS00538","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00473","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","1642.MS00380","1642.MS00364","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00490","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00586","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00522","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00463","1642.MS00468","1642.MS00338","1642.MS00550","1642.MS00503","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00500","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00504","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00506"
"1642.MS00545",0,-0.587,-0.553,0.904,-0.973,-0.847,1,-0.838,1,1,1,1,0.998,1,-0.852,1,1,1,-0.957,1,-0.157,-0.086,1,1,-0.569,1,-0.603,-0.958,0.428,-0.641,-0.97,1,-1,1,1,-0.668,1,-0.722,1,-0.964
"1642.MS00405",-0.587,0,-0.651,0.514,-0.376,-0.759,1,-0.957,1,1,0.988,1,0.969,1,-0.95,1,1,1,-0.106,1,0.27,0.481,1,1,-0.384,1,-0.317,-0.518,0.753,-0.216,-0.188,1,-0.716,1,1,-0.19,1,0.367,1,-0.365
"1642.MS00609",-0.553,-0.651,0,0.288,-0.366,-0.881,1,-0.978,1,1,1,1,1,1,-0.994,1,1,1,0.109,1,0.971,-0.136,1,1,0.129,1,-0.075,-0.263,1,-0.246,-0.183,1,-0.271,1,1,0.762,1,0.601,1,-0.3
"1642.MS00599",0.904,0.514,0.288,0,0.882,0.762,1,0.674,1,1,1,1,1,1,0.308,1,1,1,0.954,1,1,0.95,1,1,0.84,1,0.978,0.711,1,0.899,0.944,1,0.813,1,1,0.986,1,0.998,1,0.922
"1642.MS00568",-0.973,-0.376,-0.366,0.882,0,-0.96,1,-0.748,1,1,1,1,1,1,-0.902,1,1,1,-0.83,1,0.396,-0.546,1,1,-0.866,1,-0.677,-0.925,0.464,-0.871,-0.974,1,-0.958,1,1,-0.541,1,-0.817,1,-0.856
"1642.MS00538",-0.847,-0.759,-0.881,0.762,-0.96,0,1,-0.96,1,1,1,1,1,1,-0.95,1,1,1,-0.491,1,0.73,-0.357,1,1,-0.45,1,-0.911,-0.568,0.98,-0.719,-0.755,1,-0.806,1,1,0.079,1,-0.315,1,-0.756
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0,1,-1,-0.972,1,1,1,-0.964,1,1,0.996,0.994,1,-0.988,1,1,-0.974,-0.99,1,-0.146,1,1,1,1,1,-0.874,1,1,-0.957,1,1,1,-0.828,1
"1642.MS00473",-0.838,-0.957,-0.978,0.674,-0.748,-0.96,1,0,1,1,0.996,1,0.998,1,-0.992,1,1,1,-0.148,1,0.65,0.372,1,1,-0.044,1,-0.374,-0.576,0.979,-0.327,-0.23,1,-0.729,1,1,0.629,1,0.268,1,-0.895
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-1,1,0,-1,1,1,1,-1,1,0.996,0.951,0.895,1,-1,1,1,-1,-1,1,-0.934,1,1,1,1,1,-1,1,1,-0.918,1,0.989,1,-0.998,1
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.972,1,-1,0,1,1,1,-1,1,0.96,0.912,0.994,1,-0.954,1,1,-1,-0.97,1,-1,1,1,1,1,1,-1,1,0.996,-0.792,1,0.931,1,-0.998,1
"1642.MS00376",1,0.988,1,1,1,1,1,0.996,1,1,0,-1,-0.053,1,0.998,1,1,1,1,1,0.287,1,1,1,0.998,1,1,1,0.756,1,1,1,1,1,1,0.984,1,1,1,1
"1642.MS00380",1,1,1,1,1,1,1,1,1,1,-1,0,-0.526,1,1,1,1,1,1,1,-0.352,1,1,1,0.946,1,1,0.998,-0.093,1,0.994,1,0.996,1,1,0.628,1,1,1,1
"1642.MS00364",0.998,0.969,1,1,1,1,1,0.998,1,1,-0.053,-0.526,0,1,1,1,1,1,1,1,-0.506,1,1,1,0.998,1,0.994,0.996,0.42,1,1,1,1,1,1,0.955,1,1,1,0.998
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.964,1,-1,-1,1,1,1,0,1,0.976,0.79,0.906,1,-0.984,1,1,-1,-0.974,1,-1,1,1,1,1,1,-1,1,0.996,-0.81,1,0.951,1,-1,1
"1642.MS00574",-0.852,-0.95,-0.994,0.308,-0.902,-0.95,1,-0.992,1,1,0.998,1,1,1,0,1,1,1,-0.368,1,0.834,-0.386,1,1,-0.402,1,-0.297,-0.632,0.993,-0.837,-0.631,1,-0.776,1,1,0.095,1,0.0760000000000001,1,-0.605
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0.996,0.96,1,1,1,0.976,1,0,-0.469,0.329,1,1,1,1,0.841,1,1,0.983,1,1,1,1,1,1,1,-0.046,0.98,1,-0.924,1,1,1
