"","1642.MS00405","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00473","1642.MS00463","1642.MS00380","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","1642.MS00490","1642.MS00545","1642.MS00599","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00338","1642.MS00468","1642.MS00364","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00538","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","1642.MS00586","1642.MS00500","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00367","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00405",0,0.09228827506,0.0218632208635,0.0251258540572,0.0540649613709,0.1009798178811,0.0258120425836,0.0942567438012,0.0240345959136,0.0230376633109,0.0208824808659,0.0429709358903,0.0914227935804,0.0229417656119,0.1077286340069,0.0342737398432,0.1066117078219,0.0229531907967,0.0979977012966,0.0234913473201,0.0290776754682,0.0222264380202,0.0482757525938,0.0863444274411,0.0250428300734,0.0889007709985,0.0901764848706,0.0845651157133,0.0227911007989,0.1087340678532,0.0244941086136,0.0951978523481,0.026072314097,0.1012687823378,0.0233894330054,0.0285304281886,0.0211561208216,0.1066920677244,0.0247354300093,0.0887118242244
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.09228827506,0,0.0892700632503,0.1008510867923,0.1358041566662,0.0502913767968,0.1070070111525,0.0380690614132,0.1050314734145,0.1330392371118,0.111339601168,0.0987444398075,0.0570365708329,0.1154055028001,0.0671761627974,0.1079111018165,0.0518380603521,0.095806808886,0.0470869086207,0.1214672301914,0.1156749477481,0.1161190349209,0.1093602415153,0.0310900539827,0.1191059893423,0.0489184093838,0.0254979070882,0.0275950662595,0.0991179865587,0.0634738943458,0.0993903888349,0.0718923831268,0.1198765684429,0.0573523749239,0.105175316727,0.1134922834437,0.1057848222547,0.0615019794438,0.1126022358953,0.0228831745459
"1642.MS00473",0.0218632208635,0.0892700632503,0,0.0260527217948,0.0664104270818,0.1036032744364,0.023780392426,0.0962351056651,0.023190477338,0.0232720002145,0.0214918868115,0.0470577692909,0.0945427395299,0.0222026201319,0.1123355682097,0.0403200384676,0.1089831385791,0.0215944614482,0.1012721019479,0.0283241111911,0.0358005229533,0.0226743930149,0.0578294685246,0.087282268065,0.0258605379163,0.0901491552595,0.0897325651893,0.0825542113409,0.0210502341242,0.1127623779623,0.0216848228833,0.1010849472563,0.0284528457379,0.1057368665665,0.0210102948372,0.0276360589595,0.0211349574426,0.1112228392405,0.0288817856095,0.0867107149896
"1642.MS00463",0.0251258540572,0.1008510867923,0.0260527217948,0,0.0616082213929,0.1054213108132,0.0237330069233,0.098293721544,0.0238457015133,0.0227209786822,0.0240446200455,0.0464781828644,0.0953371975178,0.0226827730965,0.1140723541833,0.0405871717656,0.110803790354,0.0251112914496,0.103398758405,0.0256489957522,0.0348904728051,0.0245163165957,0.057465001779,0.0918817151526,0.0263118149525,0.0938096951746,0.0988262463651,0.0935969639767,0.0232737109475,0.1136965528787,0.0259310467857,0.0998350329301,0.0237597078152,0.1064098132037,0.0251818463786,0.0259844007439,0.0239504969673,0.111684821861,0.0300938853489,0.0940526911679
"1642.MS00380",0.0540649613709,0.1358041566662,0.0664104270818,0.0616082213929,0,0.1323881173044,0.0667312051746,0.1239800909531,0.0627997502603,0.0581902285647,0.0601350400977,0.0830596021725,0.1179798481641,0.0578383711254,0.1231285907115,0.0233420113721,0.1333738731028,0.0653756820046,0.1293709055713,0.0424003962029,0.0306370229088,0.055710182265,0.0418546244031,0.1268442385755,0.0592087073706,0.1168264953102,0.1270433626129,0.1323107782376,0.0659308376355,0.1320114495753,0.0720595464111,0.1195952499005,0.0515474289944,0.1276075554479,0.0629005173337,0.0667695889745,0.0588241249458,0.1286339725223,0.0331330374077,0.1248667353743
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",0.1009798178811,0.0502913767968,0.1036032744364,0.1054213108132,0.1323881173044,0,0.113955013921,0.0211727493599,0.1045778157021,0.1282395849422,0.1089236807407,0.1225396308408,0.0326830457755,0.0994121936259,0.0347363106651,0.1017886596248,0.0173473326864,0.1124512278949,0.0139129522533,0.103711040576,0.0921354518336,0.1168024513162,0.1039951626376,0.0412678206932,0.1169406446733,0.0198319158418,0.0398711816674,0.0516846987511,0.1090076527608,0.0152894215775,0.1179385772818,0.0191438059429,0.0869031348534,0.0141125702902,0.1086309023832,0.1317723759157,0.1014747619076,0.019383139045,0.089576555107,0.0447860596097
"1642.MS00550",0.0258120425836,0.1070070111525,0.023780392426,0.0237330069233,0.0667312051746,0.113955013921,0,0.1084420316663,0.0206543008277,0.0208810912099,0.0219274134678,0.0462968282876,0.107076991839,0.0200683248236,0.1267644458759,0.0434360591743,0.1197070630207,0.0225609080816,0.1119290000824,0.0251939794866,0.0365720140944,0.0217213532487,0.0585513570496,0.1032754067773,0.024756086165,0.1005395571674,0.1045230758017,0.1010237253256,0.0237995896098,0.1201655136442,0.0253054970377,0.1087070471166,0.022258059176,0.1144166570603,0.0231635016806,0.0232567355928,0.0212904402709,0.1182320847564,0.0313507492511,0.1023265601863
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",0.0942567438012,0.0380690614132,0.0962351056651,0.098293721544,0.1239800909531,0.0211727493599,0.1084420316663,0,0.0974331853658,0.122266742849,0.1027498482709,0.1033668254472,0.0214747177901,0.0952205258411,0.0249053231364,0.0974733882199,0.0279296184642,0.1041842939248,0.0189405567187,0.0988712653489,0.0878102043121,0.1101736828253,0.0996080867222,0.0241620933598,0.111676429329,0.0205389536912,0.0314040537878,0.0378595286883,0.0997937974887,0.024437349253,0.1084321127859,0.0210962687819,0.0816561442438,0.0223877414395,0.0990071098624,0.1204356250709,0.0988494799158,0.0242956326431,0.084820499011,0.0320866632698
"1642.MS00568",0.0240345959136,0.1050314734145,0.023190477338,0.0238457015133,0.0627997502603,0.1045778157021,0.0206543008277,0.0974331853658,0,0.0227504319246,0.0214395578013,0.0448713535746,0.0973761581691,0.0210636809981,0.1158137845608,0.0413960376314,0.1089619003958,0.022606790528,0.102596188248,0.0243338573721,0.0373795466328,0.0218010461884,0.0574811107439,0.0952495915533,0.0257503283188,0.0932354684452,0.1039585102514,0.0999521825037,0.0214446932135,0.1108409479778,0.023180197754,0.0994359115544,0.0236345164158,0.1069964735905,0.0211844068355,0.0221345116941,0.0216687434516,0.1128316628749,0.0312234673955,0.0943025178815
"1642.MS00490",0.0230376633109,0.1330392371118,0.0232720002145,0.0227209786822,0.0581902285647,0.1282395849422,0.0208810912099,0.122266742849,0.0227504319246,0,0.0192627357958,0.0424258030747,0.121447975021,0.0199248553242,0.1344240575044,0.0397771384319,0.1298023430995,0.0220691934516,0.1274688264611,0.0218434115895,0.0332401855566,0.0196073725111,0.055804175756,0.1085958972279,0.021442592743,0.1049562682081,0.1272868662271,0.1134752237545,0.0219614139041,0.1301436917269,0.0241748739489,0.1085755617362,0.0217259401828,0.1306581071409,0.0240094645343,0.0238796730841,0.0198182212376,0.1194649099676,0.0296764922628,0.1190437759715
