"","1642.MS00405","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00473","1642.MS00463","1642.MS00380","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","1642.MS00490","1642.MS00545","1642.MS00599","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00338","1642.MS00468","1642.MS00364","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00538","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","1642.MS00586","1642.MS00500","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00367","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00405",NA,6.84591935376787,-4.61261277798573,-4.07200339439003,-2.76899285192538,-0.121946654504523,-3.17850057607354,2.42630441327041,-3.92155132349107,-4.35546455343379,-5.28478520061493,-0.795970226311798,0.926805906457821,-3.60837505339799,1.79510402478206,-3.43715537925043,-0.0234510690242553,-3.15053411421943,0.245685856190334,-4.54912894359067,-4.23207691626004,-4.03396579749379,-4.68945505708602,3.61848384238685,-3.05634130978476,-0.136846479307052,5.67645388483371,4.09591312874839,-4.91933881794704,0.083866425514408,-3.48716468645054,-0.216560020451865,-4.18300508338634,-0.568804151966942,-4.4030642612099,-3.06811066135428,-5.95444396695019,-0.431744836452088,-4.78745191694932,2.53312628662142
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",6.84591935376787,NA,6.09246551711104,8.3309405339569,3.32687772565382,-4.65789782782666,11.9812660576404,-3.63234414187964,6.53794881375847,9.97195080376517,6.72157167736754,0.866819039515623,-0.521109683146062,4.67600852445291,-3.36901218799469,2.54929578963269,-6.53103964138755,9.13620354459822,-3.90520688377791,5.70198022073643,3.51998390906164,8.14322061828082,3.55947709050881,-6.35107403009384,10.1486868272242,-2.3925859044415,-7.25441254798728,-9.31073208445406,8.19106843262362,-3.55230254551685,10.9406945923031,-0.0193796577912255,3.03654788789189,-3.81912558777164,4.84589453096368,12.4825442857962,4.99922856213377,-3.8667179592791,2.9206194762714,-7.79930540064341
"1642.MS00473",-4.61261277798573,6.09246551711104,NA,-3.27359558992159,-2.0303967564191,-0.00788013337710897,-4.71552080112399,2.3876255528964,-4.79585092342994,-2.98116002629248,-5.17313963706202,-0.424503081503145,1.29221313021787,-4.45597447423267,2.07197802597425,-2.81851773976603,0.208183120527924,-3.26868824287224,0.438849723102518,-3.14608261927905,-2.31099698300487,-3.16560558111875,-2.42620841075445,2.88598990818562,-3.58626446071395,-0.323482401560368,4.32171343480192,3.01614871806682,-4.7409172542703,0.30311137806782,-4.1070902567411,0.0875088614823649,-2.77413422491206,-0.0813097600226314,-4.58799538329244,-3.70751133131985,-6.12393134875002,0.039426226018443,-3.49486278995158,1.45819106844843
"1642.MS00463",-4.07200339439003,8.3309405339569,-3.27359558992159,NA,-2.81443051675432,0.0582786857004193,-4.14236510663239,2.53590821460942,-5.22063620308926,-4.66087814980767,-4.62286073168616,-0.814493440414284,1.22421014328087,-4.23691733359077,2.45291718799362,-3.18595939049563,0.31892463225724,-3.48672201500666,0.631583320624683,-4.36465996724197,-3.70795071994093,-3.69450889444015,-3.29137137623151,3.7667418561436,-3.20704671831002,0.419492663170117,6.09530053888167,4.88744087097253,-3.96266977214847,0.433707306395923,-3.87269859588928,-0.0258595919053425,-2.82367061431538,-0.118414567916481,-5.14544405893056,-3.59228877861677,-5.36832237019636,-0.0313774605639748,-4.54457054603946,2.87281187109263
"1642.MS00380",-2.76899285192538,3.32687772565382,-2.0303967564191,-2.81443051675432,NA,0.0249240100477685,-2.23860399985662,0.996532682777257,-2.56420770273246,-2.7034524676598,-2.8984854578285,-0.479855936765178,-0.28076208798574,-2.62865212496407,-1.47920006274861,-5.01194176547894,-0.479483573144836,-2.49046768094089,0.0285946594199897,-3.29531262077571,-4.93573881346526,-3.03753825763158,-3.69204599991528,1.49207382147087,-2.32462683892995,-0.523224768178959,1.40637081147031,1.96268680169181,-2.44003501907039,-0.281243157706587,-2.079937573857,-0.806130985323188,-2.89443815085836,-0.565750750063358,-2.19887394361997,-2.78974208801925,-2.61953067429008,-1.29764345638504,-2.98606884608087,0.855514820107025
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",-0.121946654504523,-4.65789782782666,-0.00788013337710897,0.0582786857004193,0.0249240100477685,NA,1.21153532649922,-7.11507968104774,-0.0713768155436713,1.88054764448723,0.261912509124551,0.116617563424494,-3.52922972432711,-0.735912731301941,-1.14328846556,-1.48838579799078,-5.57841852547462,0.973735030398003,-6.1620826771815,-0.420860543362268,-1.77389638453071,0.928883622980883,-2.04574919796483,-7.75477489172622,0.99844067963423,-7.43145492885049,-5.98753656408334,-4.26299317344704,0.589231739550001,-7.23881024093396,1.51423465942041,-6.78771887170797,-1.56636347000192,-6.63155075625125,-0.146204518582352,2.64421075269304,-0.388472052228773,-4.73965347250961,-1.63921463446637,-4.98515344657996
"1642.MS00550",-3.17850057607354,11.9812660576404,-4.71552080112399,-4.14236510663239,-2.23860399985662,1.21153532649922,NA,4.33664803086663,-5.89773913958944,-5.0705571881545,-3.67758044050345,-0.709095967629614,3.40016898854352,-5.85898476211463,4.84006213345275,-3.20057731485558,1.37025614161326,-3.88136605361057,1.95068331927274,-4.08274651346068,-2.49631839327206,-4.88367018563695,-3.18015916710269,8.39071218349899,-2.47379806253534,1.14223835601439,8.46820608786433,8.75819866640758,-3.54727807057153,1.07869596974994,-3.64109104084292,0.819375779707744,-4.68810889697755,1.06309171672116,-5.9012924216536,-3.27137362645017,-4.89385263651075,0.784420484191777,-4.04571769807894,6.02201668911065
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",2.42630441327041,-3.63234414187964,2.3876255528964,2.53590821460942,0.996532682777257,-7.11507968104774,4.33664803086663,NA,1.9699603353752,4.13913394557846,2.16023930988604,0.273325147126955,-3.42574174885061,0.659924308630424,-8.30222682905729,-0.399962312186184,-6.95355492668769,3.77937945600985,-7.6446388334885,0.954275771864469,-0.878648223854368,3.09313009178999,-0.588646136847758,-10.1343412223162,3.75649226675855,-8.4063122081516,-4.56099113251851,-3.78292008693565,2.91990307866009,-7.43997098683548,4.65201200858048,-7.22731068051758,-0.800000911584295,-7.17552016366438,1.28121623284716,5.58772549830636,1.50662105910588,-6.38385890312386,-0.757274644546106,-4.34310479679839
"1642.MS00568",-3.92155132349107,6.53794881375847,-4.79585092342994,-5.22063620308926,-2.56420770273246,-0.0713768155436713,-5.89773913958944,1.9699603353752,NA,-2.77846996752669,-4.37782640607131,-0.885267520952137,1.18033820686335,-3.33543356552711,2.56294773280551,-2.9538641774984,-0.036587278864234,-3.36107972182325,0.430396508062664,-4.00995010127346,-0.973940583823946,-3.2913205992986,-2.68008036899792,3.04567165683105,-2.56582301854923,0.507088151707722,4.56396126640253,4.77782249846399,-4.44715764369991,0.108981310909752,-4.72291588400255,1.01575905599969,-3.05962281504534,0.00714925326643726,-5.66876935333377,-5.85730535021611,-5.05093882846337,-0.011161493079224,-3.82701527572507,1.85553514487461
"1642.MS00490",-4.35546455343379,9.97195080376517,-2.98116002629248,-4.66087814980767,-2.7034524676598,1.88054764448723,-5.0705571881545,4.13913394557846,-2.77846996752669,NA,-6.36660853561878,-1.04941399049393,3.33017948318441,-2.50873174552669,1.65420523621361,-3.13758441219049,1.64882582801341,-4.10648816104317,2.46783576971271,-3.25710169750923,-2.95773051264304,-4.54817708739499,-2.55800523987757,4.0651511378871,-4.81341709659935,0.741250777519468,7.32499016373905,5.65537270826191,-5.53083513559635,1.34351550237997,-3.50382942441807,0.176911918507749,-4.50396913447664,1.91509375415338,-3.24367697022709,-3.25412302821105,-4.16246551782271,0.22749132385839,-3.67412378934671,5.27227039852815
