"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00450","1642.MS00532","1642.MS00420","1642.MS00422","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00364","1642.MS00640","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","1642.MS00611","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00397","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00614","1642.MS00520","1642.MS00584","2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00579","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00499","1001.SKB7","1642.MS00415"
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0,0.7084,0.9386,0.788,0.8526,0.7472,0.8872,0.9264,0.9344,0.9294,0.9426,0.9232,0.8044,0.4532,0.9628,0.9378,0.9266,0.9246,0.9426,0.8224,0.9306,0.8052,0.9322,0.7444,0.9432,0.9568,0.9528,0.8454,0.9124,0.9322,0.9402,0.9384,0.8468,0.9374,0.7968,0.9092,0.7242,0.9236,0.9842,0.9434
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0.7084,0,0.9354,0.43,0.632,0.5824,0.7612,0.9224,0.9338,0.9254,0.934,0.9196,0.6328,0.5944,0.96,0.9372,0.879,0.928,0.937,0.5958,0.9306,0.6394,0.9328,0.4034,0.935,0.9572,0.9462,0.6236,0.854,0.9288,0.9314,0.9402,0.6714,0.9336,0.4616,0.8174,0.503,0.9168,0.9838,0.939
"1642.MS00488",0.9386,0.9354,0,0.9536,0.969,0.9328,0.9418,0.5368,0.4986,0.5228,0.5282,0.539,0.955,0.9238,0.83,0.5474,0.9282,0.5668,0.5516,0.9502,0.5616,0.9474,0.5588,0.9364,0.5568,0.629,0.5384,0.9508,0.9156,0.5182,0.5514,0.6802,0.9408,0.5682,0.9418,0.9312,0.9404,0.5154,0.9936,0.5256
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",0.788,0.43,0.9536,0,0.6056,0.6246,0.7618,0.9444,0.9478,0.945,0.9502,0.9392,0.6054,0.6974,0.9708,0.9466,0.8856,0.942,0.9516,0.4908,0.948,0.6086,0.949,0.4252,0.9536,0.9668,0.9612,0.601,0.8642,0.9444,0.949,0.9554,0.6572,0.9504,0.3766,0.8542,0.5002,0.9418,0.9804,0.954
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",0.8526,0.632,0.969,0.6056,0,0.6566,0.6946,0.958,0.9664,0.957,0.968,0.956,0.4772,0.7584,0.9722,0.9644,0.8784,0.9542,0.966,0.6252,0.9584,0.5734,0.9598,0.6258,0.9702,0.975,0.9706,0.6534,0.8738,0.963,0.962,0.9622,0.6202,0.9634,0.6608,0.9298,0.5566,0.954,0.965,0.9682
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",0.7472,0.5824,0.9328,0.6246,0.6566,0,0.6138,0.918,0.9226,0.9172,0.925,0.9096,0.6154,0.6684,0.9532,0.9316,0.837,0.9166,0.9224,0.6906,0.924,0.6102,0.919,0.542,0.924,0.9534,0.9434,0.6058,0.8066,0.919,0.9252,0.9312,0.5728,0.9342,0.5578,0.8524,0.5348,0.911,0.9628,0.9316
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.8872,0.7612,0.9418,0.7618,0.6946,0.6138,0,0.9216,0.9294,0.9184,0.93,0.9114,0.641,0.8502,0.9598,0.9326,0.7466,0.9284,0.9288,0.7954,0.9244,0.6844,0.9268,0.6908,0.9362,0.9546,0.9442,0.7152,0.7354,0.9218,0.9344,0.9346,0.4626,0.9364,0.717,0.8604,0.6798,0.9208,0.9368,0.9372
"1642.MS00402",0.9264,0.9224,0.5368,0.9444,0.958,0.918,0.9216,0,0.475,0.476,0.5062,0.4364,0.9476,0.9082,0.7808,0.5716,0.89,0.5628,0.5288,0.9358,0.4862,0.9404,0.5138,0.9266,0.5686,0.6612,0.5848,0.9384,0.873,0.471,0.5644,0.5844,0.92,0.5754,0.9326,0.8952,0.9282,0.474,0.9922,0.497
"1642.MS00450",0.9344,0.9338,0.4986,0.9478,0.9664,0.9226,0.9294,0.475,0,0.5014,0.4834,0.4872,0.953,0.9206,0.803,0.5744,0.9064,0.582,0.513,0.9424,0.5284,0.9468,0.5196,0.9308,0.5106,0.6476,0.5664,0.9456,0.8958,0.4716,0.5478,0.6262,0.925,0.5498,0.9362,0.9124,0.9336,0.502,0.9922,0.4874
"1642.MS00532",0.9294,0.9254,0.5228,0.945,0.957,0.9172,0.9184,0.476,0.5014,0,0.5408,0.462,0.9432,0.917,0.7926,0.5196,0.8964,0.5342,0.507,0.9354,0.4996,0.9402,0.5184,0.9266,0.5478,0.605,0.5232,0.9388,0.886,0.4822,0.4908,0.6354,0.9144,0.5606,0.934,0.9078,0.9282,0.4708,0.9914,0.5272
