"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00450","1642.MS00532","1642.MS00420","1642.MS00422","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00364","1642.MS00640","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","1642.MS00611","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00397","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00614","1642.MS00520","1642.MS00584","2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00579","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00499","1001.SKB7","1642.MS00415"
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0,-0.799,1,-0.361,0.479,-0.571,0.996,1,1,1,1,1,-0.162,-1,1,1,1,1,1,0.244,1,0.0429999999999999,1,-0.573,1,1,1,0.469,1,1,1,1,0.823,1,-0.146,1,-0.71,1,0.994,1
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",-0.799,0,1,-1,-0.968,-0.986,0.0169999999999999,1,1,1,1,1,-0.95,-0.982,1,1,1,1,1,-0.986,1,-0.944,1,-1,1,1,1,-0.966,1,1,1,1,-0.824,1,-1,0.793,-1,1,0.998,1
"1642.MS00488",1,1,0,1,1,1,1,-0.374,-0.845,-0.593,-0.59,-0.384,1,1,1,-0.332,1,-0.219,-0.178,1,-0.156,1,-0.254,1,-0.253,0.384,-0.392,1,1,-0.705,-0.333,0.97,1,-0.18,1,1,1,-0.701,1,-0.574
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",-0.361,-1,1,0,-0.996,-0.988,-0.478,1,1,1,1,1,-0.99,-0.81,1,1,0.996,1,1,-1,1,-0.986,1,-1,1,1,1,-0.994,0.959,1,1,1,-0.96,1,-1,0.885,-1,1,0.978,1
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",0.479,-0.968,1,-0.996,0,-0.948,-0.91,1,1,1,1,1,-1,-0.573,1,1,0.99,1,1,-0.978,1,-0.996,1,-0.974,1,1,1,-0.942,0.968,1,1,1,-0.994,1,-0.918,1,-0.998,1,0.819,1
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",-0.571,-0.986,1,-0.988,-0.948,0,-0.936,1,1,1,1,1,-0.992,-0.782,1,1,1,1,1,-0.824,1,-0.982,1,-0.998,1,1,1,-0.994,0.975,1,1,1,-0.984,1,-0.996,1,-0.998,1,0.844,1
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.996,0.0169999999999999,1,-0.478,-0.91,-0.936,0,1,1,1,1,1,-0.98,0.982,1,1,0.932,1,1,0.275,1,-0.742,1,-0.667,1,1,1,-0.768,0.894,1,1,1,-1,1,-0.639,1,-0.747,1,0.233,1
"1642.MS00402",1,1,-0.374,1,1,1,1,0,-0.932,-0.898,-0.708,-0.99,1,1,0.973,0.265,1,-0.121,-0.371,1,-0.9,1,-0.696,1,0.181,0.834,0.544,1,1,-0.958,0.099,0.143,1,0.0720000000000001,1,1,1,-0.915,1,-0.762
"1642.MS00450",1,1,-0.845,1,1,1,1,-0.932,0,-0.73,-0.882,-0.866,1,1,0.998,0.189,1,0.14,-0.628,1,-0.551,1,-0.695,1,-0.785,0.663,0.178,1,1,-0.938,-0.273,0.648,1,-0.369,1,1,1,-0.737,1,-0.888
"1642.MS00532",1,1,-0.593,1,1,1,1,-0.898,-0.73,0,-0.241,-0.967,1,1,0.992,-0.599,1,-0.566,-0.622,1,-0.8,1,-0.671,1,-0.195,0.097,-0.504,1,1,-0.884,-0.844,0.793,1,-0.197,1,1,1,-0.897,1,-0.398
