"","1642.MS00422","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00579","1642.MS00499","1642.MS00402","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00420","1642.MS00465","1642.MS00488","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00611","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00397","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00343","1642.MS00364","1642.MS00393","1642.MS00520","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00450","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00584","1001.SKB7","1642.MS00614","1642.MS00411","1642.MS00532"
"1642.MS00422",0,0.0835205481643,0.0858148768441,0.0936579868197,0.0242271442176,0.0214605342284,0.0204912640016,0.0951398785694,0.1032519966454,0.0804012345094,0.0239305335151,0.0236775719526,0.0248193912722,0.1030203482744,0.0221770442128,0.0929898860277,0.0257702849461,0.1176582324941,0.0962747445323,0.0951244756942,0.0931641513767,0.0895498689036,0.0272996162925,0.0195208794898,0.0983338453135,0.0223406028555,0.0956526726593,0.0293616012484,0.0510895732553,0.0190913826,0.0254852235426,0.0901757096319,0.022253855743,0.0908814297654,0.1008993822073,0.0279316186725,0.1743879402566,0.0301915090567,0.0202647596561,0.0215568874325
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0835205481643,0,0.0392384390301,0.0449731915989,0.0978150721496,0.0895512770357,0.0840171694588,0.0469397483028,0.0413016819247,0.0305364541742,0.0964026756806,0.0976324854449,0.1076674528871,0.0527933565417,0.0957560694715,0.0343134087248,0.0954469466061,0.0607005668108,0.0449008353859,0.0453343889409,0.0374281200289,0.039539370907,0.1067609426904,0.0821107797717,0.0411775257722,0.0935449674634,0.0568630122531,0.0865101889141,0.0977938417348,0.0808801785464,0.0962527859913,0.0409277511758,0.0976163014878,0.0452047533135,0.0538284538601,0.1115491604845,0.142735977448,0.0989627051304,0.0884866835326,0.0899437775706
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0858148768441,0.0392384390301,0,0.0336997159786,0.1024122477823,0.0920432254562,0.0883326475357,0.0488368167038,0.043684078514,0.0185361801635,0.097835685455,0.0956878491192,0.1180800192427,0.0443508292702,0.0952583164502,0.0469277299297,0.0975742602855,0.0473429672608,0.0474097633441,0.0403583919551,0.0447867588043,0.0425847936243,0.1079662145797,0.0832992891888,0.0479148728433,0.0940842368889,0.0630629015477,0.0870554384827,0.0995095165583,0.0855200828625,0.0988010566445,0.0291403557933,0.1011535132551,0.0492559187953,0.0444653603994,0.1126567952196,0.1133736364859,0.1077187524756,0.0909602478715,0.0930138196285
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.0936579868197,0.0449731915989,0.0336997159786,0,0.1107877517091,0.1030320030265,0.0968439483009,0.0312581873604,0.0289461521495,0.0321548795421,0.1052874007086,0.1011039390436,0.1227727399413,0.0326817307657,0.0993073683689,0.0295468045712,0.1042779133819,0.0226753774784,0.0267998938002,0.0292040516633,0.0296991385692,0.0253653963617,0.1142765069958,0.0894133876694,0.0370040147156,0.1014171371649,0.0501096080886,0.089240520452,0.0962237280138,0.0930929391399,0.100150400589,0.016154463864,0.1084766076159,0.0410749282662,0.027448282895,0.1211435299357,0.078305968774,0.1145684734452,0.095541038213,0.103788697684
"1642.MS00579",0.0242271442176,0.0978150721496,0.1024122477823,0.1107877517091,0,0.0231571983379,0.0269752654173,0.1082119238638,0.1218312150097,0.0969128639947,0.0270799912676,0.0238919807205,0.0222642827012,0.117278414558,0.0248386119252,0.1060592986533,0.0241086837628,0.1356873613051,0.1095602863746,0.1087081390208,0.1076354151859,0.1041129671985,0.0238318033842,0.0248361773737,0.1108354336933,0.0267220944174,0.1080640125663,0.0401389221287,0.0614531068922,0.0249334972106,0.0218785549044,0.1065235658159,0.0235615917109,0.1060859565871,0.1161629914183,0.0236291388481,0.179539097107,0.0277212328636,0.0257461319166,0.0220895427028
"1642.MS00499",0.0214605342284,0.0895512770357,0.0920432254562,0.1030320030265,0.0231571983379,0,0.0229768165597,0.1018377340201,0.1083815072208,0.0862232986807,0.0252911418256,0.0220467101818,0.0235114836873,0.1092455208547,0.0248214938916,0.0987909137931,0.0264396546371,0.124464331795,0.1023863451244,0.1020006073977,0.0996981995872,0.0949243517089,0.0253592077153,0.0234290553037,0.102116963472,0.0249838641704,0.0994953499805,0.0348915247408,0.053979012458,0.0214832989488,0.0240744044577,0.0978984739824,0.0234627321642,0.095147612066,0.107155305591,0.0263295743627,0.1815911948458,0.0313087660188,0.0236269931119,0.0208611156859
"1642.MS00402",0.0204912640016,0.0840171694588,0.0883326475357,0.0968439483009,0.0269752654173,0.0229768165597,0,0.0931152881168,0.1002509282656,0.0836655838333,0.0256491639411,0.0251335242818,0.0266105940894,0.1032200730271,0.0235550616977,0.0897642284747,0.0277084384065,0.1165710462982,0.0946357999985,0.0955625164543,0.0913964097878,0.0902337636051,0.0294365110206,0.0225941777047,0.0953553738488,0.0235519493798,0.0971720880586,0.0291861147459,0.0509642051361,0.0216524225644,0.0281244848518,0.091662701799,0.0236005669936,0.0898102885944,0.1039376195382,0.0304400396973,0.1788464114473,0.0337830605696,0.0216664161941,0.0236113133568
"2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences",0.0951398785694,0.0469397483028,0.0488368167038,0.0312581873604,0.1082119238638,0.1018377340201,0.0931152881168,0,0.0226484029111,0.0463299489539,0.1109636295981,0.1023620831754,0.1165874739977,0.0193251845683,0.1022416492521,0.023552680635,0.1006042721951,0.0245273737023,0.0214444930133,0.0152500645459,0.0224901631291,0.02704422979,0.1126693102025,0.0917298695888,0.0264086970747,0.1048767860716,0.0453729114602,0.0993469053356,0.1059126857789,0.0934367920007,0.1005193661641,0.0274223363661,0.107972769029,0.0338490390582,0.0197290432243,0.1175638576175,0.1004799909158,0.1106752083301,0.0963610557797,0.1044076886426
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",0.1032519966454,0.0413016819247,0.043684078514,0.0289461521495,0.1218312150097,0.1083815072208,0.1002509282656,0.0226484029111,0,0.043806241185,0.1167397087448,0.1083439312395,0.1255488210063,0.0237653571897,0.1074678257919,0.014682548271,0.1113497642153,0.01808818102,0.0204835419482,0.0173366411441,0.0118234812572,0.0230379408913,0.1202583866771,0.0980167571772,0.0146408378722,0.1116107767864,0.0395209226559,0.099199781091,0.1047256326426,0.0989584698051,0.1062788843433,0.0252679791192,0.1172194443141,0.027867642008,0.0176314648977,0.1285786377135,0.0888671273772,0.1287062502843,0.1061492338363,0.1136586681298
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0804012345094,0.0305364541742,0.0185361801635,0.0321548795421,0.0969128639947,0.0862232986807,0.0836655838333,0.0463299489539,0.043806241185,0,0.0928502386168,0.0923281883166,0.1075275950431,0.0421644957086,0.0930652686515,0.042990742223,0.0917466679333,0.0485481591986,0.042550676762,0.0429777286316,0.0415925941572,0.0385603838037,0.1028132672312,0.0798607327424,0.0456794807034,0.0894663299784,0.0590007892247,0.0837850217231,0.0928533924675,0.0809634578084,0.0942360763391,0.0284241563608,0.0961305552128,0.0447620404009,0.04522719437,0.1073348064374,0.1220468356422,0.0984184495653,0.0854019826095,0.0878716812052
