"","1642.MS00516","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00351","1642.MS00606","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00358","1642.MS00548","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00601","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00483","1642.MS00424","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00390","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00336","1642.MS00527","1642.MS00583","1642.MS00436","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.453.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00509","1642.MS00617","1642.MS00503","1642.MS00346","1642.MS00556","1642.MS00446","1642.MS00345","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00516",0,0.9168,0.695,0.9022,0.9448,0.91,0.486,0.5982,0.5058,0.95,0.8024,0.471,0.885,0.4942,0.9624,0.915,0.9142,0.501,0.485,0.9546,0.6302,0.9424,0.6948,0.4962,0.496,0.5394,0.9072,0.5106,0.9622,0.9654,0.5332,0.51,0.5086,0.6676,0.495,0.5012,0.7282,0.904,0.5448,0.9286
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",0.9168,0,0.9462,0.8522,0.6454,0.867,0.8998,0.917,0.9052,0.6376,0.96,0.9242,0.8548,0.925,0.699,0.891,0.8576,0.9246,0.9072,0.7916,0.9326,0.7278,0.9254,0.9344,0.9256,0.8992,0.8608,0.9146,0.7902,0.7262,0.9324,0.915,0.9212,0.9196,0.9098,0.9054,0.936,0.8512,0.9148,0.7618
"1642.MS00599",0.695,0.9462,0,0.9362,0.949,0.943,0.6842,0.7348,0.6642,0.9608,0.8774,0.7054,0.9208,0.688,0.9726,0.9436,0.9444,0.697,0.6942,0.9682,0.777,0.9562,0.826,0.7168,0.6946,0.687,0.9398,0.735,0.9638,0.9738,0.7372,0.6588,0.7212,0.792,0.6798,0.6766,0.8248,0.9348,0.6638,0.953
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9022,0.8522,0.9362,0,0.8442,0.6222,0.8692,0.9032,0.8848,0.8406,0.9502,0.9128,0.7006,0.8986,0.8776,0.5992,0.5152,0.911,0.8796,0.833,0.9258,0.8088,0.9414,0.9204,0.9104,0.8882,0.5424,0.9202,0.9202,0.873,0.9302,0.8904,0.9046,0.9196,0.8872,0.878,0.9362,0.5642,0.9076,0.782
"2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences",0.9448,0.6454,0.949,0.8442,0,0.819,0.9238,0.9376,0.9348,0.402,0.96,0.9406,0.8886,0.9464,0.4878,0.8804,0.8414,0.9404,0.9342,0.6322,0.9484,0.5984,0.942,0.9476,0.9436,0.9206,0.8478,0.9366,0.8016,0.5588,0.9496,0.9376,0.9422,0.937,0.9324,0.9306,0.952,0.859,0.9348,0.6696
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",0.91,0.867,0.943,0.6222,0.819,0,0.8914,0.9166,0.9004,0.8216,0.9666,0.9252,0.7232,0.9142,0.8632,0.7406,0.6222,0.9218,0.8952,0.8982,0.9344,0.8336,0.9554,0.9322,0.9208,0.9048,0.6592,0.9288,0.9464,0.8994,0.9408,0.9044,0.9166,0.933,0.9058,0.8976,0.9452,0.708,0.9208,0.8306
"1642.MS00401",0.486,0.8998,0.6842,0.8692,0.9238,0.8914,0,0.52,0.5052,0.9306,0.79,0.516,0.8564,0.511,0.949,0.8986,0.8854,0.5072,0.4526,0.9354,0.5906,0.9222,0.6682,0.5354,0.5516,0.474,0.8876,0.5564,0.9422,0.9484,0.5756,0.5276,0.5386,0.6344,0.494,0.4776,0.6864,0.8802,0.5726,0.9084
"1642.MS00351",0.5982,0.917,0.7348,0.9032,0.9376,0.9166,0.52,0,0.6318,0.9464,0.7284,0.623,0.8886,0.6306,0.961,0.922,0.9186,0.6308,0.5578,0.952,0.586,0.9444,0.6536,0.6332,0.6648,0.5324,0.917,0.6462,0.9524,0.9632,0.6638,0.6448,0.6544,0.5354,0.5982,0.597,0.571,0.9048,0.683,0.93
"1642.MS00606",0.5058,0.9052,0.6642,0.8848,0.9348,0.9004,0.5052,0.6318,0,0.9406,0.8596,0.5242,0.8542,0.5178,0.9556,0.905,0.8898,0.5678,0.5268,0.9472,0.6902,0.936,0.7532,0.5898,0.5186,0.5288,0.8924,0.5638,0.9518,0.9542,0.5936,0.4796,0.546,0.7228,0.4934,0.497,0.782,0.8862,0.5332,0.9158
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.95,0.6376,0.9608,0.8406,0.402,0.8216,0.9306,0.9464,0.9406,0,0.9686,0.9488,0.8854,0.9472,0.4204,0.8768,0.8338,0.9474,0.9378,0.6664,0.9524,0.5832,0.9494,0.953,0.949,0.9292,0.8406,0.9386,0.8428,0.5234,0.956,0.9396,0.9464,0.9468,0.935,0.9332,0.9592,0.853,0.9436,0.6624
