"","1642.MS00516","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00351","1642.MS00606","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00358","1642.MS00548","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00601","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00483","1642.MS00424","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00390","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00336","1642.MS00527","1642.MS00583","1642.MS00436","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.453.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00509","1642.MS00617","1642.MS00503","1642.MS00346","1642.MS00556","1642.MS00446","1642.MS00345","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00516",0,1,0.72,1,1,1,-0.985,0.2,-0.852,1,0.972,-0.998,1,-0.94,1,1,1,-0.926,-0.966,1,0.449,1,0.893,-0.967,-0.924,-0.434,1,-0.889,1,1,-0.847,-0.817,-0.947,0.698,-0.913,-0.908,0.991,1,-0.435,1
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",1,0,1,0.998,-0.956,1,1,1,1,-0.957,1,1,1,1,-0.93,1,1,1,1,0.544,1,-0.434,1,1,1,1,1,1,-0.663,-0.842,1,1,1,1,1,1,1,1,1,0.261
"1642.MS00599",0.72,1,0,1,1,1,0.585,0.968,0.293,1,1,0.843,1,0.629,1,1,1,0.728,0.74,1,1,1,1,0.923,0.766,0.656,1,0.975,1,1,0.974,0.141,0.92,1,0.532,0.5,1,1,0.216,1
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.998,1,0,0.986,-0.701,1,1,1,0.979,1,1,0.83,1,0.966,-0.436,-0.998,1,1,0.998,1,0.974,1,1,1,1,-0.906,1,1,0.954,1,1,1,1,1,1,1,-0.837,1,0.996
"2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences",1,-0.956,1,0.986,0,0.809,1,1,1,-1,1,1,1,1,-1,1,0.986,1,1,-0.956,1,-0.988,1,1,1,1,0.998,1,-0.535,-1,1,1,1,1,1,1,1,1,1,-0.883
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,-0.701,0.809,0,1,1,1,0.866,1,1,0.704,1,0.814,0.937,-0.671,1,1,1,1,0.994,1,1,1,1,-0.206,1,1,0.993,1,1,1,1,1,1,1,0.583,1,1
"1642.MS00401",-0.985,1,0.585,1,1,1,0,-0.902,-0.887,1,0.94,-0.889,1,-0.896,1,1,1,-0.929,-1,1,-0.252,1,0.612,-0.737,-0.337,-0.99,1,-0.32,1,1,-0.342,-0.68,-0.723,0.116,-0.936,-0.992,0.77,1,-0.036,1
"1642.MS00351",0.2,1,0.968,1,1,1,-0.902,0,0.767,1,-0.029,0.521,1,0.736,1,1,1,0.686,-0.482,1,-0.433,1,0.221,0.675,0.978,-0.819,1,0.833,1,1,0.837,0.882,0.802,-0.978,0.203,0.149,-0.892,1,0.994,1
"1642.MS00606",-0.852,1,0.293,1,1,1,-0.887,0.767,0,1,1,-0.803,1,-0.763,1,1,1,-0.034,-0.642,1,0.992,1,1,0.263,-0.739,-0.596,1,-0.16,1,1,0.00499999999999989,-0.983,-0.632,1,-0.927,-0.938,1,1,-0.597,1
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",1,-0.957,1,0.979,-1,0.866,1,1,1,0,1,1,1,1,-1,1,0.967,1,1,-0.842,1,-0.996,1,1,1,1,0.986,1,0.0389999999999999,-1,1,1,1,1,1,1,1,0.996,1,-0.92
"1642.MS00358",0.972,1,1,1,1,1,0.94,-0.029,1,1,0,0.966,1,1,1,1,1,0.998,0.853,1,0.552,1,0.27,0.994,1,0.956,1,0.995,1,1,0.982,1,0.981,-0.586,0.998,1,-0.186,1,1,1
