"","1642.MS00617","1642.MS00336","1642.MS00509","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00601","1642.MS00599","1642.MS00556","1642.MS00516","1642.MS00527","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","1642.MS00358","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00345","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00346","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00424","1642.MS00495","1642.MS00390","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00401","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00446","1642.MS00436","2382.SH005.C3.RH.1.453.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00483","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","1642.MS00583","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00351"
"1642.MS00617",0,0.0426069781093,0.0263710784933,0.1070371895846,0.0249626663575,0.0385036085488,0.0237531438611,0.0211284138263,0.026546009842,0.0965140414702,0.0969675020849,0.0221606313716,0.0925186074872,0.1075026938878,0.1110804153928,0.0485427672063,0.1112895077642,0.0440888817877,0.0989536086932,0.0941140159763,0.025014705371,0.024126126303,0.038379475243,0.1147741457777,0.0216995430477,0.0236346524422,0.0857871145593,0.0223820527116,0.0934476565971,0.1032924303869,0.1309190611625,0.0218509378221,0.029339957389,0.1182004260662,0.0241892809908,0.0950565319519,0.0257670521869,0.0221995145473,0.1164674211396,0.0341005947374
"1642.MS00336",0.0426069781093,0,0.0281834944947,0.086084409485,0.0361312789264,0.0513659237633,0.0340810661594,0.0341729722229,0.0326288643285,0.0889466110355,0.1007411209774,0.0298024821618,0.0590184629458,0.0903979058187,0.0942486343759,0.02766303358,0.0832119628542,0.0237486631152,0.1207594288151,0.0913333173949,0.0267669517823,0.0282967625908,0.018806356043,0.0899273373907,0.0371071016666,0.0281579765498,0.0824705825426,0.0294573301704,0.1090586737685,0.097906675966,0.0864746426674,0.0368391306877,0.023978531256,0.0929486480586,0.0330153335749,0.0922383389579,0.0344479034582,0.0385728314829,0.0969880445741,0.0240973501505
"1642.MS00509",0.0263710784933,0.0281834944947,0,0.0967049932291,0.0236528507979,0.0394333913315,0.0259079076693,0.022064335912,0.0235013413387,0.0966754139268,0.101494451629,0.0196711996536,0.0880485900803,0.1020726919922,0.1065973009302,0.0400283174226,0.0971937797469,0.0380647178685,0.1196216855913,0.0957665906624,0.0226856227733,0.0218489260235,0.02426224938,0.1024390582347,0.0235485261971,0.0217134801681,0.0845308108608,0.0176144644384,0.1087952617888,0.1003699796352,0.1108296909673,0.0265888301789,0.0217444987729,0.1073843529423,0.0239282058878,0.0956681908787,0.0238284160021,0.024254628406,0.1138696902489,0.0322430526796
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",0.1070371895846,0.086084409485,0.0967049932291,0,0.1018888743819,0.0994729682553,0.1010924833002,0.1028144252597,0.0982648864279,0.0281311404801,0.0470659175029,0.0976902170029,0.1132891615436,0.0172563524354,0.0171993361721,0.0892516070186,0.0287681996702,0.078049354932,0.0445572716945,0.037240442621,0.0807613163387,0.1052110251681,0.0909749302243,0.0169158355743,0.1055791360919,0.0873768714722,0.0411380166429,0.0871230641745,0.0367808299634,0.0424672803873,0.0328663263537,0.0976206362616,0.0944459672921,0.0161973935562,0.1119408179259,0.0348658983035,0.1147018194913,0.1166725025317,0.0177263419489,0.094377619913
"1642.MS00601",0.0249626663575,0.0361312789264,0.0236528507979,0.1018888743819,0,0.0380762617349,0.025820151192,0.0200422159877,0.0224723194293,0.0975728072766,0.0956463551943,0.020449917038,0.0846561084817,0.1047817221716,0.109332276426,0.0434250700029,0.1062388724463,0.0404701370451,0.0996218466094,0.091709413875,0.0235510383197,0.0241369868324,0.0328995364111,0.107121426446,0.0227310364435,0.0227424857894,0.0828115959902,0.0216339022519,0.0932655268421,0.1008868805189,0.1227711043314,0.0236234504489,0.0260874857973,0.1112617182025,0.0240903145444,0.0945894912362,0.0260433570292,0.0229094541394,0.1184134940563,0.0330306134424
"1642.MS00599",0.0385036085488,0.0513659237633,0.0394333913315,0.0994729682553,0.0380762617349,0,0.0390653951946,0.0374981713412,0.0389450406125,0.0962586781186,0.0915231675428,0.0370706158674,0.0772998643078,0.1018562902141,0.106482981662,0.0592665594111,0.0987088725788,0.0489430573304,0.0938777693158,0.088039693835,0.0271499025708,0.0406519789663,0.0500116350694,0.1037369335267,0.0372080643397,0.0373205431115,0.0712137076867,0.0345894097404,0.0851298652454,0.0919772697572,0.1083296251681,0.0374618176133,0.0419591271643,0.1140518119432,0.0387937247866,0.0824881180729,0.0279419529466,0.0418643802351,0.1103903927846,0.0497545792332
"1642.MS00556",0.0237531438611,0.0340810661594,0.0259079076693,0.1010924833002,0.025820151192,0.0390653951946,0,0.0230673567274,0.0252776608513,0.0917239234762,0.0924794175725,0.0236392232589,0.0810381256023,0.1018773259458,0.1044261254785,0.038649732704,0.101372597894,0.03409335246,0.0963171736878,0.0892305408859,0.0219049549339,0.0230081337199,0.0314728000342,0.1067557224787,0.0236689330733,0.0221637569706,0.0821477540119,0.0240896218797,0.0885392244406,0.096570863238,0.1154548425088,0.0230960713374,0.0270159197515,0.1110812538941,0.0231590854485,0.091487328233,0.0262406848775,0.02502271585,0.1131175862062,0.0281019910713
"1642.MS00516",0.0211284138263,0.0341729722229,0.022064335912,0.1028144252597,0.0200422159877,0.0374981713412,0.0230673567274,0,0.0231514602499,0.096536394586,0.094254571504,0.0200687096163,0.0774420659427,0.1059232060692,0.1102880999663,0.0399943787588,0.1042277783276,0.0358197719429,0.1018359750506,0.091098099664,0.0215358739383,0.0216062366577,0.0317592983668,0.1092616461543,0.0223045683036,0.0213122479391,0.0824176239065,0.0199293507813,0.096071001297,0.0987123470791,0.1258639564635,0.0219749178288,0.0244541873374,0.1155517257723,0.0229483517649,0.0931177110895,0.023442496701,0.0217463431683,0.1201963131845,0.0310491968675
"1642.MS00527",0.026546009842,0.0326288643285,0.0235013413387,0.0982648864279,0.0224723194293,0.0389450406125,0.0252776608513,0.0231514602499,0,0.0896856888848,0.0906167059447,0.0229171902023,0.0804591861102,0.0983223368949,0.1022855831176,0.0424881630668,0.0988622832662,0.0397218742389,0.1053719392023,0.0870857733019,0.0247309124052,0.0252269300117,0.0291791777392,0.1014516002359,0.0269138303275,0.0244183599454,0.0815076958765,0.0243118957956,0.0991528435714,0.0957756762592,0.1194454087177,0.0255415971383,0.0260079566563,0.1048650615655,0.0230512350038,0.0899710262851,0.0281933476252,0.0246343457452,0.1064363499807,0.0323110137333
"2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences",0.0965140414702,0.0889466110355,0.0966754139268,0.0281311404801,0.0975728072766,0.0962586781186,0.0917239234762,0.096536394586,0.0896856888848,0,0.0337570883814,0.0925204926319,0.1128244782567,0.0314318538572,0.0303316414747,0.0865074220697,0.0395101955912,0.0762865285937,0.0338357864815,0.0377568033021,0.0783413386792,0.0980972995337,0.0946345713099,0.0274063402731,0.0971788862709,0.0827283452628,0.0429342585547,0.086117439425,0.0362157583409,0.0492308200921,0.0475285250228,0.0896169959395,0.0914312884687,0.0311497332658,0.0932200787707,0.0346098142351,0.1065938234144,0.1072360754682,0.0330398927866,0.0884443215071
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0969675020849,0.1007411209774,0.101494451629,0.0470659175029,0.0956463551943,0.0915231675428,0.0924794175725,0.094254571504,0.0906167059447,0.0337570883814,0,0.0942143448233,0.1237063635482,0.0504845605483,0.0513538446589,0.092120064658,0.0600757403007,0.0894206846889,0.0273878146273,0.027587806487,0.0781936164885,0.0979644944249,0.0994628855662,0.047082165273,0.096892596671,0.0836753768748,0.0424232574582,0.0879855918376,0.023679163985,0.042396851357,0.0797932372671,0.0836552011496,0.0931171098589,0.0547581440524,0.0937895470973,0.0253049469455,0.106801668466,0.1043358851163,0.0570237879014,0.0913663080001
"1642.MS00548",0.0221606313716,0.0298024821618,0.0196711996536,0.0976902170029,0.020449917038,0.0370706158674,0.0236392232589,0.0200687096163,0.0229171902023,0.0925204926319,0.0942143448233,0,0.0732963111319,0.1009870575211,0.1052274743075,0.0397522561239,0.0962471880951,0.0373341404538,0.1100072330433,0.0921377507323,0.0222896977389,0.0199153692041,0.027056856953,0.1039088420594,0.0217597553192,0.0206363047009,0.0804144328777,0.0178103579409,0.0996167254241,0.0958868404352,0.1122168147688,0.0231234186925,0.0230019165043,0.109148910927,0.020629965506,0.0924295233337,0.0245787389317,0.0214043297698,0.1123164714205,0.0304501797124
"1642.MS00358",0.0925186074872,0.0590184629458,0.0880485900803,0.1132891615436,0.0846561084817,0.0772998643078,0.0810381256023,0.0774420659427,0.0804591861102,0.1128244782567,0.1237063635482,0.0732963111319,0,0.1305967250013,0.1354506026729,0.064004715157,0.1283055187224,0.055423800855,0.1392894471861,0.1302809700902,0.0679429018213,0.0759460084524,0.0656907690668,0.1355635643747,0.0870625221165,0.0710639387537,0.1023243876235,0.0792565433135,0.1395000536183,0.1387785382544,0.1294697984306,0.0785128912366,0.0867021615056,0.1391010314464,0.0761944319866,0.1160866983036,0.0851035088894,0.0999469337964,0.1337376818673,0.061476726376
"2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences",0.1075026938878,0.0903979058187,0.1020726919922,0.0172563524354,0.1047817221716,0.1018562902141,0.1018773259458,0.1059232060692,0.0983223368949,0.0314318538572,0.0504845605483,0.1009870575211,0.1305967250013,0,0.0129364995617,0.0971761077114,0.0243606142682,0.0826650506597,0.0543919271715,0.0388844170789,0.0851134259229,0.1108274335001,0.0976825042139,0.0216417185696,0.1077159724603,0.0907481824737,0.0428082287334,0.0913955402997,0.0465343100633,0.035019625633,0.0294579125592,0.0968796171462,0.0980441694252,0.0182523733856,0.112777617565,0.0375985587436,0.1168070039878,0.1233309574475,0.0122361594658,0.1024925097169
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.1110804153928,0.0942486343759,0.1065973009302,0.0171993361721,0.109332276426,0.106482981662,0.1044261254785,0.1102880999663,0.1022855831176,0.0303316414747,0.0513538446589,0.1052274743075,0.1354506026729,0.0129364995617,0,0.0986692026995,0.0273447522017,0.0844085456197,0.0505673577896,0.0404434354724,0.0881572131202,0.1152677965402,0.1017041286083,0.0217604614004,0.1105309983662,0.0950931373516,0.0459737769738,0.0955899917622,0.0426334947938,0.0413004735099,0.0312924372813,0.1013668584853,0.1016336792978,0.018139855296,0.1187119023415,0.0397982575701,0.122203495687,0.1264748574345,0.0123543584499,0.1030972000772
"1642.MS00345",0.0485427672063,0.02766303358,0.0400283174226,0.0892516070186,0.0434250700029,0.0592665594111,0.038649732704,0.0399943787588,0.0424881630668,0.0865074220697,0.092120064658,0.0397522561239,0.064004715157,0.0971761077114,0.0986692026995,0,0.0939774211581,0.0231126368296,0.1067070997691,0.084166018743,0.0317799231515,0.0381688337096,0.0311023535099,0.0945441695267,0.0454926060258,0.0323584738817,0.0720307613017,0.0409574692709,0.0983879662263,0.0906108830986,0.096448699084,0.0417285426167,0.0312482703985,0.0990598241942,0.0416123279637,0.0868166414798,0.0447910887912,0.0492399035755,0.0966327298575,0.0248846800709
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",0.1112895077642,0.0832119628542,0.0971937797469,0.0287681996702,0.1062388724463,0.0987088725788,0.101372597894,0.1042277783276,0.0988622832662,0.0395101955912,0.0600757403007,0.0962471880951,0.1283055187224,0.0243606142682,0.0273447522017,0.0939774211581,0,0.0810521614882,0.0528923262118,0.0436495048437,0.0821646665713,0.1083326394072,0.0954227002346,0.0382674909623,0.1090461627427,0.0890238483752,0.043632447118,0.085611513655,0.0458736918902,0.0467618070588,0.029339278219,0.1002204500137,0.0986901065032,0.032939512166,0.0991486028788,0.0470473457904,0.1160839544087,0.1236699811364,0.0292418861352,0.0994098337611
"1642.MS00346",0.0440888817877,0.0237486631152,0.0380647178685,0.078049354932,0.0404701370451,0.0489430573304,0.03409335246,0.0358197719429,0.0397218742389,0.0762865285937,0.0894206846889,0.0373341404538,0.055423800855,0.0826650506597,0.0844085456197,0.0231126368296,0.0810521614882,0,0.1020842199594,0.0814731466011,0.0256105857551,0.0367403550122,0.0264372966808,0.0847014110373,0.0469334586223,0.0280934629055,0.0676739085098,0.0383481891511,0.090946382599,0.0859985231845,0.0834917401983,0.0386936909685,0.0268233709224,0.0853606705999,0.0393143243846,0.0836617259619,0.0413621273943,0.0474629443441,0.083359733661,0.0174846559562
