"","1642.MS00617","1642.MS00336","1642.MS00509","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00601","1642.MS00599","1642.MS00556","1642.MS00516","1642.MS00527","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","1642.MS00358","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00345","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00346","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00424","1642.MS00495","1642.MS00390","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00401","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00446","1642.MS00436","2382.SH005.C3.RH.1.453.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00483","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","1642.MS00583","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00351"
"1642.MS00617",NA,-1.06114992041804,-2.95722767179999,2.88558092160435,-2.40432609033569,-0.916043484847523,-1.88826188762502,-5.03412981042987,-1.65672632311526,3.07881158082807,9.4129732740675,-3.09626803457815,3.86373092230825,1.68252768830831,1.86760774305648,-1.64627553236488,2.1530460467892,-0.167203574605767,11.5268943643169,9.32911492483626,-2.46332640276402,-3.37653763477317,0.248339165112473,4.26717984578569,-2.78599218290466,-2.09939148645481,8.29811711182085,-4.0949202558604,8.50488893625655,7.46428022659073,2.59925434269495,-1.99005663298158,-0.230655918439479,1.62739016815694,-1.97695562431956,9.09528268074445,-2.43835439302335,-2.7433330659922,0.640341235340839,-1.12302661999906
"1642.MS00336",-1.06114992041804,NA,-3.39033967938971,-1.25336398420469,-3.24802633201022,-1.17524477684038,-3.15384631727331,-2.64683534097397,-3.21073255296666,-0.527341315486205,1.45838834248219,-3.34944541865107,-0.620591440192076,-1.07813919570172,-0.804049760142046,-6.28869921937684,-0.461940365877068,-4.51404689711282,4.17508288323175,0.475622639153392,-4.7766097172692,-2.81877229425392,-5.70691161389573,-0.895434037325447,-2.19621038476122,-4.80045725025709,-0.185577130153628,-2.4059386189791,2.84509672735036,0.272391049443209,-1.68488958549505,-2.73772180312492,-6.05584464167771,-1.82816859992919,-2.72454879906852,0.56195272973789,-3.01747291999937,-2.04947667512298,-1.16917430075338,-5.78645064336504
"1642.MS00509",-2.95722767179999,-3.39033967938971,NA,0.133117811006132,-4.21239674129167,-1.39631372105777,-3.10792290897022,-4.34098293150866,-3.05863829293143,0.655252984283009,2.82010907572095,-4.02269643585702,3.46305764316014,0.000516476616413106,0.426013790347038,-3.54937265775076,1.06049795326522,-1.82983763803601,5.60461887774656,2.36909301080634,-6.28591142973186,-2.88922147199586,-4.91256144039147,0.357073520461647,-4.05233373586192,-5.50506713946188,1.17165209031652,-5.95739574367672,4.27872764818265,1.97656223543202,-0.232516933618515,-4.03360274592441,-5.53766365877677,-0.316270981374607,-3.5186642311967,2.27032261549401,-3.95711569676504,-3.13966367981549,-0.0325128599091217,-2.53623051535089
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",2.88558092160435,-1.25336398420469,0.133117811006132,NA,1.96599671400624,-0.327410469064183,2.31870369721988,2.13887468824141,0.369636485028777,-5.13254210088666,-3.67406597863894,0.870527424254639,-0.0594729496939021,-8.44320702849109,-3.16809767139387,-1.45869603974859,-3.25577688814927,-1.89275140311677,-2.95420610374881,-4.8973033892717,-0.796500080037344,1.57448947055771,-0.647741316176264,-8.16272585751314,3.42187411936788,0.054085926965386,-5.70810118017188,-0.371343254467997,-4.74423483272238,-4.1721228424366,-7.16933583152313,2.12267549458127,1.29230447707427,-7.69553968584822,3.40004151872038,-4.47787365651348,3.99585844971418,3.97038987933653,-7.54879943521426,-0.019691712514339
"1642.MS00601",-2.40432609033569,-3.24802633201022,-4.21239674129167,1.96599671400624,NA,-1.36376670454555,-1.97881353348729,-5.81082020576471,-2.67756559293778,2.75647156895261,7.2528214031159,-4.61190414883913,2.21227024238511,1.089169089949,1.39978658013264,-4.2721254483247,1.53972178403236,-1.56221603616336,10.064949657461,7.09099254962623,-3.47575268911014,-4.23491808163857,-3.26151091550755,2.30633417818022,-3.6836644287909,-3.19324984890483,5.53936532257905,-4.69583402447539,7.68097961727092,7.29577054963137,1.25128506035762,-2.48273797379633,-3.57024508074831,0.393741152733629,-2.99054311966365,8.04806046230474,-3.66174645940142,-4.70957706373985,0.857612225085393,-2.8292268844347
"1642.MS00599",-0.916043484847523,-1.17524477684038,-1.39631372105777,-0.327410469064183,-1.36376670454555,NA,-1.17949572327491,-1.35035216113796,-1.48040316262911,-0.19321788263178,0.523429248362776,-1.45955181878363,1.48051682721212,-0.456028902179496,-0.298201958036236,-0.938700934656243,-0.240344944749857,-1.44590372683215,0.98818663668306,0.222429842712847,-3.00066337838104,-1.4280158386481,-1.14568702695313,-0.0947860245749938,-1.16686936667907,-1.27248354355926,-0.970642169772583,-1.39964161681019,-0.10106472220202,-0.0252180530060571,-0.644015455573327,-1.13348526734696,-0.98484987948662,-0.519105366475653,-0.880449820267069,-0.336939142911373,-2.95429657532078,-0.98893204328237,-0.632736651180452,-0.787314046874512
"1642.MS00556",-1.88826188762502,-3.15384631727331,-3.10792290897022,2.31870369721988,-1.97881353348729,-1.17949572327491,NA,-1.95561515260919,-2.46814468108897,1.9702565988394,7.77397764374859,-1.91815961958693,1.59590362041765,0.996128550424928,1.15220306240462,-3.85791405926843,1.39674453253334,-2.38482525496364,9.73983352965944,7.29460079537678,-3.97291887542296,-3.84972851667061,-2.69677089139975,2.89214430500016,-1.81165372935211,-3.93086290545644,5.76203680363665,-2.0944583997299,6.53048056228356,5.31519701182922,1.34808807108533,-2.06636504632675,-2.62875694568759,0.920821038884146,-3.51713909411678,7.17338018661678,-2.57143525710942,-1.82128364088003,0.507766474069814,-3.63473436961117
"1642.MS00516",-5.03412981042987,-2.64683534097397,-4.34098293150866,2.13887468824141,-5.81082020576471,-1.35035216113796,-1.95561515260919,NA,-2.52099118652979,2.27404457684153,5.88264644661099,-4.46057392104716,1.35890939589401,1.18348538495016,1.48660100311539,-3.8431218804265,1.78351105209279,-1.8123571172344,8.36270274384933,5.37465252202792,-5.00914561961851,-4.99268300004017,-1.91581527092017,2.5533543405601,-3.62096682068525,-4.06009783746446,3.36629539453255,-4.35668608180405,6.81906956748591,5.16630529202796,1.6726673276662,-4.17783900848244,-3.97829987945669,0.934697367728556,-2.68225675797764,5.50408040527942,-4.34529944725559,-3.58612333779376,0.909141966238713,-2.34970499740325
"1642.MS00527",-1.65672632311526,-3.21073255296666,-3.05863829293143,0.369636485028777,-2.67756559293778,-1.48040316262911,-2.46814468108897,-2.52099118652979,NA,0.094442984413887,1.93430383269779,-3.74523092177927,1.23705787325476,-0.0697869376479312,0.247680062975669,-2.72824870636533,1.1404820002332,-1.67437890024268,4.62168353124404,1.488395596507,-2.46899876395043,-2.82534822628864,-3.25175979114431,0.48886029223276,-2.32901772645895,-2.2590102595729,0.962296515049336,-2.79899800286145,3.66073555024869,1.62633914678864,0.479551579296777,-1.61809629921276,-2.90086161535829,-0.406700949014394,-2.74366474215185,1.87069496917426,-2.71899582098091,-3.61310283749701,-0.394318547596111,-2.43608077778178
"2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences",3.07881158082807,-0.527341315486205,0.655252984283009,-5.13254210088666,2.75647156895261,-0.19321788263178,1.9702565988394,2.27404457684153,0.094442984413887,NA,-5.66371538283147,0.898303934059093,0.677465061868659,-4.73049635094701,-5.82066916270823,-1.11282993327134,-3.08768455246063,-1.71367620286425,-5.13648305399888,-6.6233862643938,-0.533617881990068,1.91489683086967,0.507238731420095,-6.41291095336741,3.27052536403707,0.199079691700775,-5.63824370217138,-0.120808487054841,-5.30448205088986,-5.27342934104596,-5.16979504927393,1.90501172627041,1.98697754695165,-6.09396194527562,1.31158965490454,-4.92088803014273,4.74153735747344,4.51820458023308,-4.75766672252974,-0.144968331140328
