"","1642.MS00516","1642.MS00407","1642.MS00620","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","1642.MS00626","1642.MS00478","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00385","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00473","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00383","1642.MS00567","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00612","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00464","1642.MS00433","1642.MS00431","1642.MS00496","1642.MS00509","1642.MS00442","1642.MS00338","1642.MS00503","1642.MS00438","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","1642.MS00618","1642.MS00498","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00633"
"1642.MS00516",0,0.4854,0.5346,0.9072,0.9408,0.4992,0.5546,0.5102,0.936,0.4972,0.5342,0.95,0.4826,0.9624,0.9624,0.5614,0.4818,0.9694,0.8844,0.5606,0.4932,0.9424,0.5468,0.9316,0.5132,0.5516,0.4998,0.4654,0.5332,0.528,0.674,0.5086,0.5164,0.9332,0.94,0.51,0.5508,0.476,0.912,0.5448
"1642.MS00407",0.4854,0,0.5784,0.883,0.9252,0.529,0.5534,0.5448,0.9162,0.5134,0.489,0.9334,0.476,0.9494,0.9508,0.5018,0.5014,0.9514,0.8544,0.5586,0.5508,0.9276,0.5196,0.911,0.5134,0.4966,0.473,0.4738,0.5662,0.5188,0.6436,0.5126,0.5116,0.9134,0.925,0.5288,0.5926,0.4926,0.8856,0.5784
"1642.MS00620",0.5346,0.5784,0,0.8952,0.9354,0.589,0.5462,0.577,0.9306,0.4872,0.5738,0.9434,0.524,0.9616,0.96,0.604,0.593,0.9682,0.858,0.5768,0.5144,0.9412,0.6492,0.9324,0.5758,0.5758,0.584,0.5254,0.6228,0.5536,0.75,0.6166,0.5846,0.9312,0.9328,0.565,0.5434,0.5854,0.8944,0.5582
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9072,0.883,0.8952,0,0.704,0.9256,0.8864,0.9184,0.7464,0.8976,0.877,0.8628,0.8854,0.863,0.8904,0.887,0.9124,0.8688,0.7226,0.8742,0.908,0.8084,0.9024,0.726,0.8864,0.883,0.9032,0.8858,0.9394,0.9148,0.9448,0.9088,0.9188,0.7206,0.8328,0.9282,0.9138,0.9028,0.4896,0.9074
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.9408,0.9252,0.9354,0.704,0,0.9398,0.9306,0.935,0.6556,0.9388,0.9186,0.7488,0.9284,0.641,0.8196,0.9224,0.935,0.669,0.8568,0.922,0.9382,0.7096,0.9284,0.484,0.9242,0.9322,0.9312,0.9258,0.9496,0.9414,0.953,0.9354,0.9386,0.6534,0.6818,0.9452,0.944,0.927,0.7408,0.9228
"1642.MS00510",0.4992,0.529,0.589,0.9256,0.9398,0,0.6206,0.4894,0.9336,0.5588,0.5708,0.946,0.555,0.9578,0.9612,0.5764,0.4334,0.9626,0.896,0.6498,0.576,0.9384,0.517,0.9376,0.5538,0.606,0.4764,0.5014,0.3882,0.5602,0.578,0.441,0.4604,0.936,0.938,0.489,0.6152,0.4654,0.9256,0.5516
"1642.MS00626",0.5546,0.5534,0.5462,0.8864,0.9306,0.6206,0,0.6332,0.9242,0.525,0.598,0.9398,0.502,0.9586,0.955,0.6104,0.6138,0.9698,0.8564,0.4914,0.5284,0.9354,0.649,0.9254,0.557,0.5638,0.593,0.5566,0.6666,0.5582,0.7542,0.6232,0.6188,0.9288,0.9252,0.6244,0.4852,0.6102,0.8916,0.5822
"1642.MS00478",0.5102,0.5448,0.577,0.9184,0.935,0.4894,0.6332,0,0.9296,0.5692,0.578,0.9444,0.5732,0.9534,0.9548,0.5804,0.4862,0.961,0.8938,0.6664,0.5674,0.9374,0.5164,0.9308,0.5714,0.6182,0.575,0.5062,0.5184,0.5944,0.6826,0.5436,0.555,0.93,0.9358,0.5272,0.6308,0.5006,0.9238,0.5274
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",0.936,0.9162,0.9306,0.7464,0.6556,0.9336,0.9242,0.9296,0,0.9296,0.9134,0.6726,0.9168,0.5428,0.7242,0.9142,0.9274,0.6786,0.8334,0.9194,0.9286,0.4888,0.9202,0.6288,0.9184,0.9162,0.9224,0.9126,0.9452,0.9306,0.9436,0.9352,0.9262,0.5564,0.642,0.934,0.936,0.9224,0.7324,0.934
"1642.MS00459",0.4972,0.5134,0.4872,0.8976,0.9388,0.5588,0.525,0.5692,0.9296,0,0.5366,0.945,0.4866,0.9614,0.9612,0.5556,0.5554,0.9654,0.8502,0.529,0.512,0.9416,0.6108,0.9322,0.531,0.5144,0.5434,0.4758,0.5938,0.5138,0.7268,0.586,0.5668,0.9348,0.9338,0.5422,0.538,0.5564,0.8988,0.5554
"1642.MS00385",0.5342,0.489,0.5738,0.877,0.9186,0.5708,0.598,0.578,0.9134,0.5366,0,0.9356,0.532,0.9474,0.954,0.4776,0.5748,0.9524,0.8486,0.5912,0.6084,0.9266,0.5882,0.9066,0.5488,0.5572,0.5154,0.5098,0.6064,0.5628,0.5968,0.5822,0.545,0.9128,0.9212,0.5436,0.6466,0.531,0.8892,0.6326
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.95,0.9334,0.9434,0.8628,0.7488,0.946,0.9398,0.9444,0.6726,0.945,0.9356,0,0.9356,0.634,0.4204,0.9366,0.9398,0.8022,0.856,0.936,0.9454,0.5832,0.9304,0.7176,0.9378,0.9344,0.9418,0.933,0.956,0.9462,0.9538,0.9464,0.9442,0.707,0.6034,0.9488,0.949,0.9426,0.8422,0.9436
"1642.MS00473",0.4826,0.476,0.524,0.8854,0.9284,0.555,0.502,0.5732,0.9168,0.4866,0.532,0.9356,0,0.9522,0.9538,0.5338,0.5218,0.96,0.8478,0.5004,0.4838,0.9306,0.5726,0.92,0.5232,0.509,0.4984,0.4748,0.6154,0.5052,0.707,0.5532,0.5414,0.9226,0.9224,0.5566,0.5308,0.5308,0.8914,0.57
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.9624,0.9494,0.9616,0.863,0.641,0.9578,0.9586,0.9534,0.5428,0.9614,0.9474,0.634,0.9522,0,0.6798,0.948,0.9506,0.594,0.8974,0.9504,0.9602,0.5804,0.9462,0.6372,0.9514,0.9546,0.9536,0.9476,0.9648,0.962,0.9626,0.9584,0.9592,0.6588,0.5598,0.9632,0.9666,0.9488,0.8488,0.9524
"2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences",0.9624,0.9508,0.96,0.8904,0.8196,0.9612,0.955,0.9548,0.7242,0.9612,0.954,0.4204,0.9538,0.6798,0,0.951,0.9534,0.8388,0.8982,0.9466,0.9608,0.6356,0.9432,0.7916,0.9556,0.9478,0.9574,0.9498,0.9668,0.9646,0.965,0.9576,0.96,0.7638,0.6964,0.9608,0.9646,0.9528,0.8842,0.9578
"1642.MS00383",0.5614,0.5018,0.604,0.887,0.9224,0.5764,0.6104,0.5804,0.9142,0.5556,0.4776,0.9366,0.5338,0.948,0.951,0,0.573,0.9522,0.8518,0.5994,0.6174,0.9306,0.6008,0.9166,0.5842,0.553,0.5348,0.5544,0.6052,0.5584,0.5578,0.579,0.5622,0.914,0.9224,0.5612,0.656,0.5644,0.8944,0.6298
"1642.MS00567",0.4818,0.5014,0.593,0.9124,0.935,0.4334,0.6138,0.4862,0.9274,0.5554,0.5748,0.9398,0.5218,0.9506,0.9534,0.573,0,0.9572,0.8894,0.619,0.554,0.931,0.4928,0.9302,0.529,0.5944,0.5182,0.4872,0.4668,0.5804,0.6566,0.4674,0.5202,0.9248,0.9324,0.5174,0.6146,0.4564,0.9146,0.522
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",0.9694,0.9514,0.9682,0.8688,0.669,0.9626,0.9698,0.961,0.6786,0.9654,0.9524,0.8022,0.96,0.594,0.8388,0.9522,0.9572,0,0.91,0.9604,0.969,0.7252,0.9502,0.6132,0.9574,0.9648,0.9618,0.9546,0.969,0.9706,0.9618,0.9652,0.9664,0.708,0.8086,0.9718,0.9754,0.9556,0.8618,0.955
"2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8844,0.8544,0.858,0.7226,0.8568,0.896,0.8564,0.8938,0.8334,0.8502,0.8486,0.856,0.8478,0.8974,0.8982,0.8518,0.8894,0.91,0,0.8552,0.886,0.8414,0.8766,0.8182,0.8526,0.8546,0.879,0.8476,0.9054,0.8848,0.9278,0.8846,0.892,0.8086,0.8454,0.8996,0.883,0.8812,0.7024,0.8872
"1642.MS00629",0.5606,0.5586,0.5768,0.8742,0.922,0.6498,0.4914,0.6664,0.9194,0.529,0.5912,0.936,0.5004,0.9504,0.9466,0.5994,0.619,0.9604,0.8552,0,0.5468,0.9272,0.6532,0.9196,0.5818,0.5238,0.5988,0.5622,0.696,0.584,0.764,0.635,0.6336,0.9192,0.9196,0.6546,0.5398,0.6178,0.8794,0.6054
"1642.MS00612",0.4932,0.5508,0.5144,0.908,0.9382,0.576,0.5284,0.5674,0.9286,0.512,0.6084,0.9454,0.4838,0.9602,0.9608,0.6174,0.554,0.969,0.886,0.5468,0,0.9428,0.6238,0.9306,0.5792,0.5304,0.5458,0.5152,0.6236,0.4852,0.7442,0.5806,0.557,0.934,0.9352,0.569,0.4578,0.5578,0.9106,0.536
