"","1642.MS00516","1642.MS00407","1642.MS00620","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","1642.MS00626","1642.MS00478","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00385","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00473","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00383","1642.MS00567","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00612","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00464","1642.MS00433","1642.MS00431","1642.MS00496","1642.MS00509","1642.MS00442","1642.MS00338","1642.MS00503","1642.MS00438","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","1642.MS00618","1642.MS00498","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00633"
"1642.MS00516",0,-0.957,-0.326,1,1,-0.949,0.089,-0.778,1,-0.878,-0.345,1,-0.964,1,1,0.044,-0.986,1,1,0.262,-0.908,1,-0.36,1,-0.644,-0.141,-0.93,-0.998,-0.801,-0.425,0.92,-0.909,-0.731,1,1,-0.854,-0.043,-0.992,1,-0.168
"1642.MS00407",-0.957,0,0.386,1,1,-0.748,-0.083,-0.36,1,-0.762,-0.962,1,-0.984,1,1,-0.9,-0.951,1,1,0.1,-0.115,1,-0.791,1,-0.743,-0.922,-0.998,-0.992,-0.323,-0.65,0.558,-0.894,-0.858,1,1,-0.713,0.596,-0.936,1,0.313
"1642.MS00620",-0.326,0.386,0,1,1,0.333,-0.073,0.329,1,-0.964,0.275,1,-0.5,1,1,0.779,0.463,1,1,0.554,-0.617,1,0.988,1,0.392,0.258,0.353,-0.471,0.697,-0.048,1,0.745,0.367,1,1,-0.078,-0.228,0.519,1,0.018
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0,0.736,1,1,1,0.695,1,1,1,1,0.996,1,1,1,0.976,0.998,1,1,0.998,1,0.948,1,1,1,1,1,1,1,1,1,0.641,0.998,1,1,1,-0.998,1
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,0.736,0,1,1,1,-0.746,1,1,-0.208,1,-0.994,0.128,1,1,-0.982,1,1,1,-0.297,1,-1,1,1,1,1,1,1,1,1,1,-0.67,-0.771,1,1,1,0.986,1
"1642.MS00510",-0.949,-0.748,0.333,1,1,0,0.823,-0.984,1,-0.283,-0.107,1,-0.331,1,1,-0.023,-1,1,1,0.99,0.0620000000000001,1,-0.921,1,-0.322,0.542,-1,-0.934,-1,-0.184,-0.634,-1,-1,1,1,-0.992,0.782,-1,1,-0.386
"1642.MS00626",0.089,-0.083,-0.073,1,1,0.823,0,0.99,1,-0.495,0.725,1,-0.817,1,1,0.907,0.821,1,1,-0.869,-0.341,1,0.99,1,0.102,0.077,0.533,0.0940000000000001,0.994,0.11,1,0.847,0.91,1,1,0.92,-0.934,0.897,1,0.438
"1642.MS00478",-0.778,-0.36,0.329,1,1,-0.984,0.99,0,1,0.077,0.257,1,0.24,1,1,0.288,-0.984,1,1,1,0.166,1,-0.834,1,0.145,0.893,0.0569999999999999,-0.818,-0.926,0.636,0.962,-0.555,-0.258,1,1,-0.76,0.98,-0.911,1,-0.58
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.695,-0.746,1,1,1,0,1,1,-0.842,1,-1,-0.872,1,1,-0.946,1,1,1,-1,1,-0.884,1,1,1,1,1,1,1,1,1,-1,-0.932,1,1,1,0.447,1
"1642.MS00459",-0.878,-0.762,-0.964,1,1,-0.283,-0.495,0.077,1,0,-0.439,1,-0.968,1,1,-0.122,-0.246,1,1,-0.413,-0.731,1,0.709,1,-0.461,-0.752,-0.417,-0.986,0.0960000000000001,-0.734,0.998,0.111,-0.004,1,1,-0.453,-0.324,-0.083,1,-0.086
"1642.MS00385",-0.345,-0.962,0.275,1,1,-0.107,0.725,0.257,1,-0.439,0,1,-0.442,1,1,-0.99,0.0229999999999999,1,1,0.654,0.841,1,0.245,1,-0.208,-0.092,-0.809,-0.804,0.307,-0.034,-0.3,0.018,-0.352,1,1,-0.471,0.996,-0.553,1,0.97
