"","1642.MS00629","1642.MS00383","1642.MS00510","1642.MS00444","1642.MS00567","1642.MS00618","1642.MS00612","1642.MS00503","1642.MS00431","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00385","1642.MS00509","1642.MS00496","1642.MS00442","1642.MS00407","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00433","1642.MS00478","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00473","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00459","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00465","1642.MS00626","1642.MS00633","1642.MS00516","1642.MS00620","1642.MS00464","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438"
"1642.MS00629",0,0.0309123843203,0.0314345467592,0.038451271671,0.0284235897913,0.0293969741886,0.0290760452794,0.0284126324445,0.0258584933906,0.0888189257785,0.02950218674,0.0336687793404,0.0271425644704,0.0298690431952,0.0261866153467,0.0998364050047,0.0800531143498,0.0256029568444,0.0357287191702,0.1096651307064,0.0244463933334,0.0740994118278,0.0883564899131,0.0933051929599,0.0258453910785,0.0910768816625,0.1008939988834,0.041394671098,0.033616691676,0.0243649891751,0.0333438231651,0.0267295005749,0.0294943371021,0.0259940066527,0.094301946751,0.0899944784027,0.0889920779693,0.0294052722175,0.0798576905142,0.0293948309057
"1642.MS00383",0.0309123843203,0,0.0235610268362,0.0247965159621,0.0252779314823,0.0372612619588,0.0330807813248,0.0251045187389,0.0206125764168,0.0847530941665,0.0193524436539,0.0257413397422,0.0242615695603,0.0277595901885,0.0203811629703,0.0969292340006,0.0821288668187,0.022569354957,0.022948940022,0.1059072348514,0.0253441935856,0.0752513068151,0.0863105504256,0.0915167351871,0.0247432016491,0.0870526558949,0.1082395463286,0.0206693213791,0.0246138450519,0.0312523809507,0.0310823045133,0.026920952448,0.0340110002427,0.0275777637549,0.1023024133228,0.0885600558867,0.0872678729744,0.0247676048862,0.0845669991753,0.0226891310254
"1642.MS00510",0.0314345467592,0.0235610268362,0,0.0216553104023,0.0173720638389,0.0284306674224,0.0250900342486,0.0181556368653,0.0220365708559,0.0979090425995,0.0269045161519,0.0165375312342,0.0195157526916,0.0231946864565,0.0223383725413,0.1154697216831,0.0974507979735,0.024660964144,0.0194337633679,0.124505310398,0.0228820835797,0.0888032230181,0.0995400582363,0.1067931592179,0.0209093972697,0.102948106049,0.1171113866156,0.0297282965657,0.0197238790052,0.0272365999292,0.0243899279879,0.0211736273223,0.0357854428594,0.0230660477285,0.1086812359805,0.1025747079137,0.1004827966814,0.0193684062834,0.0986978022925,0.0211557007482
"1642.MS00444",0.038451271671,0.0247965159621,0.0216553104023,0,0.0226714771966,0.0315974955769,0.030067942205,0.0210424614646,0.0222482250407,0.1005884511376,0.0253949760091,0.0208829332191,0.0255053703971,0.0259116221817,0.0281628217071,0.1147012476838,0.0960973317188,0.0281861439614,0.0218591310263,0.1232398573563,0.0250908835056,0.0880688947713,0.0975214045368,0.1090804105624,0.026639058901,0.1032250802337,0.1093708701463,0.0271884749486,0.0294450211614,0.0335255612809,0.027018641357,0.0278348705822,0.0349628608358,0.0275815363449,0.1053706854778,0.102028892468,0.1023722666437,0.0219400988607,0.1001740764705,0.0200946455276
"1642.MS00567",0.0284235897913,0.0252779314823,0.0173720638389,0.0226714771966,0,0.0295601570563,0.0250597537832,0.0179622053681,0.0226470344299,0.0935329065806,0.0291858427497,0.0185952712539,0.0206606281641,0.0254090132573,0.0217623257981,0.1067372352391,0.0921372092683,0.0249965840537,0.0205992382611,0.1172025100029,0.0222363222478,0.0853722718113,0.0933157899048,0.102392907373,0.0226363898383,0.0991507398485,0.1120883807002,0.0331151794141,0.0204716417884,0.0275902236875,0.0243985333566,0.0213144994741,0.0334049816846,0.0231514984255,0.1047445335176,0.0957809611243,0.0964891706673,0.0194518270527,0.0947285203775,0.0233858383174
"1642.MS00618",0.0293969741886,0.0372612619588,0.0284306674224,0.0315974955769,0.0295601570563,0,0.0230737183338,0.0286934600323,0.0260817269859,0.113923942672,0.0360412366491,0.0304409182401,0.0270366930172,0.0243989139116,0.0314778643482,0.1275965797902,0.1002465244478,0.0287517554517,0.0318000242648,0.1415409164033,0.0260633839811,0.094032374545,0.1098557411029,0.1192202562193,0.0259977824275,0.1147538019143,0.1201718068421,0.0453377343566,0.0348545216569,0.0239092266995,0.0268224869981,0.0251150750426,0.0267669381306,0.0281638602321,0.1171025478229,0.1132074531246,0.1100750482695,0.0298968679874,0.1061102022722,0.0257912885644
"1642.MS00612",0.0290760452794,0.0330807813248,0.0250900342486,0.030067942205,0.0250597537832,0.0230737183338,0,0.0247733421392,0.0240288263397,0.1078678687705,0.032878794363,0.0270311582333,0.0245855973243,0.0235050210993,0.0286500410984,0.1209944684673,0.0970600669198,0.025610764755,0.0284409180378,0.1325026546741,0.023958830402,0.0908025181125,0.1052808282059,0.1120287547638,0.0256132718311,0.1066401040542,0.1216276548672,0.0404097595053,0.0288198867544,0.0265935705987,0.0253680552137,0.0225915037853,0.0252989498401,0.0270306840725,0.1144462211987,0.1084935216471,0.1075786702626,0.0264329201285,0.1006963617976,0.0241550093556
"1642.MS00503",0.0284126324445,0.0251045187389,0.0181556368653,0.0210424614646,0.0179622053681,0.0286934600323,0.0247733421392,0,0.0216176471736,0.0866510078834,0.0274090510403,0.0181865991687,0.01911972021,0.0242529527185,0.021038462059,0.1016065582357,0.0829493620092,0.0249529947699,0.0222559330498,0.1119120752053,0.0212545733342,0.0759686611248,0.0880661971192,0.0951112163752,0.0218271328307,0.092435699433,0.1052742070963,0.0313026740565,0.0197263354964,0.0269308579707,0.0250561590649,0.0205705259636,0.0419368023983,0.0218768879601,0.0976721719734,0.0898834313752,0.089559402178,0.0198972318495,0.0861819070647,0.0225285804861
"1642.MS00431",0.0258584933906,0.0206125764168,0.0220365708559,0.0222482250407,0.0226470344299,0.0260817269859,0.0240288263397,0.0216176471736,0,0.0793613145754,0.0216787404757,0.0237480307009,0.0204612359844,0.0210357035224,0.0190536112396,0.0917658460834,0.0727914260266,0.0191944395254,0.025554010496,0.098348181037,0.0202637489669,0.0664355125698,0.0781653154271,0.0833239498115,0.0210664848629,0.0809186650261,0.0963831052714,0.0242120381591,0.0229329691724,0.0250774348683,0.0273541330768,0.0223359010645,0.0408995362426,0.0213965658491,0.090055752773,0.0824441216293,0.0833504561407,0.0210510532326,0.0771042894064,0.0188119497102
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",0.0888189257785,0.0847530941665,0.0979090425995,0.1005884511376,0.0935329065806,0.113923942672,0.1078678687705,0.0866510078834,0.0793613145754,0,0.0789274119852,0.0937511353536,0.0896375735529,0.1000786332753,0.0800407490321,0.0242100719103,0.0317287027776,0.0833191288406,0.1088027635718,0.0267429498419,0.0899613303139,0.0380045879406,0.0191917549462,0.0238570478241,0.0975635237912,0.0236498843269,0.0291974963838,0.0777214536242,0.0913703289076,0.1022191597628,0.1098949630187,0.0990135254852,0.1221612867135,0.0929287470726,0.0251638153643,0.0212370453772,0.0326418072037,0.0886451063293,0.0266707479064,0.0888808661204
