"","1642.MS00629","1642.MS00383","1642.MS00510","1642.MS00444","1642.MS00567","1642.MS00618","1642.MS00612","1642.MS00503","1642.MS00431","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00385","1642.MS00509","1642.MS00496","1642.MS00442","1642.MS00407","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00433","1642.MS00478","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00473","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00459","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00465","1642.MS00626","1642.MS00633","1642.MS00516","1642.MS00620","1642.MS00464","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438"
"1642.MS00629",NA,-2.61605315467834,-2.4407073891326,0.575004915272187,-5.14166133763471,1.67439280310724,0.215893655118211,-3.43627495163264,-4.51502515214405,0.824910086091354,-3.6068812369862,-3.40213820306723,-4.06633400557611,-2.68708569556678,-4.35142923545371,-0.592824087442,3.80235758470397,-3.30844813831114,-1.27520017617116,0.100086477310517,-3.85976165775469,2.66574939125125,0.0766756656672653,1.76261368920543,-4.50695352562164,1.4983543207456,-0.593780854616008,-1.98653566175449,-3.4526207250819,-2.44836577970918,-1.72640298532772,-3.74027457140056,-1.96977871029603,-5.31849277287134,-0.316160158293322,0.084258359470636,-0.541909049153338,-3.78995704060832,3.31838068091234,-2.75022957685376
"1642.MS00383",-2.61605315467834,NA,-4.47044292821333,-3.93381662337838,-5.3039762910534,0.780599378745736,-0.990824659647575,-2.77785975419644,-4.39868940146501,-0.0905624846102098,-6.11802625373888,-5.13713013078304,-4.43763412612537,-1.76963297831816,-6.87158498079221,-1.04805538951166,3.0152134504096,-5.41967971894013,-6.30440598047355,-0.180581269809669,-2.89046130520169,2.59243878348327,-0.41054631488753,1.94809184258131,-4.7840607207152,1.81051608890298,-0.130933980799104,-7.09835758533934,-5.98028140395659,-2.4080934402896,-3.11179860028454,-2.79235513353045,-0.555775380989473,-3.60708139200122,0.493662277972451,-0.270339524847251,-0.708949154312546,-3.74563554337187,3.55681147363836,-4.03449811328811
"1642.MS00510",-2.4407073891326,-4.47044292821333,NA,-4.87494854691873,-6.14653846615816,-1.65375160117116,-2.51825712093106,-5.45662879875388,-4.17578653855294,0.912883741717302,-3.07195549191397,-7.20890541431195,-5.4870583562639,-4.98955735956751,-5.77064210423446,0.75007246890485,3.13890413601745,-4.39255295808038,-5.9620041515317,1.34482765425216,-5.22282495818957,7.75242166028194,0.624448627275552,2.02703460614606,-6.27936215886827,1.84425625727101,0.192651474278781,-3.0822872891634,-6.17465591518602,-3.74692088178587,-2.38470541864351,-5.23118595966563,0.343293481499209,-5.92758552064862,0.575338878722494,0.946300738579543,0.0804661464952708,-4.7532001662221,3.15090822230114,-5.06148059234991
"1642.MS00444",0.575004915272187,-3.93381662337838,-4.87494854691873,NA,-5.59212848429949,-0.225927605097125,-0.160113251202619,-6.33752205630017,-3.57553255548383,1.46045502138519,-3.78200763081656,-4.86448229335012,-1.27538786529066,-0.820397690974872,-1.40642681213174,0.693072831475408,4.39822595898202,0.376158827661432,-6.03048195359594,1.21068917153884,-4.90211000696075,6.80044650896212,0.479192405857581,2.66705226859693,-1.74060258522634,2.124438590654,-0.310532500273157,-1.82319150702092,-2.95933071901127,-0.286123231968378,-4.41109317552618,-0.252174564637905,0.705938258856508,-3.55998445551405,0.373518558722525,0.967308899907079,0.355414997144891,-5.11449920436653,5.2159176548484,-5.27479845223514
"1642.MS00567",-5.14166133763471,-5.3039762910534,-6.14653846615816,-5.59212848429949,NA,-2.94780407082067,-2.98158627372739,-6.90128680368769,-4.81341544322832,0.749954308521006,-3.15766531610088,-6.53431201438079,-5.25703252398676,-4.74178508535219,-6.62721134137463,0.00529805994330114,3.62285573334937,-5.49092007250365,-5.59039985644098,0.829390671243733,-5.10696609691759,6.72875087497905,0.210761896283391,2.07561869485608,-5.68271559294113,1.95787975303502,0.012723124019525,-3.74948785453109,-6.43544215344869,-4.77321510678897,-2.27696115311311,-5.70273231795239,-0.0891073759576217,-5.64609758155052,0.428143843907245,0.368198878686356,-0.120379594989657,-5.30701656293154,4.00927897912241,-4.34531869839295
"1642.MS00618",1.67439280310724,0.780599378745736,-1.65375160117116,-0.225927605097125,-2.94780407082067,NA,-0.379748959528402,-1.65334817391702,-1.70351288985794,4.64742048330871,0.042082801579792,-3.12994995531776,-2.45763768968647,-3.06916286847726,0.0545758947940551,3.1859870590604,9.55215778094837,0.815958329657535,-1.65378113065435,4.0162383810642,-0.787952161038694,9.03991174939752,3.56594013634509,5.5357005630329,-3.03480294323,5.41768617190411,0.605212121402076,1.16585579725663,-2.04326833900425,-0.429365685847916,-2.7125831518978,-3.63522750859538,-2.66883711829071,-2.36566792350455,1.8625286827557,3.11952993287274,2.2644921358684,-3.18770943564911,11.0208964220251,-2.7021330159325
"1642.MS00612",0.215893655118211,-0.990824659647575,-2.51825712093106,-0.160113251202619,-2.98158627372739,-0.379748959528402,NA,-1.36034863834179,-2.08463671537701,3.81140454402465,-0.457555253316896,-3.52690607668027,-2.61759714003652,-2.97674851731036,-1.25635397986201,2.4919569951934,8.37988062605048,-1.83703176629445,-2.23599036612116,3.03499296307776,-1.86528801642069,7.7538009858685,2.45993243043994,4.60880532869799,-2.58585871560246,4.42112737681955,0.86154527381772,-1.21985597562724,-2.90672428077447,-1.18813020961448,-2.97455086618462,-2.6918591131801,-2.7630816721666,-2.19410143857122,1.77458011511088,2.63316779887584,1.9155079978673,-2.6349303156778,8.94230507388536,-2.67486651096053
"1642.MS00503",-3.43627495163264,-2.77785975419644,-5.45662879875388,-6.33752205630017,-6.90128680368769,-1.65334817391702,-1.36034863834179,NA,-2.78607856868727,-0.331983603347913,-1.86836596301738,-7.27262803370072,-6.55473723120398,-3.88743649290566,-5.07691052035784,-0.530495795500316,0.737534074704415,-3.71275593562715,-3.90788238246725,-0.151349608297817,-5.04721080784277,5.54739574938422,-0.490295017281349,0.43541627692094,-4.84833256658543,0.475426338737679,-0.465656207325057,-2.4457415656571,-4.90471623875943,-3.17886776334757,-2.14457379026458,-4.86242391784377,0.670949639363597,-5.59543605419567,-0.305656669196757,-0.257537983326015,-0.794474358807319,-4.45733069063848,1.01583123108221,-2.33829377190177
"1642.MS00431",-4.51502515214405,-4.39868940146501,-4.17578653855294,-3.57553255548383,-4.81341544322832,-1.70351288985794,-2.08463671537701,-2.78607856868727,NA,-1.05341373953259,-3.68319279988535,-4.38953553493256,-5.67232904564778,-3.04505716977762,-5.36317628352897,-1.31690799151406,-0.584494282964517,-5.23238221030637,-2.75880990753282,-1.12758342059377,-4.59485795649771,0.682835812369106,-1.34813668096464,-0.551327629548461,-6.05524179506801,-0.632187799101041,-1.01677579208323,-4.71611854640889,-5.8639397497126,-4.74595110359624,-3.20016337498329,-3.31184239509063,0.819574506047564,-6.36378346448905,-0.861874886236789,-1.02386706429427,-1.42125790764231,-4.81560517266134,-0.0574217920544035,-4.9969008743266
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",0.824910086091354,-0.0905624846102098,0.912883741717302,1.46045502138519,0.749954308521006,4.64742048330871,3.81140454402465,-0.331983603347913,-1.05341373953259,NA,-1.09024945205396,0.118935835068562,0.995108934982918,1.95500387710021,-1.24412536822771,-4.3808626533016,-5.88213520817033,-0.57390835631521,3.71767572338549,-4.75817324126086,0.998944749922434,-6.88584799507982,-5.90104626354305,-5.63545381646637,1.8009359081312,-3.44412187373354,-4.87467455087366,-1.82094364298732,0.704192769190509,2.8764449909802,3.80924958473983,2.17841008381904,6.57636086840352,1.01573127685326,-5.2075659867153,-4.25485615723181,-4.22854212493344,0.218526450412974,-4.73531714820143,-0.0836235226816055
