"","1642.MS00517","1642.MS00621","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00421","1642.MS00595","1642.MS00604","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00386","1642.MS00567","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00375","1642.MS00591","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00466","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00524","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00491","1642.MS00432","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00361","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00449","1642.MS00395","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00446","1642.MS00619","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00517",0,0.5266,0.8806,0.95,0.9898,0.9112,0.6882,0.498,0.5554,0.5406,0.9076,0.5254,0.5036,0.4972,0.8896,0.9038,0.7226,0.6468,0.9354,0.4688,0.952,0.9062,0.559,0.924,0.5586,0.4998,0.9568,0.662,0.9274,0.5502,0.5092,0.931,0.5292,0.9236,0.9316,0.9204,0.9434,0.5174,0.5502,0.9228
"1642.MS00621",0.5266,0,0.8556,0.9416,0.9872,0.8926,0.738,0.5168,0.5754,0.4974,0.8852,0.619,0.547,0.4948,0.8712,0.883,0.7268,0.6588,0.9218,0.5582,0.9396,0.884,0.4916,0.9142,0.5258,0.516,0.951,0.6722,0.9164,0.5082,0.5896,0.9142,0.48,0.9064,0.9182,0.9064,0.932,0.4792,0.478,0.9062
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8806,0.8556,0,0.8928,0.9776,0.7756,0.9246,0.861,0.884,0.8788,0.7626,0.8888,0.893,0.8758,0.598,0.7198,0.9272,0.9164,0.8814,0.8954,0.9058,0.7408,0.8756,0.8788,0.8616,0.871,0.9384,0.912,0.8816,0.881,0.8966,0.855,0.878,0.8536,0.8716,0.8092,0.8838,0.8642,0.8682,0.8544
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.95,0.9416,0.8928,0,0.97,0.883,0.963,0.949,0.9214,0.9522,0.891,0.9462,0.948,0.9402,0.9122,0.8596,0.9598,0.952,0.6512,0.95,0.2902,0.8614,0.9518,0.7622,0.9472,0.9502,0.7924,0.9522,0.7146,0.947,0.9506,0.6386,0.9438,0.618,0.7172,0.7388,0.5118,0.9482,0.952,0.7116
"1001.SKD8",0.9898,0.9872,0.9776,0.97,0,0.9842,0.988,0.988,0.9832,0.9916,0.986,0.9744,0.9884,0.9864,0.9848,0.981,0.9876,0.99,0.955,0.9878,0.9686,0.981,0.9902,0.949,0.9898,0.985,0.9528,0.9836,0.9682,0.9894,0.9874,0.9716,0.989,0.9744,0.9562,0.9716,0.9624,0.9874,0.9918,0.9662
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.9112,0.8926,0.7756,0.883,0.9842,0,0.9418,0.9058,0.905,0.9098,0.495,0.9194,0.9234,0.9064,0.8492,0.5702,0.9502,0.9122,0.8786,0.9198,0.8926,0.5926,0.9024,0.8256,0.8844,0.9018,0.8794,0.9284,0.7944,0.9074,0.9124,0.8166,0.913,0.7666,0.8144,0.767,0.8696,0.8916,0.9002,0.7528
"1642.MS00371",0.6882,0.738,0.9246,0.963,0.988,0.9418,0,0.6336,0.7626,0.7614,0.9348,0.6482,0.7096,0.723,0.917,0.9366,0.603,0.7984,0.9476,0.7104,0.9626,0.9322,0.7524,0.9298,0.739,0.6644,0.9584,0.5796,0.9368,0.7092,0.6644,0.9452,0.7594,0.9482,0.933,0.9374,0.955,0.7372,0.757,0.9408
"1642.MS00421",0.498,0.5168,0.861,0.949,0.988,0.9058,0.6336,0,0.5808,0.5688,0.9,0.5154,0.5274,0.5112,0.8714,0.899,0.6576,0.6748,0.93,0.5348,0.9458,0.8956,0.5508,0.9228,0.558,0.4804,0.9526,0.582,0.9208,0.5226,0.503,0.9234,0.5382,0.9184,0.9236,0.9162,0.938,0.5302,0.5472,0.922
"1642.MS00595",0.5554,0.5754,0.884,0.9214,0.9832,0.905,0.7626,0.5808,0,0.5858,0.904,0.6558,0.5954,0.5614,0.8938,0.904,0.7424,0.6592,0.9008,0.6196,0.9218,0.9014,0.617,0.8944,0.6252,0.597,0.9214,0.7018,0.8888,0.6054,0.6378,0.9266,0.5508,0.9014,0.905,0.8886,0.9148,0.587,0.5894,0.8902
"1642.MS00604",0.5406,0.4974,0.8788,0.9522,0.9916,0.9098,0.7614,0.5688,0.5858,0,0.9044,0.6388,0.5528,0.5168,0.8868,0.902,0.7428,0.5988,0.9352,0.584,0.957,0.9006,0.4958,0.9318,0.5186,0.5684,0.9616,0.696,0.9286,0.531,0.621,0.9302,0.5034,0.923,0.9344,0.9198,0.9444,0.5076,0.4932,0.9208
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9076,0.8852,0.7626,0.891,0.986,0.495,0.9348,0.9,0.904,0.9044,0,0.914,0.917,0.9054,0.8274,0.5914,0.9484,0.9136,0.8782,0.9126,0.8952,0.6132,0.8916,0.824,0.8752,0.8864,0.8908,0.9278,0.803,0.9008,0.914,0.8198,0.905,0.7372,0.8076,0.7838,0.8748,0.8838,0.8936,0.7814
"1642.MS00386",0.5254,0.619,0.8888,0.9462,0.9744,0.9194,0.6482,0.5154,0.6558,0.6388,0.914,0,0.533,0.5694,0.882,0.9104,0.6754,0.7066,0.9222,0.5392,0.943,0.9088,0.6224,0.9118,0.6474,0.5498,0.9426,0.6052,0.9262,0.5828,0.4158,0.9306,0.6172,0.9194,0.911,0.9218,0.9372,0.612,0.6098,0.9268
"1642.MS00567",0.5036,0.547,0.893,0.948,0.9884,0.9234,0.7096,0.5274,0.5954,0.5528,0.917,0.533,0,0.4578,0.8934,0.9198,0.7252,0.6336,0.9292,0.468,0.9498,0.9138,0.5682,0.9302,0.5972,0.5306,0.9546,0.6574,0.9312,0.572,0.4974,0.928,0.5066,0.9222,0.9248,0.922,0.935,0.5828,0.55,0.929
"1642.MS00474",0.4972,0.4948,0.8758,0.9402,0.9864,0.9064,0.723,0.5112,0.5614,0.5168,0.9054,0.5694,0.4578,0,0.8816,0.905,0.7096,0.6414,0.921,0.4998,0.9414,0.8972,0.5354,0.9156,0.5312,0.5024,0.9466,0.6364,0.915,0.5062,0.5252,0.9182,0.4878,0.9096,0.9142,0.9044,0.9264,0.502,0.511,0.9116
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8896,0.8712,0.598,0.9122,0.9848,0.8492,0.917,0.8714,0.8938,0.8868,0.8274,0.882,0.8934,0.8816,0,0.8258,0.9244,0.9226,0.8906,0.9006,0.9266,0.8118,0.8818,0.8912,0.8718,0.8726,0.95,0.905,0.8938,0.8782,0.8934,0.8852,0.885,0.8808,0.8858,0.859,0.8976,0.8716,0.8768,0.893
