"","1642.MS00517","1642.MS00621","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00421","1642.MS00595","1642.MS00604","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00386","1642.MS00567","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00375","1642.MS00591","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00466","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00524","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00491","1642.MS00432","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00361","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00449","1642.MS00395","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00446","1642.MS00619","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00517",0,-0.814,1,1,1,1,0.944,-0.951,-0.472,-0.644,1,-0.916,-0.964,-0.964,1,1,0.996,0.888,1,-1,1,1,-0.309,1,-0.468,-0.951,1,0.875,1,-0.533,-0.974,1,-0.785,1,1,1,1,-0.887,-0.517,1
"1642.MS00621",-0.814,0,1,1,1,1,1,-0.787,0.141,-0.914,1,0.538,-0.594,-0.943,1,1,0.998,0.988,1,-0.546,1,1,-0.922,1,-0.749,-0.833,1,0.974,1,-0.866,-0.00900000000000001,1,-0.976,1,1,1,1,-0.982,-0.97,1
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0,1,1,1,1,1,1,1,0.996,1,1,1,-0.846,0.932,1,1,1,1,1,0.986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,0,0.989,1,1,1,1,1,0.996,1,1,1,1,0.953,1,1,-0.97,1,-1,0.964,1,-0.524,1,1,-0.273,1,-0.876,1,1,-0.984,1,-0.996,-0.828,-0.733,-1,1,1,-0.886
"1001.SKD8",1,1,1,0.989,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,0.959,1,1,0.89,1,1,0.852,1,0.994,1,1,0.992,1,0.998,0.933,1,0.958,1,1,0.994
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",1,1,1,1,1,0,1,1,1,1,-0.998,1,1,1,1,-0.845,1,1,1,1,0.994,-0.567,1,1,1,1,0.998,1,0.982,1,1,0.96,1,0.696,1,0.986,1,1,1,0.964
"1642.MS00371",0.944,1,1,1,1,1,0,0.323,1,1,1,0.435,0.983,1,1,1,-0.448,1,1,0.986,1,1,1,1,1,0.812,1,-0.634,1,0.992,0.695,1,1,1,1,1,1,1,1,1
"1642.MS00421",-0.951,-0.787,1,1,1,1,0.323,0,0.22,0.004,1,-0.949,-0.813,-0.885,1,1,0.758,0.996,1,-0.828,1,1,-0.263,1,-0.319,-0.982,1,-0.29,1,-0.745,-0.966,1,-0.571,1,1,1,1,-0.728,-0.33,1
"1642.MS00595",-0.472,0.141,1,1,1,1,1,0.22,0,0.299,1,0.888,0.143,-0.267,1,1,1,0.968,1,0.474,1,1,0.784,1,0.807,0.429,1,0.998,1,0.618,0.75,1,-0.403,1,1,1,1,0.295,0.394,1
"1642.MS00604",-0.644,-0.914,1,1,1,1,1,0.004,0.299,0,1,0.787,-0.558,-0.845,1,1,1,0.349,1,-0.138,1,1,-0.922,1,-0.838,-0.083,1,0.998,1,-0.634,0.529,1,-0.915,1,1,1,1,-0.893,-0.946,1
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.996,0.996,1,-0.998,1,1,1,1,0,1,1,1,1,-0.672,1,1,1,1,0.995,-0.245,1,1,1,1,1,1,0.992,1,1,0.957,1,0.212,0.994,1,1,1,1,0.99
"1642.MS00386",-0.916,0.538,1,1,1,1,0.435,-0.949,0.888,0.787,1,0,-0.892,-0.495,1,1,0.844,1,1,-0.88,1,1,0.589,1,0.793,-0.731,1,-0.125,1,-0.174,-1,1,0.444,1,1,1,1,0.345,0.353,1
"1642.MS00567",-0.964,-0.594,1,1,1,1,0.983,-0.813,0.143,-0.558,1,-0.892,0,-1,1,1,0.998,0.703,1,-1,1,1,-0.242,1,0.201,-0.826,1,0.774,1,-0.262,-0.992,1,-0.94,1,1,1,1,-0.0669999999999999,-0.582,1
"1642.MS00474",-0.964,-0.943,1,1,1,1,1,-0.885,-0.267,-0.845,1,-0.495,-1,0,1,1,0.99,0.866,1,-0.986,1,1,-0.575,1,-0.76,-0.918,1,0.654,1,-0.91,-0.886,1,-0.975,1,1,1,1,-0.918,-0.87,1
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,-0.846,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.932,0.953,1,-0.845,1,1,1,1,-0.672,1,1,1,1,0,1,1,1,1,0.918,-0.92,1,0.98,1,1,0.994,1,0.964,1,1,0.958,1,0.816,0.914,0.681,0.986,1,1,0.972
"1642.MS00375",0.996,0.998,1,1,1,1,-0.448,0.758,1,1,1,0.844,0.998,0.99,1,1,0,1,1,0.998,1,1,0.992,1,1,0.858,1,-0.709,1,0.52,0.703,1,1,1,1,1,1,0.998,0.998,1
"1642.MS00591",0.888,0.988,1,1,1,1,1,0.996,0.968,0.349,1,1,0.703,0.866,1,1,1,0,1,0.939,1,1,0.936,1,0.97,0.996,1,1,1,1,0.996,1,0.845,1,1,1,1,1,0.994,1
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,-0.97,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.99,1,1,-0.83,1,1,-0.7,1,-1,1,1,-0.972,1,-0.984,-0.704,-0.96,-1,1,1,-0.982
"1642.MS00466",-1,-0.546,1,1,1,1,0.986,-0.828,0.474,-0.138,1,-0.88,-1,-0.986,1,1,0.998,0.939,1,0,1,1,-0.159,1,-0.183,-0.886,1,0.692,1,-0.336,-0.978,1,-0.775,1,1,1,1,-0.141,-0.212,1
"2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,-1,0.959,0.994,1,1,1,1,0.995,1,1,1,1,0.918,1,1,-0.99,1,0,0.964,1,-0.77,1,1,-0.54,1,-0.906,1,1,-1,1,-1,-0.892,-0.853,-1,1,1,-0.962
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.986,0.964,1,-0.567,1,1,1,1,-0.245,1,1,1,1,-0.92,1,1,1,1,0.964,0,1,1,1,1,1,1,0.994,1,1,0.986,1,0.955,0.976,0.611,0.996,1,1,0.931
"1642.MS00524",-0.309,-0.922,1,1,1,1,1,-0.263,0.784,-0.922,1,0.589,-0.242,-0.575,1,1,0.992,0.936,1,-0.159,1,1,0,1,-0.978,-0.742,1,0.984,1,-0.962,0.175,1,-0.291,1,1,1,1,-0.932,-0.972,1
