"","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1001.SKD8","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00386","1642.MS00567","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00621","1642.MS00466","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00361","1642.MS00446","1642.MS00595","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00395","1642.MS00449","1642.MS00421","1642.MS00375","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00491","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00619","1642.MS00432","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00604","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00474"
"2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences",0,0.0221710179269,0.030350828093,0.0319142434365,0.0769816403142,0.0732836127813,0.0498644534943,0.074120346818,0.0919901633904,0.0487065118064,0.0812287337776,0.0923915264009,0.0899180233568,0.0293895334494,0.0304189262667,0.0763726322124,0.0858090809934,0.0723135661794,0.0530415771602,0.0962007363395,0.0177844968676,0.0231810870667,0.042070769356,0.0814392914538,0.0816748796639,0.0900541909833,0.0754785340042,0.0931275451197,0.0200122820353,0.0881130612949,0.0330798517626,0.0952850861512,0.0241230613018,0.0440584833514,0.0999913410208,0.0769377398508,0.0292874534269,0.0932291786214,0.0276411309289,0.0875381223133
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",0.0221710179269,0,0.024667096335,0.0330815841105,0.076745157004,0.0696147271348,0.0508976253957,0.0713158750101,0.0865578014118,0.0448110735682,0.0796591352815,0.0937723419713,0.0891197821449,0.0241048016324,0.0325840283309,0.0743721404586,0.0885580808872,0.073539453641,0.0529438096925,0.0963445446664,0.0188173616354,0.0254935445824,0.0418560804279,0.0822278716602,0.0771284769308,0.091194905852,0.0736407975773,0.0913435065081,0.023829678343,0.0869602764263,0.026571806799,0.0941376219972,0.0273246664896,0.0433633604784,0.0995952403491,0.0779029243439,0.0306044629449,0.093399165671,0.0238746340976,0.0867213554798
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",0.030350828093,0.024667096335,0,0.0336960670742,0.0822163530969,0.0815680111086,0.0383710430971,0.0732613201974,0.0876282915097,0.040831364219,0.0780843515899,0.088974163441,0.0884165917859,0.0233943182243,0.0228251807413,0.0755933744897,0.084538388535,0.0743904546796,0.0570156048839,0.0901299002961,0.0278904006929,0.0233334945881,0.0271138164067,0.0772758387996,0.0787839539976,0.0901499695602,0.0745274780945,0.0950047465447,0.0218558313386,0.0820929317161,0.0163999165901,0.0948048808223,0.0238259043078,0.0291464316142,0.0967179447038,0.0763284597076,0.019072373735,0.0888634434505,0.0212181617698,0.0860729670469
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0319142434365,0.0330815841105,0.0336960670742,0,0.0820325651154,0.1038363035018,0.0235637232774,0.0735074923085,0.0883143752839,0.0319111242495,0.0763990982907,0.0813765894339,0.0861245506071,0.0430672966191,0.0351261291176,0.0787566997058,0.0766201450496,0.0704349884365,0.0428520209486,0.0836593018685,0.0392835864454,0.0272065858882,0.0235700302356,0.0789810627646,0.0788510883348,0.0826806488883,0.0714598395134,0.0921318453203,0.0324026313106,0.0758521220421,0.0331915519294,0.0886143295491,0.0397786625336,0.0242476163925,0.0897883124754,0.0730407617178,0.0429824342132,0.0829932549729,0.044588011661,0.0844893278531
"1642.MS00371",0.0769816403142,0.076745157004,0.0822163530969,0.0820325651154,0,0.1223685914011,0.0974205957146,0.0323339805273,0.0402637118678,0.0902630716826,0.0365276375157,0.0415765289996,0.0391278226969,0.09208103668,0.0858132765638,0.0236466636817,0.0391719743665,0.0409210948386,0.0782956349833,0.0459830754809,0.0851295668549,0.0836809531554,0.0845531172833,0.0431882405084,0.0334068045384,0.0376097370352,0.0301400163071,0.0276806407668,0.086817001084,0.0415680893138,0.0805486053241,0.043936739915,0.0940348155014,0.0841924926796,0.0460799375699,0.0338729370098,0.0948276479818,0.0444437819571,0.0902061585203,0.0385385560619
"1001.SKD8",0.0732836127813,0.0696147271348,0.0815680111086,0.1038363035018,0.1223685914011,0,0.1195667795594,0.1177862298708,0.1442396097664,0.1310957029628,0.1325828941379,0.148556004277,0.1495588674907,0.0704810287939,0.0890953422169,0.1243010504601,0.1476136823331,0.1289229293854,0.1192823887882,0.1575561534458,0.0526200002699,0.0872677884615,0.1191248756802,0.133863212526,0.1293470781609,0.1463424416453,0.1323599179558,0.1383053235888,0.0823664490472,0.1500572007619,0.0772614958621,0.1501895799591,0.0698089788729,0.1197519173045,0.1594380951688,0.1382923012442,0.0788238496903,0.1471768532097,0.0691000655857,0.1443993017465
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0498644534943,0.0508976253957,0.0383710430971,0.0235637232774,0.0974205957146,0.1195667795594,0,0.096982875561,0.1035769872934,0.0359133036169,0.0938851388868,0.087685652313,0.102106727045,0.0507530390517,0.03237232333,0.0893765759885,0.082700005787,0.0822774571129,0.0500495600537,0.0844988639491,0.0889536081631,0.0414796582903,0.024546126843,0.0816639652045,0.1010602756123,0.0908448329167,0.0846406667258,0.10205195683,0.0415748804518,0.0816804072907,0.0437758026975,0.0970250991771,0.047664186259,0.0245670420735,0.0910069394091,0.085630025769,0.0447028046644,0.0870518114565,0.0541581962191,0.0954832761581
"1642.MS00386",0.074120346818,0.0713158750101,0.0732613201974,0.0735074923085,0.0323339805273,0.1177862298708,0.096982875561,0,0.0205491461408,0.0717532170436,0.020311256163,0.0236660483349,0.0198544372445,0.0875637154298,0.0789651805193,0.0210187537023,0.022827007263,0.0258905843242,0.0725442080994,0.0255089347357,0.0789770360301,0.0747980326872,0.0730724016665,0.0290793723614,0.0164685775019,0.0210596700288,0.0177871047434,0.0247340037929,0.0769436735795,0.0283041687511,0.0750567509892,0.0243385599878,0.0799417922036,0.0756158928607,0.0274292830728,0.0200386280578,0.0748634181988,0.0261728007464,0.0850282736322,0.0209936492928
"1642.MS00567",0.0919901633904,0.0865578014118,0.0876282915097,0.0883143752839,0.0402637118678,0.1442396097664,0.1035769872934,0.0205491461408,0,0.0847044564431,0.0191698579106,0.0206471131443,0.0198633512423,0.1055691169302,0.0899995689982,0.0301061657169,0.0228751212396,0.024899548505,0.0896180174295,0.0229394603992,0.0979725157425,0.0885193073471,0.0890003289213,0.0269450277954,0.0187009982094,0.0214882078662,0.0215215911663,0.0347511043902,0.0914492184146,0.026395495205,0.0880746144414,0.0190992590573,0.0932102682696,0.0890478076567,0.0225965556334,0.0222326905257,0.0881341884858,0.0219237607566,0.102826474296,0.017861139709
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0487065118064,0.0448110735682,0.040831364219,0.0319111242495,0.0902630716826,0.1310957029628,0.0359133036169,0.0717532170436,0.0847044564431,0,0.0750369541199,0.0826077089115,0.0818900789038,0.04309447526,0.047144510293,0.0830677143682,0.0788185538517,0.0694417490177,0.0220032344124,0.0843983376363,0.0523394365453,0.0366972244843,0.0382559544797,0.0814228601982,0.0777273190853,0.0880336861076,0.0711538858953,0.0998939439589,0.0452077601656,0.075622850152,0.036936736819,0.0871831514113,0.0422407501234,0.0384435201118,0.0877566673293,0.075084615019,0.0433920375775,0.0853713954422,0.0473842503627,0.0824566709094
