"","1642.MS00622","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00514","1642.MS00620","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00352","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","1642.MS00594","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00484","1642.MS00408","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00380","1642.MS00483","1642.MS00424","1642.MS00564","1642.MS00390","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00613","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00348","1642.MS00573","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB8","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","1642.MS00504","1642.MS00398","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00632","1001.SKB7"
"1642.MS00622",0,0.953,0.592,0.4928,0.5646,0.8474,0.7774,0.9394,0.945,0.5798,0.6956,0.8806,0.6368,0.5084,0.919,0.8904,0.8962,0.9184,0.5542,0.5266,0.6124,0.7082,0.8622,0.5664,0.9592,0.4794,0.6888,0.5176,0.879,0.9894,0.896,0.5352,0.8704,0.554,0.6754,0.7446,0.8996,0.873,0.4776,0.9944
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",0.953,0,0.9576,0.9582,0.9514,0.9042,0.9736,0.532,0.484,0.9576,0.9646,0.8984,0.9622,0.9484,0.6156,0.8872,0.5464,0.991,0.9572,0.9478,0.9524,0.9606,0.8852,0.9568,0.5068,0.9504,0.9604,0.9528,0.84,0.9676,0.8426,0.955,0.8716,0.9562,0.9582,0.967,0.8542,0.8518,0.9504,0.9804
"1642.MS00514",0.592,0.9576,0,0.5934,0.5358,0.9036,0.6046,0.9476,0.9532,0.496,0.7106,0.9204,0.6136,0.508,0.9316,0.9282,0.9178,0.8386,0.5738,0.5066,0.6028,0.5906,0.9082,0.7146,0.9626,0.5548,0.6836,0.524,0.9198,0.9864,0.9266,0.5656,0.9188,0.4106,0.469,0.5748,0.9346,0.917,0.5782,0.9906
"1642.MS00620",0.4928,0.9582,0.5934,0,0.5822,0.8584,0.7766,0.9426,0.954,0.5974,0.7056,0.8956,0.6026,0.5428,0.926,0.903,0.9126,0.8978,0.5868,0.5614,0.648,0.6894,0.8808,0.631,0.9658,0.5224,0.701,0.5442,0.8958,0.9924,0.9014,0.572,0.8916,0.5844,0.7062,0.7466,0.9086,0.89,0.509,0.995
"1642.MS00428",0.5646,0.9514,0.5358,0.5822,0,0.8796,0.6218,0.9378,0.9376,0.4968,0.713,0.911,0.5912,0.4484,0.9194,0.912,0.902,0.8002,0.5374,0.4588,0.5858,0.54,0.8888,0.7154,0.9558,0.5282,0.5742,0.517,0.8986,0.9886,0.9126,0.4836,0.9026,0.5198,0.5648,0.5884,0.9138,0.8988,0.5692,0.9924
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",0.8474,0.9042,0.9036,0.8584,0.8796,0,0.9462,0.895,0.8978,0.8964,0.9272,0.73,0.9308,0.868,0.8662,0.7454,0.8296,0.9832,0.9014,0.8648,0.8894,0.9258,0.6966,0.8638,0.9186,0.871,0.9014,0.875,0.7052,0.9804,0.733,0.8802,0.69,0.8862,0.9114,0.9412,0.7208,0.7088,0.861,0.984
"1642.MS00352",0.7774,0.9736,0.6046,0.7766,0.6218,0.9462,0,0.9648,0.9652,0.6338,0.818,0.9536,0.757,0.624,0.956,0.9542,0.951,0.703,0.7164,0.6448,0.7498,0.554,0.9438,0.839,0.978,0.7582,0.5814,0.686,0.947,0.9922,0.9568,0.6552,0.9518,0.604,0.6224,0.5444,0.9608,0.949,0.7756,0.995
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.9394,0.532,0.9476,0.9426,0.9378,0.895,0.9648,0,0.4756,0.9464,0.9592,0.8516,0.956,0.9366,0.4892,0.8624,0.5792,0.9894,0.9504,0.9376,0.933,0.952,0.8614,0.9452,0.6086,0.9366,0.9512,0.9438,0.828,0.9604,0.8742,0.9428,0.854,0.9416,0.9492,0.9588,0.891,0.8506,0.933,0.9754
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.945,0.484,0.9532,0.954,0.9376,0.8978,0.9652,0.4756,0,0.9516,0.965,0.8912,0.9586,0.9424,0.6146,0.8904,0.5332,0.9866,0.9552,0.9464,0.9374,0.9532,0.883,0.9634,0.5188,0.9486,0.9522,0.9458,0.8312,0.9546,0.8736,0.9504,0.8618,0.945,0.9498,0.9608,0.8764,0.8348,0.945,0.9638
"1642.MS00513",0.5798,0.9576,0.496,0.5974,0.4968,0.8964,0.6338,0.9464,0.9516,0,0.701,0.9226,0.5756,0.4912,0.932,0.927,0.9172,0.8422,0.5302,0.4746,0.5716,0.5696,0.9082,0.7238,0.9696,0.5214,0.6668,0.4836,0.9178,0.9894,0.9292,0.5432,0.9136,0.4612,0.5022,0.5856,0.9274,0.922,0.5656,0.993
