"","1642.MS00622","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00514","1642.MS00620","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00352","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","1642.MS00594","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00484","1642.MS00408","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00380","1642.MS00483","1642.MS00424","1642.MS00564","1642.MS00390","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00613","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00348","1642.MS00573","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB8","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","1642.MS00504","1642.MS00398","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00632","1001.SKB7"
"1642.MS00622",0,1,-0.001,-0.924,-0.087,1,1,1,1,-0.092,0.73,1,0.809,-0.788,1,1,1,1,-0.274,-0.567,0.377,0.994,1,-0.25,1,-0.986,0.992,-0.804,1,1,1,-0.488,1,-0.447,0.832,1,1,1,-0.98,1
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,-0.982,1,-1,1,1,1,1,1,0.998,1,-1,1,1,1,0.755,0.966,0.714,1,0.984,1,1,1,0.89,0.894,1,0.992
"1642.MS00514",-0.001,1,0,0.0429999999999999,-0.686,1,-0.524,1,1,-0.968,0.853,1,0.142,-0.934,1,1,1,0.98,-0.306,-0.933,-0.056,-0.315,1,0.998,1,-0.441,0.947,-0.84,1,1,1,-0.302,1,-1,-1,-0.546,1,1,-0.191,1
"1642.MS00620",-0.924,1,0.0429999999999999,0,0.103,1,1,1,1,0.186,0.846,1,0.26,-0.423,1,1,1,1,0.216,-0.117,0.858,0.982,1,0.703,1,-0.651,1,-0.455,1,1,1,0.0229999999999999,1,-0.074,0.986,1,1,1,-0.771,1
"1642.MS00428",-0.087,1,-0.686,0.103,0,1,-0.315,1,1,-0.947,0.884,1,-0.005,-1,1,1,1,0.73,-0.564,-1,-0.103,-0.808,1,1,1,-0.603,-0.313,-0.809,1,1,1,-0.976,1,-0.843,-0.663,-0.338,1,1,-0.054,1
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0,1,1,1,1,1,0.884,1,1,1,0.958,0.996,1,1,1,1,1,0.447,1,1,1,1,1,0.615,1,0.628,1,0.268,1,1,1,0.597,0.65,1,1
"1642.MS00352",1,1,-0.524,1,-0.315,1,0,1,1,-0.221,1,1,1,-0.341,1,1,1,-0.68,0.932,-0.0620000000000001,0.994,-0.932,1,1,1,1,-0.743,0.635,1,1,1,0.132,1,-0.52,-0.479,-0.944,1,1,1,1
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",1,-1,1,1,1,1,1,0,-1,1,1,1,1,1,-1,1,-0.988,1,1,1,1,1,0.998,1,-0.994,1,1,1,0.956,0.946,1,1,0.996,1,1,1,1,0.994,1,0.976
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",1,-1,1,1,1,1,1,-1,0,1,1,1,1,1,-0.984,1,-1,1,1,1,1,1,1,1,-1,1,1,1,0.778,0.872,0.994,1,0.988,1,1,1,0.996,0.833,1,0.823
"1642.MS00513",-0.092,1,-0.968,0.186,-0.947,1,-0.221,1,1,0,0.789,1,-0.255,-0.968,1,1,1,0.988,-0.716,-1,-0.317,-0.541,1,1,1,-0.83,0.871,-0.986,1,1,1,-0.557,1,-1,-0.988,-0.454,1,1,-0.327,1
"1642.MS00594",0.73,1,0.853,0.846,0.884,1,1,1,1,0.789,0,1,0.952,0.869,1,1,1,1,0.885,0.881,0.798,1,1,1,1,0.453,1,0.287,1,0.994,1,0.974,1,0.77,0.976,1,1,1,0.285,0.988
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.884,1,1,1,1,1,0,1,1,0.998,0.169,1,1,1,1,1,1,-0.075,1,0.992,1,1,1,-0.089,1,0.216,1,-0.428,1,1,1,0.348,0.268,1,1
"1642.MS00484",0.809,1,0.142,0.26,-0.005,1,1,1,1,-0.255,0.952,1,0,0.257,1,1,1,1,-0.183,0.45,-0.00700000000000001,0.545,1,1,1,-0.217,1,0.39,1,1,1,0.513,1,0.195,0.491,0.759,1,1,0.0940000000000001,1
"1642.MS00408",-0.788,1,-0.934,-0.423,-1,1,-0.341,1,1,-0.968,0.869,1,0.257,0,1,1,1,0.865,-0.772,-1,0.226,-0.752,1,0.802,1,-0.821,0.125,-0.962,1,1,1,-1,1,-0.996,-0.476,-0.012,1,1,-0.391,1
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",1,-0.982,1,1,1,1,1,-1,-0.984,1,1,0.998,1,1,0,0.994,-0.743,1,1,1,1,1,1,1,-0.944,1,1,1,0.978,0.992,0.998,1,0.994,1,1,1,1,0.996,1,1
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.958,1,1,1,1,1,0.169,1,1,0.994,0,1,1,1,1,1,1,-0.998,1,0.994,1,1,1,-0.293,1,0.189,1,-0.313,1,1,1,0.893,-0.261,1,1
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",1,-1,1,1,1,0.996,1,-0.988,-1,1,1,1,1,1,-0.743,1,0,1,1,1,1,1,0.996,1,-0.982,1,1,1,0.902,0.998,0.815,1,0.968,1,1,1,0.988,0.942,1,1
"1642.MS00380",1,1,0.98,1,0.73,1,-0.68,1,1,0.988,1,1,1,0.865,1,1,1,0,1,0.99,1,-0.312,1,1,1,1,-0.972,1,1,1,1,0.97,1,0.998,0.999,0.594,1,1,1,1
"1642.MS00483",-0.274,1,-0.306,0.216,-0.564,1,0.932,1,1,-0.716,0.885,1,-0.183,-0.772,1,1,1,1,0,-0.836,0.144,0.612,1,0.659,1,-0.647,0.961,-0.371,1,1,1,-0.958,1,-0.484,0.107,0.733,1,1,-0.071,1
"1642.MS00424",-0.567,1,-0.933,-0.117,-1,1,-0.0620000000000001,1,1,-1,0.881,1,0.45,-1,1,1,1,0.99,-0.836,0,0.024,-0.384,1,0.896,1,-0.815,0.432,-1,1,1,1,-1,1,-0.99,-0.759,-0.138,1,1,-0.235,1
"1642.MS00564",0.377,1,-0.056,0.858,-0.103,1,0.994,1,1,-0.317,0.798,1,-0.00700000000000001,0.226,1,1,1,1,0.144,0.024,0,0.91,1,0.998,1,-0.246,0.984,-0.206,1,1,1,0.47,1,-0.277,-0.524,0.978,1,1,-0.574,1
"1642.MS00390",0.994,1,-0.315,0.982,-0.808,1,-0.932,1,1,-0.541,1,1,0.545,-0.752,1,1,1,-0.312,0.612,-0.384,0.91,0,1,1,1,0.913,-0.158,0.106,1,1,1,-0.322,1,-0.14,0.032,-0.786,1,1,0.984,1
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.998,1,1,1,0.447,1,0.998,1,1,1,-0.075,1,1,1,-0.998,0.996,1,1,1,1,1,0,1,0.988,1,1,1,-0.392,1,-0.258,1,-0.478,1,1,1,0.587,-0.381,1,1
"1642.MS00613",-0.25,1,0.998,0.703,1,1,1,1,1,1,1,1,1,0.802,1,1,1,1,0.659,0.896,0.998,1,1,0,1,0.282,1,0.955,1,1,1,0.255,1,0.938,1,1,1,1,0.587,1
"2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences",1,-1,1,1,1,1,1,-0.994,-1,1,1,0.992,1,1,-0.944,0.994,-0.982,1,1,1,1,1,0.988,1,0,1,1,1,0.684,0.98,0.92,1,0.934,1,1,1,0.96,0.673,1,0.978
"1642.MS00492",-0.986,1,-0.441,-0.651,-0.603,1,1,1,1,-0.83,0.453,1,-0.217,-0.821,1,1,1,1,-0.647,-0.815,-0.246,0.913,1,0.282,1,0,0.939,-0.88,1,1,1,-0.808,1,-0.859,0.108,0.996,1,1,-0.891,1
"1642.MS00348",0.992,1,0.947,1,-0.313,1,-0.743,1,1,0.871,1,1,1,0.125,1,1,1,-0.972,0.961,0.432,0.984,-0.158,1,1,1,0.939,0,0.882,1,1,1,0.451,1,0.912,0.969,0.759,1,1,0.996,1
"1642.MS00573",-0.804,1,-0.84,-0.455,-0.809,1,0.635,1,1,-0.986,0.287,1,0.39,-0.962,1,1,1,1,-0.371,-1,-0.206,0.106,1,0.955,1,-0.88,0.882,0,1,1,1,-0.61,1,-0.988,-0.61,0.537,1,1,-0.78,1
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.755,1,1,1,0.615,1,0.956,0.778,1,1,-0.089,1,1,0.978,-0.293,0.902,1,1,1,1,1,-0.392,1,0.684,1,1,1,0,0.992,-0.77,1,-0.938,1,1,1,-0.73,-0.996,1,1
"1001.SKB8",1,0.966,1,1,1,1,1,0.946,0.872,1,0.994,1,1,1,0.992,1,0.998,1,1,1,1,1,1,1,0.98,1,1,1,0.992,0,1,1,1,1,1,1,1,1,1,-0.998
