"","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00513","1642.MS00484","1642.MS00632","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","1642.MS00573","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00483","1642.MS00492","1642.MS00514","1642.MS00613","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00398","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00564","1642.MS00424","1642.MS00380","1642.MS00505","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1001.SKB8","1642.MS00504","1642.MS00408","1642.MS00390","1642.MS00594","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00352","1642.MS00620","1642.MS00348","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7"
"2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences",0,0.050502250912,0.1027446621594,0.1075310766115,0.1323734406791,0.1038669793168,0.0571985110542,0.0969360260039,0.100620543728,0.0456801448503,0.116956971151,0.115399586152,0.0992435009243,0.1174091816749,0.0425620310564,0.0948049329802,0.0181647169049,0.0196862311444,0.0515752916011,0.0251044849933,0.1003290304202,0.0871111354655,0.1156141566683,0.0955608003377,0.040761884367,0.1036608004719,0.0575684960717,0.0139968546332,0.0544245726597,0.0734099213129,0.0786375113983,0.0977226029809,0.0973336109243,0.099949326948,0.0142631295498,0.0847461244305,0.1197230027145,0.0968867222958,0.0544798213257,0.0739899934195
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",0.050502250912,0,0.0689846230955,0.0668563633369,0.0925139634238,0.0705859093395,0.0360739426063,0.0625664212238,0.0619142261568,0.0307107576692,0.0680129348614,0.0713853424753,0.0649840994256,0.072304852795,0.0276511449335,0.064684025682,0.0417855155335,0.0352800004992,0.0306713827708,0.0327070832019,0.0674426882087,0.0566886281638,0.0843515919787,0.0594788413665,0.0319759310879,0.0652607801779,0.0352727225706,0.0438919020886,0.0359430081291,0.1147852685475,0.0559806145648,0.0591687129578,0.0723030558028,0.0740246119358,0.0419432781582,0.0592997529698,0.0733971179583,0.0630785753843,0.0303148004083,0.117257507723
"1642.MS00622",0.1027446621594,0.0689846230955,0,0.0210219174833,0.0280417986118,0.021272335265,0.0819453625667,0.0243684177867,0.0203109480131,0.0803682132941,0.0235847109888,0.0201403711528,0.0219131451798,0.0256174772536,0.076316186275,0.033328734526,0.0884534053484,0.0801959512728,0.0798013508458,0.0819035827934,0.0255503053438,0.0216816385627,0.0608501133929,0.0203130227555,0.0842254742278,0.0215829667884,0.0802985311492,0.0968347236479,0.0821200393204,0.1602507341571,0.0272083830633,0.0197325675459,0.0334629262323,0.0460271221094,0.0931205432204,0.0350590136381,0.0215095757451,0.0372676997037,0.0749961971416,0.1625740196461
"1642.MS00513",0.1075310766115,0.0668563633369,0.0210219174833,0,0.020970452642,0.0206890366985,0.0827567653766,0.0187895579485,0.0179185308392,0.0798340581305,0.019492309893,0.0179053776121,0.0187147274786,0.031474849941,0.0787265141403,0.0234626361812,0.0941233690632,0.0903235999961,0.0829268149811,0.0851254603812,0.0199648225644,0.0187949723621,0.0484428902561,0.0166698841252,0.0846936699781,0.0208471672147,0.0864809823384,0.099517277877,0.0833483491979,0.1569555825047,0.0170983386243,0.0188111593205,0.0247207925227,0.0394029900999,0.0944542585421,0.0276127811869,0.0269444664406,0.0318143921264,0.0775407814207,0.1436574872256
"1642.MS00484",0.1323734406791,0.0925139634238,0.0280417986118,0.020970452642,0,0.0255681189905,0.1042582670415,0.0234763753537,0.0247653506749,0.1040773789865,0.0225412018915,0.0221384748253,0.0219591162361,0.0384593347866,0.1016058441781,0.0260725572841,0.1106624082731,0.1000737082175,0.1032026485811,0.1035546263756,0.023943632589,0.0242979433395,0.0495669579113,0.0218170225105,0.1087010120087,0.0244969124683,0.1047381801605,0.1198707412837,0.1058226962581,0.1665300354247,0.0236488310202,0.0241011433086,0.0253506537653,0.0482186140179,0.1149311319331,0.0321756723355,0.0251671473346,0.0366137452046,0.1005694269192,0.1693136143562
"1642.MS00632",0.1038669793168,0.0705859093395,0.021272335265,0.0206890366985,0.0255681189905,0,0.0839753948754,0.0226709362091,0.0202077423014,0.0831293402687,0.0236790661621,0.0201791425384,0.0211408839231,0.0294078873568,0.0797449588965,0.0296465237594,0.0884681198893,0.0786708177793,0.0817607016585,0.0834859228697,0.0220650786578,0.0215288454944,0.0567956593023,0.0205731538597,0.0870428681511,0.0232214196064,0.0799817787466,0.0977571187155,0.0844899167362,0.1502245759731,0.0244432629669,0.0211191614759,0.0292703376289,0.043800023594,0.0938254001955,0.0315968393881,0.0211457175674,0.0322347573933,0.0779613662542,0.1537852347924
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0571985110542,0.0360739426063,0.0819453625667,0.0827567653766,0.1042582670415,0.0839753948754,0,0.0758075914746,0.0775521512852,0.0327738203073,0.0836345673982,0.0838254267797,0.0774310713625,0.0784862613154,0.0280127149243,0.0821551460346,0.0423482576127,0.035439723262,0.032320283322,0.0443832625017,0.0826978738423,0.068947591622,0.1075073741532,0.0735373040876,0.0259414372313,0.0766913794944,0.0259884061922,0.0486832791852,0.0251485342486,0.1165306575221,0.0724319007834,0.0720150295011,0.0853726386774,0.0867168263037,0.0507796997735,0.0784147285118,0.0887697896825,0.0806021466431,0.0161459716538,0.1277241398377
"1642.MS00428",0.0969360260039,0.0625664212238,0.0243684177867,0.0187895579485,0.0234763753537,0.0226709362091,0.0758075914746,0,0.0206102133183,0.0726083651747,0.0231088613924,0.0206583380988,0.0202183686481,0.0343928467883,0.0700576379617,0.0219580892747,0.0811739392541,0.0730754405435,0.0742635644106,0.0753626596087,0.0216040132637,0.0177309606832,0.0397454693339,0.0188000943401,0.0735925408269,0.0191836969518,0.0783245124659,0.0893805949572,0.0761036794295,0.1439495051036,0.0190175851108,0.0172032462879,0.0178620574665,0.0473402580284,0.0829864050425,0.0209510155228,0.0275935186137,0.0230392490998,0.0701393430491,0.1363258191955
"1642.MS00573",0.100620543728,0.0619142261568,0.0203109480131,0.0179185308392,0.0247653506749,0.0202077423014,0.0775521512852,0.0206102133183,0,0.0733062832037,0.0213650426525,0.0196583513681,0.0186022649802,0.0284275544858,0.0703942485678,0.0289626586665,0.0875160312584,0.0841657824562,0.0736048122546,0.0793486484758,0.0206488597136,0.0184023111558,0.0540522446099,0.0174363280904,0.0760117209897,0.0212915466817,0.0834143304867,0.0938374460048,0.0765040000041,0.1555988689656,0.0201066610555,0.0188299574629,0.0282333504968,0.0245581152205,0.0865763458169,0.0298471826722,0.0271703222763,0.036678332001,0.0712288115292,0.136657642153
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0456801448503,0.0307107576692,0.0803682132941,0.0798340581305,0.1040773789865,0.0831293402687,0.0327738203073,0.0726083651747,0.0733062832037,0,0.0864003672144,0.0831651888737,0.0772496308677,0.0837328332606,0.0208403995396,0.0780288412083,0.0392618750703,0.0336222112693,0.0172554306434,0.0328311180621,0.0804081385574,0.0673047509135,0.1010114496716,0.0703249291886,0.0218717386379,0.0753402084477,0.0310815942322,0.0355753616197,0.0299215436782,0.1079408885569,0.0663676883551,0.0679701180545,0.0823385556695,0.081473129348,0.0379926812658,0.0750824876291,0.0868635923865,0.0756990907201,0.0291329440708,0.1215032351458
"1642.MS00483",0.116956971151,0.0680129348614,0.0235847109888,0.019492309893,0.0225412018915,0.0236790661621,0.0836345673982,0.0231088613924,0.0213650426525,0.0864003672144,0,0.0199350205677,0.0194850457104,0.02752875844,0.0860110349994,0.0257698067901,0.0970507039993,0.087068243687,0.0896855986951,0.0874814970781,0.0232532357905,0.0202443275818,0.0502100344586,0.0201310318983,0.0918247226493,0.0206173527947,0.0836485533349,0.1009612253267,0.0862843318045,0.1438970460094,0.0241267062438,0.021024637325,0.028469985474,0.026306220822,0.1018550230968,0.031518432662,0.026311078082,0.0368382072348,0.0839628056925,0.1480927191257
"1642.MS00492",0.115399586152,0.0713853424753,0.0201403711528,0.0179053776121,0.0221384748253,0.0201791425384,0.0838254267797,0.0206583380988,0.0196583513681,0.0831651888737,0.0199350205677,0,0.0201943339239,0.0290621548538,0.0801861695772,0.029587346495,0.0942472985894,0.083296097053,0.0816030733953,0.0866500743873,0.0221361093075,0.0184189252465,0.0588742617348,0.0166487164713,0.0878928499837,0.0202650849514,0.085178971345,0.1037788295817,0.0854824336195,0.1645108211555,0.0218859922337,0.0183338089239,0.0266385274259,0.0459908765579,0.0983204173345,0.0324207688328,0.0230778665421,0.0359346605285,0.0783881166911,0.1650046206525
"1642.MS00514",0.0992435009243,0.0649840994256,0.0219131451798,0.0187147274786,0.0219591162361,0.0211408839231,0.0774310713625,0.0202183686481,0.0186022649802,0.0772496308677,0.0194850457104,0.0201943339239,0,0.0300632628846,0.0725337430972,0.0237063210123,0.0823567648256,0.0745990953055,0.0769440118128,0.0775070337732,0.0202077321803,0.0201627623926,0.048153145078,0.0182876876753,0.0773462750215,0.0216435369234,0.0899476289426,0.0896404217666,0.0805853607468,0.1518374967349,0.0191937383216,0.0191708266181,0.0248052070007,0.0209591845953,0.085377003564,0.027186633591,0.0316833113952,0.0332698574512,0.070644890871,0.1243156401147
"1642.MS00613",0.1174091816749,0.072304852795,0.0256174772536,0.031474849941,0.0384593347866,0.0294078873568,0.0784862613154,0.0343928467883,0.0284275544858,0.0837328332606,0.02752875844,0.0290621548538,0.0300632628846,0,0.0779746764596,0.0414497146722,0.0992975097749,0.0964042705118,0.0800881655699,0.0945970823299,0.0300297396931,0.0286972154693,0.07104913835,0.0292935210484,0.08525407827,0.026016728152,0.0809732137804,0.1129991286437,0.0808410116718,0.153813750619,0.0357435039735,0.0268894480477,0.0410893770722,0.0557188292296,0.1048633674162,0.0435592611211,0.0302488962513,0.0481667702467,0.0716399290287,0.1557537358054
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0425620310564,0.0276511449335,0.076316186275,0.0787265141403,0.1016058441781,0.0797449588965,0.0280127149243,0.0700576379617,0.0703942485678,0.0208403995396,0.0860110349994,0.0801861695772,0.0725337430972,0.0779746764596,0,0.0764325556322,0.0353487613806,0.0327926405196,0.0186032511165,0.0305877688425,0.0752758488914,0.0631966611265,0.0996664621673,0.0674629650636,0.0174694562334,0.0703767031764,0.0240553323875,0.0372934884433,0.0277514908478,0.111786804056,0.0641378996815,0.0654548645446,0.0785732873395,0.0824890679945,0.0390599215128,0.0728346095034,0.0834069465495,0.0757375874997,0.0233009086406,0.1271488169919
"1642.MS00398",0.0948049329802,0.064684025682,0.033328734526,0.0234626361812,0.0260725572841,0.0296465237594,0.0821551460346,0.0219580892747,0.0289626586665,0.0780288412083,0.0257698067901,0.029587346495,0.0237063210123,0.0414497146722,0.0764325556322,0,0.0793210512339,0.0740617802666,0.0818208448925,0.0780670217326,0.0270507524592,0.0249856476415,0.0351678307302,0.0253878950115,0.0781779459257,0.0243447610105,0.0897893112865,0.0874534669621,0.0805756092783,0.138436122273,0.0210200262232,0.0240090870242,0.0204860291733,0.0515752238373,0.0814807163752,0.0218913544614,0.0409016154479,0.0275846188403,0.0776007065394,0.114646995175
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.0181647169049,0.0417855155335,0.0884534053484,0.0941233690632,0.1106624082731,0.0884681198893,0.0423482576127,0.0811739392541,0.0875160312584,0.0392618750703,0.0970507039993,0.0942472985894,0.0823567648256,0.0992975097749,0.0353487613806,0.0793210512339,0,0.0128983208036,0.0409376552163,0.0222202291288,0.084982321032,0.0744502972501,0.1054754339226,0.0795752975428,0.0315921885355,0.0835594289961,0.0387630713371,0.0171392879006,0.0385135433394,0.0763681135068,0.068876309607,0.0791031718975,0.085799582045,0.0875261418253,0.0148219164271,0.0744442564911,0.1058681102596,0.0843096664629,0.0465348656077,0.0752529340693
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",0.0196862311444,0.0352800004992,0.0801959512728,0.0903235999961,0.1000737082175,0.0786708177793,0.035439723262,0.0730754405435,0.0841657824562,0.0336222112693,0.087068243687,0.083296097053,0.0745990953055,0.0964042705118,0.0327926405196,0.0740617802666,0.0128983208036,0,0.0362013098751,0.0224981588682,0.0772875697175,0.067511656785,0.1073978931967,0.0708394258089,0.0284223804395,0.0754188678987,0.0336770261982,0.0198446345125,0.0341660572576,0.086437436191,0.0623447557584,0.0699228164739,0.0778750105007,0.0821238155268,0.0181975320719,0.0679767962821,0.101718572433,0.0769043863479,0.0418185498632,0.0828714496154
"2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0515752916011,0.0306713827708,0.0798013508458,0.0829268149811,0.1032026485811,0.0817607016585,0.032320283322,0.0742635644106,0.0736048122546,0.0172554306434,0.0896855986951,0.0816030733953,0.0769440118128,0.0800881655699,0.0186032511165,0.0818208448925,0.0409376552163,0.0362013098751,0,0.0325994381575,0.08014775597,0.0683110317328,0.1015959365993,0.070492202961,0.0249721817756,0.0746636658351,0.0295774846644,0.0380800492339,0.032937984959,0.1288270294292,0.0691709021013,0.0699178402041,0.0843893052884,0.0875857409243,0.0437736293781,0.0768840735357,0.0834020568371,0.0806115125621,0.0278533334568,0.134282649757
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",0.0251044849933,0.0327070832019,0.0819035827934,0.0851254603812,0.1035546263756,0.0834859228697,0.0443832625017,0.0753626596087,0.0793486484758,0.0328311180621,0.0874814970781,0.0866500743873,0.0775070337732,0.0945970823299,0.0305877688425,0.0780670217326,0.0222202291288,0.0224981588682,0.0325994381575,0,0.0798390569171,0.0698923954804,0.1051608323232,0.0727098693398,0.0325469613673,0.0789226448678,0.0425005592879,0.0221157440385,0.0417841498523,0.0920170240009,0.0646603189823,0.072974620228,0.0820864263892,0.0870543404554,0.0185847540503,0.0727670425881,0.0975679640453,0.0812373636438,0.04321721331,0.0867483913536
"1642.MS00564",0.1003290304202,0.0674426882087,0.0255503053438,0.0199648225644,0.023943632589,0.0220650786578,0.0826978738423,0.0216040132637,0.0206488597136,0.0804081385574,0.0232532357905,0.0221361093075,0.0202077321803,0.0300297396931,0.0752758488914,0.0270507524592,0.084982321032,0.0772875697175,0.08014775597,0.0798390569171,0,0.0212524211536,0.0537456496603,0.0199157991997,0.0807894657295,0.0246297928523,0.0852414194744,0.0936350344246,0.0809156508094,0.1367224163403,0.0173270904292,0.0228464103939,0.0254296197278,0.0235040916508,0.0865248707201,0.0288246200844,0.027334522588,0.0337205862157,0.0772026720135,0.1379650853653
"1642.MS00424",0.0871111354655,0.0566886281638,0.0216816385627,0.0187949723621,0.0242979433395,0.0215288454944,0.068947591622,0.0177309606832,0.0184023111558,0.0673047509135,0.0202443275818,0.0184189252465,0.0201627623926,0.0286972154693,0.0631966611265,0.0249856476415,0.0744502972501,0.067511656785,0.0683110317328,0.0698923954804,0.0212524211536,0,0.0475936908693,0.0177732119362,0.0679391087849,0.0184586661365,0.0740943201484,0.0819527444844,0.069705266665,0.143119163732,0.0189847827574,0.0178152259633,0.0227140809394,0.0237384102877,0.0772883464114,0.0246563002423,0.0274122753499,0.0242916949667,0.0631415289682,0.1293161291203
"1642.MS00380",0.1156141566683,0.0843515919787,0.0608501133929,0.0484428902561,0.0495669579113,0.0567956593023,0.1075073741532,0.0397454693339,0.0540522446099,0.1010114496716,0.0502100344586,0.0588742617348,0.048153145078,0.07104913835,0.0996664621673,0.0351678307302,0.1054754339226,0.1073978931967,0.1015959365993,0.1051608323232,0.0537456496603,0.0475936908693,0,0.0467584464359,0.0982548297569,0.0429528380651,0.1106529127764,0.1130472626474,0.1059588028336,0.1166943536797,0.0425647934041,0.0453704340894,0.0313848769286,0.0515038425607,0.1028728402811,0.0228411420324,0.061864023688,0.0278663404006,0.1021176153622,0.1092681168229
"1642.MS00505",0.0955608003377,0.0594788413665,0.0203130227555,0.0166698841252,0.0218170225105,0.0205731538597,0.0735373040876,0.0188000943401,0.0174363280904,0.0703249291886,0.0201310318983,0.0166487164713,0.0182876876753,0.0292935210484,0.0674629650636,0.0253878950115,0.0795752975428,0.0708394258089,0.070492202961,0.0727098693398,0.0199157991997,0.0177732119362,0.0467584464359,0,0.0731170057762,0.0199800327424,0.0845377185571,0.0878987527826,0.0741802502852,0.1618805249717,0.0173776974168,0.0175788109259,0.0250584848218,0.0381914661289,0.0816978439946,0.0267413707846,0.0323308206819,0.0309614225742,0.0663827705285,0.1318361653518
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0.040761884367,0.0319759310879,0.0842254742278,0.0846936699781,0.1087010120087,0.0870428681511,0.0259414372313,0.0735925408269,0.0760117209897,0.0218717386379,0.0918247226493,0.0878928499837,0.0773462750215,0.08525407827,0.0174694562334,0.0781779459257,0.0315921885355,0.0284223804395,0.0249721817756,0.0325469613673,0.0807894657295,0.0679391087849,0.0982548297569,0.0731170057762,0,0.0766617037995,0.0237931596895,0.0347217848556,0.0246098873799,0.0991522889407,0.0678023970976,0.0704491300736,0.0819217042264,0.0833779880813,0.0367930824764,0.0729454627621,0.0903563827204,0.0758520772626,0.0234776730619,0.1094945870309
