"","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00513","1642.MS00484","1642.MS00632","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","1642.MS00573","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00483","1642.MS00492","1642.MS00514","1642.MS00613","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00398","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00564","1642.MS00424","1642.MS00380","1642.MS00505","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1001.SKB8","1642.MS00504","1642.MS00408","1642.MS00390","1642.MS00594","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00352","1642.MS00620","1642.MS00348","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7"
"2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences",NA,-1.57862467391891,0.123467182881396,0.0498835236449511,0.893184731208113,0.0841658079871701,-1.0693178213037,-0.130819734587784,-0.178859336853214,-5.20410135921643,0.48419549341149,0.510406281398907,-0.183090746433297,0.435141414825501,-5.99014314598608,-0.489126530089411,-5.86290928645944,-6.4814128466439,-4.18908903725792,-5.5323035026764,-0.130221014102565,-0.434455114672713,-0.421583313083808,-0.256447677438862,-5.1159321599861,0.0442204654033578,-0.905846896664179,-5.06174663634809,-4.28453204188736,-2.49204635152242,-0.73755455568506,-0.130351616607192,-0.282050243266442,-0.317836211288066,-4.8318794519584,-0.830470635867414,0.63885199752154,-0.26110442329196,-1.24937505849947,-4.1674197332879
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",-1.57862467391891,NA,4.79578561865931,0.12110571288605,6.67951273214532,4.52244684419906,-6.04807683765508,0.00760532457893777,-0.296850763237696,-8.16863622323557,0.858377592797528,3.23382592895625,-0.160046416049754,2.7674920490054,-9.22965784561081,-0.689631260526628,-1.84862546920723,-3.20728505878506,-7.61619704049118,-1.91503746903413,0.168761898277157,-0.556134193648159,-1.24644579870854,-0.348068571654944,-7.32927074883685,0.330066028057232,-5.25941653505014,-1.54359844731764,-6.3434303095521,-0.619873261371411,-0.588413158369994,-0.394896530830654,0.00801475084210295,-0.061141192046244,-1.97882040009423,-1.05107466043824,5.37386478904274,-0.594902625304654,-7.55729355766267,-1.34109892182377
"1642.MS00622",0.123467182881396,4.79578561865931,NA,-4.2364945986678,-2.84130367691169,-1.55124295440809,6.9201967521976,-1.54936422387581,-2.59106563886382,4.2769772732916,-0.631321196169845,-2.30916104539624,-1.66006055927523,-1.86617464578582,4.8218465497638,-2.08628992855556,0.149456820380658,0.294631672689982,2.6469829850172,0.358110110918387,-3.21456548318033,-2.29976714801744,-2.2675211181604,-3.02727392278028,8.7705108010514,-3.47891912728152,6.46782912469644,0.133511637168128,7.05497266305974,1.62888012244075,-2.17615624269559,-3.05145464712956,-1.70525906146398,0.0408029595147835,0.144951104711601,-2.76173485427178,-2.20184866808198,-0.577112414312339,5.40400890370271,2.96300125407638
"1642.MS00513",0.0498835236449511,0.12110571288605,-4.2364945986678,NA,-4.06301362482834,-5.14755709777418,0.964156482814151,-4.03030482403645,-3.91438414727572,0.395220375740683,-3.42294143929865,-4.97679868679898,-3.22991940542966,-3.4503470839048,0.640408417000228,-3.07268455929244,0.0343192136337835,0.295575653700457,0.468950107141371,0.0744017153558657,-4.28560831981494,-4.33433535504771,-3.26444387822198,-4.6599251281131,1.27951226362733,-4.26157148004815,1.34169787743848,-0.00489483870832324,1.07775641551424,1.02859366909746,-4.8871832679043,-4.65110251259169,-3.37439882623617,-0.241285335082018,-0.0567007631649441,-3.3677833030766,-0.402414649679158,-2.67105511209117,4.47828609439152,0.414643578682387
"1642.MS00484",0.893184731208113,6.67951273214532,-2.84130367691169,-4.06301362482834,NA,-3.18748683861506,9.36542125101486,-2.79991649511181,-2.84715990631081,7.15505558105518,-3.67399174708361,-4.61477461497617,-3.73373829729109,-2.2017646775317,8.22938557627305,-1.87073361272114,0.9619349607183,1.71366674144581,6.31315869884455,1.06784171888953,-3.07155952799404,-4.45294254086415,-3.22001296307719,-3.80057318184946,11.0541829402519,-4.65066838981198,9.08215334088279,0.758652659929155,8.7689740459796,1.80146415095431,-2.90004490044956,-4.09133539630426,-3.19151774562278,-0.0126225514765631,0.893199482236094,-3.36118875027684,-2.77713894316377,-1.98727560551132,9.32889271066414,3.00535297336763
"1642.MS00632",0.0841658079871701,4.52244684419906,-1.55124295440809,-5.14755709777418,-3.18748683861506,NA,7.26343698438781,-4.18070201088345,-2.99856042221514,4.7137338272633,-2.45084039456938,-4.26248142013565,-3.56805512925981,-0.951344156583468,5.75568693678041,-3.22102345290369,0.0987656419789882,0.0191696515878135,4.08490706556493,0.317029393175801,-2.90916257562128,-4.54467287710572,-3.24757375783349,-3.21201223583241,9.35289047134994,-4.13742376708658,6.03204665767097,0.144661549017911,6.92107370690829,1.10401115195485,-3.05980874819836,-3.85056717165952,-4.23838641595694,0.00659667907455462,0.122582798742591,-3.99797035421842,-3.55959838410747,-3.4828974870698,6.68628652310043,1.53186291146914
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",-1.0693178213037,-6.04807683765508,6.9201967521976,0.964156482814151,9.36542125101486,7.26343698438781,NA,1.34482079333753,0.681093895367422,-7.51416476947244,2.109102948488,5.46353072932913,0.22520813566806,3.63534333432674,-5.85277980698785,0.266159522731262,-1.24015353679128,-2.49645715517878,-6.40113720352212,-1.33389995821427,2.58236118801437,0.296870765967601,0.737028681397114,0.0817925555613774,-6.09581768270831,1.36038691182172,-6.03293323199182,-1.10443846339221,-7.15019722034595,-0.849807329183769,-0.15452889049448,0.544776299567095,1.05622495989356,0.272827484893499,-1.28374298733625,-0.171398498871674,8.4735641695383,1.37335695036775,-8.92599184549862,-1.16423934465087
"1642.MS00428",-0.130819734587784,0.00760532457893777,-1.54936422387581,-4.03030482403645,-2.79991649511181,-4.18070201088345,1.34482079333753,NA,-3.23550363242184,0.257594463632971,-1.76795701281728,-3.34063818418704,-2.9999195754582,-2.06507633312458,0.574501912571671,-3.10300176599751,-0.276231957869061,-0.497232588643055,0.27849407879964,-0.0751927877714364,-4.54821436451134,-4.66170886292537,-3.52042513391181,-4.91033823310832,1.23969216696829,-4.51475495132394,1.77430323432094,-0.174661329331105,1.33134954556692,0.629575327516183,-5.39023159338667,-4.89838698573099,-6.24363788302647,0.0136112720475121,-0.364233301550472,-4.50031468288831,-0.43273948190422,-2.75196904994383,2.90826736354573,0.159268325563477
"1642.MS00573",-0.178859336853214,-0.296850763237696,-2.59106563886382,-3.91438414727572,-2.84715990631081,-2.99856042221514,0.681093895367422,-3.23550363242184,NA,-0.00618506705595366,-2.81680960957243,-2.78278987083134,-3.94952398127619,-3.06241122917377,0.00968310857157231,-2.87429875675426,-0.253628923889583,-0.0884457864175808,-0.0730073033212366,-0.158433422969079,-4.61617748687027,-4.39956608770824,-2.86685399467257,-3.25895358568261,0.632988479125076,-3.86421623083563,1.3217039653106,-0.186383471765294,0.562820019412728,1.07296378949775,-3.87553647983048,-3.78150651491905,-3.30099773239249,-0.620951102812416,-0.450034279063633,-3.83242207314013,-0.163621435500115,-1.01920299857175,2.67707106623478,-0.0441286170795348
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",-5.20410135921643,-8.16863622323557,4.2769772732916,0.395220375740683,7.15505558105518,4.7137338272633,-7.51416476947244,0.257594463632971,-0.00618506705595366,NA,1.81826550324332,3.680240711637,0.0116951617589412,3.86247389854223,-9.54867953983229,-0.239752989076844,-5.892563856502,-4.37251835752725,-7.48866128503904,-7.07858255416527,1.06386047304876,-0.312272504534205,0.33405633732132,-0.19705097239168,-9.56035151236076,0.644720156762835,-5.85329085478179,-6.57853242086848,-6.930845624371,-1.24652646070238,-0.478826332671967,-0.36238728239999,0.42937028717788,-0.0733442701145863,-7.83588677536724,-0.636921115813433,5.98866763749264,0.379756217988205,-8.41237924604344,-1.60769440264022
"1642.MS00483",0.48419549341149,0.858377592797528,-0.631321196169845,-3.42294143929865,-3.67399174708361,-2.45084039456938,2.109102948488,-1.76795701281728,-2.81680960957243,1.81826550324332,NA,-2.63234222373931,-3.82042284143946,-1.98878317191542,2.60850690857178,-3.04217964828489,0.37635631603983,0.570313510757813,2.27840010384922,0.447912867742004,-3.1078003215271,-2.75377336956069,-3.39276161606955,-2.70796882560336,3.70475025113223,-2.31399796662393,2.14533005217624,0.227848564891149,2.55082477160652,0.627785021497849,-2.13642614579818,-1.85780113630717,-2.1637861480786,-2.54716724677162,0.412121156520293,-2.64228694672658,-0.72900157186794,-1.29224471728107,3.66833510417929,1.13661059355459
"1642.MS00492",0.510406281398907,3.23382592895625,-2.30916104539624,-4.97679868679898,-4.61477461497617,-4.26248142013565,5.46353072932913,-3.34063818418704,-2.78278987083134,3.680240711637,-2.63234222373931,NA,-2.41852001549915,-1.31105508392302,4.7091764703811,-2.65473005054129,0.413946439491633,0.473718697643967,2.9985514755391,0.549519538350163,-3.39900972797394,-4.54883741213148,-2.31267807660916,-5.05255155660874,7.51496346627335,-3.34084878597377,5.90142275695127,0.36758415540527,6.02838547092819,1.8731647544072,-3.13929753161815,-5.35249498918625,-4.15754770947275,0.085956194245499,0.357284461859633,-3.3536984116943,-1.11319534459681,-1.16901147700527,6.67020725777999,3.17689899208659
"1642.MS00514",-0.183090746433297,-0.160046416049754,-1.66006055927523,-3.22991940542966,-3.73373829729109,-3.56805512925981,0.22520813566806,-2.9999195754582,-3.94952398127619,0.0116951617589412,-3.82042284143946,-2.41852001549915,NA,-2.61457681139072,0.0124132076736948,-2.88509393038303,-0.312462678542523,-0.359005148964353,0.0143689940986691,-0.186360847503017,-3.89961836038977,-3.33639161019575,-2.60096554791842,-3.90632969702937,0.268789719122071,-3.42422585035193,0.788284263791419,-0.2755759974071,0.351154123090241,0.569998430890824,-3.90599070556643,-2.31988118856033,-2.96461980893182,-3.32050320165226,-0.390943588033395,-3.04789451192514,-0.0493636825177058,-1.60268144925662,4.51259671787318,-0.503888002662267
