"","1642.MS00405","1642.MS00488","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00406","1642.MS00388","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00543","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.373.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00371","1642.MS00532","1642.MS00384","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00607","1642.MS00358","1642.MS00548","1642.MS00549","1642.MS00383","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00476","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00365","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00467","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00496","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00503","1642.MS00438","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00445","1642.MS00633","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00405",0,0.5244,0.8948,0.5204,0.6102,0.92,0.878,0.6062,0.9386,0.9238,0.6736,0.4748,0.5084,0.9322,0.5216,0.8078,0.5228,0.4694,0.5024,0.9544,0.4826,0.888,0.6112,0.8848,0.553,0.9476,0.9448,0.8942,0.845,0.454,0.94,0.8852,0.8952,0.557,0.5054,0.9034,0.4966,0.4986,0.5772,0.8884
"1642.MS00488",0.5244,0,0.9232,0.5756,0.6736,0.9418,0.9126,0.6086,0.949,0.9364,0.7524,0.5228,0.6174,0.9432,0.576,0.8574,0.5008,0.4842,0.606,0.965,0.5248,0.906,0.7012,0.9214,0.491,0.9572,0.9536,0.9164,0.8838,0.4768,0.9476,0.919,0.914,0.5836,0.5442,0.9264,0.5508,0.4976,0.5562,0.9182
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8948,0.9232,0,0.9114,0.9376,0.718,0.6452,0.9196,0.8502,0.8392,0.9322,0.8952,0.9054,0.8432,0.9,0.9544,0.927,0.8928,0.9022,0.8384,0.9142,0.8344,0.9242,0.5074,0.9274,0.8644,0.8886,0.6676,0.7872,0.8972,0.86,0.4862,0.753,0.919,0.9228,0.7682,0.915,0.9162,0.9188,0.5352
"1642.MS00406",0.5204,0.5756,0.9114,0,0.628,0.9244,0.8988,0.5578,0.9318,0.9258,0.6698,0.5162,0.499,0.9322,0.5898,0.7802,0.5082,0.513,0.5588,0.947,0.5424,0.881,0.628,0.9066,0.5004,0.946,0.947,0.9074,0.871,0.5134,0.9474,0.904,0.9086,0.5032,0.5072,0.9118,0.545,0.5626,0.5732,0.9028
"1642.MS00388",0.6102,0.6736,0.9376,0.628,0,0.9214,0.9384,0.6928,0.9318,0.9238,0.6456,0.6354,0.5614,0.921,0.6866,0.7698,0.6258,0.632,0.5454,0.9518,0.6194,0.901,0.5862,0.9418,0.6428,0.9362,0.965,0.9364,0.9214,0.6344,0.9466,0.9342,0.9128,0.638,0.5932,0.9266,0.5626,0.5874,0.7132,0.935
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.92,0.9418,0.718,0.9244,0.9214,0,0.8198,0.937,0.6326,0.7306,0.9362,0.9184,0.9232,0.7488,0.9304,0.9568,0.9374,0.9258,0.9224,0.669,0.935,0.7098,0.9364,0.755,0.9364,0.6764,0.831,0.8444,0.8866,0.9258,0.7632,0.7216,0.7074,0.9354,0.9386,0.762,0.9326,0.9374,0.9228,0.735
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.878,0.9126,0.6452,0.8988,0.9384,0.8198,0,0.919,0.8792,0.848,0.9282,0.885,0.8976,0.8578,0.8876,0.953,0.9142,0.8782,0.896,0.9238,0.9046,0.8488,0.9138,0.6544,0.9192,0.9186,0.8918,0.6734,0.753,0.8922,0.8838,0.6248,0.7748,0.9112,0.9142,0.7982,0.9006,0.907,0.9044,0.616
"1642.MS00543",0.6062,0.6086,0.9196,0.5578,0.6928,0.937,0.919,0,0.9492,0.9354,0.7462,0.5598,0.6266,0.9444,0.6352,0.8268,0.5428,0.5622,0.622,0.9574,0.5948,0.9174,0.7162,0.9176,0.5344,0.9522,0.9548,0.9252,0.8982,0.548,0.953,0.9138,0.9282,0.5262,0.6196,0.9306,0.64,0.6238,0.5832,0.9126
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.9386,0.949,0.8502,0.9318,0.9318,0.6326,0.8792,0.9492,0,0.496,0.9568,0.9368,0.9406,0.4996,0.9492,0.9668,0.9506,0.9408,0.9404,0.6676,0.9526,0.6812,0.9502,0.864,0.9474,0.58,0.5286,0.8554,0.895,0.937,0.5122,0.856,0.6008,0.9536,0.9528,0.5182,0.9504,0.9488,0.9464,0.8658
"2382.HE003.C181.HA.5.373.root.9.11.lane1.NoIndex.L001.sequences",0.9238,0.9364,0.8392,0.9258,0.9238,0.7306,0.848,0.9354,0.496,0,0.9424,0.9248,0.9326,0.3474,0.9376,0.9676,0.9394,0.928,0.925,0.7784,0.934,0.672,0.9376,0.859,0.9356,0.6826,0.5496,0.8118,0.8692,0.9278,0.5876,0.8404,0.5914,0.9398,0.9376,0.5922,0.94,0.9386,0.9348,0.8402
"1642.MS00371",0.6736,0.7524,0.9322,0.6698,0.6456,0.9362,0.9282,0.7462,0.9568,0.9424,0,0.7048,0.619,0.9538,0.7532,0.7068,0.696,0.7108,0.658,0.9572,0.6924,0.9204,0.524,0.932,0.7124,0.9562,0.971,0.9354,0.9144,0.7008,0.9632,0.9252,0.941,0.7052,0.6636,0.9482,0.6618,0.7022,0.773,0.9294
"1642.MS00532",0.4748,0.5228,0.8952,0.5162,0.6354,0.9184,0.885,0.5598,0.9368,0.9248,0.7048,0,0.5364,0.9324,0.5066,0.8266,0.503,0.4448,0.5334,0.9512,0.473,0.8936,0.6386,0.8916,0.517,0.9466,0.9486,0.896,0.8594,0.4602,0.9406,0.892,0.9,0.528,0.536,0.9056,0.52,0.524,0.5368,0.8876
"1642.MS00384",0.5084,0.6174,0.9054,0.499,0.5614,0.9232,0.8976,0.6266,0.9406,0.9326,0.619,0.5364,0,0.9382,0.6018,0.752,0.5012,0.5404,0.5044,0.9504,0.5462,0.8888,0.5638,0.9064,0.5654,0.9442,0.955,0.9072,0.8722,0.5394,0.9496,0.8976,0.9138,0.4684,0.448,0.9182,0.51,0.5534,0.6336,0.8984
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.9322,0.9432,0.8432,0.9322,0.921,0.7488,0.8578,0.9444,0.4996,0.3474,0.9538,0.9324,0.9382,0,0.9414,0.9686,0.9488,0.9336,0.9366,0.8022,0.946,0.6812,0.9496,0.8672,0.9426,0.7036,0.5738,0.8022,0.8788,0.933,0.601,0.8446,0.5964,0.9464,0.9442,0.5826,0.9436,0.9444,0.9436,0.8486
"1642.MS00607",0.5216,0.576,0.9,0.5898,0.6866,0.9304,0.8876,0.6352,0.9492,0.9376,0.7532,0.5066,0.6018,0.9414,0,0.8554,0.5632,0.4992,0.5848,0.9646,0.547,0.9068,0.68,0.8902,0.6106,0.9584,0.9598,0.8982,0.8678,0.5194,0.9516,0.8914,0.9106,0.5856,0.5924,0.9168,0.5732,0.5616,0.524,0.89
"1642.MS00358",0.8078,0.8574,0.9544,0.7802,0.7698,0.9568,0.953,0.8268,0.9668,0.9676,0.7068,0.8266,0.752,0.9686,0.8554,0,0.8002,0.8184,0.7844,0.9658,0.8062,0.9532,0.7108,0.9512,0.8048,0.9696,0.9776,0.9684,0.9482,0.8152,0.9778,0.9458,0.9574,0.804,0.786,0.9614,0.7912,0.8232,0.8576,0.9538
"1642.MS00548",0.5228,0.5008,0.927,0.5082,0.6258,0.9374,0.9142,0.5428,0.9506,0.9394,0.696,0.503,0.5012,0.9488,0.5632,0.8002,0,0.477,0.5688,0.9636,0.5136,0.918,0.639,0.9208,0.4716,0.957,0.9608,0.9236,0.8938,0.4868,0.9504,0.9196,0.9242,0.4472,0.481,0.9294,0.5302,0.5406,0.5532,0.9202
"1642.MS00549",0.4694,0.4842,0.8928,0.513,0.632,0.9258,0.8782,0.5622,0.9408,0.928,0.7108,0.4448,0.5404,0.9336,0.4992,0.8184,0.477,0,0.5314,0.9548,0.478,0.897,0.6394,0.8848,0.508,0.9454,0.9514,0.8918,0.8552,0.4346,0.9388,0.888,0.8974,0.5286,0.5218,0.903,0.4968,0.5076,0.5412,0.883
