"","1642.MS00405","1642.MS00488","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00406","1642.MS00388","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00543","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.373.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00371","1642.MS00532","1642.MS00384","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00607","1642.MS00358","1642.MS00548","1642.MS00549","1642.MS00383","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00476","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00365","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00467","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00496","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00503","1642.MS00438","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00445","1642.MS00633","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00405",0,-0.776,1,-0.85,0.305,1,1,0.0669999999999999,1,1,0.934,-0.996,-0.934,1,-0.794,0.99,-0.784,-0.996,-0.954,1,-0.994,1,0.116,1,-0.621,1,1,1,1,-1,1,1,1,-0.535,-0.936,1,-0.925,-0.936,0.0740000000000001,1
"1642.MS00488",-0.776,0,1,-0.217,0.965,1,1,0.0269999999999999,1,1,1,-0.794,0.54,1,-0.081,1,-0.954,-0.99,0.449,1,-0.852,1,0.99,1,-0.988,1,1,1,1,-0.994,1,1,1,-0.239,-0.65,1,-0.475,-0.97,-0.456,1
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0,1,1,0.726,0.442,1,0.96,0.991,1,1,1,0.983,1,1,1,1,1,0.584,1,1,1,-0.992,1,0.909,1,0.349,1,1,0.902,-1,0.974,1,1,0.767,1,1,1,-0.926
"1642.MS00406",-0.85,-0.217,1,0,0.463,1,1,-0.738,1,1,0.832,-0.882,-0.974,1,0.144,0.852,-0.96,-0.937,-0.453,1,-0.726,1,0.275,1,-0.982,1,1,1,1,-0.91,1,1,1,-0.984,-0.962,1,-0.606,-0.42,-0.195,1
"1642.MS00388",0.305,0.965,1,0.463,0,1,1,0.972,1,1,0.371,0.708,-0.678,1,0.996,0.698,0.533,0.602,-0.793,1,0.363,1,-0.508,1,0.638,1,1,1,1,0.678,1,1,1,0.547,-0.146,1,-0.562,-0.206,1,1
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",1,1,0.726,1,1,0,1,1,-0.994,-0.414,1,1,1,-0.302,1,1,1,1,1,-0.99,1,-0.199,1,0.97,1,-0.982,0.555,1,1,1,-0.621,0.836,0.189,1,1,0.51,1,1,1,0.924
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.442,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.626,1,1,1,0.589,1,1,0.995,0.414,0.998,1,1,0.97,1,1,1,0.173
"1642.MS00543",0.0669999999999999,0.0269999999999999,1,-0.738,0.972,1,1,0,1,1,1,-0.687,0.328,1,0.58,0.998,-0.877,-0.689,0.259,1,-0.206,1,0.994,1,-0.928,1,1,1,1,-0.788,1,1,1,-0.932,0.215,1,0.655,0.325,-0.36,1
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",1,1,0.96,1,1,-0.994,1,1,0,-1,1,1,1,-1,1,1,1,1,1,-0.97,1,-0.917,1,0.992,1,-1,-1,0.954,1,1,-1,0.978,-0.998,1,1,-1,1,1,1,0.994
"2382.HE003.C181.HA.5.373.root.9.11.lane1.NoIndex.L001.sequences",1,1,0.991,1,1,-0.414,1,1,-1,0,1,1,1,-1,1,1,1,1,1,-0.576,1,-0.852,1,1,1,-0.947,-1,0.89,1,1,-0.998,0.994,-0.998,1,1,-1,1,1,1,0.998
"1642.MS00371",0.934,1,1,0.832,0.371,1,1,1,1,1,0,0.998,0.0149999999999999,1,1,-0.426,0.986,0.996,0.739,1,0.976,1,-0.98,1,0.996,1,1,1,1,0.99,1,1,1,0.986,0.795,1,0.822,0.994,1,1
"1642.MS00532",-0.996,-0.794,1,-0.882,0.708,1,1,-0.687,1,1,0.998,0,-0.686,1,-0.864,1,-0.941,-1,-0.632,1,-0.994,1,0.646,1,-0.919,1,1,1,1,-1,1,1,1,-0.84,-0.655,1,-0.741,-0.768,-0.619,1
"1642.MS00384",-0.934,0.54,1,-0.974,-0.678,1,1,0.328,1,1,0.0149999999999999,-0.686,0,1,0.364,0.433,-0.984,-0.69,-0.946,1,-0.671,1,-0.725,1,-0.529,1,1,1,1,-0.707,1,1,1,-1,-1,1,-0.914,-0.541,0.797,1
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",1,1,0.983,1,1,-0.302,1,1,-1,-1,1,1,1,0,1,1,1,1,1,-0.238,1,-0.862,1,1,1,-0.898,-1,0.695,1,1,-1,0.983,-1,1,1,-1,1,1,1,0.992
"1642.MS00607",-0.794,-0.081,1,0.144,0.996,1,1,0.58,1,1,1,-0.864,0.364,1,0,1,-0.223,-0.948,0.145,1,-0.531,1,0.96,1,0.34,1,1,1,1,-0.822,1,1,1,-0.167,0.243,1,-0.002,-0.307,-0.82,1
"1642.MS00358",0.99,1,1,0.852,0.698,1,1,0.998,1,1,-0.426,1,0.433,1,1,0,0.958,0.994,0.889,1,0.986,1,-0.371,1,0.979,1,1,1,1,0.984,1,1,1,0.954,0.901,1,0.933,0.998,1,1
"1642.MS00548",-0.784,-0.954,1,-0.96,0.533,1,1,-0.877,1,1,0.986,-0.941,-0.984,1,-0.223,0.958,0,-0.995,-0.271,1,-0.908,1,0.556,1,-0.998,1,1,1,1,-0.98,1,1,1,-1,-0.996,1,-0.772,-0.68,-0.517,1
"1642.MS00549",-0.996,-0.99,1,-0.937,0.602,1,1,-0.689,1,1,0.996,-1,-0.69,1,-0.948,0.994,-0.995,0,-0.741,1,-0.995,1,0.614,1,-0.964,1,1,1,1,-1,1,1,1,-0.871,-0.861,1,-0.947,-0.924,-0.606,1
"1642.MS00383",-0.954,0.449,1,-0.453,-0.793,1,1,0.259,1,1,0.739,-0.632,-0.946,1,0.145,0.889,-0.271,-0.741,0,1,-0.34,1,-0.509,1,0.038,1,1,1,1,-0.402,1,1,1,-0.25,-0.374,1,-0.82,-0.694,0.828,1
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",1,1,0.584,1,1,-0.99,1,1,-0.97,-0.576,1,1,1,-0.238,1,1,1,1,1,0,1,-0.399,1,0.998,1,-0.994,0.03,1,1,1,-0.296,0.974,-0.098,1,1,-0.271,1,1,1,0.996
"1642.MS00476",-0.994,-0.852,1,-0.726,0.363,1,1,-0.206,1,1,0.976,-0.994,-0.671,1,-0.531,0.986,-0.908,-0.995,-0.34,1,0,1,0.456,1,-0.88,1,1,1,1,-0.996,1,1,1,-0.682,-0.914,1,-0.99,-0.785,0.257,1
"2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,-0.199,1,1,-0.917,-0.852,1,1,1,-0.862,1,1,1,1,1,-0.399,1,0,1,1,1,-0.878,-0.265,0.992,0.704,1,-0.29,1,-0.127,1,1,0.29,1,1,1,1
"1642.MS00365",0.116,0.99,1,0.275,-0.508,1,1,0.994,1,1,-0.98,0.646,-0.725,1,0.96,-0.371,0.556,0.614,-0.509,1,0.456,1,0,1,0.838,1,1,1,1,0.622,1,1,1,0.73,0.198,1,-0.317,0.34,1,1
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,-0.992,1,1,0.97,0.626,1,0.992,1,1,1,1,1,1,1,1,1,1,0.998,1,1,1,0,1,0.994,1,0.678,1,1,0.954,-0.986,0.976,1,1,0.957,1,1,1,-0.917
"1642.MS00467",-0.621,-0.988,1,-0.982,0.638,1,1,-0.928,1,1,0.996,-0.919,-0.529,1,0.34,0.979,-0.998,-0.964,0.038,1,-0.88,1,0.838,1,0,1,1,1,1,-0.984,1,1,1,-1,-0.804,1,-0.639,-0.617,-0.732,1
"2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences",1,1,0.909,1,1,-0.982,1,1,-1,-0.947,1,1,1,-0.898,1,1,1,1,1,-0.994,1,-0.878,1,0.994,1,0,-0.919,0.998,1,1,-0.984,1,-0.964,1,1,-0.982,1,1,1,0.998
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.555,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,0.03,1,-0.265,1,1,1,-0.919,0,0.998,0.998,1,-1,0.998,-0.994,1,1,-1,1,1,1,1
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.349,1,1,1,0.589,1,0.954,0.89,1,1,1,0.695,1,1,1,1,1,1,1,0.992,1,0.678,1,0.998,0.998,0,0.939,1,0.966,0.0580000000000001,1,1,1,0.966,1,1,1,0.142
"2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.704,1,1,1,1,0.998,0.939,0,1,0.998,1,1,1,1,0.998,1,1,1,1
"1642.MS00496",-1,-0.994,1,-0.91,0.678,1,1,-0.788,1,1,0.99,-1,-0.707,1,-0.822,0.984,-0.98,-1,-0.402,1,-0.996,1,0.622,1,-0.984,1,1,1,1,0,1,1,1,-0.898,-0.858,1,-0.908,-0.948,-0.592,1
"2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences",1,1,0.902,1,1,-0.621,0.995,1,-1,-0.998,1,1,1,-1,1,1,1,1,1,-0.296,1,-0.29,1,0.954,1,-0.984,-1,0.966,0.998,1,0,0.954,-0.998,1,1,-1,1,1,1,0.956
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,-1,1,1,0.836,0.414,1,0.978,0.994,1,1,1,0.983,1,1,1,1,1,0.974,1,1,1,-0.986,1,1,0.998,0.0580000000000001,1,1,0.954,0,1,1,1,0.986,1,1,1,-1
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",1,1,0.974,1,1,0.189,0.998,1,-0.998,-0.998,1,1,1,-1,1,1,1,1,1,-0.098,1,-0.127,1,0.976,1,-0.964,-0.994,1,1,1,-0.998,1,0,1,1,-1,1,1,1,0.996
"1642.MS00503",-0.535,-0.239,1,-0.984,0.547,1,1,-0.932,1,1,0.986,-0.84,-1,1,-0.167,0.954,-1,-0.871,-0.25,1,-0.682,1,0.73,1,-1,1,1,1,1,-0.898,1,1,1,0,-1,1,-0.696,-0.206,-0.318,1
"1642.MS00438",-0.936,-0.65,1,-0.962,-0.146,1,1,0.215,1,1,0.795,-0.655,-1,1,0.243,0.901,-0.996,-0.861,-0.374,1,-0.914,1,0.198,1,-0.804,1,1,1,1,-0.858,1,1,1,-1,0,1,-0.986,-0.766,0.563,1
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",1,1,0.767,1,1,0.51,0.97,1,-1,-1,1,1,1,-1,1,1,1,1,1,-0.271,1,0.29,1,0.957,1,-0.982,-1,0.966,0.998,1,-1,0.986,-1,1,1,0,1,1,1,0.963
