"","1642.MS00549","1642.MS00607","1642.MS00371","1642.MS00365","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00406","1642.MS00476","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00384","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00383","1642.MS00503","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.373.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00438","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00388","1642.MS00445","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00496","1642.MS00488","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00405","1642.MS00532","1642.MS00543","1642.MS00467","1642.MS00633","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00548"
"1642.MS00549",0,0.0220269644187,0.0367697035195,0.0309986122169,0.0810178990939,0.0204325583253,0.0197000253236,0.0805953874332,0.0209719424203,0.0816533975493,0.0234382875441,0.0177056946392,0.0972364414291,0.0820510705091,0.0939701145147,0.0210875953302,0.0818890731263,0.0304163719582,0.0223592236278,0.0996964029985,0.0972436600627,0.0847913261931,0.0216386560898,0.0941738337639,0.0174982758822,0.0204305561538,0.0803896003392,0.0847284967598,0.0779650048836,0.0202905046387,0.0181604411918,0.0206782848846,0.0199794436593,0.0230170779358,0.0894548095905,0.1066020615081,0.101516821383,0.0943941902151,0.087983165538,0.0179963855156
"1642.MS00607",0.0220269644187,0,0.0486034670989,0.0393019467588,0.0874510232328,0.0247178266632,0.0237706032658,0.0856144723694,0.0293261291867,0.0869217147977,0.0306079778623,0.0249554280068,0.1034983095057,0.0878770952912,0.1006980316289,0.0261023368273,0.0845672197399,0.0370248718934,0.0293741696135,0.1107074044213,0.1060419956437,0.0904553417535,0.0301062182033,0.1002534165489,0.0243833347807,0.0292242352262,0.0862959003765,0.0884939365726,0.078124618217,0.0249412964803,0.0227397314553,0.0305205773028,0.0285598721407,0.0235044364336,0.0960569401188,0.1173760890485,0.1076515917694,0.10359458529,0.0912688622508,0.025623453289
"1642.MS00371",0.0367697035195,0.0486034670989,0,0.0212710959385,0.0815848599512,0.0352691533613,0.0374344592313,0.086950367914,0.0281048455251,0.0801096197978,0.0273837116677,0.0366909655281,0.0933122750266,0.0774921965252,0.0918927156805,0.033080465093,0.0813293824285,0.0274841473711,0.0335333391248,0.0968811593322,0.0941572721919,0.082674133055,0.0332676889678,0.0832724183173,0.0399048432928,0.044003781807,0.0954975038334,0.0819327064727,0.0555502200753,0.0313599454432,0.039458770321,0.0428512281079,0.0365957584037,0.0451838246995,0.084361823418,0.0991349129415,0.1039041394482,0.1013297604588,0.0893626537846,0.0390289336238
"1642.MS00365",0.0309986122169,0.0393019467588,0.0212710959385,0,0.0725360354032,0.0293894093002,0.0300819366403,0.0804967062986,0.0234876342438,0.0754759655754,0.0245508793738,0.0335210073315,0.0891563242338,0.0738185609037,0.0842925164713,0.0283437943869,0.0783072594808,0.025267741015,0.0291710021592,0.0898399970762,0.0923015182295,0.07781980521,0.0264326552052,0.0817277889487,0.0329540132242,0.0381748543421,0.0883139979815,0.0767942638527,0.0532982657877,0.0268202221866,0.0338537899273,0.0391619850305,0.033548138889,0.0400925646257,0.0773011087597,0.0927986337645,0.0949747939172,0.0895300780463,0.0841705467957,0.0332940602025
"2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences",0.0810178990939,0.0874510232328,0.0815848599512,0.0725360354032,0,0.0704490133206,0.08546107768,0.0469784874711,0.0734756844535,0.0420435335722,0.0751581123256,0.0772079878293,0.0236146988619,0.0289602312193,0.025463590305,0.0771451059607,0.0401950600991,0.0888221809415,0.0895752452898,0.0287206438288,0.0324610980188,0.0365832431763,0.0791779998854,0.0316913715968,0.0780258978114,0.0956328014484,0.0330332083257,0.0422667390307,0.1150900602372,0.0750307507029,0.0823475466387,0.0848149785153,0.0873918589295,0.0958988444222,0.0314682877209,0.0340029785023,0.0353648276216,0.0279416869574,0.0508848464664,0.0860888310986
"1642.MS00406",0.0204325583253,0.0247178266632,0.0352691533613,0.0293894093002,0.0704490133206,0,0.0212291000395,0.0778114386068,0.0186247363108,0.0750687685817,0.0184516346166,0.019872005638,0.0867160379347,0.0755310944325,0.0809351038748,0.0196468888907,0.0775828014017,0.0255909245425,0.0221737799337,0.0900518130402,0.0869123973907,0.079841685307,0.0216006271502,0.0832777578921,0.0194156096814,0.0233864957574,0.0757024506915,0.0784057728321,0.0799672159833,0.0195181171264,0.0206311420726,0.0199940752128,0.0184721037442,0.0240793591148,0.0785872932044,0.0979468653657,0.0917643781446,0.0857252321199,0.0881111716422,0.0202049232089
"1642.MS00476",0.0197000253236,0.0237706032658,0.0374344592313,0.0300819366403,0.08546107768,0.0212291000395,0,0.0805181803659,0.0212997211378,0.0814751450551,0.0231716069432,0.0202352727462,0.0988077186573,0.0806009423481,0.0964594666462,0.0206796672356,0.0819644946584,0.028835738773,0.0239287471233,0.0997796845792,0.1009069300192,0.0838100782453,0.0221854673038,0.0930320095792,0.0199539620266,0.0215887044794,0.0840181867463,0.0840772292774,0.0806652722408,0.0197119722001,0.0195992459663,0.0229114184733,0.0203250299737,0.0260750489242,0.0896324281767,0.1089603082334,0.1053572118768,0.0991232319613,0.0891463397027,0.0200017499103
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0805953874332,0.0856144723694,0.086950367914,0.0804967062986,0.0469784874711,0.0778114386068,0.0805181803659,0,0.0737336168059,0.0205664360742,0.0811388231284,0.0779732640879,0.0444266276282,0.0398210497013,0.0457691053912,0.0812781126181,0.0226199991555,0.0914939512416,0.0921675548386,0.0502290229735,0.0441927247582,0.0317601905378,0.0813867758826,0.0340285408287,0.0796231297551,0.0962365526394,0.0329362471424,0.0222479874196,0.1319243192792,0.0757785099205,0.0816561697206,0.0900171781343,0.0868473204499,0.0997746671346,0.0356578079419,0.0497849014841,0.0498472057472,0.0448766228264,0.034776547738,0.0847546654497
"1642.MS00384",0.0209719424203,0.0293261291867,0.0281048455251,0.0234876342438,0.0734756844535,0.0186247363108,0.0212997211378,0.0737336168059,0,0.0702526122344,0.0177026739699,0.0208903613384,0.0876356712646,0.0700042537929,0.0855093870734,0.0201011272596,0.0729437627349,0.02139096522,0.02080767507,0.0891688270186,0.0929182186757,0.0730626172959,0.0197445596682,0.0811051779749,0.0212607984181,0.0253656906919,0.0760970781116,0.0726306949232,0.0580474277439,0.0191715011224,0.0214328680431,0.0235882864649,0.020975996826,0.0290205786488,0.0779690961835,0.0953295849923,0.0948169708148,0.0899647872437,0.0785689818755,0.0216768735628
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0816533975493,0.0869217147977,0.0801096197978,0.0754759655754,0.0420435335722,0.0750687685817,0.0814751450551,0.0205664360742,0.0702526122344,0,0.0761130213146,0.0787206323758,0.0414716233876,0.0392483039634,0.0412284275032,0.0811206684562,0.021464979984,0.084596406042,0.0911140742878,0.0440528612198,0.0418562779546,0.0299088953909,0.0809396998115,0.0325588839842,0.0804220155179,0.0978713802548,0.0319375713822,0.0200582056375,0.1254041487005,0.0767162950843,0.0807666396331,0.0866866848517,0.0877147191918,0.0985037808763,0.0315157372953,0.0459938944181,0.0490978581347,0.039013301177,0.0339288843572,0.0864551143253
