"","1642.MS00549","1642.MS00607","1642.MS00371","1642.MS00365","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00406","1642.MS00476","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00384","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00383","1642.MS00503","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.373.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00438","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00388","1642.MS00445","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00496","1642.MS00488","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00405","1642.MS00532","1642.MS00543","1642.MS00467","1642.MS00633","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00548"
"1642.MS00549",NA,-1.75596008559357,-2.76741682545701,-2.38681090729643,0.575130724521356,-5.37248227635437,-4.7405980642829,3.37308903395527,-4.5220062727863,3.51384634596675,-3.50491006214272,-6.05141982823419,0.162537135751656,5.65135470661882,0.477577628080909,-4.30160865782689,4.75576322208652,-2.55341835647773,-3.85662365183639,1.03151922910932,-0.487918854416148,4.42994092757887,-4.84404328503054,2.15970947748277,-5.3325312043624,-4.09081158812091,0.623998740496956,5.47733213354429,1.57933562806771,-4.46426999716542,-4.41064400170272,-5.51699664518879,-4.6878469354787,-3.30078267672963,0.998909270453677,0.530833482560071,0.64594047848117,0.281231078347923,7.21244738015709,-5.54018514016656
"1642.MS00607",-1.75596008559357,NA,-0.0965147936814397,-0.845708370883553,1.24623440830737,-3.69520334737718,-2.30672458886938,4.1790658947699,-0.448048141808003,3.87344510321963,-0.350412388842608,-0.855078584422722,0.831278086950888,5.57172883376806,1.10153911229945,-1.46016291802941,4.11202741214956,-1.20480785152935,-1.33070041258993,2.78413560736882,0.551322253772059,5.03496816884932,-0.346815673721075,3.3064739202582,-1.49233391340098,-0.715839354734956,1.40797191684409,5.42548335672584,1.48655602016113,-1.33755744797016,-1.86996930321887,-1.79947190691609,-1.433440593954,-3.72361767451521,1.68125207931622,1.58870662732224,1.14865809832653,1.01340028579819,6.57963028264679,-0.904016653209208
"1642.MS00371",-2.76741682545701,-0.0965147936814397,NA,-4.4038267214184,-1.08839147101569,-2.63610203185844,-2.82843089464229,2.09721298159415,-3.36077651225066,0.184448352854479,-4.15355976757981,-2.45971889344153,-0.993856314550502,0.788347155829186,-0.649568558905825,-2.39022496824948,1.20438942575544,-3.58363283934349,-3.1464609443367,-0.321100040936104,-1.639656100186,0.751962799475267,-2.32719573747531,-0.584227828366951,-1.45717717640773,-0.902605020734588,1.10978632724082,1.55479086534888,-0.290732927520059,-2.7039853889027,-2.14658405966321,-2.39378085692044,-3.7194171568949,-2.10125207003754,-1.37771478018406,-0.699617034437088,-0.16592194263259,-0.0345878899101228,3.38975121554405,-2.01377320891539
"1642.MS00365",-2.38681090729643,-0.845708370883553,-4.4038267214184,NA,-1.98795694464482,-2.82566774016833,-3.07588943131738,0.5460692887684,-2.81611410314226,-0.594865587504378,-2.69369831960086,-1.72046758898927,-1.42890540734446,0.841806795733892,-1.28291481536663,-2.24766191615312,0.627066546700952,-2.43211961382286,-2.01477368707251,-0.976800653040513,-1.70958136771357,-0.156730294208124,-2.05568911678761,-0.829490048529114,-1.79436652767588,-1.11811330200292,0.624885605909094,0.422108416257699,-0.675823523674314,-2.1004414504921,-1.60590913897344,-2.85339712581797,-3.03034628304255,-2.33626078519962,-1.88831949206659,-0.909531169193096,-1.01550591706703,-0.916611130754578,2.07832585904201,-2.08593195337103
"2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences",0.575130724521356,1.24623440830737,-1.08839147101569,-1.98795694464482,NA,-1.37875376621159,0.901072312060305,-5.25250656568205,-0.654112638751519,-5.87098239489152,-0.501917063033535,-0.720930340585008,-6.84334140677991,-7.28873019187649,-5.6885998838501,-0.508493638958731,-5.95450987653472,0.996886659789083,1.80476124988858,-4.88058911835718,-5.09129341978738,-5.10461379362604,-0.124440691563985,-4.79857076429613,0.299232823812967,2.95765460429284,-6.47523915270833,-5.72267441562967,0.942135464325639,-0.232622333872499,1.08739099614186,-0.0442378954866905,0.985059022077326,2.80427110769554,-6.1809836684448,-5.4572300618873,-6.00669496490406,-6.97836781440863,-4.04503603219757,0.34335512865075
"1642.MS00406",-5.37248227635437,-3.69520334737718,-2.63610203185844,-2.82566774016833,-1.37875376621159,NA,-5.05164107659988,1.08694762431104,-5.77515881246537,-0.0165629367662841,-7.67864150083115,-4.87677860634727,-1.22872639541855,1.79669968188372,-1.10702736098203,-4.58390203418193,1.42795174000505,-4.72197678480738,-5.63707707996594,-0.764353076743764,-2.02097110559075,1.30341967602709,-5.7386850574836,0.132162633251037,-6.47903700060965,-4.07291087868138,-0.59078622604248,1.62157585953721,2.91313174273524,-5.70519114294882,-4.2199975543728,-5.94180604259494,-7.20934568074506,-4.67274304640236,-1.06255694139849,-0.518579020757256,-0.789915044449533,-0.786510775136114,4.56086389182777,-6.33368433758416
"1642.MS00476",-4.7405980642829,-2.30672458886938,-2.82843089464229,-3.07588943131738,0.901072312060305,-5.05164107659988,NA,2.69222982470143,-4.63680079276081,2.33157409081482,-4.52344623988775,-4.62406111622359,-0.00706202883287704,3.59055762950215,0.326365340646597,-4.85505590100346,3.57895479221818,-3.68323402471067,-3.64172735867343,0.861319397380065,-0.408510514348814,3.16533769898655,-3.85437039053095,1.74603279422538,-4.26476044673195,-3.86226792879151,0.42205823767568,4.17576009558176,2.40978153183368,-4.36011019924149,-4.77845211626717,-4.97860007783485,-5.87263859129067,-3.38554437378002,0.262679093875424,0.959434326132569,0.746963642396477,0.343167496867528,6.17974428131474,-4.77090398059746
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",3.37308903395527,4.1790658947699,2.09721298159415,0.5460692887684,-5.25250656568205,1.08694762431104,2.69222982470143,NA,0.0415578023851843,-7.45862190781615,3.43993447735864,0.556896595945846,-6.83781330621849,-7.63419890112293,-5.55810504100306,0.952953897898465,-6.79897731883922,3.0302042707774,6.75610342229451,-6.98646596260596,-6.30226825269286,-6.97331360373573,2.62540679343747,-4.06147473167793,3.37682036880313,6.87327895993691,-5.47888389668314,-6.02342898144625,5.92307789791947,2.95019017880959,4.13274755185236,3.70215131492918,2.55962415514287,8.99491749922638,-6.90679623459654,-6.51661626555999,-7.40277121611694,-6.29949128700052,-4.43421239017383,2.14016807199778
"1642.MS00384",-4.5220062727863,-0.448048141808003,-3.36077651225066,-2.81611410314226,-0.654112638751519,-5.77515881246537,-4.63680079276081,0.0415578023851843,NA,-0.618180048058233,-5.66403573104487,-4.17207736173275,-1.07288914048715,0.201723384644065,-0.785691985809912,-4.06793385979655,0.159874613451267,-3.47002851408911,-4.33847934581592,-1.17705785280312,-1.17404470118333,-0.180099083722197,-5.44454688320393,-0.230276167035914,-4.47549924715237,-2.96913723925809,-0.763507431900712,0.148566064815852,-0.685923100835114,-3.99087550718354,-3.93414869535924,-5.81529682272878,-5.91116435037293,-1.96738488489102,-1.13726113444089,-0.740147173546708,-0.723973159373454,-0.641034579738431,1.22418560391592,-4.64750646772389
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",3.51384634596675,3.87344510321963,0.184448352854479,-0.594865587504378,-5.87098239489152,-0.0165629367662841,2.33157409081482,-7.45862190781615,-0.618180048058233,NA,1.24257226130799,0.271058857056088,-6.6809450008937,-8.55041292145272,-5.79117859700098,0.573706053768093,-8.24708298882643,1.71513333489171,5.61544294168907,-7.54450695252032,-5.86886328698773,-7.46758067660132,1.93679089770399,-4.04197184758564,2.81993803828323,6.83457979822213,-5.94373549784735,-7.32213623232228,4.6484005112148,2.86278925952135,3.33247898845417,2.32734660611986,2.30856801040019,7.75789110018247,-6.70598096175236,-4.92493837129378,-7.33905703200907,-6.76204549919841,-4.11212013003793,1.97355651293488
