"","1642.MS00489","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00542","1642.MS00402","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00423","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00567","1642.MS00564","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00613","1642.MS00467","1642.MS00391","1642.MS00335","1642.MS00437","1001.SKB8","1642.MS00585","1642.MS00463","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00441","1642.MS00578","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00414","1642.MS00507"
"1642.MS00489",0,0.9528,0.9278,0.5416,0.544,0.9234,0.583,0.9218,0.5512,0.9322,0.8462,0.5536,0.9622,0.5642,0.5278,0.5784,0.918,0.684,0.4602,0.575,0.6498,0.5416,0.9918,0.5346,0.51,0.9696,0.9784,0.9208,0.9218,0.9668,0.5356,0.5856,0.6756,0.94,0.94,0.93,0.5716,0.9168,0.54,0.5976
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",0.9528,0,0.7662,0.9442,0.9356,0.8996,0.9496,0.8534,0.9468,0.6814,0.9714,0.9326,0.5488,0.9426,0.9448,0.9398,0.82,0.9578,0.9474,0.9458,0.9376,0.9484,0.9752,0.9468,0.945,0.6434,0.6792,0.6694,0.8636,0.528,0.9448,0.9626,0.948,0.7504,0.5872,0.8556,0.9346,0.8524,0.9448,0.957
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",0.9278,0.7662,0,0.9208,0.9034,0.8374,0.922,0.7012,0.9152,0.5474,0.9546,0.9042,0.743,0.9104,0.92,0.9038,0.652,0.924,0.9272,0.9222,0.9146,0.9126,0.9552,0.9174,0.9148,0.6936,0.7886,0.5948,0.7388,0.6554,0.914,0.9454,0.9246,0.4718,0.6174,0.7912,0.9088,0.7176,0.9134,0.9396
"1642.MS00542",0.5416,0.9442,0.9208,0,0.5534,0.9222,0.6114,0.9144,0.5352,0.9272,0.8074,0.5488,0.9548,0.579,0.474,0.5096,0.901,0.7326,0.475,0.523,0.6066,0.5946,0.9834,0.5574,0.4888,0.957,0.9706,0.9238,0.9174,0.9578,0.5202,0.4968,0.6836,0.9308,0.9332,0.925,0.5564,0.9124,0.5658,0.5514
"1642.MS00402",0.544,0.9356,0.9034,0.5534,0,0.8906,0.5496,0.8852,0.4832,0.9066,0.8172,0.45,0.943,0.5066,0.555,0.5954,0.8898,0.6482,0.5642,0.5664,0.607,0.4816,0.9896,0.5012,0.5262,0.953,0.968,0.8978,0.8846,0.9534,0.5016,0.65,0.5844,0.92,0.9214,0.8996,0.503,0.8754,0.5094,0.639
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9234,0.8996,0.8374,0.9222,0.8906,0,0.9178,0.7348,0.9004,0.8574,0.9666,0.8844,0.9002,0.8984,0.9196,0.924,0.818,0.8924,0.9238,0.9294,0.9224,0.9012,0.9858,0.9074,0.9184,0.8984,0.9264,0.8318,0.7042,0.9206,0.9026,0.9466,0.9274,0.8602,0.8748,0.7512,0.8912,0.708,0.9098,0.937
"1642.MS00429",0.583,0.9496,0.922,0.6114,0.5496,0.9178,0,0.91,0.6106,0.931,0.8082,0.558,0.9544,0.6222,0.6102,0.6558,0.9104,0.732,0.6142,0.5768,0.6086,0.5302,0.9894,0.5926,0.5562,0.9646,0.9712,0.9184,0.9142,0.9624,0.571,0.6702,0.6046,0.933,0.938,0.927,0.6008,0.9078,0.5396,0.6722
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9218,0.8534,0.7012,0.9144,0.8852,0.7348,0.91,0,0.8928,0.7308,0.9532,0.8874,0.8598,0.8966,0.9172,0.9066,0.8344,0.9128,0.9264,0.9192,0.9138,0.9,0.9648,0.9052,0.9112,0.8892,0.9338,0.7756,0.5892,0.8696,0.9074,0.9404,0.9196,0.7048,0.8342,0.7098,0.8958,0.5706,0.9122,0.9374
"1642.MS00606",0.5512,0.9468,0.9152,0.5352,0.4832,0.9004,0.6106,0.8928,0,0.925,0.8596,0.4954,0.9518,0.4974,0.5272,0.5678,0.9126,0.6464,0.5618,0.6094,0.6702,0.5342,0.9896,0.4858,0.53,0.9588,0.9684,0.9072,0.8964,0.9588,0.5308,0.6128,0.6558,0.9242,0.9288,0.913,0.4734,0.8862,0.557,0.6324
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",0.9322,0.6814,0.5474,0.9272,0.9066,0.8574,0.931,0.7308,0.925,0,0.965,0.9102,0.6494,0.9198,0.9274,0.9212,0.721,0.9264,0.9336,0.9266,0.9146,0.9216,0.9592,0.9232,0.9204,0.6788,0.7404,0.6128,0.7758,0.6134,0.918,0.9512,0.9306,0.5604,0.642,0.8256,0.913,0.7636,0.9184,0.9464
