"","1642.MS00489","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00542","1642.MS00402","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00423","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00567","1642.MS00564","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00613","1642.MS00467","1642.MS00391","1642.MS00335","1642.MS00437","1001.SKB8","1642.MS00585","1642.MS00463","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00441","1642.MS00578","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00414","1642.MS00507"
"1642.MS00489",0,1,1,-0.778,-0.59,1,-0.095,1,-0.54,1,1,-0.569,1,-0.271,-0.89,-0.302,1,0.988,-1,-0.375,0.748,-0.695,1,-0.777,-0.953,1,1,1,1,1,-0.812,-0.305,0.964,1,1,1,-0.179,1,-0.738,-0.331
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",1,0,-0.109,1,1,1,1,0.996,1,-0.881,1,1,-1,1,1,1,0.726,1,1,1,1,1,0.994,1,1,-0.984,-0.996,-0.925,1,-1,1,1,1,-0.333,-0.996,0.993,1,0.995,1,1
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",1,-0.109,0,1,1,1,1,0.68,1,-0.998,1,1,-0.669,1,1,1,-0.784,1,1,1,1,1,0.978,1,1,-0.986,-0.924,-0.898,0.942,-0.996,1,1,1,-1,-0.986,1,1,0.798,1,1
"1642.MS00542",-0.778,1,1,0,-0.322,1,0.523,1,-0.648,1,0.984,-0.546,1,0.16,-0.998,-0.95,1,1,-0.998,-0.911,0.123,0.329,1,-0.372,-0.971,1,1,1,1,1,-0.88,-0.982,0.994,1,1,1,-0.292,1,-0.226,-0.834
"1642.MS00402",-0.59,1,1,-0.322,0,1,-0.435,1,-0.947,1,0.998,-1,1,-0.808,-0.341,0.212,1,0.932,-0.329,-0.324,0.296,-0.963,1,-0.846,-0.613,1,1,1,1,1,-0.929,0.896,-0.073,1,1,1,-0.853,1,-0.83,0.565
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0,1,0.912,1,0.998,1,1,0.998,1,1,1,0.986,1,1,1,1,1,1,1,1,0.97,0.937,1,0.598,1,1,1,1,1,1,0.967,1,0.599,1,1
"1642.MS00429",-0.095,1,1,0.523,-0.435,1,0,1,0.682,1,0.994,-0.405,1,0.849,0.447,0.932,1,1,0.457,-0.259,0.238,-0.755,1,0.402,-0.293,1,1,1,1,1,-0.163,0.952,0.197,1,1,1,0.569,1,-0.652,0.886
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.996,0.68,1,1,0.912,1,0,1,0.28,1,1,0.956,1,1,1,1,1,1,1,1,1,1,1,1,0.956,0.992,0.998,-0.452,0.965,1,1,1,0.56,0.982,0.977,1,-0.709,1,1
"1642.MS00606",-0.54,1,1,-0.648,-0.947,1,0.682,1,0,1,1,-0.923,1,-0.896,-0.818,-0.258,1,0.939,-0.456,0.434,0.976,-0.591,1,-0.96,-0.561,1,1,1,1,1,-0.699,0.396,0.948,1,1,1,-0.98,1,-0.215,0.407
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",1,-0.881,-0.998,1,1,0.998,1,0.28,1,0,1,1,-0.968,1,1,1,-0.341,1,1,1,1,1,0.966,1,1,-0.99,-0.98,-0.943,0.881,-0.994,1,1,1,-1,-0.954,1,1,0.758,1,1
"1642.MS00358",1,1,1,0.984,0.998,1,0.994,1,1,1,0,0.994,1,1,0.976,0.998,1,1,0.984,0.638,0.493,1,1,1,0.994,1,1,1,1,1,0.915,0.996,0.203,1,1,1,1,1,0.785,0.99
"1642.MS00423",-0.569,1,1,-0.546,-1,1,-0.405,1,-0.923,1,0.994,0,1,-0.589,-0.67,0.0740000000000001,1,0.938,-0.675,-0.607,-0.317,-0.992,1,-0.794,-0.681,1,1,1,1,1,-0.992,0.841,0.0329999999999999,1,1,1,-0.906,1,-0.969,0.366
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",1,-1,-0.669,1,1,0.998,1,0.956,1,-0.968,1,1,0,1,1,1,0.161,1,1,1,1,1,0.988,1,1,-1,-0.996,-0.978,0.99,-1,1,1,1,-0.892,-0.938,1,1,0.819,1,1
"1642.MS00596",-0.271,1,1,0.16,-0.808,1,0.849,1,-0.896,1,1,-0.589,1,0,-0.694,-0.129,1,-0.383,-0.048,0.918,0.98,-0.675,1,-0.97,-0.118,1,1,1,1,1,-0.524,0.833,0.986,1,1,1,-0.982,1,-0.033,0.532
"1642.MS00567",-0.89,1,1,-0.998,-0.341,1,0.447,1,-0.818,1,0.976,-0.67,1,-0.694,0,-0.926,1,0.998,-1,-0.913,0.004,-0.091,1,-0.821,-0.964,1,1,1,1,1,-0.967,-1,0.991,1,1,1,-0.944,1,-0.434,-1
"1642.MS00564",-0.302,1,1,-0.95,0.212,1,0.932,1,-0.258,1,0.998,0.0740000000000001,1,-0.129,-0.926,0,1,0.998,-0.852,-0.078,0.898,0.823,1,0.0780000000000001,-0.461,1,1,1,1,1,0.0620000000000001,-0.685,1,1,1,1,-0.286,1,0.564,-0.36
"2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences",1,0.726,-0.784,1,1,0.986,1,1,1,-0.341,1,1,0.161,1,1,1,0,1,1,1,1,1,0.93,1,1,-0.96,-0.956,-0.119,1,-0.417,1,1,1,-0.52,-0.789,1,1,1,1,1
"1642.MS00613",0.988,1,1,1,0.932,1,1,1,0.939,1,1,0.938,1,-0.383,0.998,0.998,1,0,1,1,1,0.294,1,0.603,1,1,1,1,1,1,0.92,1,1,1,1,1,0.44,1,0.948,1
"1642.MS00467",-1,1,1,-0.998,-0.329,1,0.457,1,-0.456,1,0.984,-0.675,1,-0.048,-1,-0.852,1,1,0,-0.884,0.155,0.016,1,-0.39,-0.98,1,1,1,1,1,-0.893,-0.912,0.994,1,1,1,-0.352,1,-0.333,-0.918
"1642.MS00391",-0.375,1,1,-0.911,-0.324,1,-0.259,1,0.434,1,0.638,-0.607,1,0.918,-0.913,-0.078,1,1,-0.884,0,-0.998,-0.331,1,0.602,-0.602,1,1,1,1,1,-0.996,-0.744,0.687,1,1,1,0.656,1,-0.889,-0.974
"1642.MS00335",0.748,1,1,0.123,0.296,1,0.238,1,0.976,1,0.493,-0.317,1,0.98,0.004,0.898,1,1,0.155,-0.998,0,0.081,1,0.956,0.171,1,1,1,1,1,-0.797,0.112,0.077,1,1,1,0.963,1,-0.588,-0.608
