"","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00441","1001.SKB8","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00467","1642.MS00463","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00423","1642.MS00585","1642.MS00343","1642.MS00335","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00567","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00507","1642.MS00564","1642.MS00358","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00414","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00542","1642.MS00489","1642.MS00391","1642.MS00613","1642.MS00402","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00437","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences"
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",0,0.090280842981,0.1010800860486,0.0437760593766,0.0323728902987,0.0934875237413,0.0853752387714,0.0499548098529,0.0900644240245,0.0746422817214,0.0823363447694,0.0828868085147,0.0874444505508,0.0235620561866,0.083576736904,0.0954825629259,0.0359403314344,0.0320132781952,0.1101827166738,0.0437501062709,0.1075240037842,0.085192506281,0.127503871558,0.0329266736969,0.0863872206481,0.0637561263017,0.0181851565509,0.0480754662067,0.0379997522454,0.0855444854979,0.0434937655582,0.0914807256289,0.0932931363832,0.0955695925751,0.0849062787643,0.0788568873804,0.0400173121787,0.0820406884747,0.0777567348101,0.035727966777
"1642.MS00441",0.090280842981,0,0.1619551760637,0.100234664603,0.0869469589468,0.0195019044352,0.021491931268,0.1053024323957,0.0228247134164,0.019700001414,0.0209663055452,0.028004261668,0.0244011472324,0.0821830324721,0.0243079996382,0.0200698718067,0.0904026282845,0.0872226879792,0.0233454206507,0.0895988251658,0.0210586578634,0.0225369077745,0.0808110134823,0.0839140479075,0.0192481032488,0.1165342790032,0.0824228570988,0.1056123521851,0.1098644714962,0.0228317896117,0.0828076350105,0.0196962647449,0.0197614843169,0.020022877416,0.0293064802696,0.0200786400209,0.0951516541065,0.0210674031725,0.0199443439061,0.0904356680721
"1001.SKB8",0.1010800860486,0.1619551760637,0,0.0846055399057,0.0847066407747,0.1680776660673,0.1615055828097,0.0802595323037,0.172858069864,0.1474391347707,0.150956674682,0.1432773064909,0.1564292279933,0.0992701824024,0.1441224359448,0.1628253262619,0.0775038452837,0.1270977700817,0.1799008833706,0.104239694152,0.1814901097009,0.1480634524227,0.1662757865804,0.1113754507225,0.1551144457326,0.0931017067574,0.1104011227616,0.068363374724,0.0739408179146,0.1596316232699,0.0950930837565,0.159403166428,0.1631506186371,0.1645049225908,0.1626006230442,0.1557894540317,0.1332934899268,0.154502107479,0.1608754803614,0.0835620759196
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",0.0437760593766,0.100234664603,0.0846055399057,0,0.0293637982388,0.1021131632345,0.1001717503494,0.0262924123267,0.1062942169013,0.0932885088275,0.1035240824984,0.0909196618952,0.0878497671285,0.0459783150362,0.0973740002302,0.1058064874867,0.0301625282865,0.056665235392,0.1117882913213,0.0191373155625,0.1014320815331,0.0981877762021,0.1135787713608,0.0288532605797,0.0981584422414,0.0339068078119,0.0469646654427,0.0184616150973,0.0239526874451,0.1045666931807,0.0337488982177,0.1048157591801,0.1070683715984,0.1011600727427,0.1120362735596,0.0931178283166,0.0452448259597,0.1038001884081,0.0987903963096,0.0239800535483
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",0.0323728902987,0.0869469589468,0.0847066407747,0.0293637982388,0,0.0960786549625,0.085632299643,0.0282299058776,0.0968733575316,0.080159780171,0.0892767588495,0.0820753916314,0.0728838386972,0.0273154568677,0.084498958715,0.0906608114771,0.0171785634049,0.043589466372,0.0983412526448,0.0232306367902,0.0869683181015,0.0863756010916,0.1031112544753,0.0228393081908,0.0859234229062,0.0455650489862,0.0279924013668,0.0267526549277,0.0257385862264,0.0952787506546,0.0265950299047,0.0894259853145,0.1061987521354,0.0857996618625,0.1002878943911,0.083962425799,0.0346347818544,0.0919664282697,0.0844189222721,0.0161099135477
"1642.MS00467",0.0934875237413,0.0195019044352,0.1680776660673,0.1021131632345,0.0960786549625,0,0.0205026446711,0.1108463857729,0.0225578017559,0.0202273995303,0.0237184694548,0.0315642909186,0.0276127542257,0.0933622005621,0.0254403496735,0.0193470423493,0.0983514770501,0.0928633889753,0.0207766622181,0.098183434897,0.0175560064589,0.0192218076941,0.0682797298515,0.0954875033311,0.0231899953206,0.120013086106,0.0890456360793,0.1124680221699,0.116383384133,0.0241817661386,0.0905383610743,0.017499498928,0.0172207304384,0.0208583960866,0.0372834328294,0.0217104883297,0.1065362375355,0.0218431752825,0.022380768914,0.1023693085394
"1642.MS00463",0.0853752387714,0.021491931268,0.1615055828097,0.1001717503494,0.085632299643,0.0205026446711,0,0.1038708132468,0.0234505457855,0.0226725386256,0.023200438351,0.0327022502295,0.0254474132553,0.0807643286388,0.0239785775946,0.0205090942346,0.0892161849101,0.0894431231243,0.0211619119724,0.0920148741675,0.020913352688,0.0233754576181,0.0709485748995,0.0847475667317,0.0229218124809,0.1142082398372,0.0827224829956,0.1065178444148,0.1105372020013,0.0232811367597,0.083853432289,0.0194849933477,0.0199696200682,0.0216859679803,0.0354408510837,0.0226437226969,0.0940007371908,0.0228986677393,0.0230069222281,0.0912839807268
"2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences",0.0499548098529,0.1053024323957,0.0802595323037,0.0262924123267,0.0282299058776,0.1108463857729,0.1038708132468,0,0.1122181222325,0.0987557662748,0.10761266635,0.1007715643364,0.0908300918167,0.0456967297904,0.1084477695998,0.106653062164,0.0244503180966,0.0543862856056,0.1124338282158,0.0203163373012,0.1019695245791,0.1014104251305,0.1253450108033,0.0304717813757,0.1021752877647,0.0110036048115,0.0514791785533,0.0191652142385,0.0149913975178,0.1112877975142,0.0299006451542,0.1059598023907,0.125488472603,0.1008508775075,0.1279505096808,0.0969033745017,0.0607250912505,0.105532161585,0.104108918744,0.019202257904
"1642.MS00606",0.0900644240245,0.0228247134164,0.172858069864,0.1062942169013,0.0968733575316,0.0225578017559,0.0234505457855,0.1122181222325,0,0.0245116998355,0.0213399501048,0.0376333159936,0.0321488019901,0.0899201013511,0.0311986201651,0.022020638879,0.0992224058956,0.1006265933234,0.02290231717,0.0986295427956,0.0237031566878,0.025457686778,0.0805382092795,0.0907748252228,0.0256166211537,0.1249593819457,0.0910789463811,0.1132571103999,0.1153373137434,0.0226160313698,0.098784155415,0.0209132255396,0.0228606772846,0.0256022992875,0.0336638696919,0.0230131708357,0.1016940912424,0.0217142521262,0.0236478920101,0.1033821820084
"1642.MS00423",0.0746422817214,0.019700001414,0.1474391347707,0.0932885088275,0.080159780171,0.0202273995303,0.0226725386256,0.0987557662748,0.0245116998355,0,0.0233094719004,0.0258897428056,0.0251821092421,0.0736213396281,0.0256498660231,0.0224659736086,0.0814296424729,0.0780646467498,0.0261642221031,0.0835141755588,0.023128980985,0.0229389891473,0.0764737748968,0.0773118458567,0.022448497894,0.1065655161851,0.0735938715224,0.0977945996304,0.0999312034471,0.0250053189679,0.0755748551169,0.0220015219576,0.0233216100622,0.0227470630899,0.0333800182471,0.019922232024,0.0874649724908,0.0218330517447,0.0205846097269,0.0843383526838
"1642.MS00585",0.0823363447694,0.0209663055452,0.150956674682,0.1035240824984,0.0892767588495,0.0237184694548,0.023200438351,0.10761266635,0.0213399501048,0.0233094719004,0,0.0381223501176,0.0304865020945,0.0854315916982,0.0298548850463,0.0202136174824,0.0925453558289,0.0896935267149,0.0229880484287,0.090746867449,0.0217511406152,0.0241628391507,0.0758396271412,0.0835716827049,0.0253138837791,0.1174280529664,0.0837420033918,0.1068930921519,0.1088231556795,0.0219002734362,0.0871621536345,0.0195835782556,0.0219728302255,0.0256731493594,0.0292083338218,0.0226838066352,0.0950815731193,0.0204607167414,0.0231478513468,0.0960498027333
"1642.MS00343",0.0828868085147,0.028004261668,0.1432773064909,0.0909196618952,0.0820753916314,0.0315642909186,0.0327022502295,0.1007715643364,0.0376333159936,0.0258897428056,0.0381223501176,0,0.0222238848638,0.0777854686238,0.024294974518,0.0333616139522,0.0827619738123,0.0864964755327,0.0378629047107,0.0875214427007,0.0389692196364,0.0346397633075,0.0632483197823,0.0896728121651,0.0232335025613,0.1072208959912,0.0826398377538,0.1019401256849,0.1074089589074,0.0340551231118,0.0776699162926,0.0374169852752,0.0328612989068,0.0271810932406,0.0471075332164,0.0258567165507,0.0921484293642,0.0330818775231,0.025925717199,0.0839969399146
