"","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00441","1001.SKB8","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00467","1642.MS00463","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00423","1642.MS00585","1642.MS00343","1642.MS00335","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00567","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00507","1642.MS00564","1642.MS00358","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00414","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00542","1642.MS00489","1642.MS00391","1642.MS00613","1642.MS00402","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00437","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences"
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",NA,3.91145568489695,-1.7075573262503,-6.38688954222991,-3.95942481897043,4.33439104362856,4.94984970727192,-5.8242849687321,8.50884273231418,2.26761051973502,4.60549422865745,1.84236773556554,2.09747085706734,-7.43070586056115,3.85885944654481,5.4626618229499,-2.97871852112575,-8.29407193261377,4.8534314000134,-4.16487491031862,3.20179898432774,3.25595474165859,5.29300094597305,-4.80663723672883,4.08885264530034,-4.61694865089303,-9.25459695859359,-5.80938077612311,-5.52346317194518,7.07056336778364,-4.64637128266199,4.82078026984377,4.72583803144096,3.32541742987835,4.27019106263824,4.85570239086676,-1.70104055967168,5.51911223350585,2.78865896337615,-3.34853479735234
"1642.MS00441",3.91145568489695,NA,1.18978220491462,0.177599523928846,1.26743688302305,-3.77740182160681,-3.45179733862105,-0.281348912270135,-2.97198616847981,-4.52927536407981,-5.09159878835291,-2.96678209475989,-1.50944924005484,1.94992061238192,-3.35416990055681,-5.99918660391517,1.13435466041808,1.78299387152069,-5.01048489705172,-0.284203894313549,-5.40938992695355,-5.37750145798598,3.21365926200923,0.61537597720712,-4.42884192508312,-0.169068968802492,1.90663403432888,0.130919749113865,0.429285731949397,-3.84042462599949,0.398731509749237,-5.64846498109284,-3.4171781337621,-5.00043472152208,-4.06252077910775,-3.68389176318367,3.64351612026388,-5.76767264857662,-5.43511889294629,0.574818679855176
"1001.SKB8",-1.7075573262503,1.18978220491462,NA,-2.32774807461739,-2.33342453347527,1.32388844093188,1.17239420450937,-2.17210105294212,1.97404564938079,0.44856502432594,0.61380178950741,0.0414847483445413,0.607733280940706,-1.94157574975446,0.106556305338895,1.0394480323669,-2.51702380748339,-0.909737937983307,1.90094995838638,-1.72542456464166,1.58754688246944,0.497341563232731,0.4032088764099,-1.16378350543681,0.872039146493784,-2.48797571385082,-1.4920867564386,-2.7799237342629,-2.29743527514789,1.14517443879264,-2.05526775026333,1.11684720420161,1.04488121889728,1.14139963628571,0.973396008191945,1.05158456313589,-0.35380713784721,0.911049405606752,1.04485173863718,-2.62205546331736
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",-6.38688954222991,0.177599523928846,-2.32774807461739,NA,-6.98101654739572,0.0983895437978183,0.223346977671099,-6.07438815891811,1.18849699078324,-0.333398218264433,0.733612600642808,-1.28700060224717,-1.18334521632643,-6.17026901417844,-0.336007364739581,0.647976482180967,-6.71661415291426,-5.50363482272413,0.71940744058795,-6.20399819730966,-0.291491978818115,-0.13215981382067,-0.586480353687203,-6.72029721527895,-0.118885476033,-4.89528714074523,-4.11089292404526,-7.03135759144234,-4.74643634528332,1.11848754725,-6.50948964292397,0.536227165432748,0.675059123492623,-0.0459715521810302,1.22009840104415,-0.32754627835977,-4.25586459280001,1.11741160673168,0.0532532869241873,-6.28505598247586
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",-3.95942481897043,1.26743688302305,-2.33342453347527,-6.98101654739572,NA,2.6864150175859,2.04175880677856,-7.06332632168202,5.04132262421116,1.03146460843624,3.16044754669879,-0.142813958366346,-0.7867750545032,-6.04855412142611,0.715248952715853,2.11072833385237,-8.68099224987299,-5.4378398842777,1.864964553848,-6.9140512516329,0.133053952434087,1.75953975449337,0.160855722874677,-7.5290351861532,1.5958309643568,-5.04905132317581,-6.31676097344241,-6.20420296576264,-6.39168863912893,4.96906749337158,-7.05833930444584,2.27068303995364,5.24011204994222,0.763608603951691,3.45093831583,2.58950027755078,-5.24126281223991,4.18168424450155,1.63243602445961,-8.40085479032225
"1642.MS00467",4.33439104362856,-3.77740182160681,1.32388844093188,0.0983895437978183,2.6864150175859,NA,-4.5188788402376,0.0354991604407076,-3.81192107755981,-5.89656972036623,-2.54062781886399,-3.23258313601622,-1.73374396559263,4.28528705433725,-4.39190434208143,-2.35843582801848,2.46692078225708,2.88790275140741,-2.91287926002628,0.684064821752079,-5.98281877061331,-4.55797126880123,-0.66716694888738,2.23801689960289,-3.36265922122756,-0.14689399878959,3.00653571296714,0.730366268695531,0.741022841247969,-3.2073267725746,1.41221843807032,-6.70354625942307,-5.73896848914418,-3.25679341267094,-1.55065968186784,-4.04482877140503,6.08503704502563,-5.2186622693683,-4.33737879884,1.73851810306427
"1642.MS00463",4.94984970727192,-3.45179733862105,1.17239420450937,0.223346977671099,2.04175880677856,-4.5188788402376,NA,-0.361715339660029,-3.1083713693332,-3.80747512257585,-5.01319645141391,-2.54903700815978,-2.46617225433731,3.29415917232969,-3.89297726011942,-5.12510049848544,1.93732002541035,3.73900524860536,-4.49871897710845,0.330024559652657,-4.90971499110618,-3.8065421552142,-0.194864247373696,1.14581329162472,-3.60574563485984,-0.516983173701428,3.45302062832943,0.48187793000631,0.569441208434438,-4.54110072688493,0.984837412507823,-5.07971624061384,-3.71639308176593,-2.86879167253125,-2.83781930377984,-3.0339733369625,5.67405821992565,-4.19456383124763,-4.68369287090311,1.13776592015391
"2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences",-5.8242849687321,-0.281348912270135,-2.17210105294212,-6.07438815891811,-7.06332632168202,0.0354991604407076,-0.361715339660029,NA,0.478192786876928,-0.713908414194498,0.0107719190830386,-0.981306809732498,-1.53101613257495,-7.35854522176404,-0.286615703755464,-0.266363201235494,-6.12280076350568,-4.97268533221735,-0.155282005780967,-6.52409351976751,-0.879496991142625,-0.720015091900209,-0.339513485572679,-7.64140050784558,-0.601333938758696,-5.96108787981005,-3.64362894238151,-5.64720749223878,-6.39785923281889,0.472240392851581,-6.33225780997134,-0.413133639360399,1.18162791084512,-0.867264173933073,1.19317848179003,-0.801226856447797,-3.44985405510049,-0.00987180203046559,-0.418686390601605,-7.59816905805041
"1642.MS00606",8.50884273231418,-2.97198616847981,1.97404564938079,1.18849699078324,5.04132262421116,-3.81192107755981,-3.1083713693332,0.478192786876928,NA,-1.10553207372319,-3.95443056112651,-0.387157405490768,-1.09087600246803,8.45787030097338,-1.76489527206534,-2.94129898255198,4.48735102840995,9.51547537041386,-4.6239539770394,1.75406471185735,-3.96252299105726,-2.14410919132956,1.59263252984181,2.59228454919179,-2.81122330474431,0.906705232113887,8.62513527365073,1.35513454888125,1.03867991513306,-2.63728700102075,3.55697843671312,-4.19268346279846,-3.66028956659042,-3.57627289389683,-1.60816252032996,-1.37038017533888,9.40506661927586,-2.92352550757201,-3.32999149454856,3.64579738172817
"1642.MS00423",2.26761051973502,-4.52927536407981,0.44856502432594,-0.333398218264433,1.03146460843624,-5.89656972036623,-3.80747512257585,-0.713908414194498,-1.10553207372319,NA,-4.24627295468983,-3.70898844396963,-1.46010394990433,1.39472995910003,-3.49955404340853,-3.87617712496336,0.527889332713881,1.42952057586427,-4.59669848484018,-0.656895634196945,-5.29028298140341,-4.82246278801568,1.69006734259407,0.0939076576795294,-3.43879118201338,-1.18767220585629,1.26668399114747,-0.223316076407653,0.00441226833251643,-3.42744265597881,-0.0649879621168604,-4.08938947537567,-2.6111660884325,-4.42282681865938,-1.85005062333457,-2.528237885623,4.85091638787962,-4.39892467616622,-4.56217694066171,0.202494320127037
