"","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00487","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00519","1642.MS00531","1642.MS00423","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00409","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00435","1642.MS00365","1642.MS00640","1642.MS00574","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","1642.MS00524","1642.MS00577","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00397","1642.MS00558","1642.MS00573","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","1642.MS00502","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00635","1642.MS00343","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00346","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences"
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",0,0.88,0.9312,0.9538,0.7988,0.9534,0.9374,0.928,0.8796,0.9448,0.9468,0.641,0.8554,0.9398,0.9458,0.9422,0.9344,0.855,0.9356,0.947,0.9428,0.8632,0.9416,0.9418,0.9398,0.5946,0.6928,0.9334,0.955,0.5458,0.8784,0.9376,0.9334,0.9444,0.7306,0.9482,0.9496,0.7412,0.8718,0.5722
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.88,0,0.909,0.9244,0.6156,0.943,0.923,0.8914,0.5424,0.9246,0.9166,0.8958,0.6336,0.8988,0.922,0.9256,0.9014,0.6202,0.9064,0.9014,0.9212,0.7072,0.9154,0.907,0.9118,0.907,0.7776,0.9086,0.9334,0.8618,0.7702,0.8978,0.91,0.9254,0.8952,0.9148,0.9284,0.8602,0.6346,0.8708
"1642.MS00472",0.9312,0.909,0,0.5672,0.9062,0.5802,0.5432,0.5448,0.9084,0.5126,0.5864,0.9494,0.8918,0.5738,0.6796,0.5652,0.5318,0.9012,0.5434,0.5908,0.5602,0.9168,0.555,0.6156,0.5582,0.9508,0.9226,0.5464,0.5712,0.9378,0.878,0.5686,0.5268,0.663,0.9162,0.552,0.7042,0.9374,0.913,0.9318
"1642.MS00487",0.9538,0.9244,0.5672,0,0.9236,0.5472,0.5338,0.5478,0.9212,0.4718,0.5678,0.9612,0.9164,0.5626,0.6828,0.5552,0.5184,0.921,0.5534,0.5438,0.5506,0.93,0.5506,0.5682,0.567,0.9658,0.9388,0.5254,0.5476,0.9584,0.9026,0.54,0.5498,0.6694,0.944,0.5452,0.7346,0.9642,0.9296,0.95
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7988,0.6156,0.9062,0.9236,0,0.9404,0.925,0.8872,0.6584,0.9192,0.9136,0.8528,0.5958,0.8996,0.9202,0.9238,0.8982,0.6406,0.9056,0.9012,0.9176,0.736,0.912,0.9002,0.9118,0.8518,0.7526,0.8994,0.9308,0.8214,0.7902,0.8984,0.9086,0.9228,0.8686,0.9066,0.9256,0.85,0.5842,0.8102
"1642.MS00519",0.9534,0.943,0.5802,0.5472,0.9404,0,0.5838,0.5968,0.9404,0.5208,0.5232,0.964,0.9358,0.6206,0.675,0.5068,0.5686,0.9394,0.5334,0.6218,0.4852,0.9496,0.5118,0.5558,0.532,0.9626,0.9434,0.567,0.4676,0.9544,0.9298,0.6224,0.5384,0.6958,0.9482,0.5682,0.6916,0.9568,0.9394,0.9476
"1642.MS00531",0.9374,0.923,0.5432,0.5338,0.925,0.5838,0,0.5442,0.9162,0.4892,0.6026,0.9598,0.9058,0.5772,0.693,0.5432,0.5202,0.91,0.5664,0.569,0.5572,0.9238,0.5754,0.5978,0.5558,0.9586,0.932,0.5544,0.5752,0.9464,0.8878,0.5644,0.522,0.6668,0.9278,0.6014,0.7234,0.9418,0.9266,0.9298
"1642.MS00423",0.928,0.8914,0.5448,0.5478,0.8872,0.5968,0.5442,0,0.8838,0.5364,0.5166,0.9462,0.873,0.4786,0.615,0.569,0.4616,0.88,0.4796,0.5282,0.5402,0.896,0.4922,0.5354,0.5202,0.949,0.912,0.4796,0.578,0.9356,0.8424,0.463,0.5268,0.5966,0.9056,0.4942,0.6468,0.9436,0.8982,0.9266
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8796,0.5424,0.9084,0.9212,0.6584,0.9404,0.9162,0.8838,0,0.922,0.9102,0.8946,0.6394,0.8876,0.9184,0.926,0.893,0.6132,0.9012,0.8916,0.9164,0.6826,0.9088,0.8992,0.9056,0.9104,0.803,0.9008,0.93,0.878,0.7416,0.8908,0.905,0.9172,0.8896,0.904,0.9258,0.8894,0.6572,0.8708
"1642.MS00485",0.9448,0.9246,0.5126,0.4718,0.9192,0.5208,0.4892,0.5364,0.922,0,0.5662,0.9606,0.9154,0.5774,0.6906,0.4958,0.5122,0.9172,0.5452,0.5706,0.5332,0.929,0.5468,0.5564,0.5582,0.96,0.9384,0.519,0.5136,0.9494,0.9018,0.5684,0.5168,0.675,0.9314,0.5724,0.7274,0.9598,0.928,0.9452
