"","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00487","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00519","1642.MS00531","1642.MS00423","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00409","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00435","1642.MS00365","1642.MS00640","1642.MS00574","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","1642.MS00524","1642.MS00577","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00397","1642.MS00558","1642.MS00573","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","1642.MS00502","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00635","1642.MS00343","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00346","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences"
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",0,0.998,1,1,0.135,1,1,1,1,1,1,-0.984,0.962,1,1,1,1,0.961,1,1,1,0.962,1,1,1,-0.998,-0.88,1,1,-1,0.994,1,1,1,-0.734,1,1,-0.769,0.996,-1
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.998,0,1,1,-0.354,1,1,1,-0.963,1,1,0.988,0.0880000000000001,1,1,1,1,-0.14,1,1,1,0.5,1,1,1,0.994,0.98,1,1,0.996,1,1,1,1,1,1,1,0.992,-0.037,1
"1642.MS00472",1,1,0,-0.21,1,-0.094,-0.523,-0.434,1,-0.926,0.0920000000000001,1,1,0.143,0.98,-0.135,-0.622,1,-0.454,0.594,-0.281,1,-0.391,0.764,-0.421,1,1,-0.356,-0.344,1,1,0.0149999999999999,-0.685,0.982,1,-0.275,0.988,1,1,1
"1642.MS00487",1,1,-0.21,0,1,-0.679,-0.734,-0.517,1,-1,-0.327,1,1,-0.253,0.977,-0.449,-0.864,1,-0.474,-0.54,-0.554,1,-0.593,-0.217,-0.364,1,1,-0.838,-0.75,1,1,-0.622,-0.467,0.974,1,-0.578,0.998,1,1,1
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",0.135,-0.354,1,1,0,1,1,1,0.51,1,1,0.786,-0.472,1,1,1,1,0.329,1,1,1,0.874,1,1,1,0.455,0.827,1,1,0.808,1,1,1,1,1,1,1,0.964,-0.666,0.816
"1642.MS00519",1,1,-0.094,-0.679,1,0,0.02,0.252,1,-0.918,-0.891,1,1,0.732,0.935,-0.974,-0.272,1,-0.8,0.759,-1,1,-0.934,-0.515,-0.844,1,1,-0.24,-1,1,1,0.705,-0.685,1,1,-0.242,0.94,1,1,1
"1642.MS00531",1,1,-0.523,-0.734,1,0.02,0,-0.482,1,-0.988,0.342,1,1,0.215,0.994,-0.506,-0.778,1,-0.15,0.11,-0.308,1,-0.05,0.448,-0.474,1,1,-0.276,-0.284,1,1,-0.091,-0.776,0.977,1,0.586,0.998,1,1,1
"1642.MS00423",1,1,-0.434,-0.517,1,0.252,-0.482,0,1,-0.712,-0.895,1,1,-0.992,0.22,-0.0590000000000001,-1,1,-0.994,-0.595,-0.629,1,-0.983,-0.612,-0.878,1,1,-0.99,-0.215,1,1,-0.998,-0.687,0.0840000000000001,1,-0.96,0.508,1,1,1
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.963,1,1,0.51,1,1,1,0,1,1,0.998,0.332,1,1,1,1,-0.11,1,1,1,0.073,1,1,1,0.998,0.996,1,1,1,0.996,1,1,1,1,1,1,1,0.434,1
"1642.MS00485",1,1,-0.926,-1,1,-0.918,-0.988,-0.712,1,0,-0.417,1,1,0.0249999999999999,0.991,-0.988,-0.902,1,-0.644,-0.139,-0.772,1,-0.63,-0.433,-0.553,1,1,-0.866,-0.976,1,1,-0.244,-0.912,0.988,1,-0.203,0.998,1,1,1
