"","1642.MS00397","1642.MS00435","1642.MS00573","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00409","1642.MS00519","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00558","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00430","1642.MS00393","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00574","1642.MS00343","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00487","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00640","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00365","1642.MS00577","1642.MS00485","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00502","1642.MS00346","1642.MS00472"
"1642.MS00397",0,0.020209706839,0.0216251782887,0.0870677960177,0.0904834052493,0.0863931638247,0.0196092150807,0.0756633520966,0.0173543693841,0.023837798203,0.0979219549331,0.024677099457,0.0954473040914,0.0231737084844,0.0251071150327,0.0834062816923,0.0798434734263,0.0200780207645,0.0197673178638,0.0181160106865,0.0728168958799,0.0202013829073,0.0213720749856,0.023686894287,0.0889352265022,0.0803249399115,0.0243040225509,0.0759334066285,0.0245485029351,0.0246518408814,0.102287758489,0.0750941308961,0.0250620711187,0.0199954485517,0.0214649244678,0.0989397439051,0.0840134530601,0.0217789877159,0.0241130085905,0.0210436594362
"1642.MS00435",0.020209706839,0,0.0228966396265,0.0794420004644,0.0988496609869,0.0915649311837,0.0195401913149,0.0727431344996,0.020095126658,0.0264685812723,0.1046206824021,0.0247586487482,0.0785683606828,0.0245919153338,0.0258452696031,0.076937972724,0.0778613639736,0.020876962226,0.0193942027012,0.0205218405114,0.0747518297106,0.020948759325,0.0225991396029,0.0234144367275,0.0936358730771,0.0871618155899,0.0255992901598,0.0724995954658,0.024817102796,0.0271779260448,0.109713623006,0.0803477133134,0.0254072036644,0.0239899348945,0.0263156953427,0.1029076586263,0.0856101333064,0.0248115211309,0.0259179554629,0.0236491225725
"1642.MS00573",0.0216251782887,0.0228966396265,0,0.0883518809375,0.0970211071051,0.0939717831299,0.0216065781712,0.0797033363104,0.0193149939247,0.0232466957903,0.0951395167939,0.0208763076663,0.1011699691594,0.0224467621076,0.0236681228086,0.0873865540944,0.0836586183723,0.0229512010196,0.0224882080717,0.0216000559098,0.0771912379693,0.021778767812,0.0200812569853,0.031758062331,0.0923672519319,0.0955708300235,0.0204996537215,0.0795842860905,0.0227990866702,0.0229705091539,0.1087206728443,0.0799627219266,0.0346447899531,0.0181426252849,0.0216401447129,0.0969356151189,0.0892052752264,0.0199127984328,0.0329557789556,0.0213012130524
"2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0870677960177,0.0794420004644,0.0883518809375,0,0.0636740282703,0.0456767898209,0.0887705184644,0.0330586964081,0.0841476894346,0.1049594531693,0.0608740948397,0.1010044954924,0.0276431399808,0.1072456538546,0.0958087260735,0.0244010993214,0.0322009525638,0.0883063521865,0.0911711463519,0.0860232171148,0.0512330157999,0.0850296780638,0.0918884895002,0.0891747194722,0.0458658181521,0.0626710337554,0.1124422741251,0.0279019153538,0.0936395871448,0.1059290484523,0.068152360767,0.0464241509206,0.0875550195065,0.0936760840602,0.1128357893748,0.0568181802375,0.0379871218399,0.0956596307424,0.0857365610522,0.0882230387369
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.0904834052493,0.0988496609869,0.0970211071051,0.0636740282703,0,0.0224557537618,0.1019308768712,0.0587037054524,0.0874404568784,0.1069903240333,0.0146627451471,0.1087984201369,0.0602775336354,0.1130398556611,0.1084872746975,0.0495093751433,0.0515789429556,0.1005821658327,0.0949837110482,0.0945453885409,0.0646440570065,0.0950013495073,0.1032285523437,0.0975959261504,0.0264966655587,0.0424024684445,0.1201466975374,0.0530751605756,0.1140000976003,0.108741859775,0.0279036679229,0.0592022127874,0.09381009691,0.0983762034244,0.120355163645,0.0259320735832,0.0204225730883,0.09585208842,0.0827515542961,0.0930357990726
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",0.0863931638247,0.0915649311837,0.0939717831299,0.0456767898209,0.0224557537618,0,0.0956017656646,0.041714383644,0.0826280001207,0.1023502760582,0.015882041345,0.1076375040048,0.0597900324519,0.1103417313536,0.0989218133641,0.0348644101636,0.0405393604066,0.0956556964617,0.0870480315927,0.090462395035,0.0516460396281,0.091939860243,0.1021170392682,0.0884561705096,0.0157033831999,0.0362155755437,0.1192371225809,0.0408986534193,0.1055444018796,0.1081770623266,0.0206248375543,0.0450099144717,0.0839773173583,0.0956085060968,0.1142355199423,0.0193542579761,0.0178026703842,0.0926203483965,0.0738430711771,0.0922085014032
"1642.MS00410",0.0196092150807,0.0195401913149,0.0216065781712,0.0887705184644,0.1019308768712,0.0956017656646,0,0.0755553909403,0.0179382264194,0.025899751728,0.1089689084747,0.025689280005,0.0830674230078,0.0235868773996,0.0221138362069,0.0841966703391,0.0799587232822,0.0190898360554,0.0194926735499,0.0193326745362,0.0788618442593,0.019181341471,0.0216631960747,0.0262967173256,0.0967473569945,0.0905260461315,0.0255084590745,0.0773476633883,0.0211659326789,0.027463310285,0.1113516214654,0.0793828779914,0.0285544611642,0.0227838666696,0.024809906378,0.1032824629238,0.0897514905923,0.0234612930662,0.0302520331409,0.0231747804861
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0756633520966,0.0727431344996,0.0797033363104,0.0330586964081,0.0587037054524,0.041714383644,0.0755553909403,0,0.0713384753654,0.0944817193114,0.0518189685056,0.0928744926237,0.0252236841047,0.0954266408281,0.0828874977952,0.0280128253768,0.0216270086132,0.078810663837,0.0802760804067,0.0761600021448,0.0419059976492,0.0734265335653,0.080424612917,0.0801871612379,0.0499960098931,0.05672871901,0.0993639977745,0.026536798418,0.0841804840404,0.0941143774096,0.0617440120321,0.0292201224077,0.0779763632498,0.084754790553,0.1020538290785,0.0479735873412,0.038122919177,0.0843092587371,0.0778794216917,0.0802759063295
"1642.MS00409",0.0173543693841,0.020095126658,0.0193149939247,0.0841476894346,0.0874404568784,0.0826280001207,0.0179382264194,0.0713384753654,0,0.0209685992533,0.0952591344879,0.0231251740743,0.103946768841,0.0210506276852,0.0223541642931,0.0802294061769,0.0762817243076,0.018134880368,0.0188013443463,0.0176026928386,0.0706552221563,0.0181120337184,0.0205199988728,0.0241102853633,0.0863707738225,0.0762991180501,0.019887023032,0.0729182803123,0.022650046263,0.0243528775837,0.0980779360474,0.07255510509,0.0257814833847,0.0192614279108,0.0207570625793,0.0936429326048,0.0810043931223,0.0198398080863,0.0262277109595,0.0202596492519
"1642.MS00519",0.023837798203,0.0264685812723,0.0232466957903,0.1049594531693,0.1069903240333,0.1023502760582,0.025899751728,0.0944817193114,0.0209685992533,0,0.1167507281111,0.0220110626867,0.1161162281854,0.0236729612458,0.0253771910456,0.1000701645819,0.0988962092594,0.0253674056707,0.0224483359666,0.0255718244907,0.0941568051033,0.0272585612021,0.0240793147182,0.0356262479989,0.1066014619416,0.1015345804536,0.0204503750144,0.0965884151164,0.0276007906313,0.0210918595303,0.1204108184597,0.0968752582571,0.0372631100944,0.0213487854104,0.019806285934,0.1152259317451,0.1005276592632,0.0185766747582,0.0386329199393,0.0219782305024
