"","1642.MS00397","1642.MS00435","1642.MS00573","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00409","1642.MS00519","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00558","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00430","1642.MS00393","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00574","1642.MS00343","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00487","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00640","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00365","1642.MS00577","1642.MS00485","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00502","1642.MS00346","1642.MS00472"
"1642.MS00397",NA,-6.19181531801992,-3.46508246024677,1.79605556611346,-0.654461821111139,-0.737753274697393,-5.19380886899211,0.181068745135242,-5.8123320155444,-3.98797974257707,0.0723564030807872,-2.73191122478406,4.12057335296217,-3.28431017037775,-3.46167969229927,1.2851821266693,0.740636231714798,-5.0646137125635,-5.99260636180358,-4.52461953057978,0.141066587518054,-5.00942073067787,-3.75149939132238,-3.76458684983057,-1.158280673203,-0.22285092560002,-2.66976705492181,0.484827038896915,-2.1933811900681,-5.12209695039152,-0.402745673544422,-0.712684650632726,-3.06867073838198,-5.88479321616846,-4.52757671173162,-0.539163382855584,-0.279845682366881,-5.39735633790377,-3.7949834611629,-4.37354586722508
"1642.MS00435",-6.19181531801992,NA,-2.97359832492033,1.95735472529115,0.19515415165272,-0.0934810130066705,-3.39538519913952,0.817109120262254,-4.26603386304641,-3.48827827788092,1.04041258427071,-2.93365149385341,3.6010595549881,-4.09916236350124,-3.37924655028376,1.33517881362583,2.11771970271051,-4.67072223694757,-4.60383117282131,-4.28053782515463,2.81897494480616,-3.82375645118675,-3.0896614824491,-3.98664712329213,-0.554386849612743,-0.106198789785034,-2.14512070885268,1.0927072411896,-1.73037303883898,-3.71397729023908,0.585988197210309,0.823356980444287,-2.45336616865454,-4.15858909870086,-2.9886229599077,-0.13198589390975,0.152309235267035,-3.92045057379799,-3.92829700690824,-5.45373177495705
"1642.MS00573",-3.46508246024677,-2.97359832492033,NA,1.88799670090425,-0.670597892757101,-0.545589027690361,-2.85323679586803,0.612353479599439,-4.1546605978791,-4.28717925040357,-0.465177570108536,-2.97754784957775,5.10974799666276,-2.67288393945462,-2.88152252492907,1.85909993531057,1.44126297255758,-3.87858772134238,-3.25302928116147,-2.73738903229685,0.866037106045974,-3.1800871876299,-2.22650720903936,-3.21833740717836,-1.2072159701958,0.286820440541002,-3.59070807616218,0.927083281793503,-2.55916871696029,-3.47306459795679,-0.270491907599029,-0.0917617506762202,-2.52558145964362,-3.59061935840399,-3.19316502386027,-0.818748066882778,-0.0543520300574036,-3.1780671767924,-2.95750214096762,-4.08114667855735
"2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences",1.79605556611346,1.95735472529115,1.88799670090425,NA,-1.76097373884365,-3.38819034145551,4.66946579762222,-4.27671991749749,0.702102432537125,4.22662372243842,-1.56553918820265,7.53962313622982,-5.82075149004641,7.849297440895,3.82584277850675,-5.05022506093802,-3.61071377888635,3.28664575707674,5.09982872546533,1.7882338047202,-3.23982976537734,3.37866330625483,5.51357688840196,1.99641512434312,-5.13064821503916,-0.851791671164324,8.57044716750237,-4.05416128055024,5.90709101585685,7.4129313669925,-2.67823576103735,-1.56541062435036,1.29390232393787,2.67031607500543,8.47436476531552,-3.33134940488029,-1.40592578674832,1.54117751396051,0.328272112178036,3.78801307653126
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",-0.654461821111139,0.19515415165272,-0.670597892757101,-1.76097373884365,NA,-6.5037502858509,0.868001453627859,-4.07571591232522,-1.03884280963854,1.00703452078856,-7.82880354949867,2.52637190863726,-2.55360624219768,2.59067040668888,1.34773141097373,-4.06896508746586,-3.79751232023177,0.609323623920901,-0.518900441034163,-0.275247982733581,-4.74084026582872,-0.144318949943762,0.965752510041153,-0.188360910180335,-6.09489696772291,-1.83346508689183,2.97166588207336,-4.5815286444231,3.12256207390282,2.11455055174947,-4.39540862659097,-4.46807913181034,-1.01976793091479,-0.145343196013156,3.56813661115401,-5.10065701120628,-5.82923722806553,-0.630736357460089,-2.0928791765991,-0.553870364487088
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",-0.737753274697393,-0.0934810130066705,-0.545589027690361,-3.38819034145551,-6.5037502858509,NA,0.423965086714199,-6.3316990889111,-1.01194194138727,0.71062370548595,-7.38364179248983,2.1076371185175,-1.16462439684226,2.32860576297454,0.644983803400178,-3.61377255456365,-6.34244635381119,0.271067208932247,-0.694484034170231,-0.35842008574604,-5.00585909363337,0.119390398675071,1.09815072699476,-1.04948874913372,-8.04123048588732,-1.39570012298099,2.62530585174978,-6.13666350621096,1.9745465602469,1.8542729227122,-5.34630859534604,-4.99538269138916,-1.61069238053107,0.00700571876714483,2.38049317671797,-6.44872251852954,-7.7305834422908,-0.640812819761368,-2.39714982079622,-0.179755861539152
"1642.MS00410",-5.19380886899211,-3.39538519913952,-2.85323679586803,4.66946579762222,0.868001453627859,0.423965086714199,NA,1.42146360140625,-5.09772560236671,-4.25487724246101,1.42876943087235,-2.78772023937123,4.65757693240458,-3.84795004585982,-4.7493914448931,3.25123227886539,2.73366979193884,-5.77356814471096,-4.4471911228383,-4.497180316895,4.35522977015601,-4.66660696694805,-2.33223423503011,-3.45606506438059,-0.0411419309966015,0.0414569914941309,-1.56792031673586,2.8387740137581,-3.47806160604689,-4.33338381981888,0.859837701971055,1.5925455645545,-2.65785296694935,-4.78917642336087,-2.75957470131053,0.00879767441935748,0.688613576934388,-4.7373469936396,-1.1688593877437,-5.47230469687212
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.181068745135242,0.817109120262254,0.612353479599439,-4.27671991749749,-4.07571591232522,-6.3316990889111,1.42146360140625,NA,-0.436933358620527,2.86397103003799,-4.36204487999316,6.97303089485673,-7.85022067952164,6.37820778437287,1.7118581032782,-6.31299915171673,-7.04650265734385,1.5083300772064,2.48137939353805,0.505390294407292,-6.05623583526736,0.955214881246677,3.08056195780842,0.577585992201496,-6.14919359455041,-1.18681392559203,6.52056086727216,-7.85621539135363,4.23327506718981,5.56869017896408,-4.44807526073893,-8.72722470980167,-0.0817021864163012,1.47599674220247,6.99564097552064,-5.56912803414007,-3.70044467973018,0.606126694047951,-0.451545100108268,1.96419450101297
"1642.MS00409",-5.8123320155444,-4.26603386304641,-4.1546605978791,0.702102432537125,-1.03884280963854,-1.01194194138727,-5.09772560236671,-0.436933358620527,NA,-5.50142693298231,-0.268471446232658,-4.14136710467738,3.44463471564667,-5.32451043690846,-3.90361108846097,0.345911549591439,-0.00796618571211598,-5.24724629659477,-5.67697420207086,-5.68775858640588,-0.354167173792237,-5.6408842093717,-3.6475811319652,-3.35554931524335,-1.18943536528891,-0.210787522122188,-4.95885190966908,-0.0699080895736744,-3.02725154373968,-5.0533598516554,-0.635915664315859,-0.727499520056564,-2.78491970237708,-5.26588440233161,-4.48115419639707,-0.79445441744363,-0.592054770161146,-5.03192134752514,-1.39059731615745,-5.34180091903527
"1642.MS00519",-3.98797974257707,-3.48827827788092,-4.28717925040357,4.22662372243842,1.00703452078856,0.71062370548595,-4.25487724246101,2.86397103003799,-5.50142693298231,NA,1.44141340740987,-4.0181112355121,7.43502027625619,-4.76940474605104,-4.94301872703853,3.49093650293026,3.52052682626039,-4.93435386769909,-4.86303950857517,-2.83942756509366,3.04817731063358,-3.01984489337247,-3.92373160282442,-2.36055203154884,0.631817202845748,0.451513609392517,-4.93594845790202,3.89792009494256,-3.07566718990558,-4.33413234958873,1.11835552532764,2.27571060791154,-2.74219311450627,-4.50797489526226,-5.37595761580041,0.405315972685806,1.19694450561205,-5.20257302240488,-1.42726121001501,-5.53438350609521
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.0723564030807872,1.04041258427071,-0.465177570108536,-1.56553918820265,-7.82880354949867,-7.38364179248983,1.42876943087235,-4.36204487999316,-0.268471446232658,1.44141340740987,NA,2.49875382632571,-1.75004358987472,2.64739502058059,1.6018220174115,-2.78930114209381,-2.51330627651041,1.17677569135522,-0.279644791232534,0.363382761234523,-3.01093748757471,0.93147772684005,1.73922954801485,0.293230134173847,-6.23186249468672,-1.67303661096005,3.07397023494499,-2.8506737176582,2.80617099576225,2.22514701537291,-6.25709804828398,-2.70786269754473,-0.272629916800814,0.656290541776977,2.71112377781606,-6.7057334641504,-6.4740519344289,0.0843264170062663,-1.9029484963908,-0.00478354658594035
"1642.MS00635",-2.73191122478406,-2.93365149385341,-2.97754784957775,7.53962313622982,2.52637190863726,2.1076371185175,-2.78772023937123,6.97303089485673,-4.14136710467738,-4.0181112355121,2.49875382632571,NA,9.4188266479543,-3.97717293371915,-3.20978301471288,6.87589701452664,7.12704784935868,-3.23636870235259,-2.80961759138328,-2.42998440745301,8.6280138209444,-2.71381802001205,-3.0530573062804,-1.33750318429866,1.80156753581191,0.436271496839831,-4.34931445875838,7.52919723241141,-2.16591728830973,-4.94595465637745,1.80239786691994,5.93868157143293,-2.01151464864171,-3.82002810280704,-3.49543971169068,0.823834942391776,2.16471026005372,-2.46651564625332,-0.860132861813744,-4.60457795636589
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",4.12057335296217,3.6010595549881,5.10974799666276,-5.82075149004641,-2.55360624219768,-1.16462439684226,4.65757693240458,-7.85022067952164,3.44463471564667,7.43502027625619,-1.75004358987472,9.4188266479543,NA,9.8066200480902,6.40885525055517,-9.62533484022229,-5.73548367038697,5.41723353104349,6.17581478918601,4.50140088877714,-6.00411904730874,4.49224534184005,7.10535845035742,2.94273400973806,-4.04166795609568,-0.857953207946199,10.5069201342896,-8.44725469865415,6.23947298903714,9.37436738453955,-3.41385197716525,-5.66713024195753,3.42079636644672,5.64928517439809,10.6839678504223,-4.31280835329995,-0.979158689904456,4.17324719486337,1.74081698333174,5.25594485790473
"1642.MS00531",-3.28431017037775,-4.09916236350124,-2.67288393945462,7.849297440895,2.59067040668888,2.32860576297454,-3.84795004585982,6.37820778437287,-5.32451043690846,-4.76940474605104,2.64739502058059,-3.97717293371915,9.8066200480902,NA,-3.63836698251082,6.02917677526686,6.05442021332012,-4.50684296242545,-3.60954665678091,-3.81447389079356,6.09366568441052,-2.70922425959795,-4.4546665506946,-1.89273323633355,1.84997450293955,0.459228391375548,-4.02084694116818,6.62775204087464,-3.31526053614214,-5.24382186755688,1.80646170468638,4.78898616461163,-1.76241603304388,-4.52800915328813,-5.99729812527929,1.05391553512422,2.55892407733893,-4.64392369336066,-1.0472416516136,-5.20290098566821
"1642.MS00558",-3.46167969229927,-3.37924655028376,-2.88152252492907,3.82584277850675,1.34773141097373,0.644983803400178,-4.7493914448931,1.7118581032782,-3.90361108846097,-4.94301872703853,1.6018220174115,-3.20978301471288,6.40885525055517,-3.63836698251082,NA,3.20094250315803,2.49970545020972,-3.72200899653685,-4.59515099594597,-3.25520485849202,3.12580577658008,-2.76159806602891,-2.51443009482116,-1.01844339299535,0.351675983571707,0.275374530178491,-4.54926950970053,2.20677594707456,-3.05841186710327,-4.53027902884389,0.769262738852074,1.61822870086042,0.00597976098143081,-2.45693316713917,-3.27734499348814,-0.00172781784632167,1.00353890473999,-4.07943418337446,-0.34829637553451,-4.73000340414728
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",1.2851821266693,1.33517881362583,1.85909993531057,-5.05022506093802,-4.06896508746586,-3.61377255456365,3.25123227886539,-6.31299915171673,0.345911549591439,3.49093650293026,-2.78930114209381,6.87589701452664,-9.62533484022229,6.02917677526686,3.20094250315803,NA,-7.20071534271639,2.74599354606687,3.81042161015178,1.34843222358624,-4.6078744073791,2.89786693784858,4.82080918233177,0.775500110895179,-6.10546908343822,-0.94575118512024,7.48430925669187,-6.48323930935156,5.02051532801293,6.58737563679793,-2.85089322124361,-4.93940995213613,0.498500923776359,2.1513767913858,7.51323807663959,-5.13403399379772,-3.79970897281794,0.893443947980596,-0.328570336413317,3.28232682375673
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.740636231714798,2.11771970271051,1.44126297255758,-3.61071377888635,-3.79751232023177,-6.34244635381119,2.73366979193884,-7.04650265734385,-0.00796618571211598,3.52052682626039,-2.51330627651041,7.12704784935868,-5.73548367038697,6.05442021332012,2.49970545020972,-7.20071534271639,NA,2.09579268009905,3.2606934791002,1.00645320010988,-4.36563731453485,1.7734784423279,3.93196570380074,1.49283462035026,-4.78188489622744,-0.993849826055832,6.2500586914921,-7.93151602989993,5.39169778972802,5.99181977990011,-3.73285226256997,-5.33944781863547,0.514827362718545,2.10396809272316,7.5286491303099,-4.79033133736856,-2.98999464138154,0.891002059235413,0.116322227074742,3.08251417868636
"1642.MS00413",-5.0646137125635,-4.67072223694757,-3.87858772134238,3.28664575707674,0.609323623920901,0.271067208932247,-5.77356814471096,1.5083300772064,-5.24724629659477,-4.93435386769909,1.17677569135522,-3.23636870235259,5.41723353104349,-4.50684296242545,-3.72200899653685,2.74599354606687,2.09579268009905,NA,-5.36705078203119,-4.55002209997695,2.05572582012865,-3.05952874456061,-2.80693484729744,-3.01049177015839,-0.0998983898594367,0.0615785047841251,-3.93832750580819,1.88529408886422,-2.76303964129607,-4.35630393398625,0.82208688917798,0.831958413210204,-2.75669707396482,-4.44226986908641,-3.57392930983288,0.0277595797200575,0.558085048916386,-3.68881751929905,-3.07256878474345,-4.40313003768256
