"","1642.MS00545","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00609","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00599","1642.MS00388","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00370","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00559","1642.MS00349","1642.MS00419","1642.MS00360","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00637","1642.MS00340","1642.MS00413","1642.MS00500","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00555"
"1642.MS00545",0,0.8976,0.5156,0.9114,0.6728,0.7088,0.6368,0.9006,0.8968,0.908,0.949,0.989,0.914,0.527,0.9098,0.8234,0.9014,0.946,0.9178,0.9064,0.9474,0.9938,0.9594,0.952,0.5446,0.532,0.4956,0.688,0.597,0.6346,0.908,0.9278,0.5528,0.6268,0.527,0.4492,0.9348,0.9256,0.6132,0.5668
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0.8976,0,0.8722,0.6432,0.9238,0.9316,0.9296,0.6264,0.6114,0.7448,0.8732,0.9592,0.6534,0.8894,0.634,0.9722,0.8422,0.8526,0.6136,0.6286,0.8514,0.964,0.884,0.847,0.9032,0.8938,0.895,0.9302,0.9014,0.9204,0.8486,0.8142,0.884,0.938,0.8932,0.8948,0.7888,0.7742,0.9408,0.8934
"1642.MS00609",0.5156,0.8722,0,0.8868,0.7728,0.656,0.6816,0.875,0.8752,0.8852,0.9376,0.9894,0.8828,0.439,0.8896,0.9214,0.8988,0.9378,0.8878,0.8776,0.9396,0.9946,0.9562,0.9416,0.5744,0.5604,0.4888,0.766,0.5682,0.7138,0.9066,0.9148,0.4894,0.7396,0.5402,0.5416,0.9224,0.907,0.733,0.5602
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9114,0.6432,0.8868,0,0.9384,0.9438,0.9376,0.5068,0.6452,0.7246,0.8686,0.9704,0.5258,0.8976,0.6632,0.9778,0.8876,0.8526,0.5954,0.5146,0.8176,0.9752,0.8766,0.8306,0.9178,0.9118,0.9092,0.9432,0.9158,0.9382,0.891,0.827,0.9022,0.9466,0.915,0.9074,0.756,0.7488,0.9504,0.9176
"1642.MS00356",0.6728,0.9238,0.7728,0.9384,0,0.8188,0.6686,0.9358,0.9304,0.9498,0.9578,0.986,0.9362,0.7696,0.9414,0.7384,0.9368,0.9622,0.9428,0.9426,0.9604,0.9916,0.9746,0.9634,0.741,0.715,0.7438,0.5014,0.7134,0.4786,0.946,0.951,0.7734,0.5956,0.6864,0.6488,0.9496,0.9404,0.6332,0.7798
"1642.MS00599",0.7088,0.9316,0.656,0.9438,0.8188,0,0.766,0.9388,0.9376,0.943,0.9674,0.9924,0.947,0.6642,0.9408,0.949,0.9432,0.9674,0.9436,0.9444,0.969,0.9786,0.9776,0.972,0.7392,0.7044,0.6844,0.809,0.6818,0.78,0.9478,0.9546,0.6246,0.8028,0.7028,0.698,0.9554,0.9458,0.808,0.728
"1642.MS00388",0.6368,0.9296,0.6816,0.9376,0.6686,0.766,0,0.9342,0.9384,0.943,0.9292,0.9852,0.9388,0.6852,0.9438,0.8412,0.9088,0.9494,0.9446,0.9412,0.937,0.9916,0.9664,0.932,0.656,0.6452,0.6122,0.6502,0.5958,0.566,0.9292,0.9492,0.6962,0.554,0.5626,0.6334,0.917,0.9144,0.6298,0.7104
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9006,0.6264,0.875,0.5068,0.9358,0.9388,0.9342,0,0.6008,0.6598,0.8534,0.9716,0.5332,0.8886,0.6242,0.9754,0.8658,0.8462,0.586,0.467,0.8426,0.9782,0.8754,0.8492,0.9134,0.9046,0.899,0.9404,0.911,0.9358,0.867,0.8162,0.8882,0.945,0.908,0.9014,0.7628,0.7554,0.9494,0.9076
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8968,0.6114,0.8752,0.6452,0.9304,0.9376,0.9384,0.6008,0,0.704,0.8758,0.981,0.6764,0.8916,0.5272,0.9788,0.849,0.876,0.6126,0.5992,0.884,0.9844,0.8946,0.8688,0.9144,0.9064,0.9002,0.941,0.9118,0.9322,0.859,0.8282,0.8866,0.9464,0.9006,0.9018,0.8094,0.7962,0.9446,0.8978
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",0.908,0.7448,0.8852,0.7246,0.9498,0.943,0.943,0.6598,0.704,0,0.8558,0.9864,0.7348,0.9004,0.7034,0.9802,0.8556,0.88,0.7406,0.6222,0.8978,0.992,0.9002,0.9018,0.9218,0.9022,0.905,0.9476,0.9084,0.9366,0.8546,0.8372,0.8938,0.9482,0.9024,0.9052,0.856,0.8502,0.9504,0.9024
