"","1642.MS00545","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00609","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00599","1642.MS00388","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00370","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00559","1642.MS00349","1642.MS00419","1642.MS00360","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00637","1642.MS00340","1642.MS00413","1642.MS00500","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00555"
"1642.MS00545",0,1,-0.918,1,0.662,0.689,0.467,1,1,1,1,1,1,-0.808,1,-0.848,1,1,1,1,1,1,1,1,-0.69,-0.821,-0.966,0.727,0.0900000000000001,0.069,1,1,-0.648,-0.267,-0.786,-1,1,1,-0.162,-0.349
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",1,0,1,0.157,1,1,1,-0.105,-0.164,0.847,0.96,0.976,0.38,1,0.042,1,1,0.913,-0.264,-0.071,0.984,0.978,0.858,0.974,1,1,1,1,1,1,0.99,0.934,1,1,1,1,0.98,0.962,1,1
"1642.MS00609",-0.918,1,0,1,0.998,-0.094,0.952,1,1,1,1,1,1,-1,1,0.783,1,1,1,1,1,1,1,1,-0.295,-0.387,-0.972,1,-0.323,0.978,1,1,-0.99,0.991,-0.68,-0.692,1,1,0.996,-0.335
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.157,1,0,1,1,1,-0.986,0.267,0.637,0.946,0.996,-0.97,1,0.48,1,1,0.893,-0.552,-0.974,0.851,0.996,0.776,0.906,1,1,1,1,1,1,1,0.964,1,1,1,1,0.843,0.86,1,1
"1642.MS00356",0.662,1,0.998,1,0,1,0.468,1,1,1,1,1,1,1,1,-0.988,1,1,1,1,1,1,1,1,0.99,0.97,1,-0.998,0.969,-1,1,1,1,-0.73,0.762,0.248,1,1,-0.242,1
"1642.MS00599",0.689,1,-0.094,1,1,0,0.994,1,1,1,1,1,1,0.0449999999999999,1,0.991,1,1,1,1,1,0.997,1,1,0.95,0.712,0.378,1,0.291,0.996,1,1,-0.548,1,0.615,0.562,1,1,1,0.908
"1642.MS00388",0.467,1,0.952,1,0.468,0.994,0,1,1,1,1,1,1,0.971,1,-0.756,1,1,1,1,1,1,1,1,0.719,0.634,0.0940000000000001,0.0529999999999999,-0.144,-0.781,1,1,0.946,-0.926,-0.576,0.36,1,1,0.0289999999999999,0.998
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.105,1,-0.986,1,1,1,0,-0.36,-0.337,0.86,1,-0.934,1,-0.117,1,1,0.843,-0.658,-1,0.979,1,0.787,0.981,1,1,1,1,1,1,1,0.936,1,1,1,1,0.868,0.902,1,1
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.164,1,0.267,1,1,1,-0.36,0,0.393,0.982,1,0.831,1,-0.934,1,1,0.99,-0.226,-0.364,1,1,0.965,1,1,1,1,1,1,1,0.998,0.974,1,1,1,1,0.996,0.998,1,1
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.847,1,0.637,1,1,1,-0.337,0.393,0,0.835,1,0.793,1,0.318,1,0.998,0.988,0.814,-0.721,1,1,0.939,1,1,1,1,1,1,1,0.98,0.973,1,1,1,1,1,1,1,1
