"","1642.MS00349","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00545","1001.SKD8","1642.MS00599","1642.MS00370","1642.MS00398","1642.MS00356","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00555","1642.MS00413","1642.MS00419","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00559","1642.MS00606","1642.MS00461","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00558","1642.MS00500","1001.SKM9","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00340","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00388","1642.MS00637","1642.MS00609"
"1642.MS00349",NA,-0.471329602155253,0.177989928841603,-2.46918099028974,-1.03522717800868,-0.469362139540305,-4.50191324813209,-3.19509109874864,-5.37595849934507,2.43095323424161,2.18742544439193,2.62258334638565,-0.253580239313612,0.370895192165828,1.33723985281733,-1.50832567522108,-2.60849263907502,-1.18116567956285,1.58497277724155,-4.0172376405157,-1.12208921244646,-1.98389620386548,-0.571194080514113,-2.42654791529476,-0.401798005532006,-0.242657339609139,-0.0986616461967481,-0.619593400847956,1.11046248392628,1.91684380869115,1.96656069463695,-0.288733967192256,0.491217228456771,-0.755121800833088,-3.63967420973945,-0.735366305069876,-0.429128955361666,-2.72684424367288,-2.55848922268264,-2.38401989653654
"2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences",-0.471329602155253,NA,-4.22473110188385,0.147106528495533,-4.59506590068839,-1.10421199002059,-2.33195593541998,-1.02043726809121,-1.37992185614643,-2.95946532807189,-4.28047374880012,-4.96574931716511,-5.52448593485467,-6.16493903324538,-5.18448285274523,1.75849602944611,0.0170775185284457,0.855804720135275,-5.96982970549812,-0.616137307394836,-5.95492561930588,0.555982598339136,0.881601205597315,0.333572586806295,-5.10618920560016,-6.63797382796645,0.422639258049328,-0.202212174649768,-4.10002733671857,-3.61230257195713,-5.38742462392132,-6.88104866607311,-6.05719820422079,-4.75165516451668,-1.11179487169918,-7.55027292819483,-7.18555267761005,0.367647607746407,-0.0667789388717472,0.600636972362899
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",0.177989928841603,-4.22473110188385,NA,0.765359428983568,-3.29500429733082,-0.544806612851916,-2.25289986248125,-0.497749394786887,-0.683659468420838,-1.76433255616076,-2.07448599189945,-2.14051813963702,-6.64038954977819,-3.35802794598825,-2.83397761636586,3.25271967235767,0.886628382129888,1.86770254568518,-3.18277402174733,0.296550482723721,-3.54406905545764,1.62939485216158,2.96076964152607,1.49531387191314,-8.61865560524537,-3.63197318254985,1.30425814937746,0.433449601976731,-2.78086794167044,-3.72818074809865,-2.76952236960986,-3.66041233792864,-3.86296076199311,-3.21098157640847,-0.866015828406151,-5.37906979522534,-5.45579975822145,1.29899293544613,0.963402958207195,3.18121266405203
"1642.MS00545",-2.46918099028974,0.147106528495533,0.765359428983568,NA,1.18554342231772,-0.708327222411432,-2.13578627045094,-2.67852841300114,-2.74404194466292,2.80582900294312,3.25665527249074,2.90531080120039,0.455655301238052,1.67549255155022,1.91308158477087,-3.42027131534839,-4.81527732153592,-4.86505859310069,2.57182890217083,-3.05685866743204,0.255619212313692,-4.4840142518345,-3.8082234073373,-3.07211010728439,0.609038928344239,0.113321847246726,-4.26485364760073,-5.77765022118198,2.38160212621895,2.13064773081053,3.1902891252705,0.414806360706675,1.82764369447918,0.16290571607501,-4.10298030114587,0.230377509986101,0.0225287699422206,-2.80041476824203,-3.7316553225886,-4.8025217737701
"1001.SKD8",-1.03522717800868,-4.59506590068839,-3.29500429733082,1.18554342231772,NA,-0.697027309585658,-3.40716812408133,-0.524734794187593,-1.79817379820271,-1.68988979744792,-1.17058293069068,-0.702576359353465,-3.07963260396884,-3.74950112881994,-1.67518250909641,3.78049237149824,1.09522967811393,1.6433634804696,-2.25315245031416,-1.57950913967201,-4.62464835912581,2.14998089969102,3.83269886632745,1.85465559770886,-3.64739550982,-4.06664310372154,1.26898529219394,-0.0492409845378229,-3.36504809210881,-2.42633197630738,-3.64752565435737,-4.94940132373722,-2.90527763762098,-4.73051261536929,-1.21233951474965,-4.58307074313326,-4.87269015047416,0.16884946412805,0.0586702159604278,2.78043770625846
"1642.MS00599",-0.469362139540305,-1.10421199002059,-0.544806612851916,-0.708327222411432,-0.697027309585658,NA,-2.67982466678296,-0.84142332186761,-0.458812012721158,0.652260744732545,0.629157361945094,0.697033985176342,-0.765096229023617,-0.350223625773918,-0.111483411566996,0.0332341025596092,-0.482980146398554,-0.267883807702959,0.522281022986337,-0.570699147305585,-1.2255217034404,-0.381416858975079,-0.325915814105501,-0.732522952147076,-0.633462511357097,-1.03441748161172,-0.284615470198174,-0.66445370541055,-1.19146133297786,-0.128958541762907,0.219017873900458,-0.934207973515393,0.211124505439908,-1.48579985412959,-1.02839840401546,-0.994559817560825,-0.918876771578788,-0.467067792372409,-3.97800653419053,-0.494945038134291
"1642.MS00370",-4.50191324813209,-2.33195593541998,-2.25289986248125,-2.13578627045094,-3.40716812408133,-2.67982466678296,NA,-3.47769280333706,-5.0812563955433,-0.17815147536998,-0.456834217756583,-0.0770992226320698,-2.4701328021191,-1.83498516593593,-0.909631738233486,-0.805622722172051,-0.791692880573123,-1.01465773017278,-0.962480895666255,-4.54072019437482,-2.19466765048372,-0.999513555166747,-0.437250070058712,-2.05049139427313,-1.9833680386371,-2.40006052298508,1.52105888665806,-1.56127933240279,-0.243219118655409,-0.932695444957817,-0.492621450454032,-2.75726349480768,-1.3029175159288,-2.82691009027573,-4.1111259521434,-2.50023574096971,-2.86497505531924,-2.51885230426879,-2.70430998963839,-1.46930439691821
"1642.MS00398",-3.19509109874864,-1.02043726809121,-0.497749394786887,-2.67852841300114,-0.524734794187593,-0.84142332186761,-3.47769280333706,NA,-3.66769239287254,1.00694929682592,1.25219161415905,0.326733560238783,-0.735459868750069,-0.493680506806314,0.0653451900284647,-1.8605888870701,-4.25248210234455,-4.24236179602876,0.377665987089707,-3.80933421577546,-1.10913479124117,-2.41847249815936,-2.1185353397745,-2.95418611978042,-0.43791674471815,-0.931219738526348,-2.24900599141453,-2.54141297969573,1.15352919142381,0.363156637445453,0.828463610484081,-1.34787792829874,0.154842070268365,-1.28753982246991,-5.56720819311267,-0.996711562054986,-1.32268420650415,-3.32743735773707,-2.66277521023989,-2.13900869289798
"1642.MS00356",-5.37595849934507,-1.37992185614643,-0.683659468420838,-2.74404194466292,-1.79817379820271,-0.458812012721158,-5.0812563955433,-3.66769239287254,NA,0.783161994229256,0.651510573784971,0.264159006679745,-1.56907718535043,-0.8065465710951,-0.397869718949711,-1.29549395397527,-3.65874865085868,-3.14769103817963,0.154655821593762,-5.60405635872204,-1.90742989446175,-1.98833229776405,-0.413091080101261,-2.67485966986416,-1.48239128712203,-1.20540824311699,-0.991793097206025,-2.47347441618121,0.924893821854189,0.23414854378455,0.409123426385406,-1.60482984071673,-0.741363885518469,-1.81926487058893,-4.26541423211642,-1.5131175818622,-1.68242225494622,-3.94466031647591,-2.19718792107156,-2.28845658006353
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",2.43095323424161,-2.95946532807189,-1.76433255616076,2.80582900294312,-1.68988979744792,0.652260744732545,-0.17815147536998,1.00694929682592,0.783161994229256,NA,-6.77419542533648,-7.5202691535667,-3.22128484927739,-7.03451397318401,-6.12204105330777,8.05596121963679,3.27530123464232,4.981222906928,-7.45088655782334,1.75841916925968,-3.11155862970177,4.35789571563378,9.17687021216877,5.10492862427547,-2.36796827063206,-5.86403086017161,3.45357647929413,1.99560786880019,-1.09445197996945,-6.71294680209463,-7.18505934386655,-4.74793452161335,-7.14933712909962,-4.28295033377078,0.078679946290248,-4.49917803741494,-4.19112322064299,4.2155872959053,4.12624915357557,7.81858651113435
