"","1642.MS00621","1642.MS00542","1642.MS00606","1642.MS00473","1642.MS00605","1642.MS00597","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00485","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00482","1642.MS00629","1642.MS00638","1642.MS00365","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00432","1642.MS00587","1642.MS00558","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00497","1642.MS00360","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00341","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00634","1642.MS00500","1642.MS00399","1642.MS00444","2382.SH008.C6.HA.4.743.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00415"
"1642.MS00621",0,0.5464,0.4344,0.4706,0.5026,0.46,0.8854,0.5382,0.8428,0.8964,0.8794,0.9262,0.5728,0.5106,0.5156,0.6814,0.9492,0.942,0.493,0.8918,0.516,0.5402,0.5752,0.932,0.8826,0.552,0.709,0.9042,0.94,0.8808,0.6604,0.9142,0.8824,0.4834,0.623,0.5436,0.6202,0.585,0.9338,0.5588
"1642.MS00542",0.5464,0,0.5352,0.562,0.567,0.562,0.9014,0.4812,0.902,0.9276,0.9054,0.9414,0.5388,0.6408,0.557,0.674,0.9518,0.9446,0.5648,0.92,0.532,0.52,0.5794,0.941,0.9092,0.5042,0.669,0.9084,0.944,0.9128,0.6806,0.929,0.9094,0.5982,0.7448,0.5372,0.5456,0.5642,0.934,0.5996
"1642.MS00606",0.4344,0.5352,0,0.4898,0.4994,0.4796,0.901,0.52,0.8644,0.905,0.8848,0.94,0.578,0.5332,0.5324,0.691,0.9544,0.9492,0.5022,0.8988,0.5392,0.5182,0.5714,0.9398,0.8924,0.5536,0.7216,0.9138,0.9486,0.8896,0.673,0.9286,0.891,0.4972,0.66,0.5466,0.6074,0.5716,0.9428,0.563
"1642.MS00473",0.4706,0.562,0.4898,0,0.5326,0.4554,0.8864,0.5412,0.8548,0.8996,0.8788,0.9312,0.58,0.5004,0.5076,0.638,0.9532,0.9456,0.5208,0.8996,0.5026,0.5622,0.5496,0.9384,0.888,0.521,0.6744,0.9004,0.9446,0.8904,0.6494,0.9188,0.8872,0.4818,0.6108,0.5034,0.6146,0.5566,0.9392,0.5278
"1642.MS00605",0.5026,0.567,0.4994,0.5326,0,0.4932,0.9102,0.5548,0.8836,0.9162,0.8954,0.942,0.601,0.5724,0.5256,0.6894,0.9602,0.9536,0.5344,0.9102,0.5826,0.559,0.5864,0.9458,0.9002,0.5582,0.7208,0.9178,0.9516,0.9006,0.6794,0.9264,0.9036,0.5466,0.6506,0.5668,0.6264,0.5932,0.9428,0.5808
"1642.MS00597",0.46,0.562,0.4796,0.4554,0.4932,0,0.9006,0.5476,0.8614,0.9016,0.889,0.9344,0.5722,0.5022,0.5018,0.662,0.957,0.946,0.5026,0.903,0.5144,0.5402,0.5568,0.9392,0.8878,0.5418,0.7006,0.909,0.946,0.8882,0.6642,0.9236,0.8858,0.4832,0.6062,0.5242,0.6252,0.5764,0.937,0.5352
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.8854,0.9014,0.901,0.8864,0.9102,0.9006,0,0.912,0.8506,0.883,0.86,0.832,0.9278,0.9022,0.9058,0.9176,0.8302,0.811,0.9194,0.8826,0.891,0.9144,0.9054,0.8074,0.8464,0.9132,0.9278,0.4158,0.8078,0.8698,0.9142,0.8036,0.8552,0.8914,0.9214,0.9044,0.9198,0.9204,0.7714,0.9084
"1642.MS00485",0.5382,0.4812,0.52,0.5412,0.5548,0.5476,0.912,0,0.8986,0.927,0.9154,0.946,0.484,0.6464,0.5736,0.6906,0.96,0.9532,0.5372,0.9268,0.55,0.484,0.5564,0.9488,0.9148,0.5192,0.6908,0.923,0.953,0.918,0.6838,0.9382,0.914,0.5684,0.734,0.5294,0.542,0.5298,0.944,0.5572
"2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences",0.8428,0.902,0.8644,0.8548,0.8836,0.8614,0.8506,0.8986,0,0.7286,0.6976,0.8584,0.9198,0.8422,0.8692,0.9032,0.8898,0.8896,0.8896,0.757,0.8716,0.915,0.8878,0.865,0.676,0.898,0.918,0.837,0.8946,0.722,0.899,0.8458,0.6752,0.8702,0.8396,0.8774,0.9142,0.918,0.892,0.8962
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8964,0.9276,0.905,0.8996,0.9162,0.9016,0.883,0.927,0.7286,0,0.632,0.861,0.9362,0.8914,0.915,0.9244,0.898,0.866,0.914,0.5952,0.9016,0.9352,0.907,0.8774,0.6088,0.9262,0.9392,0.8966,0.9306,0.6054,0.9272,0.8252,0.5986,0.901,0.8934,0.9092,0.935,0.9344,0.8502,0.9204
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8794,0.9054,0.8848,0.8788,0.8954,0.889,0.86,0.9154,0.6976,0.632,0,0.8382,0.928,0.8706,0.8946,0.9118,0.8698,0.8474,0.9072,0.641,0.885,0.9202,0.903,0.8534,0.5906,0.9096,0.9276,0.871,0.9092,0.6092,0.9178,0.8122,0.5958,0.8914,0.8848,0.9002,0.9248,0.9276,0.8538,0.9128
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",0.9262,0.9414,0.94,0.9312,0.942,0.9344,0.832,0.946,0.8584,0.861,0.8382,0,0.9518,0.9262,0.9412,0.9488,0.5858,0.6152,0.9454,0.8516,0.938,0.9462,0.934,0.5432,0.8174,0.9414,0.954,0.7614,0.8168,0.8526,0.9482,0.483,0.8206,0.9318,0.945,0.9342,0.9458,0.948,0.6558,0.9436
"1642.MS00482",0.5728,0.5388,0.578,0.58,0.601,0.5722,0.9278,0.484,0.9198,0.9362,0.928,0.9518,0,0.6718,0.6108,0.7028,0.9656,0.9562,0.5568,0.934,0.5714,0.5374,0.6022,0.953,0.9294,0.5364,0.6866,0.937,0.961,0.9308,0.702,0.9464,0.9288,0.595,0.7464,0.5728,0.5778,0.5534,0.9512,0.5542
"1642.MS00629",0.5106,0.6408,0.5332,0.5004,0.5724,0.5022,0.9022,0.6464,0.8422,0.8914,0.8706,0.9262,0.6718,0,0.5452,0.704,0.9526,0.9436,0.5726,0.8862,0.575,0.6416,0.6192,0.9356,0.876,0.622,0.7372,0.9078,0.9428,0.87,0.7026,0.9182,0.875,0.5286,0.577,0.5762,0.689,0.6546,0.9356,0.6108
"1642.MS00638",0.5156,0.557,0.5324,0.5076,0.5256,0.5018,0.9058,0.5736,0.8692,0.915,0.8946,0.9412,0.6108,0.5452,0,0.6428,0.9552,0.948,0.5524,0.914,0.5432,0.5846,0.5336,0.9428,0.903,0.5378,0.6746,0.9104,0.9524,0.9022,0.6634,0.9272,0.8934,0.5568,0.5854,0.4856,0.5948,0.5556,0.942,0.5878
"1642.MS00365",0.6814,0.674,0.691,0.638,0.6894,0.662,0.9176,0.6906,0.9032,0.9244,0.9118,0.9488,0.7028,0.704,0.6428,0,0.962,0.9558,0.7008,0.9228,0.6062,0.7286,0.657,0.9428,0.9148,0.6412,0.488,0.9288,0.9552,0.9196,0.497,0.9354,0.9168,0.6442,0.7628,0.6386,0.6202,0.6038,0.94,0.5892
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",0.9492,0.9518,0.9544,0.9532,0.9602,0.957,0.8302,0.96,0.8898,0.898,0.8698,0.5858,0.9656,0.9526,0.9552,0.962,0,0.5068,0.9584,0.87,0.9552,0.9632,0.956,0.5632,0.8374,0.9592,0.969,0.7898,0.747,0.8662,0.9636,0.6384,0.8452,0.9558,0.9686,0.958,0.9572,0.965,0.5142,0.9644
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.942,0.9446,0.9492,0.9456,0.9536,0.946,0.811,0.9532,0.8896,0.866,0.8474,0.6152,0.9562,0.9436,0.948,0.9558,0.5068,0,0.9564,0.8488,0.9468,0.9524,0.945,0.5596,0.8312,0.9492,0.9594,0.813,0.7522,0.8488,0.9566,0.6044,0.8404,0.9462,0.9622,0.9476,0.951,0.9578,0.478,0.9518
"1642.MS00582",0.493,0.5648,0.5022,0.5208,0.5344,0.5026,0.9194,0.5372,0.8896,0.914,0.9072,0.9454,0.5568,0.5726,0.5524,0.7008,0.9584,0.9564,0,0.9094,0.5454,0.485,0.5384,0.948,0.901,0.5668,0.7126,0.9294,0.9574,0.903,0.7004,0.9384,0.9056,0.5164,0.6664,0.5472,0.6044,0.5414,0.9442,0.5554
"2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8918,0.92,0.8988,0.8996,0.9102,0.903,0.8826,0.9268,0.757,0.5952,0.641,0.8516,0.934,0.8862,0.914,0.9228,0.87,0.8488,0.9094,0,0.898,0.9278,0.913,0.8502,0.5608,0.9202,0.9396,0.8958,0.9178,0.508,0.9262,0.8416,0.5966,0.8926,0.911,0.9104,0.9322,0.933,0.805,0.9206
"1642.MS00432",0.516,0.532,0.5392,0.5026,0.5826,0.5144,0.891,0.55,0.8716,0.9016,0.885,0.938,0.5714,0.575,0.5432,0.6062,0.9552,0.9468,0.5454,0.898,0,0.5758,0.5294,0.9362,0.8914,0.539,0.6204,0.9082,0.9466,0.895,0.6406,0.925,0.8912,0.4776,0.6682,0.5162,0.5576,0.5042,0.9346,0.4816
"1642.MS00587",0.5402,0.52,0.5182,0.5622,0.559,0.5402,0.9144,0.484,0.915,0.9352,0.9202,0.9462,0.5374,0.6416,0.5846,0.7286,0.9632,0.9524,0.485,0.9278,0.5758,0,0.558,0.948,0.9204,0.5556,0.7226,0.9224,0.956,0.9256,0.7188,0.9382,0.9262,0.5716,0.719,0.5574,0.5882,0.5534,0.9448,0.574
"1642.MS00558",0.5752,0.5794,0.5714,0.5496,0.5864,0.5568,0.9054,0.5564,0.8878,0.907,0.903,0.934,0.6022,0.6192,0.5336,0.657,0.956,0.945,0.5384,0.913,0.5294,0.558,0,0.9404,0.898,0.528,0.6446,0.9152,0.958,0.9054,0.6754,0.9254,0.8984,0.55,0.689,0.478,0.5436,0.4872,0.9408,0.5642
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0.932,0.941,0.9398,0.9384,0.9458,0.9392,0.8074,0.9488,0.865,0.8774,0.8534,0.5432,0.953,0.9356,0.9428,0.9428,0.5632,0.5596,0.948,0.8502,0.9362,0.948,0.9404,0,0.8216,0.9452,0.9534,0.774,0.6894,0.843,0.945,0.5464,0.8282,0.9398,0.9558,0.9422,0.9474,0.9546,0.4816,0.9496
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8826,0.9092,0.8924,0.888,0.9002,0.8878,0.8464,0.9148,0.676,0.6088,0.5906,0.8174,0.9294,0.876,0.903,0.9148,0.8374,0.8312,0.901,0.5608,0.8914,0.9204,0.898,0.8216,0,0.9138,0.9314,0.8504,0.9038,0.5046,0.9192,0.8006,0.5248,0.8866,0.8956,0.904,0.9236,0.9222,0.8024,0.9074
"1642.MS00497",0.552,0.5042,0.5536,0.521,0.5582,0.5418,0.9132,0.5192,0.898,0.9262,0.9096,0.9414,0.5364,0.622,0.5378,0.6412,0.9592,0.9492,0.5668,0.9202,0.539,0.5556,0.528,0.9452,0.9138,0,0.6396,0.919,0.9482,0.9134,0.6636,0.9348,0.9142,0.5768,0.7132,0.482,0.5334,0.5058,0.9446,0.575
"1642.MS00360",0.709,0.669,0.7216,0.6744,0.7208,0.7006,0.9278,0.6908,0.918,0.9392,0.9276,0.954,0.6866,0.7372,0.6746,0.488,0.969,0.9594,0.7126,0.9396,0.6204,0.7226,0.6446,0.9534,0.9314,0.6396,0,0.9362,0.9588,0.933,0.477,0.942,0.9336,0.6726,0.7868,0.6322,0.5774,0.5822,0.9478,0.592
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",0.9042,0.9084,0.9138,0.9004,0.9178,0.909,0.4158,0.923,0.837,0.8966,0.871,0.7614,0.937,0.9078,0.9104,0.9288,0.7898,0.813,0.9294,0.8958,0.9082,0.9224,0.9152,0.774,0.8504,0.919,0.9362,0,0.809,0.8826,0.9234,0.748,0.854,0.9088,0.9264,0.9046,0.924,0.9288,0.7714,0.9198
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",0.94,0.944,0.9486,0.9446,0.9516,0.946,0.8078,0.953,0.8946,0.9306,0.9092,0.8168,0.961,0.9428,0.9524,0.9552,0.747,0.7522,0.9574,0.9178,0.9466,0.956,0.958,0.6894,0.9038,0.9482,0.9588,0.809,0,0.9076,0.9514,0.8204,0.9148,0.948,0.9656,0.9542,0.952,0.9662,0.6476,0.96
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8808,0.9128,0.8896,0.8904,0.9006,0.8882,0.8698,0.918,0.722,0.6054,0.6092,0.8526,0.9308,0.87,0.9022,0.9196,0.8662,0.8488,0.903,0.508,0.895,0.9256,0.9054,0.843,0.5046,0.9134,0.933,0.8826,0.9076,0,0.9188,0.8394,0.5542,0.8892,0.903,0.9036,0.9266,0.929,0.8148,0.9152
"1642.MS00341",0.6604,0.6806,0.673,0.6494,0.6794,0.6642,0.9142,0.6838,0.899,0.9272,0.9178,0.9482,0.702,0.7026,0.6634,0.497,0.9636,0.9566,0.7004,0.9262,0.6406,0.7188,0.6754,0.945,0.9192,0.6636,0.477,0.9234,0.9514,0.9188,0,0.936,0.9208,0.6336,0.7634,0.6606,0.6536,0.6228,0.9446,0.5996
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",0.9142,0.929,0.9286,0.9188,0.9264,0.9236,0.8036,0.9382,0.8458,0.8252,0.8122,0.483,0.9464,0.9182,0.9272,0.9354,0.6384,0.6044,0.9384,0.8416,0.925,0.9382,0.9254,0.5464,0.8006,0.9348,0.942,0.748,0.8204,0.8394,0.936,0,0.8024,0.9202,0.9346,0.9244,0.9378,0.9426,0.6186,0.9294
"2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8824,0.9094,0.891,0.8872,0.9036,0.8858,0.8552,0.914,0.6752,0.5986,0.5958,0.8206,0.9288,0.875,0.8934,0.9168,0.8452,0.8404,0.9056,0.5966,0.8912,0.9262,0.8984,0.8282,0.5248,0.9142,0.9336,0.854,0.9148,0.5542,0.9208,0.8024,0,0.8882,0.886,0.901,0.9246,0.9286,0.8218,0.9112
"1642.MS00410",0.4834,0.5982,0.4972,0.4818,0.5466,0.4832,0.8914,0.5684,0.8702,0.901,0.8914,0.9318,0.595,0.5286,0.5568,0.6442,0.9558,0.9462,0.5164,0.8926,0.4776,0.5716,0.55,0.9398,0.8866,0.5768,0.6726,0.9088,0.948,0.8892,0.6336,0.9202,0.8882,0,0.6364,0.5388,0.5882,0.517,0.9384,0.4758
"1642.MS00634",0.623,0.7448,0.66,0.6108,0.6506,0.6062,0.9214,0.734,0.8396,0.8934,0.8848,0.945,0.7464,0.577,0.5854,0.7628,0.9686,0.9622,0.6664,0.911,0.6682,0.719,0.689,0.9558,0.8956,0.7132,0.7868,0.9264,0.9656,0.903,0.7634,0.9346,0.886,0.6364,0,0.6442,0.7776,0.7304,0.9554,0.7006
"1642.MS00500",0.5436,0.5372,0.5466,0.5034,0.5668,0.5242,0.9044,0.5294,0.8774,0.9092,0.9002,0.9342,0.5728,0.5762,0.4856,0.6386,0.958,0.9476,0.5472,0.9104,0.5162,0.5574,0.478,0.9422,0.904,0.482,0.6322,0.9046,0.9542,0.9036,0.6606,0.9244,0.901,0.5388,0.6442,0,0.4816,0.5054,0.94,0.5626
"1642.MS00399",0.6202,0.5456,0.6074,0.6146,0.6264,0.6252,0.9198,0.542,0.9142,0.935,0.9248,0.9458,0.5778,0.689,0.5948,0.6202,0.9572,0.951,0.6044,0.9322,0.5576,0.5882,0.5436,0.9474,0.9236,0.5334,0.5774,0.924,0.952,0.9266,0.6536,0.9378,0.9246,0.5882,0.7776,0.4816,0,0.4908,0.941,0.5554
"1642.MS00444",0.585,0.5642,0.5716,0.5566,0.5932,0.5764,0.9204,0.5298,0.918,0.9344,0.9276,0.948,0.5534,0.6546,0.5556,0.6038,0.965,0.9578,0.5414,0.933,0.5042,0.5534,0.4872,0.9546,0.9222,0.5058,0.5822,0.9288,0.9662,0.929,0.6228,0.9426,0.9286,0.517,0.7304,0.5054,0.4908,0,0.9538,0.4844
"2382.SH008.C6.HA.4.743.root.9.12.lane7.NoIndex.L007.sequences",0.9338,0.934,0.9428,0.9392,0.9428,0.937,0.7714,0.944,0.892,0.8502,0.8538,0.6558,0.9512,0.9356,0.942,0.94,0.5142,0.478,0.9442,0.805,0.9346,0.9448,0.9408,0.4816,0.8024,0.9446,0.9478,0.7714,0.6476,0.8148,0.9446,0.6186,0.8218,0.9384,0.9554,0.94,0.941,0.9538,0,0.942
"1642.MS00415",0.5588,0.5996,0.563,0.5278,0.5808,0.5352,0.9084,0.5572,0.8962,0.9204,0.9128,0.9436,0.5542,0.6108,0.5878,0.5892,0.9644,0.9518,0.5554,0.9206,0.4816,0.574,0.5642,0.9496,0.9074,0.575,0.592,0.9198,0.96,0.9152,0.5996,0.9294,0.9112,0.4758,0.7006,0.5626,0.5554,0.4844,0.942,0
