"","1642.MS00621","1642.MS00542","1642.MS00606","1642.MS00473","1642.MS00605","1642.MS00597","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00485","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00482","1642.MS00629","1642.MS00638","1642.MS00365","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00432","1642.MS00587","1642.MS00558","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00497","1642.MS00360","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00341","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00634","1642.MS00500","1642.MS00399","1642.MS00444","2382.SH008.C6.HA.4.743.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00415"
"1642.MS00621",0,-0.661,-1,-0.998,-0.954,-1,1,-0.793,1,1,1,1,-0.07,-0.901,-0.883,0.992,1,1,-0.982,1,-0.913,-0.694,0.201,1,1,-0.484,1,1,1,1,0.936,1,1,-0.996,0.762,-0.743,0.761,0.089,1,-0.234
"1642.MS00542",-0.661,0,-0.812,-0.392,-0.253,-0.32,1,-1,1,1,1,1,-0.874,0.972,-0.525,0.968,1,1,-0.365,1,-0.874,-0.966,-0.129,1,1,-0.996,0.888,1,1,1,0.987,1,1,0.416,1,-0.89,-0.856,-0.578,1,0.386
"1642.MS00606",-1,-0.812,0,-0.996,-0.962,-0.998,1,-0.936,1,1,1,1,0.0669999999999999,-0.636,-0.72,0.998,1,1,-0.968,1,-0.648,-0.924,0.0189999999999999,1,1,-0.514,1,1,1,1,0.968,1,1,-0.988,0.977,-0.7,0.455,-0.29,1,-0.243
"1642.MS00473",-0.998,-0.392,-0.996,0,-0.706,-1,1,-0.784,1,1,1,1,0.0529999999999999,-0.97,-0.95,0.694,1,1,-0.852,1,-0.974,-0.235,-0.54,1,1,-0.932,0.939,1,1,1,0.853,1,1,-1,0.445,-0.998,0.599,-0.589,1,-0.833
"1642.MS00605",-0.954,-0.253,-0.962,-0.706,0,-0.978,1,-0.621,1,1,1,1,0.549,0.223,-0.812,0.996,1,1,-0.676,1,0.27,-0.303,0.361,1,1,-0.433,1,1,1,1,0.996,1,1,-0.473,0.964,-0.313,0.802,0.221,1,0.208
"1642.MS00597",-1,-0.32,-0.998,-1,-0.978,0,1,-0.647,1,1,1,1,-0.011,-0.958,-0.978,0.95,1,1,-0.938,1,-0.929,-0.652,-0.26,1,1,-0.682,0.996,1,1,1,0.97,1,1,-0.998,0.436,-0.913,0.825,-0.127,1,-0.752
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,0,1,1,1,1,0.831,1,1,1,1,0.442,0.744,1,1,1,1,1,0.494,1,1,1,-1,-0.394,1,1,0.845,1,1,1,1,1,1,0.283,1
"1642.MS00485",-0.793,-1,-0.936,-0.784,-0.621,-0.647,1,0,1,1,1,1,-1,0.98,-0.255,0.984,1,1,-0.828,1,-0.711,-1,-0.634,1,1,-0.974,0.982,1,1,1,0.981,1,1,-0.298,1,-0.949,-0.893,-0.95,1,-0.622
"2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0,0.969,0.768,0.978,1,1,1,1,0.998,1,1,1,1,1,1,1,0.397,1,1,0.992,0.98,0.97,1,0.996,0.373,1,1,1,1,1,1,1
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0.969,0,0.224,0.992,1,1,1,1,1,1,1,-0.639,1,1,1,1,-0.368,1,1,1,1,-0.232,1,0.996,-0.492,1,1,1,1,1,0.996,1
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0.768,0.224,0,0.946,1,1,1,1,0.958,0.994,1,0.332,1,1,1,0.992,-0.623,1,1,1,1,-0.024,1,0.986,-0.46,1,1,1,1,1,1,1
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0.831,1,0.978,0.992,0.946,0,1,1,1,1,-0.998,-0.998,1,0.991,1,1,1,-1,0.755,1,1,-0.401,-0.286,0.994,1,-1,0.772,1,1,1,1,1,-0.976,1
"1642.MS00482",-0.07,-0.874,0.0669999999999999,0.0529999999999999,0.549,-0.011,1,-1,1,1,1,1,0,0.998,0.705,0.998,1,1,-0.48,1,-0.248,-0.855,0.49,1,1,-0.89,0.976,1,1,1,0.996,1,1,0.365,1,-0.358,-0.392,-0.723,1,-0.588
"1642.MS00629",-0.901,0.972,-0.636,-0.97,0.223,-0.958,1,0.98,1,1,1,1,0.998,0,-0.442,1,1,1,0.227,1,0.235,0.976,0.923,1,1,0.906,1,1,1,1,1,1,1,-0.754,-0.283,-0.03,1,0.988,1,0.832
"1642.MS00638",-0.883,-0.525,-0.72,-0.95,-0.812,-0.978,1,-0.255,1,1,1,1,0.705,-0.442,0,0.788,1,1,-0.367,1,-0.634,0.319,-0.762,1,1,-0.779,0.958,1,1,1,0.944,1,1,-0.292,-0.137,-0.996,0.215,-0.591,1,0.388
"1642.MS00365",0.992,0.968,0.998,0.694,0.996,0.95,1,0.984,1,1,1,1,0.998,1,0.788,0,1,1,0.998,1,0.0269999999999999,1,0.886,1,1,0.704,-1,1,1,1,-1,1,1,0.775,1,0.607,0.152,-0.168,1,-0.353
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0.442,1,0.998,1,0.958,-0.998,1,1,1,1,0,-1,1,0.978,1,1,1,-1,0.63,1,1,-0.376,-0.85,0.969,1,-1,0.812,1,1,1,1,1,-1,1
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0.744,1,1,1,0.994,-0.998,1,1,1,1,-1,0,1,1,1,1,1,-1,0.971,1,1,0.633,-0.863,0.998,1,-1,0.992,1,1,1,1,1,-1,1
"1642.MS00582",-0.982,-0.365,-0.968,-0.852,-0.676,-0.938,1,-0.828,1,1,1,1,-0.48,0.227,-0.367,0.998,1,1,0,1,-0.55,-1,-0.711,1,1,-0.282,0.998,1,1,1,1,1,1,-0.908,0.994,-0.712,0.395,-0.818,1,-0.424
"2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,-0.639,0.332,0.991,1,1,1,1,0.978,1,1,0,1,1,1,0.984,-0.934,1,1,1,0.998,-0.998,1,1,-0.633,1,1,1,1,1,0.947,1
"1642.MS00432",-0.913,-0.874,-0.648,-0.974,0.27,-0.929,1,-0.711,1,1,1,1,-0.248,0.235,-0.634,0.0269999999999999,1,1,-0.55,1,0,-0.003,-0.802,1,1,-0.814,0.148,1,1,1,0.695,1,1,-1,0.994,-0.974,-0.66,-0.998,1,-1
"1642.MS00587",-0.694,-0.966,-0.924,-0.235,-0.303,-0.652,1,-1,1,1,1,1,-0.855,0.976,0.319,1,1,1,-1,1,-0.003,0,-0.449,1,1,-0.562,1,1,1,1,1,1,1,-0.108,1,-0.578,-0.125,-0.719,1,-0.098
"1642.MS00558",0.201,-0.129,0.0189999999999999,-0.54,0.361,-0.26,1,-0.634,1,1,1,1,0.49,0.923,-0.762,0.886,1,1,-0.711,1,-0.802,-0.449,0,1,1,-0.898,0.638,1,1,1,0.986,1,1,-0.519,1,-1,-0.835,-1,1,-0.268
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0.494,1,1,1,0.992,-1,1,1,1,1,-1,-1,1,0.984,1,1,1,0,0.847,1,1,-0.228,-0.976,0.982,1,-1,0.89,1,1,1,1,1,-1,1
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0.397,-0.368,-0.623,0.755,1,1,1,1,0.63,0.971,1,-0.934,1,1,1,0.847,0,1,1,0.998,1,-1,1,0.958,-0.996,1,1,1,1,1,0.922,1
"1642.MS00497",-0.484,-0.996,-0.514,-0.932,-0.433,-0.682,1,-0.974,1,1,1,1,-0.89,0.906,-0.779,0.704,1,1,-0.282,1,-0.814,-0.562,-0.898,1,1,0,0.483,1,1,1,0.924,1,1,-0.053,1,-1,-0.94,-0.992,1,-0.155
"1642.MS00360",1,0.888,1,0.939,1,0.996,1,0.982,1,1,1,1,0.976,1,0.958,-1,1,1,0.998,1,0.148,1,0.638,1,1,0.483,0,1,1,1,-1,1,1,0.948,1,0.286,-0.75,-0.718,1,-0.526
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-1,1,0.992,1,1,-0.401,1,1,1,1,-0.376,0.633,1,1,1,1,1,-0.228,0.998,1,1,0,-0.383,1,1,-0.292,1,1,1,1,1,1,0.00600000000000001,1
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.394,1,0.98,1,1,-0.286,1,1,1,1,-0.85,-0.863,1,0.998,1,1,1,-0.976,1,1,1,-0.383,0,0.998,1,-0.168,1,1,1,1,1,1,-1,1
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0.97,-0.232,-0.024,0.994,1,1,1,1,0.969,0.998,1,-0.998,1,1,1,0.982,-1,1,1,1,0.998,0,1,1,-0.914,1,1,1,1,1,0.966,1
"1642.MS00341",0.936,0.987,0.968,0.853,0.996,0.97,1,0.981,1,1,1,1,0.996,1,0.944,-1,1,1,1,1,0.695,1,0.986,1,1,0.924,-1,1,1,1,0,1,1,0.631,1,0.882,0.798,0.252,1,-0.12
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0.845,1,0.996,0.996,0.986,-1,1,1,1,1,-1,-1,1,1,1,1,1,-1,0.958,1,1,-0.292,-0.168,1,1,0,0.96,1,1,1,1,1,-0.997,1
