"","1642.MS00473","1642.MS00500","1642.MS00365","1642.MS00415","1642.MS00629","1642.MS00582","1642.MS00634","1642.MS00444","1642.MS00621","1642.MS00341","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","1642.MS00399","1642.MS00605","2382.SH008.C6.HA.4.743.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00542","1642.MS00497","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00597","1642.MS00638","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00587","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00432","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00485","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00558"
"1642.MS00473",0,0.019740829466,0.0327581068156,0.0235132149036,0.0230290276577,0.0232664432469,0.0288310272474,0.0239995017984,0.0212189815583,0.0315764143176,0.0844265207613,0.1046201165689,0.0199510720704,0.0939538644102,0.0248418276741,0.0251092210795,0.0240346834739,0.0926006713272,0.0227020155086,0.0211067506113,0.0795526589007,0.0823748085003,0.1012268251892,0.0769896510078,0.0325210592469,0.093269490035,0.0235596447746,0.0216113200518,0.0248899807528,0.0802562234865,0.0250007550534,0.0900998980492,0.0812775765576,0.0867332161149,0.0806484195562,0.0213801873975,0.0670278385571,0.0231889293955,0.0965353673651,0.0245332578101
"1642.MS00500",0.019740829466,0,0.0325363644368,0.0226218100595,0.0242413696492,0.0238774207174,0.0299242596942,0.026254287669,0.021792756116,0.0319147540461,0.0869368561302,0.1017034335921,0.0198897482743,0.0936382340242,0.0225901740251,0.0232244466998,0.0246761348259,0.0907090597019,0.0211435386861,0.0199145768181,0.0799487147282,0.0845575765559,0.0973359791689,0.0806862756383,0.0348555352535,0.0895348666834,0.0221263722681,0.0207874782544,0.0224521654546,0.0824905223816,0.0233273678136,0.0873740026443,0.0844004025909,0.0849537109548,0.0820040563046,0.0211028177384,0.0685640701556,0.0210871056938,0.09265444402,0.0213574983212
"1642.MS00365",0.0327581068156,0.0325363644368,0,0.0253716003532,0.0380545816297,0.0423469725778,0.0459298152269,0.0312715699578,0.0361663959126,0.0199309074597,0.0811673314322,0.0945776028413,0.0287805659063,0.0858821146164,0.0346631644547,0.0279594049286,0.0372943929492,0.0794133633491,0.0366289594839,0.0330104707577,0.0807916672872,0.0788415782735,0.0902607498101,0.0792596753773,0.0191927459116,0.084586393013,0.0431551778598,0.0359940106452,0.0344486683746,0.0800787204963,0.0426643360613,0.083387350069,0.083658528438,0.0793187108236,0.07502239521,0.0292181779922,0.0713232868129,0.0387546199661,0.0779235834731,0.0401219110805
"1642.MS00415",0.0235132149036,0.0226218100595,0.0253716003532,0,0.0307753286677,0.0250340207492,0.0394067539041,0.0184630298631,0.0253143090865,0.0237824211667,0.0872458769608,0.1082187844328,0.0197492281587,0.0996587338177,0.0215988120813,0.0195022180752,0.0270903618223,0.093483956229,0.0230219676043,0.0227914760214,0.0843806110501,0.0868880636684,0.1014259542617,0.0821657240285,0.0224030858126,0.0942071279539,0.0260357505293,0.0240314652853,0.028677290344,0.0852932754417,0.0250827485994,0.0957301167152,0.0865021054317,0.0907086742426,0.0852471960686,0.0192189759048,0.0749672503694,0.0234743392269,0.0953892385292,0.0239829043227
"1642.MS00629",0.0230290276577,0.0242413696492,0.0380545816297,0.0307753286677,0,0.0295766264518,0.027386416328,0.0357832645063,0.0244524606212,0.0347520964837,0.0803074349372,0.101520081023,0.0247800869093,0.0920190927012,0.0348180497928,0.0312345946527,0.0278012114996,0.0916536373833,0.028569942711,0.0277909859276,0.0752784600128,0.0772462699222,0.0974885639187,0.0733840909361,0.0391947325719,0.0870133220192,0.025816976391,0.0234661102221,0.0253169883154,0.0762073198105,0.0333918359471,0.0899676923981,0.0786287324666,0.082676336228,0.0818974872217,0.0276768687067,0.0646229000755,0.0320824176463,0.0923338787415,0.0281474703655
"1642.MS00582",0.0232664432469,0.0238774207174,0.0423469725778,0.0250340207492,0.0295766264518,0,0.0375337874391,0.0224141024224,0.021328485669,0.0401010532799,0.0996053132511,0.1229887845156,0.0236841740022,0.1149126274761,0.0234142948437,0.0244915935177,0.0265428765291,0.1106629338813,0.023605873185,0.0244718067047,0.0955835438952,0.1010766204023,0.1174899985229,0.0935214088579,0.0413806940374,0.1108533551208,0.0232177718409,0.021732179955,0.0267843012173,0.0986755822436,0.0201784450488,0.1119443296405,0.0976884954125,0.1046011400103,0.0995613602828,0.0247710240287,0.0867551862245,0.022421455446,0.1181110865037,0.0227910232087
"1642.MS00634",0.0288310272474,0.0299242596942,0.0459298152269,0.0394067539041,0.027386416328,0.0375337874391,0,0.0394441023998,0.0312530637268,0.0422986689908,0.0920414682447,0.1260253602201,0.0318191529591,0.1133220517265,0.0404623525002,0.0383527325163,0.0334304870374,0.1076735184387,0.0369614514347,0.0327840086202,0.080891532311,0.0891484210957,0.1186221786574,0.0824866642015,0.0460229571999,0.1124630879341,0.0351480639148,0.0324984452493,0.027410691152,0.0867058756873,0.0432070802871,0.1041547108487,0.0861622109942,0.1021905319076,0.0956318061973,0.0353818820076,0.0669487940762,0.0391268951676,0.1129884989459,0.0381512567121
"1642.MS00444",0.0239995017984,0.026254287669,0.0312715699578,0.0184630298631,0.0357832645063,0.0224141024224,0.0394441023998,0,0.0265999823238,0.0295365985003,0.0979328185514,0.1146060108694,0.0208776338655,0.1079210772705,0.0215194659837,0.0193041771121,0.0267293057688,0.1030358632071,0.0230073608114,0.0221341441182,0.0957544731655,0.0971620441786,0.1100672196276,0.0922740424601,0.0274414055073,0.1034538816217,0.02733403737,0.0282318453754,0.0260539160205,0.0954868060063,0.0215179538779,0.1033868645941,0.0965635113879,0.098802975145,0.094782961562,0.0246523066962,0.0829558661183,0.0232687479911,0.1040673962567,0.0254525732345
"1642.MS00621",0.0212189815583,0.021792756116,0.0361663959126,0.0253143090865,0.0244524606212,0.021328485669,0.0312530637268,0.0265999823238,0,0.0337998738336,0.0908851708171,0.1155382744049,0.0216309386322,0.1074857050431,0.0249589010861,0.0250189007966,0.022348766372,0.1067003508467,0.0216443032706,0.021734141981,0.0877666986701,0.0891717848854,0.1130052127254,0.0847748544157,0.0377360227099,0.1019810270739,0.0207284558933,0.0196226464024,0.0235515488967,0.0895695550183,0.0236663431399,0.1108887556151,0.0883675137031,0.0970937758568,0.0980178718964,0.0241079974671,0.0729603824908,0.0224851076763,0.1170530222093,0.0245017305033
"1642.MS00341",0.0315764143176,0.0319147540461,0.0199309074597,0.0237824211667,0.0347520964837,0.0401010532799,0.0422986689908,0.0295365985003,0.0337998738336,0,0.077600420623,0.0916519423366,0.0268384983986,0.0828872300163,0.0348694240968,0.0272842263454,0.0338834016661,0.076230741875,0.0340475617719,0.0308287841831,0.078951514837,0.0755261624271,0.0880172264195,0.0765301153399,0.01826016507,0.0825255426571,0.0375342659652,0.0341237229978,0.0326888366711,0.0768023569251,0.0404140817972,0.0813486073478,0.0811005228115,0.0749506899641,0.0717190872538,0.0292340823409,0.0658356328517,0.0361692247945,0.0751560860964,0.0383151928579
