"","1642.MS00473","1642.MS00500","1642.MS00365","1642.MS00415","1642.MS00629","1642.MS00582","1642.MS00634","1642.MS00444","1642.MS00621","1642.MS00341","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","1642.MS00399","1642.MS00605","2382.SH008.C6.HA.4.743.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00542","1642.MS00497","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00597","1642.MS00638","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00587","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00432","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00485","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00558"
"1642.MS00473",NA,-5.84528866882412,-1.96722701473456,-4.12604832513415,-3.98326461968098,-4.68967996494519,-3.38966035159701,-4.76576607236835,-4.14647506268146,-2.46273519305243,3.45858168977242,0.165309595170786,-4.7397280200748,-0.0717708016715427,-4.28793176477507,-4.55202103616041,-3.22426582193114,0.289286799603886,-4.93684885048381,-5.34604360420281,3.70791035072154,3.90494244426991,0.698693143788691,2.30951920732042,-2.55575500535066,-0.158475535589441,-2.64605749777761,-3.57844632791713,-2.18323173826863,3.49157577506079,-4.18374046905951,0.488377247763206,3.35017305993094,-0.0454076277547233,0.0614498643811604,-4.0830432012206,0.219831612047284,-4.20034523661615,-0.848098723154197,-3.68862373708945
"1642.MS00500",-5.84528866882412,NA,-2.45299727851613,-4.77453230587049,-4.29180943825318,-3.3421142384285,-2.35913915113329,0.28573098786712,-4.82664601328157,-2.57391931931693,1.66173979448489,-0.291268197379514,-5.956371031565,-0.238889890297078,-4.77146085673141,-3.99025725257003,-2.80714096364287,-0.250228659325624,-5.1221516600394,-5.75815724949883,1.23560340630754,1.86101669571431,0.0467402021514906,1.04502934941642,-2.0668122980919,-0.505861236594562,-5.14526006998202,-6.06496523623179,-2.44897288995726,1.56199921263629,-3.52599439077007,0.0503357057144336,1.52185990566702,-0.335892569534725,0.0396937311982752,-5.05522076691289,-0.255922975008141,-4.25405183181344,-1.26163794700777,-4.33328602750062
"1642.MS00365",-1.96722701473456,-2.45299727851613,NA,-2.41486754238587,-2.0209770761452,-1.15307887539818,-1.95351185483045,-1.84869712795258,-2.01201522577034,-3.54972760364133,0.205133367245859,-1.79272435399023,-2.83611965441005,-1.10701115442237,-2.88411877191861,-2.80943098084774,-2.00294465545958,-2.20606171090507,-2.91782703075076,-3.04010319165794,0.516701874735011,0.426721514493658,-1.22566464191765,0.419034912467927,-4.66744922273858,-1.18237951746379,-0.0400385957041861,-1.91087502032377,-2.5647513366934,0.529841130723622,-1.63032270409931,-1.08857637800429,0.881389425018735,-1.4183547688059,-1.85781968466119,-2.41968851189363,-0.807626451445776,-1.86340275994484,-2.99997510089705,-1.05963488938545
"1642.MS00415",-4.12604832513415,-4.77453230587049,-2.41486754238587,NA,-2.26215519499696,-4.48949914556656,-2.1875237368959,-6.84960868723529,-3.10584146391875,-3.33692262816099,3.43817653384036,0.100043414899125,-4.91520218313516,-0.0381012332674446,-6.04672063749813,-7.26349861507177,-2.88560581647955,-0.0692823690250524,-6.4003298903844,-6.26312577298245,3.47697853145843,4.16944004951925,0.492551536385983,2.78259359523154,-3.70406732965831,-0.353657995601386,-3.53839890064104,-4.80275337642773,-2.81583739984759,3.53493166188259,-5.28918972547485,0.481827967662167,3.80846246101356,-0.138644272765436,-0.0582376513184355,-4.66354656807382,0.797425481989157,-4.66348751730764,-1.36955897149151,-5.51223526130888
"1642.MS00629",-3.98326461968098,-4.29180943825318,-2.0209770761452,-2.26215519499696,NA,-1.22983940930815,-2.70590285463718,-0.523824940934413,-3.20240588108129,-2.95667887761518,3.08035741999314,-0.0424492510943987,-3.33806388124012,-0.231624614746546,-1.63733446499959,-4.12790656286169,-2.83382236651183,0.25205086857567,-4.49832157288063,-4.60705332845822,3.02341977453261,2.92956838267918,0.434957782694299,1.71778270218482,-2.57501068458295,-0.377597124127669,-3.05215584545042,-3.62748092325522,-2.67187498061559,2.6694214939311,-2.14588853579209,0.430047527559784,3.24328424467914,-0.293429826286716,0.103694587342203,-2.59139752879577,-0.109222492512818,-3.11848414335925,-1.33702226898687,-3.79230710809571
"1642.MS00582",-4.68967996494519,-3.3421142384285,-1.15307887539818,-4.48949914556656,-1.22983940930815,NA,-0.903795163625886,-5.49256385982228,-3.82767047294452,-2.10232233914954,9.37566608060589,2.54517944225159,-3.9569734253524,1.52232344434484,-4.59723460824106,-5.11800999540236,-1.83944986840679,3.55894716798421,-3.88680412499516,-4.82275899926827,9.32015311098299,11.1055954671504,3.02770155476674,8.13922898728678,-1.54133830864261,0.880654747280376,-2.82456059551601,-4.4680069399046,-1.6773382194459,10.6017262362396,-5.72858467232819,2.59992000928021,9.07203669551702,1.4004863608013,3.04202679493684,-3.38638041535549,6.26105539636494,-4.25616814606374,0.995728190979598,-4.82325892934013
"1642.MS00634",-3.38966035159701,-2.35913915113329,-1.95351185483045,-2.1875237368959,-2.70590285463718,-0.903795163625886,NA,-2.61621091791786,-2.91335718882385,-2.52668922631204,3.44422296220688,1.88860226581628,-3.83650906030733,0.857195359576778,-2.1074700364425,-3.71989174462524,-3.66348564731361,1.17260017111802,-4.07002152684273,-5.01000094031512,2.51375724671327,3.8883582457481,1.90763642582128,2.14931327375089,-2.55164280263399,0.808403135692282,-2.6052039672894,-1.87228885598129,-3.18885494705016,3.19888623731454,-0.175503869175833,1.24967133938109,3.18974596226745,0.906583716352788,1.08337246594561,-2.18390779450752,0.0808924258290271,-3.0784294491561,-0.026821889525942,-0.986026977584862
"1642.MS00444",-4.76576607236835,0.28573098786712,-1.84869712795258,-6.84960868723529,-0.523824940934413,-5.49256385982228,-2.61621091791786,NA,-2.17819230597948,-2.40355254743528,4.34429581334873,0.675358592134147,-5.31594444985422,0.516723631290878,-5.11353974411068,-6.34440417280825,-3.30370448751269,0.813121541220511,-5.41539800314169,-5.39319706748129,4.44930191425257,5.07997873635821,1.11318417576324,3.83378162786525,-2.52652193179627,0.102425565540448,-1.48073341574319,-1.77258276207378,-4.076725018607,4.86514237759368,-6.69411510164583,1.2038427060563,4.49142215179015,0.470697529709976,1.11158345817717,-2.12545829192326,1.97523791021443,-2.79024031553247,-0.682945990482594,-1.6326133541025
"1642.MS00621",-4.14647506268146,-4.82664601328157,-2.01201522577034,-3.10584146391875,-3.20240588108129,-3.82767047294452,-2.91335718882385,-2.17819230597948,NA,-2.17612552641071,7.92576242626204,1.70251781705098,-3.40010787519485,0.98778354696581,-2.52699592508073,-3.54604275348219,-2.90808414230575,2.37163851214013,-4.78827543089086,-4.40914496826871,8.61860197377814,8.14007601580822,2.17152849995448,7.1043052971163,-1.72591686765155,0.40516985883395,-2.1307446173137,-5.30859653935719,-2.57470430437309,8.73450257335125,-3.28051595228419,2.99772970567892,7.85503197672273,0.916706664393028,3.35820627993535,-2.30501280374045,3.6042577109941,-3.36429006353261,1.14162843614911,-3.74676585267101
"1642.MS00341",-2.46273519305243,-2.57391931931693,-3.54972760364133,-3.33692262816099,-2.95667887761518,-2.10232233914954,-2.52668922631204,-2.40355254743528,-2.17612552641071,NA,-0.922943154817582,-2.17228471521159,-3.41096886902278,-1.30427247509408,-2.88266859035504,-3.3069767352509,-2.70071470554062,-2.64496916638174,-3.23726993213564,-3.55322652538158,-0.174124020894972,-0.777092964743328,-1.38994921168932,-0.780669075906042,-3.9082163199736,-1.23638461159073,-1.33296189794567,-2.62544869558428,-2.96109209927946,-0.271728885440316,-2.16240089036053,-1.3319159760363,0.021050217081827,-1.71992053579333,-2.35598189448256,-2.90710566583458,-2.30738766078324,-2.60764041463284,-3.17318047231121,-1.55103642658056
"2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences",3.45858168977242,1.66173979448489,0.205133367245859,3.43817653384036,3.08035741999314,9.37566608060589,3.44422296220688,4.34429581334873,7.92576242626204,-0.922943154817582,NA,-5.60278632568408,4.00739827508786,-5.61919005603052,8.15320414074567,1.40210844458757,6.78563274336185,-6.37171622379483,4.08658273768143,3.58646589019795,-7.89728516564664,-6.72337984083408,-5.97054864938197,-8.97571158927185,0.462080935587821,-6.26607257646027,8.83665526031333,4.6526058743303,4.5804648573922,-8.41088502269248,9.10443833969382,-3.72181742938874,-8.6800162152021,-5.69352297022172,-5.20939213395018,2.2297628597071,-6.81572380374181,8.06663643031593,-3.71579728204219,3.06465967115511
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",0.165309595170786,-0.291268197379514,-1.79272435399023,0.100043414899125,-0.0424492510943987,2.54517944225159,1.88860226581628,0.675358592134147,1.70251781705098,-2.17228471521159,-5.60278632568408,NA,0.291971691731756,-3.5571634931042,1.51774635072142,-0.662332889394441,1.45997283052846,-9.08234788429153,0.0308510783499003,0.455529505111332,-4.93135965985741,-4.40590076914048,-7.62361248188959,-4.7347892022499,-1.54885441084145,-5.59365620732235,1.46618696487771,0.318768273231814,0.40117029649819,-4.69831650695305,2.11763247363612,-3.86371346635539,-3.36152311388264,-3.87276934561023,-4.33032520223324,-0.177480829202331,-4.65454046111311,1.88270725951676,-4.76035797431311,0.279630869570189
"1642.MS00410",-4.7397280200748,-5.956371031565,-2.83611965441005,-4.91520218313516,-3.33806388124012,-3.9569734253524,-3.83650906030733,-5.31594444985422,-3.40010787519485,-3.41096886902278,4.00739827508786,0.291971691731756,NA,0.156937051762713,-4.76739353361223,-5.21647486155269,-2.62841439938832,0.497751701190947,-4.36617552686802,-5.77962059927127,3.4605148024454,4.49910477814398,0.654645043237178,2.75025425214626,-3.89342545126501,-0.0662596977427675,-2.89954718925984,-4.44127007063258,-3.07190909328487,4.23495964206113,-3.89081244807262,0.713668841559258,3.75339149317497,0.0922888892859216,0.152771575900135,-4.80807615934219,0.147188602313607,-3.28018570596029,-0.785134315055514,-5.08756388051314
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",-0.0717708016715427,-0.238889890297078,-1.10701115442237,-0.0381012332674446,-0.231624614746546,1.52232344434484,0.857195359576778,0.516723631290878,0.98778354696581,-1.30427247509408,-5.61919005603052,-3.5571634931042,0.156937051762713,NA,0.930979318927587,-0.278002778435853,0.877440758161963,-7.05511306787808,0.125341882609098,0.427887760953893,-4.50861767854069,-2.37264055600979,-3.79716252800729,-5.01584414016938,-0.770559924372297,-4.72805490411924,0.853774873944731,0.0289878333195042,0.138888160495979,-4.22537643471717,1.17929050074126,-5.93187935909143,-1.75630253923834,-4.17732551335071,-5.22955950102355,-0.25205662835858,-2.53204910907288,1.20342622218492,-4.93483395170749,0.300311961082089
"1642.MS00482",-4.28793176477507,-4.77146085673141,-2.88411877191861,-6.04672063749813,-1.63733446499959,-4.59723460824106,-2.1074700364425,-5.11353974411068,-2.52699592508073,-2.88266859035504,8.15320414074567,1.51774635072142,-4.76739353361223,0.930979318927587,NA,-5.60657680545027,-3.92322401333925,1.97973961232414,-5.33039998722843,-5.51748812143131,6.82324328840667,9.29495315884092,1.77636940228772,7.09849969164462,-3.44388254286321,0.423645761384289,-3.56393709180527,-5.09217475912862,-4.01069425430551,8.0408190360573,-4.71914921155615,1.66064037603406,7.30205700183817,1.11226794932564,2.33863264816156,-4.43162573519398,3.65668560342078,-3.70942573062523,-0.072936104114523,-5.64671255572347
"1642.MS00399",-4.55202103616041,-3.99025725257003,-2.80943098084774,-7.26349861507177,-4.12790656286169,-5.11800999540236,-3.71989174462524,-6.34440417280825,-3.54604275348219,-3.3069767352509,1.40210844458757,-0.662332889394441,-5.21647486155269,-0.278002778435853,-5.60657680545027,NA,-4.5603094813192,-0.518002517072095,-6.85411328874683,-6.51582280570826,1.74492437852706,1.84578015613334,-0.228216471499485,1.39079082719382,-3.55920733199143,-0.624797574630022,-4.19341003855354,-5.47794769522888,-4.45821857032668,1.77019087740713,-5.0566625452355,0.0831237892469403,1.7512208323862,-0.617475574352794,-0.196559141774779,-4.81919598829483,0.197273496401556,-5.15554767703825,-1.18221978455393,-5.23857588007255
"1642.MS00605",-3.22426582193114,-2.80714096364287,-2.00294465545958,-2.88560581647955,-2.83382236651183,-1.83944986840679,-3.66348564731361,-3.30370448751269,-2.90808414230575,-2.70071470554062,6.78563274336185,1.45997283052846,-2.62841439938832,0.877440758161963,-3.92322401333925,-4.5603094813192,NA,1.83452738500061,-4.8460751593332,-5.64347584889523,6.98106764831664,7.63926054597383,2.21105326044653,7.02001859371218,-2.59975380979744,0.527453368318753,-2.80380179183306,-2.21326874035046,-3.78950624116782,8.31775030609332,-2.50590592828626,3.14518657933302,7.85726741978761,0.971159759924458,3.27971775978059,-2.70578771874754,3.86056328952005,-3.63730687134832,0.273334512131904,-2.6199701074787
"2382.SH008.C6.HA.4.743.root.9.12.lane7.NoIndex.L007.sequences",0.289286799603886,-0.250228659325624,-2.20606171090507,-0.0692823690250524,0.25205086857567,3.55894716798421,1.17260017111802,0.813121541220511,2.37163851214013,-2.64496916638174,-6.37171622379483,-9.08234788429153,0.497751701190947,-7.05511306787808,1.97973961232414,-0.518002517072095,1.83452738500061,NA,0.425447404088637,0.924037336961415,-5.36837862482139,-4.65820611762658,-8.40740394460092,-5.9682346231334,-1.533962801484,-7.25189227794761,2.09035441333438,0.676574657994492,0.437379016759044,-4.60912046799967,2.69315346852916,-3.76194243297044,-3.69889514643023,-3.88188806701035,-5.12124299645417,-0.353720286181625,-5.13354801629635,2.42370118821855,-7.14731513238969,0.683311129662446
"1642.MS00542",-4.93684885048381,-5.1221516600394,-2.91782703075076,-6.4003298903844,-4.49832157288063,-3.88680412499516,-4.07002152684273,-5.41539800314169,-4.78827543089086,-3.23726993213564,4.08658273768143,0.0308510783499003,-4.36617552686802,0.125341882609098,-5.33039998722843,-6.85411328874683,-4.8460751593332,0.425447404088637,NA,-7.30160663573617,4.83900792268281,4.58808094398032,0.781676943427704,4.20800252132387,-3.12495083420292,-0.129425784454944,-4.29498247757652,-6.0855749193095,-5.49391688326986,4.62766854944424,-4.28498168111598,1.05660247160513,4.68593657629956,0.044893673213629,0.947794881713889,-4.15667325696202,1.62965929075116,-6.39917498492405,-0.824727560511717,-4.53135389560748
