"","1642.MS00457","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","1642.MS00402","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00512","1642.MS00371","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00471","1642.MS00596","1642.MS00359","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00466","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00335","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00460","1642.MS00419","1642.MS00431","1642.MS00585","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00342","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00346","1642.MS00505","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00506","1001.SKB7","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00457",0,0.8862,0.892,0.8776,0.4954,0.4448,0.9124,0.4896,0.5488,0.6998,0.8904,0.5358,0.507,0.7024,0.8984,0.5646,0.8724,0.8948,0.5362,0.9364,0.9276,0.4702,0.8584,0.6148,0.9426,0.4368,0.499,0.5204,0.4898,0.8894,0.7196,0.953,0.8868,0.6732,0.5244,0.9474,0.9024,0.5316,0.9934,0.9088
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8862,0,0.715,0.625,0.9028,0.8896,0.8892,0.9116,0.913,0.9258,0.4832,0.915,0.8906,0.9398,0.6772,0.9328,0.5962,0.6772,0.9124,0.8576,0.8026,0.9,0.7068,0.9196,0.858,0.889,0.9132,0.9144,0.903,0.624,0.9322,0.8934,0.6192,0.9218,0.9136,0.8962,0.6242,0.9002,0.982,0.7278
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",0.892,0.715,0,0.6752,0.8954,0.8826,0.8586,0.906,0.9062,0.9242,0.7558,0.9082,0.8958,0.944,0.7354,0.9316,0.6918,0.5596,0.9106,0.7216,0.7156,0.899,0.7468,0.912,0.7348,0.8966,0.9208,0.9126,0.9064,0.6222,0.9338,0.7872,0.7056,0.918,0.9132,0.7212,0.7684,0.9038,0.9732,0.693
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8776,0.625,0.6752,0,0.8888,0.873,0.858,0.8984,0.9042,0.9282,0.6592,0.9,0.8802,0.9384,0.6138,0.9242,0.5674,0.5938,0.904,0.8084,0.8114,0.8846,0.6844,0.9058,0.8638,0.882,0.9004,0.898,0.8948,0.5786,0.9298,0.8754,0.5958,0.9196,0.9012,0.8484,0.5688,0.889,0.9788,0.782
"1642.MS00428",0.4954,0.9028,0.8954,0.8888,0,0.4908,0.9172,0.537,0.5208,0.6172,0.911,0.4958,0.5786,0.6014,0.911,0.5618,0.8888,0.8964,0.5188,0.936,0.9256,0.5282,0.8758,0.5336,0.941,0.52,0.5132,0.4846,0.542,0.9048,0.6608,0.949,0.903,0.5824,0.5198,0.942,0.915,0.53,0.9924,0.9218
"1642.MS00402",0.4448,0.8896,0.8826,0.873,0.4908,0,0.9104,0.5256,0.547,0.6874,0.8902,0.531,0.5066,0.6946,0.903,0.5634,0.8718,0.8854,0.5478,0.932,0.919,0.4738,0.847,0.607,0.9404,0.4684,0.5188,0.511,0.5012,0.8914,0.7024,0.952,0.8834,0.6584,0.5438,0.943,0.8976,0.5468,0.9922,0.9088
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",0.9124,0.8892,0.8586,0.858,0.9172,0.9104,0,0.9106,0.9242,0.9424,0.8884,0.93,0.9226,0.9524,0.8394,0.9424,0.8842,0.8844,0.9278,0.6898,0.7562,0.9268,0.8792,0.9244,0.7524,0.9228,0.9312,0.929,0.9294,0.891,0.9514,0.7316,0.8878,0.9324,0.9242,0.8428,0.865,0.931,0.9884,0.783
"1642.MS00541",0.4896,0.9116,0.906,0.8984,0.537,0.5256,0.9106,0,0.5288,0.7298,0.9146,0.5434,0.5714,0.7356,0.9208,0.5746,0.9,0.9124,0.5518,0.9382,0.9234,0.5088,0.8876,0.659,0.9456,0.5316,0.5996,0.5926,0.5332,0.9154,0.7402,0.9542,0.9076,0.7112,0.554,0.9416,0.9308,0.592,0.9908,0.9236
"1642.MS00512",0.5488,0.913,0.9062,0.9042,0.5208,0.547,0.9242,0.5288,0,0.6974,0.9182,0.4572,0.5898,0.675,0.9156,0.5248,0.903,0.9124,0.456,0.9376,0.925,0.5374,0.8858,0.5798,0.945,0.5842,0.6444,0.5242,0.5758,0.9164,0.739,0.9574,0.9118,0.6604,0.5064,0.9472,0.9224,0.5294,0.9906,0.9258
"1642.MS00371",0.6998,0.9258,0.9242,0.9282,0.6172,0.6874,0.9424,0.7298,0.6974,0,0.931,0.6838,0.7626,0.547,0.939,0.755,0.926,0.9314,0.7104,0.9556,0.9422,0.729,0.9172,0.627,0.9606,0.7172,0.673,0.6498,0.7574,0.9366,0.5918,0.9638,0.933,0.5286,0.6934,0.9524,0.9446,0.694,0.9926,0.9408
