"","1642.MS00457","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","1642.MS00402","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00512","1642.MS00371","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00471","1642.MS00596","1642.MS00359","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00466","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00335","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00460","1642.MS00419","1642.MS00431","1642.MS00585","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00342","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00346","1642.MS00505","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00506","1001.SKB7","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00457",0,1,1,1,-0.972,-1,1,-0.992,-0.523,0.994,1,-0.626,-0.838,0.853,1,-0.207,1,1,-0.74,1,1,-1,1,0.223,1,-1,-0.962,-0.873,-0.968,1,0.954,1,1,0.802,-0.902,1,1,-0.744,1,1
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0,0.925,-0.115,1,1,1,1,1,1,-1,1,1,1,0.268,1,-0.466,0.906,1,0.998,0.954,1,0.956,1,1,1,1,1,1,-0.035,1,1,-0.342,1,1,1,-0.596,1,1,0.823
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",1,0.925,0,0.372,1,1,0.99,1,1,1,1,1,1,1,0.916,1,0.679,-0.928,1,-0.584,-0.308,1,0.988,1,-0.448,1,1,1,1,-0.4,1,-0.334,0.756,1,1,-0.773,0.988,1,0.988,0.159
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.115,0.372,0,1,1,0.99,1,1,1,0.564,1,1,1,-0.64,1,-0.787,-0.457,1,0.821,0.984,1,0.781,1,1,1,1,1,1,-0.647,1,0.98,-0.674,1,1,0.958,-0.954,1,1,0.994
"1642.MS00428",-0.972,1,1,1,0,-0.976,1,-0.764,-0.899,0.073,1,-0.96,0.139,-0.678,1,-0.345,1,1,-0.935,1,1,-0.717,1,-0.876,1,-0.798,-0.917,-0.998,-0.564,1,0.0900000000000001,1,1,-0.64,-0.944,1,1,-0.76,1,1
"1642.MS00402",-1,1,1,1,-0.976,0,1,-0.84,-0.536,0.969,1,-0.709,-0.836,0.768,1,-0.233,1,1,-0.651,1,1,-0.992,1,0.114,1,-1,-0.831,-0.928,-0.94,1,0.848,1,1,0.583,-0.713,1,1,-0.493,1,1
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",1,1,0.99,0.99,1,1,0,1,1,1,1,1,1,1,0.932,1,1,1,1,-0.874,-0.415,1,1,1,-0.526,1,1,1,1,1,1,-0.828,1,1,1,0.701,0.992,1,0.998,0.095
"1642.MS00541",-0.992,1,1,1,-0.764,-0.84,1,0,-0.858,1,1,-0.723,-0.164,0.98,1,-0.286,1,1,-0.724,1,1,-0.948,1,0.835,1,-0.772,0.134,-0.032,-0.766,1,0.986,1,1,0.977,-0.688,1,1,-0.026,1,1
"1642.MS00512",-0.523,1,1,1,-0.899,-0.536,1,-0.858,0,0.976,1,-1,0.168,0.416,1,-0.897,1,1,-1,1,1,-0.732,1,-0.43,1,0.083,0.89,-0.892,-0.16,1,0.987,1,1,0.516,-0.982,1,1,-0.852,1,1
"1642.MS00371",0.994,1,1,1,0.073,0.969,1,1,0.976,0,1,0.934,1,-0.962,1,1,1,1,0.996,1,1,1,1,-0.0679999999999999,1,1,0.889,0.582,1,1,-0.824,1,1,-0.988,0.965,1,1,0.967,1,1
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",1,-1,1,0.564,1,1,1,1,1,1,0,1,1,1,0.369,1,-0.079,1,1,1,1,1,0.973,1,1,1,1,1,1,0.478,1,1,-0.438,1,1,1,-0.467,1,1,0.841
"1642.MS00471",-0.626,1,1,1,-0.96,-0.709,1,-0.723,-1,0.934,1,0,-0.122,-0.717,1,-0.79,1,1,-1,1,1,-0.8,1,-0.832,1,-0.552,0.193,-1,-0.308,1,0.976,1,1,0.331,-0.998,1,1,-1,1,1
"1642.MS00596",-0.838,1,1,1,0.139,-0.836,1,-0.164,0.168,1,1,-0.122,0,1,1,0.33,1,1,-0.403,1,1,-0.994,1,0.986,1,-0.964,-0.042,-0.428,-0.99,1,1,1,1,0.996,-0.551,1,1,-0.76,1,1
"1642.MS00359",0.853,1,1,1,-0.678,0.768,1,0.98,0.416,-0.962,1,-0.717,1,0,1,0.905,1,1,-0.167,1,1,0.954,1,-1,1,0.919,-0.302,-0.992,0.989,1,-0.736,1,1,-1,-0.956,1,1,-0.786,1,1
"2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.268,0.916,-0.64,1,1,0.932,1,1,1,0.369,1,1,1,0,1,0.091,0.874,1,0.889,0.972,1,0.831,1,0.98,1,1,1,1,0.00499999999999989,1,0.872,-0.225,1,1,0.98,-0.94,1,1,0.978
"1642.MS00482",-0.207,1,1,1,-0.345,-0.233,1,-0.286,-0.897,1,1,-0.79,0.33,0.905,1,0,1,1,-0.926,1,1,-0.353,1,0.726,1,-0.022,0.187,-0.297,0.0089999999999999,1,1,1,1,1,-0.195,1,1,-0.133,1,1
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.466,0.679,-0.787,1,1,1,1,1,1,-0.079,1,1,1,0.091,1,0,0.866,1,0.957,0.998,1,0.556,1,1,1,1,1,1,-0.21,1,1,-1,1,1,1,-0.68,1,1,0.979
"2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.906,-0.928,-0.457,1,1,1,1,1,1,1,1,1,1,0.874,1,0.866,0,1,0.912,0.99,1,0.998,1,0.992,1,1,1,1,-0.585,1,0.977,0.813,1,1,0.726,0.766,1,1,0.984
"1642.MS00466",-0.74,1,1,1,-0.935,-0.651,1,-0.724,-1,0.996,1,-1,-0.403,-0.167,1,-0.926,1,1,0,1,1,-0.918,1,-0.62,1,-0.533,0.29,-0.998,-0.479,1,0.973,1,1,0.483,-1,1,1,-0.996,1,1
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",1,0.998,-0.584,0.821,1,1,-0.874,1,1,1,1,1,1,1,0.889,1,0.957,0.912,1,0,-0.998,1,1,1,-1,1,1,1,1,0.907,1,-1,0.988,1,1,-0.978,0.948,1,0.978,-1
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",1,0.954,-0.308,0.984,1,1,-0.415,1,1,1,1,1,1,1,0.972,1,0.998,0.99,1,-0.998,0,1,1,1,-1,1,1,1,1,0.984,1,-0.944,0.996,1,1,-0.946,0.983,1,0.729,-0.994
"1642.MS00492",-1,1,1,1,-0.717,-0.992,1,-0.948,-0.732,1,1,-0.8,-0.994,0.954,1,-0.353,1,1,-0.918,1,1,0,1,0.684,1,-0.998,-0.401,-0.84,-0.992,1,0.992,1,1,0.96,-0.926,1,1,-0.855,1,1
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",1,0.956,0.988,0.781,1,1,1,1,1,1,0.973,1,1,1,0.831,1,0.556,0.998,1,1,1,1,0,1,1,1,1,1,1,0.952,1,1,0.139,1,1,1,0.831,1,1,1
"1642.MS00335",0.223,1,1,1,-0.876,0.114,1,0.835,-0.43,-0.0679999999999999,1,-0.832,0.986,-1,1,0.726,1,1,-0.62,1,1,0.684,1,0,1,0.611,-0.154,-0.998,0.932,1,0.548,1,1,-0.677,-0.719,1,1,-0.79,1,1
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",1,1,-0.448,1,1,1,-0.526,1,1,1,1,1,1,1,0.98,1,1,0.992,1,-1,-1,1,1,1,0,1,1,1,1,0.996,1,-0.998,1,1,1,-0.926,0.996,1,0.987,-1
"1642.MS00460",-1,1,1,1,-0.798,-1,1,-0.772,0.083,1,1,-0.552,-0.964,0.919,1,-0.022,1,1,-0.533,1,1,-0.998,1,0.611,1,0,-0.936,-0.878,-0.97,1,0.958,1,1,0.882,-0.768,1,1,-0.713,1,1
"1642.MS00419",-0.962,1,1,1,-0.917,-0.831,1,0.134,0.89,0.889,1,0.193,-0.042,-0.302,1,0.187,1,1,0.29,1,1,-0.401,1,-0.154,1,-0.936,0,-0.931,-0.419,1,0.801,1,1,0.587,-0.07,1,1,-0.159,1,1
"1642.MS00431",-0.873,1,1,1,-0.998,-0.928,1,-0.032,-0.892,0.582,1,-1,-0.428,-0.992,1,-0.297,1,1,-0.998,1,1,-0.84,1,-0.998,1,-0.878,-0.931,0,-0.727,1,0.751,1,1,-0.329,-1,1,1,-1,1,1
