"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00402","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00466","1642.MS00428","1642.MS00359","1642.MS00346","1642.MS00431","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00457","1642.MS00596","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00460","1642.MS00471","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00335","1642.MS00342","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00371","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00585","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","1642.MS00419","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00512"
"2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences",0,0.1103591335125,0.0392688817685,0.0369408651306,0.0452793838765,0.0854582736913,0.035650339216,0.0963439968978,0.0862956269771,0.0337067286884,0.1043916130484,0.0872885107385,0.0870956539389,0.0864581551997,0.0791705033507,0.0258368107077,0.0893344087518,0.093683568336,0.0510816552614,0.0321338991168,0.0923649326168,0.0888132344362,0.030256717864,0.101065473702,0.083811072403,0.1094749024219,0.0389121935504,0.0350130487299,0.1353198144715,0.0988207276633,0.0472038520271,0.0891488583623,0.034492071446,0.0363025564469,0.0342848648678,0.0830285688662,0.0923718266865,0.0469546219102,0.0386354639571,0.0922659673655
"1642.MS00482",0.1103591335125,0,0.1263388472236,0.1090362380491,0.1265596189588,0.0244003240679,0.1051978762704,0.0248208266547,0.0276148482315,0.107469196089,0.0210176598549,0.0249602149592,0.0344333984125,0.0421570886826,0.0226444766952,0.1157945173401,0.0239222447879,0.0269100925205,0.1272953797537,0.1165038014854,0.0270588885208,0.0217314447358,0.1072457889052,0.0268483936907,0.0283177168615,0.0614746367454,0.1123569156374,0.0941389201113,0.1782008138246,0.0462317371783,0.1474972479548,0.0281701181449,0.1046242229067,0.1089267750077,0.1106591771703,0.0232778392676,0.02664503406,0.1247006645418,0.106612713895,0.022577908233
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0.0392688817685,0.1263388472236,0,0.0486948254977,0.0169013874262,0.1014311674895,0.0296930711252,0.1135103827627,0.099641377809,0.0494126492564,0.1169396123281,0.0960733165641,0.0915682670796,0.0839492480067,0.0940949803614,0.0439563553327,0.1041829496992,0.1114782171495,0.0178127408824,0.0421321252677,0.1077119739228,0.1009400979825,0.0409409667401,0.113464951217,0.0869861356437,0.1105748147254,0.019478166936,0.0452715700502,0.0782911819145,0.1022331192098,0.0191624196069,0.1070935175798,0.0469197621107,0.0516365160715,0.0478256486203,0.0947379837654,0.1073328731536,0.029346934716,0.0269762523605,0.1056912251737
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0369408651306,0.1090362380491,0.0486948254977,0,0.049899309988,0.090980110796,0.0386001856338,0.0998002924246,0.0911482187833,0.0271540509241,0.1017226253421,0.0897447390123,0.089451048333,0.0863743994599,0.0839010258904,0.0313667390097,0.0938877407535,0.0944683570146,0.0635987616136,0.0278290464982,0.0953110909529,0.0909683949254,0.029124105252,0.107348789975,0.0856290072532,0.0980134945623,0.0413655520844,0.0346889194344,0.1341196045835,0.0930801456811,0.0627323649921,0.095765244517,0.0337366720776,0.0191171365846,0.0276829166881,0.0875950518578,0.0949356856195,0.0589565573585,0.0348051479849,0.0965307812598
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.0452793838765,0.1265596189588,0.0169013874262,0.049899309988,0,0.105586715104,0.0339474355677,0.117323193292,0.10391394747,0.0575981258491,0.1163992086048,0.1012434429359,0.0972079390278,0.0921629473445,0.0956725388271,0.0497700528232,0.108501978432,0.1156699965771,0.0251794078703,0.0478042682262,0.1136308870693,0.1044067901063,0.0478938014407,0.1163290195045,0.0917356908615,0.1171625986618,0.0165958176326,0.0507534077784,0.084433466247,0.1071987452787,0.0215564701559,0.1110109324581,0.0511026697195,0.0540553220373,0.0543174451151,0.0999605976571,0.1126702067692,0.0324965745608,0.0238015745569,0.1064744198543
"1642.MS00506",0.0854582736913,0.0244003240679,0.1014311674895,0.090980110796,0.105586715104,0,0.0901350041115,0.0216001446457,0.0247628547387,0.103962197618,0.0226375437089,0.0242718378979,0.032444753809,0.0362016330153,0.0220621986556,0.0892604628297,0.0216004907503,0.0229142265069,0.1045909555275,0.0888778543939,0.0236046709431,0.0227918499915,0.0821820190186,0.0255648306346,0.0284948269607,0.0509773151504,0.091629561487,0.0746308234804,0.1594234770742,0.0422943679904,0.1183925706128,0.0219160366868,0.0854348543314,0.0908377951429,0.0846977463348,0.021252134532,0.0246788642624,0.0993023402124,0.0907007580885,0.0231177287126
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",0.035650339216,0.1051978762704,0.0296930711252,0.0386001856338,0.0339474355677,0.0901350041115,0,0.1007898364731,0.0892952628175,0.0396571456318,0.0918128058983,0.0862095938658,0.0864912177398,0.0848162190854,0.0823954828419,0.0385492766266,0.0944042830956,0.099155181887,0.0307314849308,0.0274337185486,0.098588053258,0.0895740973461,0.0314680040381,0.1024531140401,0.0826512836383,0.1062000845166,0.031791085663,0.0337507273576,0.0968332090013,0.0930877200069,0.0344393738866,0.0966819237824,0.0243154121486,0.0412571442043,0.0352834734566,0.0851328587371,0.0990830971226,0.0417775495705,0.033211570305,0.0905163732873
"1642.MS00492",0.0963439968978,0.0248208266547,0.1135103827627,0.0998002924246,0.117323193292,0.0216001446457,0.1007898364731,0,0.0231854127637,0.0942329332935,0.0203381644716,0.0243640349891,0.0381086329707,0.041663366812,0.022301242284,0.0989077312229,0.0203455008862,0.0229994212274,0.1191071572633,0.1004262869296,0.0211142324081,0.021180543856,0.09334481082,0.024048731915,0.0294229963456,0.052980591729,0.1024855189561,0.0840503068993,0.1858326592839,0.04445237119,0.130897513016,0.0235593892181,0.0959617467979,0.0992524902161,0.0932582358124,0.0195004545019,0.0257024682416,0.107365079929,0.1011484941702,0.0223667586851
"1642.MS00402",0.0862956269771,0.0276148482315,0.099641377809,0.0911482187833,0.10391394747,0.0247628547387,0.0892952628175,0.0231854127637,0,0.0879417422381,0.0220288880155,0.0228612745888,0.0309275409269,0.0318317875187,0.0214486752397,0.0890323353344,0.0208493576716,0.0252138318292,0.105919264805,0.088845697582,0.0238040021548,0.0231583322739,0.0822833796422,0.0272678717772,0.0264398249635,0.0462156771073,0.0923470807957,0.072989967953,0.1684183244403,0.0370106863571,0.1136974435952,0.0251588926624,0.0860386775759,0.0899693042208,0.0860019648707,0.0239163900858,0.0252469843864,0.0955391080762,0.0912900173462,0.0243774360882
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0337067286884,0.107469196089,0.0494126492564,0.0271540509241,0.0575981258491,0.103962197618,0.0396571456318,0.0942329332935,0.0879417422381,0,0.107684122217,0.0923911410226,0.1192612223214,0.1072387257642,0.1005569834057,0.0298911758864,0.0885337355182,0.0911978945476,0.0720266856413,0.0285795667858,0.0895218311295,0.1049635837402,0.0291644527293,0.1034052788771,0.1024471216216,0.1055572190425,0.0516011931658,0.0322311188658,0.1524528211474,0.1067727729513,0.0614175976644,0.0892132795155,0.0320589136837,0.029959087569,0.0171542512077,0.1096889518725,0.0918941334436,0.0575272847691,0.0425936227812,0.1016504578567
