"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00402","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00466","1642.MS00428","1642.MS00359","1642.MS00346","1642.MS00431","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00457","1642.MS00596","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00460","1642.MS00471","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00335","1642.MS00342","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00371","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00585","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","1642.MS00419","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00512"
"2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences",NA,7.07444364709243,-6.14224127045814,-7.10098867624729,-6.11417358221927,0.153513698502084,-6.96846121655722,5.15803236160023,2.90737115489165,-9.02097745968312,2.85395029930295,1.35726539463699,-0.881347626130528,-0.740045709014049,-0.819302701345624,-8.77939635747601,2.77784547211833,5.08760772969247,-6.40337326768382,-10.7383544018547,4.52401568079413,0.550951436907638,-9.75076024374443,5.31925869097613,-0.424833466549614,2.57004923040775,-7.87322971590923,-8.45144474759853,-2.36516310378942,1.70145661939238,-5.45855877797347,2.43141599436349,-10.3236326121882,-7.41302868510357,-9.05751488803512,-0.308264099844777,3.1413852896474,-6.58138655725615,-6.39150534356435,1.37300148741602
"1642.MS00482",7.07444364709243,NA,2.97685981497171,7.8811451378497,3.20183059772982,-5.51198187861014,4.49075708214211,-4.15198164297186,-1.5172907424227,6.92115056988319,-5.14969774778959,-4.82897296766117,-2.80236183644644,-2.34261177199749,-4.72564382972786,7.11661943274729,-4.88243459754442,-4.07206005233484,3.54005890477833,10.2074231201597,-3.29351129495426,-4.49455451555072,8.17122743037494,-4.7126094860058,-3.70449879015662,0.919378918867173,2.89348763056369,4.96306431386782,1.72908719891716,-2.00804683974952,2.31869932366614,-4.0417590561989,7.90324337335902,7.06623528940834,9.70844497919495,-4.07319518018047,-4.87829439974763,2.81261126283577,2.56700777457645,-4.72622566336395
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",-6.14224127045814,2.97685981497171,NA,-4.40582934288125,-6.85996876652827,-0.119942934981328,-7.08838834105145,2.1213709629148,0.634361991203502,-3.69466062921461,1.62369579546488,-0.272179559645984,-1.67261357413311,-2.38611547249663,-0.773540828484167,-5.06498930267125,0.911875661678687,2.16839498654,-6.07291439808041,-6.01128546802007,1.56220278718084,0.0494719164089252,-5.10255572327597,1.64348735195934,-1.51177724384457,-0.14301487782579,-7.37947015799752,-5.00453392279522,-5.27148730680255,-0.496757446328689,-5.64496442563424,1.33188670213021,-4.2619008459412,-4.90076426983996,-3.46146346430818,-0.61465589750936,0.99008095338313,-5.36765171362389,-6.23239408643672,0.54688479619361
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",-7.10098867624729,7.8811451378497,-4.40582934288125,NA,-5.10101973624945,1.63889966192347,-4.71721793282336,8.34660923047351,6.73477280723398,-8.94199281286572,3.39132242265599,3.35350461927292,-0.184740539096753,0.0684741319315733,0.200208611390163,-6.50429697217445,6.74395340784541,7.55499953153775,-4.29663468052231,-9.2408703829398,8.59946136162041,1.49973107964187,-6.79628506942794,9.1406832429783,0.372169891468204,1.38878610552718,-5.92393908174132,-7.47501753257371,-2.40079119273512,1.6532133388309,-2.45655123955147,7.00836447368829,-6.59068243750887,-7.27095913965061,-7.85798814416803,0.539785922614893,6.05370806575599,-4.72144910102128,-5.63494058679476,2.73706141760451
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",-6.11417358221927,3.20183059772982,-6.85996876652827,-5.10101973624945,NA,0.0116574840601251,-8.61659624800207,2.57011232416786,0.888472753728556,-4.3252666682154,1.40264883229093,0.0588051799974633,-1.28789225145908,-1.65696906232045,-0.744181995427341,-4.99734476064184,1.38947393037852,2.60938620218359,-6.64681782804795,-6.31132710248734,2.20216570820663,0.13693228776485,-5.73919288735352,2.2182035756869,-1.26221771760513,0.517122523765656,-7.37328171973022,-5.79356209849056,-4.77385915101479,-0.261057117931541,-6.86001394660308,1.5639153604715,-5.3788310062501,-4.28273860198524,-4.61232447447644,-0.411764748026267,1.64372469008635,-5.59871329094078,-6.7762562549748,0.45518076418489
"1642.MS00506",0.153513698502084,-5.51198187861014,-0.119942934981328,1.63889966192347,0.0116574840601251,NA,0.75613535124412,-5.00331560555563,-3.27591033582929,3.46765504383243,-3.7032324767916,-5.15598366565769,-2.73447326675294,-2.51186276601765,-3.47219281404125,0.54430896749568,-5.86865974793206,-3.8642266588056,-0.409048490600109,1.20576654780552,-3.43461965744625,-5.24203735467795,0.800122407069459,-5.44516446497725,-2.57771401117097,-0.751719540199051,-0.691308562293617,0.310350799513402,0.103838287737428,-1.94081243848061,0.284114621517058,-5.76745508582321,0.859264733568148,1.79814841506356,6.13444585937028,-4.69201893606951,-4.31669467500669,1.34829968545229,-0.122104021202786,-5.67582458259214
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",-6.96846121655722,4.49075708214211,-7.08838834105145,-4.71721793282336,-8.61659624800207,0.75613535124412,NA,5.50350831986334,4.25261527547724,-3.68788730570245,1.27774175832172,1.35493294683515,-1.05834408691586,-0.985642058048906,-0.347318503749329,-5.67631537875932,4.02354286886959,5.72690308528406,-7.457757406498,-5.22714535744034,5.34057653367373,0.89143954002916,-6.0812194967941,5.15633398108662,-0.643549668764634,1.60590322556019,-7.96410599651046,-7.51695967264236,-4.58150915908534,0.675672736121392,-7.20305977578498,4.00520128346707,-4.70706355013848,-5.26905538513842,-4.80776020370613,-0.129110973387324,3.66352087216246,-6.9389906454889,-5.88684375355983,1.02270250992456
"1642.MS00492",5.15803236160023,-4.15198164297186,2.1213709629148,8.34660923047351,2.57011232416786,-5.00331560555563,5.50350831986334,NA,-1.6779004368991,6.5998103830908,-5.42875301208552,-3.129156853196,-1.72211079367601,-1.34368437252006,-3.57033082240192,5.22112271432505,-5.85403326041944,-3.25144248719132,2.58402280445152,8.39978643191772,-4.57206198091677,-6.13227184757641,7.71269903812152,-5.18338360826316,-2.59479058910097,-0.588070464907005,2.54863714679153,5.36612265145556,3.02329395498518,-1.85073735563619,1.56427024687081,-4.18050297458819,7.1005268811471,8.29441626305858,8.45757062215964,-4.82486102185856,-3.85959335382657,2.14725973526728,2.82632319198664,-4.49706685290171
"1642.MS00402",2.90737115489165,-1.5172907424227,0.634361991203502,6.73477280723398,0.888472753728556,-3.27591033582929,4.25261527547724,-1.6779004368991,NA,6.6505991578549,-3.65948757340931,-3.18792510343013,-3.20650051192392,-2.82936118428346,-2.67980136476229,3.19099964555151,-3.37401752427729,-3.33891985153109,0.936913346194979,5.90398409979066,-1.29384478833408,-3.21310566268502,5.52829595875224,-1.76937493107225,-2.77017712966054,-1.12268180508725,1.15662770982717,2.71839752702326,1.53511555007296,-2.58690623525894,0.316786513099831,-3.39117107582226,5.61273185371875,6.56476032670949,7.51188963256282,-2.7038489219348,-2.32074030930002,0.618013329141911,1.44844388508489,-3.16948366845763
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",-9.02097745968312,6.92115056988319,-3.69466062921461,-8.94199281286572,-4.3252666682154,3.46765504383243,-3.68788730570245,6.5998103830908,6.6505991578549,NA,4.45050640767265,4.27349143897848,2.78309659605135,3.59330964116772,2.31511022199517,-8.28967646072634,4.7809185171292,7.04358443056492,-2.79081690912096,-9.44140636066967,6.32177416864266,3.56971432172066,-8.74855042712327,8.69358611023229,2.84669295317805,3.08358126174125,-4.3443985526193,-9.3669109311036,-1.08977980444898,4.41566588838725,-2.46745161675506,5.24339750450467,-7.910098055273,-8.32736409174899,-7.74798425091877,2.68916584277727,4.71314947133874,-4.41562470655483,-4.61642712287155,3.8035023374844
