"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00489","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00379","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00532","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00485","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00493","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00525","1642.MS00577","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00520","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00553","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00447"
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0,0.9468,0.7756,0.8994,0.4798,0.9454,0.9398,0.7572,0.9206,0.9294,0.7772,0.9352,0.9374,0.8636,0.7806,0.9296,0.8196,0.7818,0.9072,0.9476,0.9328,0.7594,0.782,0.8106,0.9592,0.9568,0.9162,0.8816,0.7826,0.95,0.8402,0.7968,0.9426,0.9634,0.757,0.9498,0.7816,0.7242,0.8376,0.9552
"1642.MS00489",0.9468,0,0.9296,0.9194,0.9406,0.583,0.5958,0.9544,0.944,0.5196,0.9318,0.5174,0.467,0.9472,0.95,0.5176,0.9674,0.9388,0.9258,0.515,0.569,0.966,0.9516,0.9358,0.7556,0.6068,0.927,0.9188,0.9576,0.5454,0.8972,0.9272,0.5682,0.6122,0.94,0.6804,0.9666,0.951,0.9034,0.547
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.7756,0.9296,0,0.7962,0.7174,0.9234,0.9204,0.5644,0.8218,0.8974,0.4882,0.9082,0.9206,0.6558,0.6174,0.9018,0.6672,0.6964,0.7936,0.9184,0.9204,0.6078,0.5796,0.531,0.9432,0.943,0.8168,0.7672,0.6916,0.9252,0.8628,0.5714,0.9208,0.9326,0.4866,0.945,0.6742,0.5098,0.8724,0.9414
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8994,0.9194,0.7962,0,0.8752,0.9124,0.9054,0.8792,0.8146,0.885,0.8078,0.8916,0.9172,0.8192,0.8416,0.882,0.8946,0.828,0.6206,0.9018,0.9084,0.8918,0.8658,0.755,0.941,0.9506,0.562,0.5908,0.9142,0.9082,0.7234,0.7482,0.9006,0.9032,0.826,0.9446,0.8788,0.863,0.7714,0.9328
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",0.4798,0.9406,0.7174,0.8752,0,0.9336,0.9286,0.6386,0.9036,0.9212,0.707,0.924,0.9314,0.7876,0.6762,0.9152,0.7302,0.7038,0.8752,0.9372,0.9218,0.6268,0.6914,0.7276,0.949,0.9506,0.9066,0.8424,0.7542,0.9388,0.8096,0.7138,0.9364,0.9508,0.6932,0.9456,0.6186,0.6246,0.835,0.9454
"1642.MS00429",0.9454,0.583,0.9234,0.9124,0.9336,0,0.5444,0.9468,0.9346,0.5572,0.9314,0.5878,0.5916,0.9462,0.9452,0.5802,0.9618,0.9364,0.919,0.55,0.6202,0.9578,0.9444,0.9292,0.6962,0.6646,0.9248,0.911,0.9538,0.5764,0.8926,0.9282,0.5766,0.6928,0.938,0.6354,0.9616,0.9448,0.8964,0.5558
"1642.MS00379",0.9398,0.5958,0.9204,0.9054,0.9286,0.5444,0,0.9486,0.9304,0.5816,0.9262,0.5862,0.6058,0.9408,0.9412,0.5772,0.9614,0.9282,0.911,0.5774,0.6396,0.959,0.948,0.9234,0.6186,0.7072,0.9136,0.9006,0.9566,0.5246,0.8816,0.9228,0.5528,0.6792,0.9314,0.631,0.962,0.9414,0.885,0.5318
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.7572,0.9544,0.5644,0.8792,0.6386,0.9468,0.9486,0,0.874,0.9368,0.6146,0.9452,0.9544,0.5678,0.5006,0.941,0.5188,0.6562,0.8584,0.9538,0.9484,0.5286,0.3848,0.5036,0.9624,0.9646,0.9016,0.8312,0.6984,0.9556,0.8864,0.5236,0.9504,0.9636,0.5698,0.9608,0.5194,0.4172,0.9072,0.9592
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.9206,0.944,0.8218,0.8146,0.9036,0.9346,0.9304,0.874,0,0.9198,0.8614,0.9302,0.9412,0.8658,0.8768,0.92,0.8972,0.869,0.7698,0.9366,0.9382,0.9162,0.8522,0.7718,0.9506,0.9574,0.8144,0.7414,0.9072,0.941,0.8822,0.8096,0.9382,0.9426,0.8704,0.9534,0.8962,0.875,0.8994,0.9486
"1642.MS00532",0.9294,0.5196,0.8974,0.885,0.9212,0.5572,0.5816,0.9368,0.9198,0,0.908,0.4714,0.4932,0.9276,0.9302,0.4598,0.952,0.9188,0.9014,0.4588,0.5032,0.9486,0.9294,0.9062,0.7262,0.605,0.9012,0.8874,0.941,0.5164,0.8654,0.9028,0.52,0.6014,0.9196,0.6736,0.9512,0.9282,0.8688,0.5578
