"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00489","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00379","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00532","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00485","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00493","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00525","1642.MS00577","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00520","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00553","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00447"
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0,1,-0.015,1,-1,1,1,-0.476,1,1,-0.003,1,1,0.892,-0.175,1,-0.124,-0.0629999999999999,1,1,1,-0.531,-0.139,0.482,1,1,1,0.988,-0.492,1,0.842,0.265,1,1,-0.362,1,-0.337,-0.646,0.821,1
"1642.MS00489",1,0,1,1,1,0.251,0.352,1,1,-0.505,1,-0.575,-0.962,1,1,-0.569,1,1,1,-0.586,0.024,1,1,1,1,0.168,1,1,1,-0.229,1,1,0.113,0.606,1,0.958,1,1,1,-0.187
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",-0.015,1,0,0.998,-0.501,1,1,-0.998,0.998,1,-1,1,1,-0.642,-0.958,1,-0.97,-0.356,0.994,1,1,-0.984,-0.984,-0.967,1,1,0.998,0.98,-0.907,1,1,-0.875,1,1,-1,1,-0.914,-0.996,1,1
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.998,0,1,1,1,1,1,1,0.989,1,1,0.988,0.926,1,0.976,0.99,0.105,1,1,1,0.994,0.988,1,1,-0.505,-0.0629999999999999,1,1,0.97,0.978,1,1,0.978,1,0.972,0.998,1,1
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",-1,1,-0.501,1,0,1,1,-0.926,1,1,-0.599,1,1,0.26,-0.813,1,-0.794,-0.649,0.996,1,1,-0.948,-0.78,-0.362,1,1,1,0.969,-0.667,1,0.695,-0.558,1,1,-0.71,1,-0.968,-0.934,0.912,1
"1642.MS00429",1,0.251,1,1,1,0,-0.255,1,1,0.18,1,0.563,0.414,1,1,0.522,1,1,1,-0.025,0.786,1,1,1,0.935,0.87,1,1,1,0.293,1,1,0.315,0.994,1,0.648,1,1,1,0.0600000000000001
"1642.MS00379",1,0.352,1,1,1,-0.255,0,1,1,0.449,1,0.481,0.598,1,1,0.395,1,1,1,0.377,0.886,1,1,1,0.137,0.99,1,1,1,-0.45,1,1,-0.046,0.994,1,0.637,1,1,1,-0.362
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",-0.476,1,-0.998,1,-0.926,1,1,0,0.984,1,-0.938,1,1,-0.996,-1,1,-1,-0.861,0.986,1,1,-1,-1,-1,1,1,1,0.831,-0.86,1,0.996,-1,1,1,-0.98,1,-1,-1,1,1
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",1,1,0.998,1,1,1,1,0.984,0,1,1,1,1,1,0.978,1,0.948,1,0.954,1,1,1,0.934,0.936,1,1,1,0.844,0.98,1,1,0.998,1,1,1,1,0.984,1,1,1
"1642.MS00532",1,-0.505,1,1,1,0.18,0.449,1,1,0,1,-0.828,-0.766,1,1,-0.86,1,1,1,-0.923,-0.598,1,1,1,0.994,0.225,1,1,1,-0.331,1,1,-0.212,0.715,1,0.964,1,1,1,0.301
