"","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00447","1642.MS00525","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00429","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00349","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00532","1642.MS00489","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00379","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00442","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553"
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0,0.0268482163771,0.0210127540985,0.0225696747932,0.0966065087985,0.1146138314009,0.0997233069253,0.0577219732989,0.0926815722803,0.0641252714978,0.0254153180853,0.0926021266225,0.0204728762585,0.0887667718069,0.0938729282011,0.0583378967811,0.0125041301037,0.0431678068387,0.0237809530916,0.0983363512274,0.0975810048666,0.1169145842555,0.0192672558242,0.0956810728079,0.0340456179353,0.1148665404142,0.1054971019717,0.033888047817,0.0272081044226,0.0943277497096,0.024654847938,0.0949039006197,0.0564452501635,0.0219040602114,0.0214012348807,0.0201267201441,0.046188396227,0.0205935755069,0.0180513755288,0.1161798086144
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",0.0268482163771,0,0.0246791745031,0.0233276406722,0.0884999715713,0.1017921029747,0.0889540676994,0.0437738895595,0.0860395669245,0.0541566755913,0.0200471661457,0.0851387779505,0.0221881953157,0.0832653904912,0.0823126117858,0.0538297442505,0.0216755110296,0.0355536839475,0.0258162882583,0.0865843366121,0.0877098801537,0.1013644939626,0.0221054308746,0.0836717242563,0.0305999740424,0.0998787404844,0.093145554264,0.0338472272682,0.0262526636661,0.0843632976367,0.0245007972205,0.0863806592206,0.047183322813,0.0308394419471,0.0236580958943,0.0230074892872,0.0450245471411,0.0241108270606,0.0189520964789,0.0998933405487
"2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences",0.0210127540985,0.0246791745031,0,0.0201844885603,0.1007376858887,0.1141270366994,0.101046231137,0.0471840142812,0.0935342371329,0.0539854133288,0.0234995259752,0.0948124782226,0.0185669416282,0.0902005943876,0.0960530107381,0.060473386699,0.0143111689749,0.039814386428,0.0229885853359,0.0966268625849,0.0982444689053,0.1169167014078,0.0196898611627,0.0962086264366,0.0300917661198,0.1121086901614,0.1047530420851,0.0408895305313,0.0206409365707,0.0901725705412,0.0259302863114,0.0951441843256,0.0518475221892,0.0260382197283,0.0246473482894,0.0134434413367,0.0428002867393,0.0160615571539,0.0165170250724,0.1100601529456
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",0.0225696747932,0.0233276406722,0.0201844885603,0,0.0821182977272,0.09720720892,0.0938503902542,0.0418967764185,0.0823785402143,0.0524395508874,0.0201578714464,0.0907827440926,0.0156846443584,0.0801671153392,0.0833200794482,0.0480105458507,0.0201954835212,0.0315730136995,0.0163056676569,0.0818922392981,0.0828713450279,0.1000674957829,0.0192972521161,0.0808912467657,0.0297384661099,0.0953649309712,0.0862287246215,0.031164960761,0.0253545881544,0.0793731680854,0.0214125853462,0.0786220940249,0.0379584072384,0.0265249273013,0.0232265937082,0.0206849926316,0.0325899797625,0.0200680796992,0.0202322890526,0.0931317805793
"1642.MS00470",0.0966065087985,0.0884999715713,0.1007376858887,0.0821182977272,0,0.0264607839164,0.0202500171216,0.0805292178858,0.0206599947852,0.0891555832114,0.0881753454422,0.02791496856,0.0893079572879,0.0293750527125,0.0414251783819,0.0866702870964,0.1019011097558,0.0821908117079,0.0857626292295,0.0208213768879,0.0189674160111,0.0195706919103,0.0959835863037,0.0262092275357,0.0957891148884,0.0196252036752,0.0214599691349,0.0824132426433,0.0940118552175,0.0224433260048,0.084878942315,0.0204745430512,0.084148474338,0.0992943121495,0.0891195272337,0.1087701999782,0.0853025517531,0.1035683407941,0.0971834621569,0.0300983198945
"1642.MS00447",0.1146138314009,0.1017921029747,0.1141270366994,0.09720720892,0.0264607839164,0,0.0273615333152,0.1021114644967,0.0265025558606,0.1039505146349,0.1016533119498,0.026569133367,0.1045888578799,0.0251758423782,0.0372705149946,0.1102286255774,0.1185798784633,0.0981542066357,0.0997549231618,0.0271981064537,0.0267712793234,0.0234045393269,0.1107724289058,0.0229426196841,0.1108834881849,0.0252099298364,0.0230528793357,0.0979182828796,0.112099925164,0.0234783634996,0.1002115416921,0.0244461072016,0.1049096350063,0.1142795133943,0.1043890412377,0.1229614452912,0.1005966964201,0.1186862731747,0.1123355069652,0.0292356510156
"1642.MS00525",0.0997233069253,0.0889540676994,0.101046231137,0.0938503902542,0.0202500171216,0.0273615333152,0,0.0836760121773,0.0198820487047,0.0899311881636,0.0891961761111,0.0251564470308,0.0944070458778,0.0298711395945,0.0425747661313,0.0883615073093,0.1045643954252,0.083786885943,0.0890145491356,0.0215450520797,0.0191325093118,0.0213569132552,0.1035693617485,0.0273080014287,0.1052439425811,0.0205199854249,0.0222718806534,0.0828877176,0.0979657136967,0.0204106535569,0.08822388148,0.0225633656504,0.0851721021899,0.1032242342644,0.0927114428534,0.1099617334992,0.0904211515063,0.1050689087624,0.0966859604399,0.030164374846
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0577219732989,0.0437738895595,0.0471840142812,0.0418967764185,0.0805292178858,0.1021114644967,0.0836760121773,0,0.083923984288,0.0465492421222,0.0479678340344,0.0802167016407,0.0439308168332,0.0824192953168,0.0842608553748,0.023753854127,0.0537590215266,0.0336789000848,0.0449879410954,0.0790285233039,0.0827656414128,0.0913352020748,0.0447160137751,0.0807045447463,0.0401157802297,0.0981740607758,0.0883177628843,0.0415468448685,0.0345690268357,0.0840553853492,0.036617302369,0.0782044052655,0.0397227681739,0.0737709845449,0.044149764947,0.0609673011384,0.0403541145313,0.0561513471169,0.0513915626922,0.091640343982
"1642.MS00577",0.0926815722803,0.0860395669245,0.0935342371329,0.0823785402143,0.0206599947852,0.0265025558606,0.0198820487047,0.083923984288,0,0.1018021487864,0.0890206839087,0.0263415647873,0.0871477415455,0.0271755832967,0.0379666054735,0.0867937962071,0.0987823906253,0.0839860104801,0.0834387392576,0.0218747095763,0.0193618722504,0.0209167373138,0.0931827473638,0.0276321119328,0.0908730551793,0.0202854071417,0.0240978616647,0.0831376316931,0.0900591998354,0.0195352392338,0.0852228203113,0.022911718556,0.0896131353544,0.0924838262093,0.0875849001481,0.1057419644526,0.0992514700262,0.0996951802503,0.0933123839907,0.0304258730658
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0641252714978,0.0541566755913,0.0539854133288,0.0524395508874,0.0891555832114,0.1039505146349,0.0899311881636,0.0465492421222,0.1018021487864,0,0.0457365442113,0.0890818871425,0.0567184124308,0.1048303812973,0.099270369394,0.0500321561499,0.0680177353579,0.0289901321926,0.0478534478891,0.0884778520091,0.0892276049029,0.1103239829532,0.0647402210962,0.0859730791435,0.0789802135337,0.1068498472205,0.0920609845246,0.0542864297469,0.0649003311461,0.1205621656264,0.0504630200197,0.0892224465061,0.0289057991208,0.0824029367781,0.0466882022332,0.0685351683596,0.0274015326518,0.0638093011505,0.0527790092948,0.1005690770219
