"","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00447","1642.MS00525","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00429","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00349","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00532","1642.MS00489","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00379","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00442","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553"
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",NA,-4.42613382115008,-5.40991515048131,-6.56410692861495,0.242323222059979,1.85940389971567,0.355467790253108,-3.30704085853467,-0.213171123156879,-2.43163884614969,-3.34248698251982,-0.520396006441232,-6.63488261022837,-0.779710592542694,-0.649217584265897,-3.72819835446836,-5.19225610658153,-3.61906414035642,-3.45249876873036,0.642008667196877,0.600992191593109,2.30327109293546,-5.10026278657648,-0.171007303462323,-5.66725920891257,2.0060767012567,1.13839952167176,-3.74140994385206,-5.2589920166643,-0.349930291909278,-6.04147960535014,0.130914290416672,-2.79215685013494,-3.85740832163981,-7.17646192498109,-4.92200445229599,-3.8315810197334,-6.08456598561544,-5.12626898694675,1.94004382104605
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",-4.42613382115008,NA,-4.71403781455275,-3.7725031670139,-0.0430677816840054,1.23461238148799,-0.186263550557644,-4.78817917691285,-0.375907305682711,-3.11506781590433,-3.65565114094074,-0.923746272572879,-4.28785134043466,-0.928005950666569,-0.911264902289429,-3.79089608064514,-3.92931003070036,-4.97203885323892,-4.49404715431868,0.0776385124917254,-0.0737556258941005,1.09976023930244,-4.23681201278653,-1.12627091516608,-5.45011217938332,1.0338688044219,0.480793704458952,-4.11206127468364,-5.3289450128201,-0.491333313103158,-3.92806555805943,-0.40232347490651,-3.67765648822771,-4.80188291104541,-3.59245910777883,-2.70408403374283,-3.66723431295413,-5.13360143684824,-3.9388892933396,0.890176505186871
"2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences",-5.40991515048131,-4.71403781455275,NA,-6.96493725430016,-0.342677564239187,1.09416794504139,-0.303939590468203,-4.95232179576677,-0.637374724213063,-4.18048141384245,-5.09488912677308,-1.16553099830068,-5.41734873896566,-1.18269948937394,-1.0009584522578,-3.82741895261678,-5.44605827604944,-7.20180420505739,-7.6173522288377,-0.34396496240923,-0.561414289982542,1.26156755087225,-5.04895474726415,-0.875265799842854,-3.3133704866984,0.67011962176304,0.298952834622587,-5.33592794344297,-5.56755888048497,-0.671410614769913,-6.20670484346654,-0.709377970977274,-5.55902684143149,-5.026130150137,-7.9135225958804,-5.84400567608355,-6.40233608496768,-6.54171826022755,-5.76647558336349,0.502064321130295
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",-6.56410692861495,-3.7725031670139,-6.96493725430016,NA,-0.0332944013293159,1.16630914836006,0.466935277216572,-3.43031374582912,-0.283606226885801,-1.52216123241614,-3.11861174600157,0.109664137619106,-6.54899307235071,-0.717989405295518,-0.668175355112562,-3.29722370752804,-6.15539321267999,-3.74703766456591,-7.49283791484696,0.0126555815376577,0.0116025633463288,1.34105135564167,-6.06677313912263,-0.560003152288659,-3.40063738235502,0.889535922289321,0.258176157325343,-3.93511578869824,-4.14814402271278,-0.473922946023568,-6.53610491376043,-0.546435424667718,-2.62493140655614,-4.97422503919556,-2.72509428330947,-5.91033966631303,-3.36110399692018,-6.22979948125863,-5.82631025526117,0.650630296610812
"1642.MS00470",0.242323222059979,-0.0430677816840054,-0.342677564239187,-0.0332944013293159,NA,-2.61039345071919,-3.53934742457805,3.4153222900181,-4.15492385512559,4.44770394963739,-0.183427567116257,-1.89351695231115,-0.041486049740207,-2.61363471741923,-0.906092146633372,8.72361227541712,0.562192934395596,3.13130172787883,1.67002080975388,-2.90150080695538,-4.30754743343307,-3.1408474269505,0.440581935931282,-2.88768556210291,0.101978415367353,-3.75137662157797,-4.39100846013166,0.0119406114406466,0.880658488926358,-4.99034961995385,0.943948934200513,-4.51367281120701,3.99058391756665,-0.445424961412618,1.5869731882182,0.114826641260729,2.92506169908385,0.510788611282432,0.156471168614914,-0.770314913669114
"1642.MS00447",1.85940389971567,1.23461238148799,1.09416794504139,1.16630914836006,-2.61039345071919,NA,0.0681797292213549,9.22320417640309,-2.40136019298273,8.61283448351727,0.626372364702984,-1.21556287868762,1.57294710665846,-2.454298033617,-0.492740504764267,12.7382783218526,2.03934264949257,7.96554160511596,3.19866025291722,-1.32685477360903,-2.05160244960438,-2.83544713139455,1.83039838391215,-3.85176786046946,1.23178491237705,-2.6182489576995,-1.9722726899825,1.7004098634992,2.64464876164656,-3.63414253616266,2.99396424312426,-2.8616990121636,9.75786716407147,0.429070022972405,3.32177496551542,0.803593431826881,6.85432863421871,1.83272109526652,1.58777569876215,-1.95528669540988
"1642.MS00525",0.355467790253108,-0.186263550557644,-0.303939590468203,0.466935277216572,-3.53934742457805,0.0681797292213549,NA,1.80808549925583,-4.16044732353178,2.36998933188462,-0.244816897692244,-1.96883541172322,0.102872184640226,-1.83882013630877,-0.655679667992977,8.7727712483534,0.539302417956681,1.89087263262377,1.96166613222515,-2.24117357709715,-3.68635381118637,-1.70166194306837,0.777325577170322,-1.82473506792949,0.829724215590264,-3.63615483977709,-3.07663220250394,0.0055956113863002,1.85893941387903,-4.70296536831467,0.829747225872114,-3.03138129986752,2.18470036785613,-0.186144553585566,1.2675223160211,0.183902582326818,2.4033382830267,0.441168650579826,-0.0412292279072216,-0.562227747709464
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",-3.30704085853467,-4.78817917691285,-4.95232179576677,-3.43031374582912,3.4153222900181,9.22320417640309,1.80808549925583,NA,0.89489533552028,-3.92961807877076,-2.67443512357085,2.02703028793825,-5.05761345123627,-0.00680332282162633,0.274653417274272,-4.90363414047832,-3.44955518474405,-7.71587557427372,-5.27520533076993,2.84952802849977,3.75084226519832,4.64143115479793,-3.57217775950027,3.06856869272361,-5.70627134768901,6.1384611053779,5.9114048479777,-6.01991559799876,-4.74705281764661,0.0551268071543028,-4.90766040857311,1.43327069144388,-5.72991220546264,-2.1154980618011,-3.56826761660662,-2.42140798178313,-6.34758426316735,-4.14924204846107,-3.91308134882034,3.72118262403547
"1642.MS00577",-0.213171123156879,-0.375907305682711,-0.637374724213063,-0.283606226885801,-4.15492385512559,-2.40136019298273,-4.16044732353178,0.89489533552028,NA,2.07109348738811,-0.305124958469899,-2.83100219715808,-0.31970427793713,-2.83018965479644,-1.69715843633139,9.06676628717464,-0.0213328349811444,0.880369961622456,1.67908812135169,-2.91349586474344,-4.41346962939523,-3.70652770158969,-0.094131281256076,-3.23971054870615,-0.322996739644714,-3.51883193102668,-3.65821294559051,-0.251595288207102,1.0803758709928,-4.52458616900663,0.212071167195665,-4.2145627890701,1.36846926380585,-0.958425507619684,0.390646599911503,-0.18880545313531,1.80238619564056,0.00751055830402183,-0.309386402212792,-0.545307389410477
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",-2.43163884614969,-3.11506781590433,-4.18048141384245,-1.52216123241614,4.44770394963739,8.61283448351727,2.36998933188462,-3.92961807877076,2.07109348738811,NA,-2.17189075087723,3.38722131802612,-2.3025987569636,1.37513176144238,1.41355986950028,-3.49083959024424,-2.24105776577713,-5.65557452912942,-2.56029310538624,3.70732098396124,3.79273907894081,6.87846486747033,-2.01538054023076,2.77490394117614,-1.7940959981375,6.41626837829262,4.56131309619734,-0.497111386321836,-3.34463625110384,1.23934428062517,-1.48990538381478,2.53624629470068,-3.22313864820836,-1.3274477948027,-1.63195799938051,-1.73696525760601,-6.60511358623888,-3.02814855824611,-3.09455198260327,4.4564341299677
