"","1642.MS00608","1642.MS00545","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00514","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00519","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00535","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00638","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00334","1642.MS00397","1642.MS00494","1642.MS00615","1642.MS00461","1642.MS00349","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00468","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00618","1642.MS00446","1642.MS00447"
"1642.MS00608",0,0.5508,0.9558,0.5716,0.5812,0.906,0.9644,0.8852,0.5576,0.918,0.9476,0.6108,0.914,0.5024,0.961,0.5858,0.967,0.669,0.5518,0.9058,0.525,0.9086,0.7188,0.5836,0.5282,0.5156,0.583,0.7492,0.9188,0.5398,0.5604,0.9506,0.5898,0.9074,0.9154,0.9218,0.9496,0.6096,0.5492,0.5892
"1642.MS00545",0.5508,0,0.9474,0.4552,0.4924,0.9006,0.9548,0.885,0.4564,0.9088,0.9366,0.5278,0.9014,0.459,0.9508,0.5578,0.9612,0.6496,0.5174,0.901,0.5378,0.8956,0.5944,0.4764,0.5422,0.5642,0.5446,0.688,0.9132,0.4794,0.4742,0.9472,0.4706,0.8998,0.9138,0.9094,0.9398,0.5908,0.5498,0.6066
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",0.9558,0.9474,0,0.95,0.9512,0.8522,0.5076,0.8946,0.952,0.862,0.63,0.9568,0.857,0.9416,0.798,0.943,0.8412,0.9536,0.9466,0.8536,0.951,0.8878,0.9552,0.9418,0.932,0.9498,0.9406,0.964,0.899,0.9384,0.9522,0.5864,0.952,0.8604,0.872,0.8668,0.6608,0.957,0.9426,0.96
"1642.MS00517",0.5716,0.4552,0.95,0,0.5014,0.903,0.9588,0.885,0.4464,0.912,0.9418,0.4846,0.9114,0.48,0.9526,0.5646,0.9624,0.6468,0.5168,0.903,0.5822,0.8996,0.6008,0.475,0.5464,0.6028,0.5466,0.6804,0.9156,0.4846,0.482,0.9462,0.492,0.9024,0.907,0.911,0.943,0.5974,0.5174,0.5832
"1642.MS00514",0.5812,0.4924,0.9512,0.5014,0,0.9212,0.959,0.9036,0.496,0.9258,0.9502,0.517,0.9078,0.5362,0.959,0.5862,0.9656,0.6824,0.5554,0.9244,0.5648,0.9116,0.582,0.5022,0.581,0.5986,0.5634,0.6976,0.931,0.5114,0.5198,0.9492,0.4302,0.9188,0.9248,0.9234,0.9454,0.6356,0.5878,0.5952
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.906,0.9006,0.8522,0.903,0.9212,0,0.8808,0.6642,0.9124,0.5544,0.8346,0.9396,0.8658,0.8888,0.888,0.9056,0.8972,0.9146,0.8968,0.537,0.9116,0.596,0.9356,0.9082,0.876,0.9016,0.9134,0.9404,0.6278,0.8978,0.9088,0.8496,0.9088,0.4914,0.5506,0.629,0.8548,0.9024,0.8874,0.93
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",0.9644,0.9548,0.5076,0.9588,0.959,0.8808,0,0.9058,0.9592,0.8978,0.5284,0.965,0.841,0.9522,0.7064,0.9552,0.7904,0.9636,0.9552,0.8898,0.9592,0.8942,0.965,0.958,0.9438,0.9594,0.9524,0.9764,0.914,0.9514,0.9608,0.4894,0.9626,0.886,0.8934,0.8896,0.58,0.9688,0.9542,0.9688
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8852,0.885,0.8946,0.885,0.9036,0.6642,0.9058,0,0.895,0.7092,0.841,0.927,0.756,0.8684,0.9086,0.891,0.9388,0.915,0.8786,0.7214,0.899,0.6728,0.9262,0.8834,0.8608,0.8858,0.9036,0.9258,0.6138,0.8754,0.8916,0.8778,0.897,0.708,0.7336,0.7454,0.8834,0.8834,0.865,0.9124
"1642.MS00513",0.5576,0.4564,0.952,0.4464,0.496,0.9124,0.9592,0.895,0,0.9244,0.9486,0.468,0.906,0.4942,0.9558,0.5526,0.9612,0.6626,0.5436,0.9136,0.5534,0.9124,0.5668,0.4616,0.5602,0.5872,0.5064,0.683,0.9224,0.48,0.4826,0.9484,0.4516,0.9084,0.9152,0.9224,0.945,0.6394,0.5758,0.6024
"2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences",0.918,0.9088,0.862,0.912,0.9258,0.5544,0.8978,0.7092,0.9244,0,0.8668,0.9426,0.8802,0.9056,0.9042,0.9148,0.9138,0.9122,0.9096,0.5018,0.9186,0.6128,0.9436,0.911,0.8914,0.9116,0.9214,0.9456,0.7084,0.9086,0.9208,0.8636,0.9196,0.569,0.5366,0.6354,0.8796,0.9116,0.8928,0.9358
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.9476,0.9366,0.63,0.9418,0.9502,0.8346,0.5284,0.841,0.9486,0.8668,0,0.9542,0.765,0.9366,0.6996,0.9416,0.8022,0.9466,0.937,0.8672,0.9396,0.872,0.9502,0.9364,0.9286,0.9364,0.9406,0.9588,0.8266,0.933,0.9476,0.601,0.9464,0.8558,0.872,0.8666,0.5992,0.949,0.9332,0.9516
"1642.MS00519",0.6108,0.5278,0.9568,0.4846,0.517,0.9396,0.965,0.927,0.468,0.9426,0.9542,0,0.9348,0.5708,0.9538,0.5774,0.9638,0.6514,0.5884,0.9388,0.565,0.933,0.5798,0.5118,0.6002,0.59,0.5112,0.706,0.946,0.5326,0.5462,0.9544,0.4856,0.9348,0.9362,0.9382,0.9476,0.663,0.6302,0.567
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.914,0.9014,0.857,0.9114,0.9078,0.8658,0.841,0.756,0.906,0.8802,0.765,0.9348,0,0.9022,0.8462,0.906,0.9076,0.9342,0.9058,0.8706,0.917,0.8626,0.9262,0.9022,0.8816,0.9052,0.909,0.9426,0.8608,0.903,0.9148,0.841,0.9176,0.8694,0.8722,0.8884,0.7894,0.9208,0.899,0.9278
"1642.MS00535",0.5024,0.459,0.9416,0.48,0.5362,0.8888,0.9522,0.8684,0.4942,0.9056,0.9366,0.5708,0.9022,0,0.9438,0.5328,0.9538,0.6362,0.5042,0.8912,0.5288,0.8892,0.6636,0.5186,0.5026,0.5644,0.5164,0.724,0.903,0.473,0.4942,0.938,0.5348,0.8872,0.8956,0.8978,0.9352,0.5814,0.496,0.584
"2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences",0.961,0.9508,0.798,0.9526,0.959,0.888,0.7064,0.9086,0.9558,0.9042,0.6996,0.9538,0.8462,0.9438,0,0.9462,0.521,0.9612,0.953,0.8994,0.948,0.9196,0.9548,0.9488,0.9376,0.9564,0.9486,0.9678,0.9144,0.9448,0.956,0.6592,0.9548,0.8864,0.8946,0.8972,0.6216,0.9654,0.9476,0.959
"1642.MS00427",0.5858,0.5578,0.943,0.5646,0.5862,0.9056,0.9552,0.891,0.5526,0.9148,0.9416,0.5774,0.906,0.5328,0.9462,0,0.9564,0.6812,0.5844,0.9054,0.5952,0.898,0.6184,0.5262,0.5786,0.6148,0.5586,0.6796,0.917,0.5026,0.5746,0.942,0.571,0.9014,0.9122,0.9074,0.9392,0.6416,0.5702,0.5612
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",0.967,0.9612,0.8412,0.9624,0.9656,0.8972,0.7904,0.9388,0.9612,0.9138,0.8022,0.9638,0.9076,0.9538,0.521,0.9564,0,0.9696,0.9616,0.892,0.964,0.93,0.9572,0.9544,0.9526,0.9616,0.9516,0.9736,0.9312,0.9568,0.9654,0.718,0.9652,0.8928,0.8892,0.8888,0.715,0.9754,0.9628,0.9734
