"","1642.MS00608","1642.MS00545","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00514","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00519","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00535","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00638","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00334","1642.MS00397","1642.MS00494","1642.MS00615","1642.MS00461","1642.MS00349","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00468","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00618","1642.MS00446","1642.MS00447"
"1642.MS00608",0,-0.547,1,-0.302,-0.24,1,1,1,-0.536,1,1,0.263,1,-0.971,1,-0.115,1,0.988,-0.413,1,-0.768,1,1,-0.091,-0.725,-0.926,-0.022,1,1,-0.65,-0.498,1,-0.127,1,1,1,1,0.473,-0.472,0.0920000000000001
"1642.MS00545",-0.547,0,1,-1,-0.996,1,1,1,-1,1,1,-0.883,1,-1,1,-0.601,1,0.885,-0.918,1,-0.679,1,-0.393,-0.998,-0.571,-0.406,-0.647,0.874,1,-0.998,-1,1,-1,1,1,1,1,0.077,-0.525,0.408
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",1,1,0,1,1,0.996,-1,1,1,0.994,-0.95,1,0.972,1,-0.373,1,0.383,1,1,0.994,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0.996,-0.918,1,1,1
"1642.MS00517",-0.302,-1,1,0,-0.988,1,1,1,-1,1,1,-1,1,-0.996,1,-0.495,1,0.854,-0.884,1,-0.03,1,-0.347,-1,-0.528,0.171,-0.629,0.754,1,-0.996,-0.998,1,-0.998,1,1,1,1,0.157,-0.908,-0.028
"1642.MS00514",-0.24,-0.996,1,-0.988,0,1,1,1,-0.996,1,1,-0.974,1,-0.795,1,-0.255,1,0.988,-0.553,1,-0.45,1,-0.63,-0.993,-0.165,0,-0.538,0.904,1,-0.966,-0.976,1,-1,1,1,1,1,0.686,-0.08,-0.015
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.996,1,1,0,0.944,0.329,1,-0.932,0.966,1,1,1,0.996,1,1,1,1,-0.958,1,-0.61,1,1,1,1,1,1,-0.348,1,1,0.972,1,-1,-0.905,0.0640000000000001,0.998,1,1,1
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",1,1,-1,1,1,0.944,0,1,1,0.984,-1,1,0.193,1,-0.894,1,-0.696,1,1,0.978,1,0.986,1,1,1,1,1,1,1,1,1,-1,1,0.968,0.984,0.983,-1,1,1,1
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.329,1,0,1,0.816,0.981,1,0.668,1,1,1,1,1,1,0.972,1,0.316,1,1,1,1,1,1,-0.605,1,1,0.996,1,0.914,1,1,1,1,1,1
"1642.MS00513",-0.536,-1,1,-1,-0.996,1,1,1,0,1,1,-1,1,-0.996,1,-0.722,1,0.938,-0.722,1,-0.567,1,-0.76,-1,-0.408,-0.172,-0.988,0.739,1,-0.999,-0.996,1,-1,1,1,1,1,0.822,-0.276,0.0980000000000001
"2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.994,1,1,-0.932,0.984,0.816,1,0,0.998,1,1,1,1,1,1,1,1,-1,1,-0.589,1,1,1,1,1,1,0.772,1,1,0.998,1,-0.868,-0.994,-0.169,0.998,1,1,1
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",1,1,-0.95,1,1,0.966,-1,0.981,1,0.998,0,1,-0.122,1,-0.918,1,-0.295,1,1,1,1,1,1,1,1,1,1,1,0.927,1,1,-0.996,1,1,1,1,-0.99,1,1,1
"1642.MS00519",0.263,-0.883,1,-1,-0.974,1,1,1,-1,1,1,0,1,-0.393,1,-0.425,1,0.841,-0.125,1,-0.439,1,-0.615,-0.962,0.242,-0.146,-0.958,0.958,1,-0.841,-0.782,1,-0.998,1,1,1,1,0.962,0.679,-0.438
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",1,1,0.972,1,1,1,0.193,0.668,1,1,-0.122,1,0,1,0.552,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.826,1,1,1,1,0.277,1,1,1
"1642.MS00535",-0.971,-1,1,-0.996,-0.795,1,1,1,-0.996,1,1,-0.393,1,0,1,-0.834,1,0.838,-0.948,1,-0.746,1,0.781,-0.926,-0.94,-0.35,-0.907,0.998,1,-0.998,-0.99,1,-0.843,1,1,1,1,0.046,-0.98,0.0169999999999999
"2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences",1,1,-0.373,1,1,0.996,-0.894,1,1,1,-0.918,1,0.552,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.952,1,0.992,0.998,0.996,-0.984,1,1,1
