"","1642.MS00411","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00468","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00427","1642.MS00608","1642.MS00519","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00517","1642.MS00446","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00513","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00397","1642.MS00545","1642.MS00334","1642.MS00514","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","1642.MS00638","1642.MS00535","1642.MS00615"
"1642.MS00411",0,0.0846024543297,0.0858362528223,0.089684016055,0.0296438510709,0.1007442865336,0.0280045893331,0.1043153144697,0.0334304132291,0.0221848011204,0.0873752823097,0.0245362539111,0.0212690040255,0.0282416375153,0.0272771590633,0.1152208771612,0.0834736481467,0.0278756263024,0.0227388084423,0.0212919294106,0.0965337317091,0.0225388925254,0.1119719267979,0.0853838868932,0.0257664406035,0.1061999098314,0.0879633839834,0.0906233401691,0.0240692560535,0.0192518975597,0.0213877769258,0.0248919261604,0.0236056950511,0.0947525991046,0.1165951252973,0.087386197918,0.0228116273985,0.0261802059408,0.0218050555093,0.0304977021967
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0846024543297,0,0.0275121674109,0.0263312198927,0.0999530671188,0.0624421216732,0.0985784279897,0.0438915775726,0.0881469038955,0.0836807547463,0.0358034461094,0.0905741983887,0.0860408256878,0.095724963749,0.1022139635604,0.0739112437498,0.0342017449403,0.0907217402115,0.0788726467047,0.0827330002245,0.0437380511985,0.0853541358699,0.0601604288938,0.0343861063323,0.1092670301571,0.0542768312666,0.0332559740784,0.0416399249137,0.081550659153,0.0793864380686,0.083601372203,0.0907922203701,0.0818674867718,0.0348245479145,0.0514262808044,0.0360668254273,0.0811556447428,0.084882942563,0.0826952664652,0.100564703697
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0858362528223,0.0275121674109,0,0.026973686883,0.0987123698161,0.0475614227147,0.0995131115056,0.0388731262131,0.0860051600988,0.0860924751598,0.0247659290861,0.0917671166897,0.0883776389977,0.1007423530807,0.1031436430355,0.0572057978834,0.020080715135,0.0958372309361,0.0807482897036,0.0833715221792,0.0377594081253,0.0885400932664,0.0514134233886,0.0246993235204,0.1079373412088,0.0454671091427,0.0475613527939,0.0318927257291,0.0853581070448,0.0817125144151,0.0875956349926,0.0944635464411,0.0862026145258,0.0264913457055,0.0414086438647,0.0242434284289,0.0854965024548,0.0890532659055,0.0847217551512,0.1047778641798
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",0.089684016055,0.0263312198927,0.026973686883,0,0.1037807680332,0.0548586232103,0.1026075019004,0.0387627703116,0.0898961539665,0.0867512017739,0.0308778105831,0.0944791740335,0.0905488034416,0.1011753347128,0.1065888466197,0.0615888213483,0.0323413421244,0.0942969361598,0.0844727719737,0.0881603776179,0.041711643531,0.0909649435161,0.0584157304677,0.0337935913273,0.1119182833822,0.0508145541396,0.0424028034502,0.0402736578318,0.0888905417243,0.0836563080883,0.0891956121979,0.0936952341022,0.0886353798334,0.0398671420982,0.0446684407612,0.0353879427271,0.0876465583748,0.0906205214444,0.0863308168471,0.1065540307488
"1642.MS00618",0.0296438510709,0.0999530671188,0.0987123698161,0.1037807680332,0,0.1290146104226,0.0260465948424,0.1275072065889,0.0361193981006,0.027034052312,0.1070476323143,0.0353272544752,0.0358943071388,0.0314129449799,0.0322365897926,0.1464813483774,0.1005960498206,0.0523732356803,0.0293617401301,0.02494507711,0.1216699484765,0.0297831949162,0.1367408001318,0.100666709215,0.031696592879,0.1238099372304,0.1111796780806,0.1076878851628,0.0281011307142,0.0313313691255,0.0277583772293,0.0435270406955,0.0297327831435,0.0963887361454,0.1477059657096,0.0997410966329,0.0287452567538,0.0268220548806,0.0287271863467,0.0292391120877
"2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences",0.1007442865336,0.0624421216732,0.0475614227147,0.0548586232103,0.1290146104226,0,0.1275460506502,0.0224238027277,0.0985540858125,0.1060086903673,0.0501748183406,0.1041106718566,0.1010316479184,0.1291006915072,0.1099527826085,0.0186234486016,0.0500075679932,0.1033860492299,0.0976573080326,0.1069375102463,0.0182752841235,0.1181398522803,0.0207987780375,0.0480788689543,0.1185675330277,0.027712686978,0.0452814681867,0.0626237664968,0.1069519175665,0.0946605206347,0.1054250058506,0.0897580997073,0.1001290373496,0.0660503002842,0.0180362552486,0.0608418601203,0.0958932972636,0.1066864163652,0.1043243250537,0.1212572360694
"1642.MS00581",0.0280045893331,0.0985784279897,0.0995131115056,0.1026075019004,0.0260465948424,0.1275460506502,0,0.1278139814456,0.0348283015331,0.0236652006757,0.1008665720993,0.0285369125047,0.0306295101851,0.0211585371091,0.0270670747686,0.1413705522441,0.098350103295,0.0481790308583,0.0258966489356,0.026986881701,0.1182096139596,0.026209971132,0.1363602626779,0.0978846404691,0.0304576781106,0.1215743076561,0.1124568827615,0.1071105986855,0.0258872151131,0.0270867499797,0.0247887958401,0.0366486234955,0.0249223193513,0.1009739625531,0.1411480572454,0.099757829608,0.0239960361927,0.0264281111154,0.0243963493676,0.0236479467101
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.1043153144697,0.0438915775726,0.0388731262131,0.0387627703116,0.1275072065889,0.0224238027277,0.1278139814456,0,0.0990872076807,0.1017563126346,0.0381543975086,0.109164194357,0.1104131943218,0.1305777492262,0.1176639497401,0.0274284436007,0.0433204495762,0.1153269211993,0.0991946983192,0.1081480866387,0.0201392492207,0.1164199114982,0.0213048168228,0.0451410834416,0.1264847168131,0.0279916273425,0.0359501068261,0.0610434508696,0.1095283306749,0.1017999349182,0.1103646733139,0.1086938778089,0.1058676669526,0.0585858304006,0.0207177803847,0.0470788525581,0.1007025073005,0.1116795416478,0.1042895897359,0.1169392836009
"1642.MS00591",0.0334304132291,0.0881469038955,0.0860051600988,0.0898961539665,0.0361193981006,0.0985540858125,0.0348283015331,0.0990872076807,0,0.0293128597091,0.0890058515028,0.0277143695551,0.0328744696767,0.0337601353351,0.0273580064043,0.1117868504437,0.0859035853664,0.0466629297943,0.026799045492,0.0343123859377,0.090107374247,0.0287120367992,0.1019216432425,0.0878094071996,0.0369302103281,0.1003793173285,0.0919318342476,0.0887564340452,0.0315885307169,0.0305473986597,0.0299247722058,0.0345977899481,0.0306015032738,0.08792371594,0.1016808159617,0.0863446716218,0.0282859518545,0.026529863267,0.0289577311842,0.0348025628076
"1642.MS00468",0.0221848011204,0.0836807547463,0.0860924751598,0.0867512017739,0.027034052312,0.1060086903673,0.0236652006757,0.1017563126346,0.0293128597091,0,0.0957196364977,0.0242687318568,0.0258134650768,0.0252020685493,0.0246722305383,0.124757015983,0.0854576049162,0.0385117832987,0.0211255560559,0.0229566949531,0.0994618257232,0.0201715067442,0.110434907554,0.0855361607093,0.0273606186762,0.0984256899706,0.091988867146,0.1009054431578,0.0234830764392,0.0220570613443,0.0197323406331,0.0301822320659,0.0203891904471,0.1055762292431,0.1111117626731,0.0973702830547,0.0202620464972,0.0232129031244,0.0203900610858,0.026931095921
