"","1642.MS00411","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00468","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00427","1642.MS00608","1642.MS00519","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00517","1642.MS00446","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00513","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00397","1642.MS00545","1642.MS00334","1642.MS00514","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","1642.MS00638","1642.MS00535","1642.MS00615"
"1642.MS00411",NA,6.53676308438884,2.69282943533663,2.33484356076751,-0.50166033939042,-0.677917015841679,-2.894084689859,0.628214343457508,-3.43512528512105,-3.79903712800792,2.42736730775304,-3.47866928327474,-2.19375992918465,-0.924901187781227,-3.61820018216527,0.726742975483097,1.65648199953216,-4.81940922699244,-4.43030085354418,-3.54953819186654,-0.222173642844045,-3.40281375773715,-0.0525634784328996,2.07902943997175,-2.61095080087426,0.3783212396938,0.226236043007537,3.30178874896948,-3.11586391515903,-5.57706529996309,-4.83954463528957,-4.68015384149372,-2.83739055486469,4.82925281973707,1.4654119305537,1.5492784716565,-3.19507400510741,-3.49837778483341,-2.573153380915,-0.403441007010267
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",6.53676308438884,NA,-11.0681831169468,-10.0661349870044,9.41528705797414,-4.52373430585272,8.6710297388987,-3.37035864159777,2.61358333756919,3.48667538237131,-9.48142780028578,4.95682886068038,2.62133576010896,7.97689061659663,9.17103181632799,-3.98882870745163,-9.01647371925597,3.67045575470771,4.37426134456766,4.71272718385665,-5.48336403622818,4.4869509358877,-4.44201295550436,-10.4645388268462,11.1105469477098,-4.76462180371236,-4.08704556142406,-6.80390370431077,5.60654038383628,4.37315862077433,5.76250312530867,4.26883489280388,4.97509928895975,-7.23839161106033,-3.48951994603132,-7.11846393583765,5.80176946445101,5.04949825280805,3.86926362831455,8.64101801139343
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",2.69282943533663,-11.0681831169468,NA,-9.6892740422339,8.28930945280742,-7.11450703879495,7.9163372556209,-7.51281118304475,2.46825031897794,1.7279444557058,-8.03258076240395,4.20968859942008,2.64508003734651,9.56281741644458,4.25244806438981,-5.41223576153277,-8.75311598205765,1.67606640428237,0.645151590485207,4.06654283405463,-8.46985037558203,1.8489860534906,-6.97637763058677,-7.63855092519487,9.73817396266872,-6.90668145410406,-5.1160268926489,-6.43441962318966,5.9460718296176,0.880489297399272,2.0462165879808,1.78306350763033,0.584477758221803,-8.30209310036183,-6.67371391641017,-8.03146477903645,0.940366186504819,4.27812198711812,3.3476829445268,10.9251182789524
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",2.33484356076751,-10.0661349870044,-9.6892740422339,NA,7.44928169941918,-5.43856991777129,6.4991763027206,-3.34884971566884,2.16889661763354,1.06203547889788,-10.8215878599254,3.20245489822112,2.05374116204565,6.91612062938047,3.61904975062082,-5.10968883540041,-9.06820202286182,0.664135394656586,0.721494163150599,3.67186983251292,-5.21798364988853,1.44088923501298,-4.80516249478209,-9.44684436859024,9.37343569456956,-4.92263919734084,-6.00372428854812,-6.69620910443265,5.45441990543466,0.574869299676712,1.39893643187689,1.14805130497823,0.345991931282787,-6.13236956164932,-3.86146748974853,-6.32384058420776,0.477951944668344,2.77771271704011,2.27343059558253,8.83520181806951
"1642.MS00618",-0.50166033939042,9.41528705797414,8.28930945280742,7.44928169941918,NA,2.92050386191037,-4.07040779219767,2.9591857568176,-2.31174474166721,-2.27409854145824,10.1419568692018,-1.16339750348447,-0.876082531620651,-1.67733500527637,-3.56446449652197,4.57577205406667,8.90429156194506,0.198167914044387,-0.625578274265711,-1.29494955614313,2.94429102215287,-2.31075524553314,2.57902385896717,8.43838185566774,-1.4518163617494,2.49273045336939,3.44046393257378,10.7416204377942,-2.13838947616706,-0.205078004834815,-1.78462252854202,-0.86182486696828,-1.65371744373726,8.20159033501653,4.46341258542502,6.04004669402113,-1.9029316239862,-1.30104869499789,-0.458243391737871,-1.53069302200055
"2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences",-0.677917015841679,-4.52373430585272,-7.11450703879495,-5.43856991777129,2.92050386191037,NA,2.78672720089136,-6.85477610737821,-1.60488933403009,-0.630691701376623,-5.8546405168918,-0.46425371751116,-0.967212765341729,2.31963300093723,0.0551255816984768,-5.95316220642489,-5.49057018644123,-1.37408199417682,-1.13191080197187,0.488135811632648,-7.33872157350816,0.561899153476845,-6.4704725673327,-7.68921239814143,1.44596659344816,-7.31950908149158,-5.05835787780379,-4.08120643577711,0.482699886587171,-1.23888471022389,-0.357191726405222,-2.09552028914958,-0.737303296353476,-4.35916487247521,-6.62078042382916,-4.35735994236677,-1.18937174382251,-0.0110839522473413,-0.377054018059918,2.24625225664754
"1642.MS00581",-2.894084689859,8.6710297388987,7.9163372556209,6.4991763027206,-4.07040779219767,2.78672720089136,NA,2.96515088950626,-1.96824591359712,-4.10406426494887,8.03377686764592,-1.92944639116349,-1.9578307072594,-6.08449196444608,-3.01920818718763,4.60943852869864,7.38678543929338,-2.01586115562106,-2.92447876730215,-2.85772281025026,2.31442004853281,-2.48381777585179,2.47752587806142,7.17390106417472,-2.62883523787559,2.29961683173026,4.05340597655632,10.0555457909208,-2.87988583083724,-3.39144969571114,-2.53471060255217,-2.24784162447501,-2.59244085641101,8.44539377032289,4.0375606319872,7.16339518658992,-2.2032898113356,-3.28902894035413,-2.30989180940853,-3.56420761165475
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.628214343457508,-3.37035864159777,-7.51281118304475,-3.34884971566884,2.9591857568176,-6.85477610737821,2.96515088950626,NA,-0.0812558216688716,0.0382970453050009,-8.88805405107488,1.16010128024476,0.919983965475257,3.04364949919074,1.38181811202634,-6.99953896562166,-3.83557609977089,0.828714047062587,-0.122944804304953,1.37289252735748,-6.6274624135894,1.03754616287901,-6.04082069531345,-6.66558847975826,2.6179468321359,-7.30712278793221,-4.85960867946329,-2.6168561820604,1.70174792102962,0.146422750576102,1.03473879837391,0.255815383961012,0.143779758519638,-2.75606876490943,-2.87475518174172,-5.23291948302262,-0.11199422407502,1.51835513310204,0.593412123337074,1.83601673138649
"1642.MS00591",-3.43512528512105,2.61358333756919,2.46825031897794,2.16889661763354,-2.31174474166721,-1.60488933403009,-1.96824591359712,-0.0812558216688716,NA,-3.74216533617559,2.59094865260263,-3.39845141912103,-3.14546272029123,-2.98780707805165,-3.44527319446772,-0.0844518442616219,2.10618784053517,-3.23834832834159,-3.48329419141237,-2.83992757081594,-0.905636808873808,-3.50769735675082,-1.27390312909339,2.51307339425335,-2.37229902938089,-0.604947231230602,0.377942555366646,2.48163014084092,-3.81720715863397,-3.72968363069215,-3.14726684733726,-4.28421224365707,-3.15077704720681,3.16097471934532,-0.148696017040894,1.7119859702414,-2.84516105804722,-3.20924150222672,-3.25045298171182,-2.48035447920201
"1642.MS00468",-3.79903712800792,3.48667538237131,1.7279444557058,1.06203547889788,-2.27409854145824,-0.630691701376623,-4.10406426494887,0.0382970453050009,-3.74216533617559,NA,3.37978929043814,-3.57580909119833,-2.05467787037743,-2.71047088699267,-4.93135249656181,1.08550705522824,1.20544373330792,-2.58088749985185,-5.29647068694897,-5.01533593466702,-0.329790536037209,-5.62666002275347,-0.472827057460144,1.13362252471341,-3.15256642762542,-0.919608752581838,0.551586269992161,4.19976399709288,-4.63791456915179,-3.52727092557103,-5.35779290440299,-3.9233964171773,-5.33570270683605,5.28231090937654,0.462364707963171,2.62607222206183,-3.95059190096952,-4.86366840412658,-5.33702052394609,-2.2790235922364
