"","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00404","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00539","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00350","1642.MS00532","1642.MS00384","1642.MS00487","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00420","1642.MS00387","1642.MS00471","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00380","1642.MS00602","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00581","1642.MS00583","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00615","1642.MS00616","1642.MS00448","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00438","1642.MS00579","1642.MS00440","1642.MS00634","1642.MS00413","1642.MS00557","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0,0.745,0.8658,0.8446,0.6936,0.6798,0.9592,0.8168,0.8938,0.7854,0.9218,0.8806,0.8918,0.9108,0.6488,0.8982,0.851,0.905,0.8308,0.6472,0.9808,0.8792,0.858,0.7552,0.9074,0.9072,0.8488,0.8986,0.871,0.919,0.8238,0.6348,0.8816,0.9044,0.904,0.884,0.8782,0.8932,0.8898,0.8972
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.745,0,0.8982,0.6972,0.7048,0.7948,0.9616,0.463,0.9098,0.5196,0.934,0.8974,0.9098,0.931,0.798,0.92,0.8832,0.9184,0.888,0.8168,0.978,0.9194,0.6376,0.6826,0.919,0.9266,0.6324,0.9204,0.9116,0.9364,0.6224,0.7906,0.9154,0.9252,0.9158,0.9008,0.927,0.9208,0.9122,0.7066
"1642.MS00404",0.8658,0.8982,0,0.8854,0.8716,0.881,0.9848,0.9296,0.4994,0.9258,0.7,0.481,0.5262,0.5778,0.8726,0.535,0.4726,0.5628,0.8574,0.8828,0.8832,0.4862,0.9372,0.9126,0.586,0.5822,0.9308,0.579,0.51,0.5814,0.928,0.8738,0.4694,0.5726,0.5868,0.5154,0.6498,0.5476,0.5736,0.948
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",0.8446,0.6972,0.8854,0,0.8456,0.8838,0.9718,0.7054,0.8988,0.7892,0.9298,0.903,0.9026,0.9318,0.858,0.9182,0.8826,0.9174,0.7606,0.881,0.9806,0.9076,0.656,0.8644,0.92,0.9256,0.7122,0.9098,0.9014,0.9228,0.7298,0.87,0.9018,0.9216,0.9118,0.8942,0.9316,0.9168,0.913,0.687
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",0.6936,0.7048,0.8716,0.8456,0,0.5738,0.9584,0.752,0.8976,0.6618,0.935,0.888,0.9012,0.9304,0.7096,0.9132,0.875,0.9082,0.854,0.7732,0.9866,0.8982,0.7782,0.6664,0.9128,0.9298,0.8222,0.9082,0.8924,0.9374,0.773,0.5758,0.8958,0.9258,0.9094,0.9,0.9142,0.9158,0.9066,0.8344
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.6798,0.7948,0.881,0.8838,0.5738,0,0.9718,0.8458,0.9106,0.75,0.944,0.9008,0.9066,0.9326,0.6514,0.9158,0.8798,0.9146,0.8416,0.742,0.9876,0.9054,0.8702,0.7132,0.9224,0.932,0.8768,0.9156,0.8986,0.9368,0.842,0.5056,0.8974,0.9274,0.9162,0.9086,0.9282,0.9202,0.9142,0.8988
"1001.SKD8",0.9592,0.9616,0.9848,0.9718,0.9584,0.9718,0,0.9598,0.986,0.9512,0.9908,0.9868,0.9842,0.9906,0.9842,0.9912,0.9844,0.9888,0.9848,0.9882,0.9954,0.9908,0.9658,0.9596,0.9844,0.9918,0.9822,0.987,0.992,0.9918,0.973,0.9696,0.9872,0.9892,0.9924,0.9818,0.989,0.9912,0.9914,0.9654
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.8168,0.463,0.9296,0.7054,0.752,0.8458,0.9598,0,0.9336,0.52,0.9576,0.925,0.9362,0.9506,0.8496,0.9408,0.922,0.9394,0.9174,0.8588,0.9894,0.9396,0.6082,0.7116,0.943,0.9518,0.5316,0.9436,0.9328,0.9506,0.5498,0.8444,0.9392,0.945,0.9388,0.9316,0.9484,0.9428,0.9404,0.644
"1642.MS00539",0.8938,0.9098,0.4994,0.8988,0.8976,0.9106,0.986,0.9336,0,0.9294,0.7222,0.4556,0.5536,0.531,0.9058,0.54,0.5086,0.5384,0.882,0.9146,0.8818,0.4688,0.9442,0.9276,0.5052,0.5022,0.941,0.5338,0.5158,0.5538,0.939,0.9,0.4926,0.5454,0.5092,0.498,0.652,0.5374,0.5346,0.96
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.7854,0.5196,0.9258,0.7892,0.6618,0.75,0.9512,0.52,0.9294,0,0.9528,0.9218,0.9354,0.9438,0.7966,0.9326,0.915,0.9366,0.913,0.8598,0.9862,0.9342,0.6916,0.5788,0.9376,0.9434,0.6646,0.9322,0.9252,0.9458,0.6238,0.7542,0.9314,0.9402,0.9312,0.9236,0.9446,0.9372,0.9352,0.7498
"1642.MS00350",0.9218,0.934,0.7,0.9298,0.935,0.944,0.9908,0.9576,0.7222,0.9528,0,0.703,0.6072,0.7378,0.9336,0.688,0.6676,0.6626,0.916,0.936,0.6224,0.728,0.9648,0.9468,0.7556,0.7592,0.9608,0.7644,0.7502,0.709,0.955,0.9324,0.713,0.6472,0.7054,0.6638,0.8102,0.6498,0.6984,0.9694
"1642.MS00532",0.8806,0.8974,0.481,0.903,0.888,0.9008,0.9868,0.925,0.4556,0.9218,0.703,0,0.5364,0.5192,0.8962,0.5408,0.4816,0.5074,0.8752,0.9034,0.8744,0.474,0.9428,0.915,0.507,0.5114,0.9354,0.5314,0.5058,0.5704,0.9324,0.892,0.491,0.536,0.4908,0.488,0.655,0.52,0.5246,0.9554
